TDNTuple3Agt: USESYM:true, P:15, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:true, learnFromRM: false
TDNTuple3Agt: alpha_init->final:1.0->1.0, epsilon_init->final:0.0->0.0, gamma: 1.0, fixed n-tuple, mode=2, evalQ: 0, evalT: -1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 5000, 35159.312, 0.0, 6418318, 6418318, 132.498, 48440.867031955204, 0.0, 0.0
0, 10000, 45847.805248, 0.0, 16500124, 16500124, 339.696, 48573.20663181197, 0.0, 0.0
0, 15000, 56329.455220992, 0.0, 28214601, 28214601, 580.412, 48611.33298415608, 0.0, 0.0
0, 20000, 59281.22182088397, 0.0, 41404124, 41404124, 854.576, 48449.90264177791, 0.0, 0.0
0, 25000, 62144.196887283535, 0.0, 55822731, 55822731, 1155.41, 48314.218329424184, 0.0, 0.0
0, 30000, 70253.13678754914, 0.0, 71231716, 71231716, 1473.951, 48327.05836218436, 0.0, 0.0
0, 35000, 71291.8765471502, 0.0, 87473676, 87473676, 1811.985, 48275.05525707995, 0.0, 0.0
0, 40000, 79206.60750618861, 0.0, 104492257, 104492257, 2164.692, 48271.18915762612, 0.0, 0.0
0, 45000, 82816.90643002476, 0.0, 122034938, 122034938, 2528.474, 48264.2645326786, 0.0, 0.0
0, 50000, 83305.8436257201, 0.0, 140423012, 140423012, 2909.211, 48268.41779437793, 0.0, 0.0
0, 55000, 91867.06337450288, 0.0, 159591051, 159591051, 3307.505, 48251.18964294838, 0.0, 0.0
0, 60000, 93350.92425349801, 0.0, 179477446, 179477446, 3719.336, 48255.23856946509, 0.0, 0.0
0, 65000, 95402.97169701399, 0.0, 200056976, 200056976, 4144.663, 48268.57479124359, 0.0, 0.0
0, 70000, 103433.83588678806, 0.0, 221446392, 221446392, 4586.675, 48280.37565338726, 0.0, 0.0
0, 75000, 105153.52734354715, 0.0, 243468301, 243468301, 5041.879, 48289.199522638286, 0.0, 0.0
0, 80000, 107962.67810937419, 0.0, 266600078, 266600078, 5518.703, 48308.46631898835, 0.0, 0.0
0, 85000, 116287.1627124375, 0.0, 290047469, 290047469, 6004.819, 48302.44991564275, 0.0, 0.0
0, 90000, 115367.51665084976, 0.0, 313913690, 313913690, 6500.147, 48293.32167410983, 0.0, 0.0
0, 95000, 108271.7100666034, 0.0, 338235342, 338235342, 7008.322, 48261.957997934456, 0.0, 0.0
0, 100000, 121135.53484026641, 0.0, 363088760, 363088760, 7522.341, 48268.053788042846, 0.0, 0.0
0, 105000, 115658.20613936106, 0.0, 388155784, 388155784, 8041.42, 48269.55736673374, 0.0, 0.0
0, 110000, 120285.32082455745, 0.0, 413681305, 413681305, 8572.219, 48258.36869076724, 0.0, 0.0
0, 115000, 120175.50928329822, 0.0, 439363861, 439363861, 9104.696, 48256.84031624999, 0.0, 0.0
0, 120000, 128563.13403713319, 0.0, 465500142, 465500142, 9646.992, 48253.39774304778, 0.0, 0.0
0, 125000, 122696.07653614854, 0.0, 491932884, 491932884, 10197.079, 48242.52945377789, 0.0, 0.0
0, 130000, 125824.8163061446, 0.0, 518419569, 518419569, 10746.935, 48238.82986172337, 0.0, 0.0
0, 135000, 131943.18726522458, 0.0, 545093872, 545093872, 11303.585, 48223.096654733876, 0.0, 0.0
0, 140000, 128525.6447490609, 0.0, 572322017, 572322017, 11873.587, 48201.273717874814, 0.0, 0.0
0, 145000, 130130.91857899624, 0.0, 599570457, 599570457, 12440.019, 48196.90846131344, 0.0, 0.0
0, 150000, 135599.22767431597, 0.0, 627000439, 627000439, 13010.168, 48193.108574770136, 0.0, 0.0
0, 155000, 133782.90891069727, 0.0, 654761906, 654761906, 13587.259, 48189.403469824196, 0.0, 0.0
0, 160000, 136193.7396356428, 0.0, 683075888, 683075888, 14175.506, 48187.05505115655, 0.0, 0.0
0, 165000, 136852.32695854257, 0.0, 711404322, 711404322, 14763.959, 48185.20032465547, 0.0, 0.0
0, 170000, 140546.19330783418, 0.0, 740268236, 740268236, 15363.442, 48183.749188495654, 0.0, 0.0
0, 175000, 137063.00077323132, 0.0, 768762568, 768762568, 15955.033, 48183.076023722424, 0.0, 0.0
0, 180000, 140814.94000309295, 0.0, 797701414, 797701414, 16556.592, 48180.29060569953, 0.0, 0.0
0, 185000, 138942.21976001238, 0.0, 826749865, 826749865, 17162.003, 48173.273539224996, 0.0, 0.0
0, 190000, 150866.00887904008, 0.0, 856039877, 856039877, 17770.345, 48172.38365377824, 0.0, 0.0
0, 195000, 143405.40003551616, 0.0, 885540260, 885540260, 18382.67, 48172.559263697825, 0.0, 0.0
0, 200000, 144385.09360014205, 0.0, 915155597, 915155597, 18997.595, 48172.18163667559, 0.0, 0.0
1, 5000, 33754.48, 0.0, 6337254, 6337254, 131.099, 48339.45339018605, 0.0, 0.0
1, 10000, 45008.85792, 0.0, 16432614, 16432614, 338.579, 48534.06147457462, 0.0, 0.0
1, 15000, 56640.41943168, 0.0, 28417051, 28417051, 583.822, 48674.16952427281, 0.0, 0.0
1, 20000, 61418.785677726715, 0.0, 41790151, 41790151, 856.929, 48767.343618899584, 0.0, 0.0
1, 25000, 64485.35514271091, 0.0, 56276487, 56276487, 1152.113, 48846.32583783014, 0.0, 0.0
1, 30000, 70789.42942057086, 0.0, 71840483, 71840483, 1468.669, 48915.36690704304, 0.0, 0.0
1, 35000, 72671.15771768229, 0.0, 88127093, 88127093, 1798.898, 48989.488564665706, 0.0, 0.0
1, 40000, 79447.46863087073, 0.0, 105369704, 105369704, 2148.158, 49051.188972133335, 0.0, 0.0
1, 45000, 80129.37387452349, 0.0, 123430108, 123430108, 2513.755, 49101.884630761546, 0.0, 0.0
1, 50000, 94839.4134954981, 0.0, 142111282, 142111282, 2891.92, 49140.80679963484, 0.0, 0.0
1, 55000, 89920.66965398198, 0.0, 161596107, 161596107, 3286.516, 49169.42652949202, 0.0, 0.0
1, 60000, 95203.61867861592, 0.0, 181834961, 181834961, 3695.994, 49197.85069997408, 0.0, 0.0
1, 65000, 93378.99047471446, 0.0, 202498004, 202498004, 4113.99, 49221.80267817861, 0.0, 0.0
1, 70000, 101673.56396189886, 0.0, 223972922, 223972922, 4548.32, 49243.000052766736, 0.0, 0.0
1, 75000, 104750.3262558476, 0.0, 246229080, 246229080, 4998.163, 49263.9155625777, 0.0, 0.0
1, 80000, 104730.9853050234, 0.0, 268938811, 268938811, 5457.276, 49280.77872550335, 0.0, 0.0
1, 85000, 104979.06794122008, 0.0, 292045913, 292045913, 5924.698, 49292.96193662529, 0.0, 0.0
1, 90000, 111237.94827176488, 0.0, 315595939, 315595939, 6401.186, 49302.72905677167, 0.0, 0.0
1, 95000, 116463.71979308706, 0.0, 339615399, 339615399, 6887.651, 49307.86983835273, 0.0, 0.0
1, 100000, 109005.64687917236, 0.0, 364058798, 364058798, 7382.954, 49310.72278115237, 0.0, 0.0
1, 105000, 119116.5185875167, 0.0, 388703940, 388703940, 7882.57, 49311.82850263303, 0.0, 0.0
1, 110000, 112960.08207435007, 0.0, 413578868, 413578868, 8386.715, 49313.57128506215, 0.0, 0.0
1, 115000, 131955.9523282974, 0.0, 438694274, 438694274, 8895.587, 49315.944411537996, 0.0, 0.0
1, 120000, 120995.6318093132, 0.0, 464306370, 464306370, 9414.922, 49316.00814111896, 0.0, 0.0
1, 125000, 120416.28652723726, 0.0, 490242233, 490242233, 9940.585, 49317.24169151011, 0.0, 0.0
1, 130000, 121846.60914610895, 0.0, 515957451, 515957451, 10462.257, 49316.07501134794, 0.0, 0.0
1, 135000, 123776.98643658444, 0.0, 542313781, 542313781, 10996.669, 49316.18665615924, 0.0, 0.0
1, 140000, 131374.45194574635, 0.0, 568790483, 568790483, 11533.414, 49316.74896955923, 0.0, 0.0
1, 145000, 124751.28980778297, 0.0, 595620278, 595620278, 12077.611, 49316.06739114217, 0.0, 0.0
1, 150000, 125385.90115923113, 0.0, 622679058, 622679058, 12626.588, 49314.910568080624, 0.0, 0.0
1, 155000, 130811.49560463692, 0.0, 650181538, 650181538, 13184.874, 49312.684975222364, 0.0, 0.0
1, 160000, 127953.77398241856, 0.0, 677986158, 677986158, 13749.619, 49309.45053822946, 0.0, 0.0
1, 165000, 127615.17509592968, 0.0, 705542612, 705542612, 14309.486, 49305.93677508752, 0.0, 0.0
1, 170000, 133125.14870038372, 0.0, 733646690, 733646690, 14881.437, 49299.45206232436, 0.0, 0.0
1, 175000, 135765.89259480155, 0.0, 761861380, 761861380, 15455.196, 49294.837800827634, 0.0, 0.0
1, 180000, 133695.8635703792, 0.0, 790212960, 790212960, 16031.674, 49290.73283301544, 0.0, 0.0
1, 185000, 137279.26345428152, 0.0, 818798185, 818798185, 16612.704, 49287.4721056849, 0.0, 0.0
1, 190000, 136576.60505381713, 0.0, 847189188, 847189188, 17189.75, 49284.5555054611, 0.0, 0.0
1, 195000, 137423.07442021524, 0.0, 876135549, 876135549, 17778.701, 49280.065455850796, 0.0, 0.0
1, 200000, 136961.11629768086, 0.0, 905100575, 905100575, 18367.786, 49276.52004438641, 0.0, 0.0
2, 5000, 34128.672, 0.0, 6358651, 6358651, 130.652, 48668.60821112574, 0.0, 0.0
2, 10000, 44623.378688000004, 0.0, 16319941, 16319941, 333.785, 48893.57220965591, 0.0, 0.0
2, 15000, 53478.061514752, 0.0, 28371704, 28371704, 579.051, 48996.900100336585, 0.0, 0.0
2, 20000, 58105.14424605901, 0.0, 41823904, 41823904, 852.416, 49065.13251745626, 0.0, 0.0
2, 25000, 67983.01257698423, 0.0, 56719437, 56719437, 1155.148, 49101.445875333724, 0.0, 0.0
2, 30000, 69901.51605030792, 0.0, 72818208, 72818208, 1481.999, 49135.126272015026, 0.0, 0.0
2, 35000, 79949.47806420123, 0.0, 90035872, 90035872, 1831.093, 49170.562063204874, 0.0, 0.0
2, 40000, 81882.4859122568, 0.0, 108010333, 108010333, 2195.278, 49201.20959623338, 0.0, 0.0
2, 45000, 82090.28194364902, 0.0, 126798422, 126798422, 2575.507, 49232.41210371395, 0.0, 0.0
2, 50000, 99067.1451277746, 0.0, 146490748, 146490748, 2973.964, 49257.7408468966, 0.0, 0.0
2, 55000, 93227.7565805111, 0.0, 167023057, 167023057, 3389.467, 49277.086043321855, 0.0, 0.0
2, 60000, 110880.51102632204, 0.0, 188236913, 188236913, 3818.821, 49291.89218347757, 0.0, 0.0
2, 65000, 103816.69004410529, 0.0, 210588861, 210588861, 4270.928, 49307.518412860154, 0.0, 0.0
2, 70000, 104647.58676017642, 0.0, 233342930, 233342930, 4731.199, 49320.04128340406, 0.0, 0.0
2, 75000, 112037.0223470407, 0.0, 256517093, 256517093, 5200.059, 49329.65049050405, 0.0, 0.0
2, 80000, 113839.33208938816, 0.0, 280365373, 280365373, 5682.363, 49339.574574873164, 0.0, 0.0
2, 85000, 107692.14132835755, 0.0, 304537532, 304537532, 6171.501, 49345.78022429227, 0.0, 0.0
2, 90000, 112978.00056531343, 0.0, 329145190, 329145190, 6669.362, 49351.82555692733, 0.0, 0.0
2, 95000, 113058.42400226125, 0.0, 353994178, 353994178, 7172.909, 49351.55011725368, 0.0, 0.0
2, 100000, 121533.80169600905, 0.0, 379251006, 379251006, 7660.201, 49509.276062077224, 0.0, 0.0
2, 105000, 121292.71120678404, 0.0, 404736233, 404736233, 8148.841, 49667.95069384714, 0.0, 0.0
