controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:1.0->1.0, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 47050.32, 0.0, 0.0, 16763107, 16763107
0, 20000, 64948.44640000001, 0.0, 0.0, 42401778, 42401778
0, 30000, 78172.248928, 0.0, 0.0, 73057771, 73057771
0, 40000, 81732.96497856, 0.0, 0.0, 107842032, 107842032
0, 50000, 91082.4192995712, 0.0, 0.0, 145403334, 145403334
0, 60000, 93538.84838599141, 0.0, 0.0, 185790169, 185790169
0, 70000, 113760.29696771983, 0.0, 0.0, 228900693, 228900693
0, 80000, 90693.3659393544, 0.0, 0.0, 274723925, 274723925
0, 90000, 114560.02731878709, 0.0, 0.0, 322376552, 322376552
0, 100000, 129354.32054637573, 0.0, 0.0, 371435109, 371435109
