TDNTuple3Agt: USESYM:true, P:15, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:true, learnFromRM: false
TDNTuple3Agt: alpha_init->final:1.0->1.0, epsilon_init->final:0.0->0.0, gamma: 1.0, fixed n-tuple, mode=2, evalQ: 0, evalT: -1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 5000, 31973.328, 0.0, 6049564, 6054564, 109.827, 55082.66637529933, 0.0, 0.0
0, 10000, 43660.101312, 0.0, 15722634, 15732634, 276.945, 56771.683908357256, 0.0, 0.0
0, 15000, 50135.488405248005, 0.0, 27330250, 27345250, 477.397, 57248.474540057854, 0.0, 0.0
0, 20000, 58411.16595362099, 0.0, 40106365, 40126365, 698.319, 57432.72773617788, 0.0, 0.0
0, 25000, 63887.036663814484, 0.0, 54185619, 54210619, 941.92, 57526.77403601156, 0.0, 0.0
0, 30000, 65896.71614665526, 0.0, 68970408, 69000408, 1197.692, 57586.097260397495, 0.0, 0.0
0, 35000, 70058.05086458662, 0.0, 84470738, 84505738, 1466.113, 57615.434826647055, 0.0, 0.0
0, 40000, 76712.10420345834, 0.0, 100822864, 100862864, 1752.877, 57518.50472109566, 0.0, 0.0
0, 45000, 77649.88841681383, 0.0, 118062189, 118107189, 2055.52, 57436.65301237643, 0.0, 0.0
0, 50000, 80148.29555366725, 0.0, 135857092, 135907092, 2364.77, 57450.44634361904, 0.0, 0.0
0, 55000, 83684.01718221468, 0.0, 154121828, 154176828, 2681.675, 57472.22463572207, 0.0, 0.0
0, 60000, 88472.40006872886, 0.0, 172969868, 173029868, 3008.432, 57495.02332111878, 0.0, 0.0
0, 65000, 90402.59360027492, 0.0, 192435053, 192500053, 3346.234, 57507.94863718437, 0.0, 0.0
0, 70000, 89720.44237440109, 0.0, 212485477, 212555477, 3694.552, 57513.191585881046, 0.0, 0.0
0, 75000, 96673.0737694976, 0.0, 233082152, 233157152, 4055.555, 57472.31932497525, 0.0, 0.0
0, 80000, 104530.628295078, 0.0, 254194003, 254274003, 4422.017, 57483.7236039572, 0.0, 0.0
0, 85000, 105835.06651318031, 0.0, 275555729, 275640729, 4793.037, 57490.841193172506, 0.0, 0.0
0, 90000, 102087.00426605273, 0.0, 297181648, 297271648, 5168.695, 57496.4566491155, 0.0, 0.0
0, 95000, 101726.36401706422, 0.0, 319348059, 319443059, 5553.986, 57498.89520787413, 0.0, 0.0
0, 100000, 108028.44145606825, 0.0, 341696200, 341796200, 5942.247, 57502.86044992744, 0.0, 0.0
0, 105000, 105399.48976582427, 0.0, 364275198, 364380198, 6340.143, 57455.35991853812, 0.0, 0.0
0, 110000, 105915.5339590633, 0.0, 387247075, 387357075, 6739.697, 57457.638674260874, 0.0, 0.0
0, 115000, 109219.23013583625, 0.0, 410450300, 410565300, 7142.822, 57463.32471955762, 0.0, 0.0
0, 120000, 113943.82092054334, 0.0, 434019844, 434139844, 7552.978, 57463.40635442073, 0.0, 0.0
0, 125000, 111839.80728368217, 0.0, 457536585, 457661585, 7963.862, 57451.59634860574, 0.0, 0.0
0, 130000, 112116.47922913474, 0.0, 481656316, 481786316, 8385.646, 57438.18854265968, 0.0, 0.0
0, 135000, 111132.75391691654, 0.0, 506035373, 506170373, 8811.717, 57427.556173218, 0.0, 0.0
0, 140000, 111071.93901566767, 0.0, 530496347, 530636347, 9239.267, 57417.57944650804, 0.0, 0.0
0, 145000, 119265.10375606267, 0.0, 554952970, 555097970, 9667.162, 57405.98636911226, 0.0, 0.0
0, 150000, 113427.34841502424, 0.0, 579527469, 579677469, 10097.404, 57393.7092147645, 0.0, 0.0
0, 155000, 119648.4613936601, 0.0, 604502808, 604657808, 10544.614, 57328.11158379055, 0.0, 0.0
0, 160000, 112880.44984557465, 0.0, 629655619, 629815619, 10985.123, 57318.94117161911, 0.0, 0.0
0, 165000, 120379.8897993823, 0.0, 654991227, 655156227, 11429.3, 57308.07897246551, 0.0, 0.0
0, 170000, 123508.07955919753, 0.0, 680367505, 680537505, 11874.381, 57297.09237054126, 0.0, 0.0
0, 175000, 114581.1523182368, 0.0, 705781643, 705956643, 12320.387, 57285.67154586946, 0.0, 0.0
0, 180000, 127289.17260927295, 0.0, 731274231, 731454231, 12768.418, 57272.10927775078, 0.0, 0.0
0, 185000, 124297.4126904371, 0.0, 756890628, 757075628, 13218.159, 57261.42558884335, 0.0, 0.0
0, 190000, 122389.39765076175, 0.0, 782424217, 782614217, 13666.583, 57250.90295064977, 0.0, 0.0
0, 195000, 121618.30959060305, 0.0, 808435649, 808630649, 14123.254, 57241.45788215662, 0.0, 0.0
0, 200000, 126015.28923836241, 0.0, 834393021, 834593021, 14579.101, 57232.131185592305, 0.0, 0.0
1, 5000, 31492.48, 0.0, 6179214, 6184214, 106.881, 57813.96132146967, 0.0, 0.0
1, 10000, 40957.937920000004, 0.0, 15644322, 15654322, 269.792, 57986.60449531492, 0.0, 0.0
1, 15000, 46261.78375168, 0.0, 26869474, 26884474, 462.483, 58098.295504915855, 0.0, 0.0
1, 20000, 56713.52713500672, 0.0, 39294130, 39314130, 675.589, 58162.773520587216, 0.0, 0.0
1, 25000, 58896.74210854003, 0.0, 52957069, 52982069, 909.908, 58200.465321768796, 0.0, 0.0
1, 30000, 68700.83496843415, 0.0, 67580294, 67610294, 1160.886, 58214.41037276701, 0.0, 0.0
1, 35000, 65215.73133987374, 0.0, 83125689, 83160689, 1427.752, 58221.37808246811, 0.0, 0.0
1, 40000, 73108.49492535948, 0.0, 99508306, 99548306, 1708.577, 58240.45740987968, 0.0, 0.0
1, 45000, 78452.89797970143, 0.0, 116329451, 116374451, 1996.555, 58265.087112551366, 0.0, 0.0
1, 50000, 83094.7235919188, 0.0, 133672149, 133722149, 2293.212, 58290.35823988362, 0.0, 0.0
1, 55000, 84815.73889436768, 0.0, 151952836, 152007836, 2605.906, 58310.942911985316, 0.0, 0.0
1, 60000, 88890.03095557746, 0.0, 170514806, 170574806, 2922.543, 58344.66969348269, 0.0, 0.0
1, 65000, 89112.6801238223, 0.0, 189891028, 189956028, 3252.462, 58383.780656007664, 0.0, 0.0
1, 70000, 93294.29072049528, 0.0, 209823536, 209893536, 3591.757, 58418.07672401, 0.0, 0.0
1, 75000, 95290.24916288198, 0.0, 230010467, 230085467, 3935.713, 58441.8800354599, 0.0, 0.0
1, 80000, 100346.15299665154, 0.0, 250982504, 251062504, 4292.788, 58466.08404607915, 0.0, 0.0
1, 85000, 101856.13661198661, 0.0, 272269962, 272354962, 4655.37, 58485.13909742942, 0.0, 0.0
1, 90000, 100674.94454644795, 0.0, 294096516, 294186516, 5027.091, 58502.325897820425, 0.0, 0.0
1, 95000, 101145.83577818578, 0.0, 316260678, 316355678, 5404.34, 58519.75967463187, 0.0, 0.0
1, 100000, 103927.22334311274, 0.0, 338979364, 339079364, 5791.085, 58534.689786110896, 0.0, 0.0
1, 105000, 105161.62889337244, 0.0, 361494566, 361599566, 6174.607, 58545.35616598757, 0.0, 0.0
1, 110000, 108615.54251557348, 0.0, 384367729, 384477729, 6564.118, 58555.88351702391, 0.0, 0.0
1, 115000, 107659.2141700623, 0.0, 407778184, 407893184, 6962.803, 58565.2335704457, 0.0, 0.0
1, 120000, 112257.26085668024, 0.0, 431376029, 431496029, 7364.776, 58572.86480946603, 0.0, 0.0
1, 125000, 111354.59704342672, 0.0, 455264143, 455389143, 7772.074, 58576.918207418, 0.0, 0.0
1, 130000, 114162.1063881737, 0.0, 479319605, 479449605, 8182.01, 58582.13385219524, 0.0, 0.0
1, 135000, 106334.3604255527, 0.0, 503418098, 503553098, 8592.632, 58587.18236740501, 0.0, 0.0
1, 140000, 114348.12144170221, 0.0, 527862285, 528002285, 9009.317, 58590.71059437691, 0.0, 0.0
1, 145000, 112431.0564857668, 0.0, 552404561, 552549561, 9427.873, 58592.70282915352, 0.0, 0.0
1, 150000, 119872.68422594306, 0.0, 577083151, 577233151, 9848.703, 58594.83741158608, 0.0, 0.0
1, 155000, 121117.85873690377, 0.0, 602086828, 602241828, 10275.162, 58596.33434489889, 0.0, 0.0
1, 160000, 117477.9434349476, 0.0, 627263247, 627423247, 10704.86, 58596.118678805695, 0.0, 0.0
1, 165000, 119730.18377373979, 0.0, 652678839, 652843839, 11138.98, 58594.12971385172, 0.0, 0.0
1, 170000, 118938.71273509496, 0.0, 677831016, 678001016, 11568.581, 58592.40783290535, 0.0, 0.0
1, 175000, 119886.84285094037, 0.0, 703377654, 703552654, 12004.953, 58590.621221090994, 0.0, 0.0
1, 180000, 115954.63537140375, 0.0, 728910579, 729090579, 12441.135, 58588.75247314654, 0.0, 0.0
1, 185000, 119022.45854148561, 0.0, 754844140, 755029140, 12884.002, 58587.70745301033, 0.0, 0.0
1, 190000, 116197.11383416594, 0.0, 780858380, 781048380, 13328.317, 58586.420175930696, 0.0, 0.0
1, 195000, 126523.49245533666, 0.0, 806493452, 806688452, 13766.663, 58583.07507055268, 0.0, 0.0
1, 200000, 126958.63796982134, 0.0, 832445491, 832645491, 14211.005, 58577.52432006041, 0.0, 0.0
2, 5000, 31828.288, 0.0, 6234900, 6239900, 107.184, 58170.06269592477, 0.0, 0.0
2, 10000, 45832.033151999996, 0.0, 15870344, 15880344, 271.708, 58409.557318886444, 0.0, 0.0
2, 15000, 49641.760132608, 0.0, 27355612, 27370612, 467.305, 58539.09545157873, 0.0, 0.0
2, 20000, 54101.095040530425, 0.0, 40150070, 40170070, 684.746, 58634.98289876831, 0.0, 0.0
2, 25000, 63340.11638016212, 0.0, 54159006, 54184006, 922.987, 58677.97271250841, 0.0, 0.0
2, 30000, 67606.16046552065, 0.0, 69262603, 69292603, 1179.633, 58715.382665625664, 0.0, 0.0
2, 35000, 73492.23264186208, 0.0, 85286205, 85321205, 1452.146, 58731.150311332334, 0.0, 0.0
2, 40000, 77603.82493056744, 0.0, 102324755, 102364755, 1741.824, 58745.74870939888, 0.0, 0.0
2, 45000, 82156.35129972227, 0.0, 119922539, 119967539, 2040.881, 58760.18199983242, 0.0, 0.0
2, 50000, 80927.68140519889, 0.0, 138197680, 138247680, 2351.428, 58771.810151108184, 0.0, 0.0
2, 55000, 84155.0547256208, 0.0, 156855278, 156910278, 2668.381, 58782.93916798239, 0.0, 0.0
2, 60000, 88643.59621890249, 0.0, 176174192, 176234192, 2996.99, 58783.71032269044, 0.0, 0.0
2, 65000, 86737.7743848756, 0.0, 196000067, 196065067, 3334.255, 58783.766388593554, 0.0, 0.0
2, 70000, 97540.6630975395, 0.0, 216490132, 216560132, 3682.85, 58783.31509564604, 0.0, 0.0
2, 75000, 98696.33865239016, 0.0, 237448107, 237523107, 4039.219, 58785.64816614301, 0.0, 0.0
2, 80000, 100033.31335460956, 0.0, 259000172, 259080172, 4405.665, 58787.98592267002, 0.0, 0.0
2, 85000, 100745.38125341844, 0.0, 280839734, 280924734, 4777.113, 58788.5892588264, 0.0, 0.0
2, 90000, 102189.23752501367, 0.0, 302888225, 302978225, 5152.35, 58786.42270032121, 0.0, 0.0
2, 95000, 106909.58895010006, 0.0, 325504865, 325599865, 5536.955, 58787.7028077707, 0.0, 0.0
2, 100000, 107408.96635580041, 0.0, 348170067, 348270067, 5922.719, 58785.511688128376, 0.0, 0.0
2, 105000, 103814.45186542321, 0.0, 371401044, 371506044, 6317.812, 58786.339954401934, 0.0, 0.0
2, 110000, 105443.38580746169, 0.0, 394635733, 394745733, 6713.157, 58785.41690593561, 0.0, 0.0
2, 115000, 108912.33354322985, 0.0, 418131231, 418246231, 7113.142, 58782.91632586556, 0.0, 0.0
2, 120000, 109617.58533417292, 0.0, 442033103, 442153103, 7520.193, 58779.48917002529, 0.0, 0.0
2, 125000, 118405.2223413367, 0.0, 466063279, 466188279, 7929.583, 58775.257034323244, 0.0, 0.0
2, 130000, 115201.81288936535, 0.0, 490369578, 490499578, 8343.798, 58770.547657074145, 0.0, 0.0
2, 135000, 114844.19925155747, 0.0, 514748863, 514883863, 8759.273, 58766.162785427514, 0.0, 0.0
2, 140000, 119336.92879700623, 0.0, 539453208, 539593208, 9180.865, 58758.42940725084, 0.0, 0.0
2, 145000, 119608.37171518803, 0.0, 564179522, 564324522, 9602.652, 58752.46983854043, 0.0, 0.0
2, 150000, 111502.16148686076, 0.0, 589225906, 589375906, 10030.002, 58746.339831238314, 0.0, 0.0
2, 155000, 115244.26464594743, 0.0, 614066086, 614221086, 10454.286, 58738.213781409846, 0.0, 0.0
2, 160000, 119379.2010585838, 0.0, 639163353, 639323353, 10883.065, 58730.08688269343, 0.0, 0.0
2, 165000, 118070.94080423433, 0.0, 664375960, 664540960, 11313.946, 58721.860613441146, 0.0, 0.0
2, 170000, 114592.33176321695, 0.0, 689932888, 690102888, 11750.809, 58713.65009847408, 0.0, 0.0
2, 175000, 121474.19332705287, 0.0, 715292591, 715467591, 12184.334, 58705.924427219405, 0.0, 0.0
2, 180000, 116101.41677330821, 0.0, 740694533, 740874533, 12618.89, 58697.28106037853, 0.0, 0.0
2, 185000, 116616.35766709324, 0.0, 766226583, 766411583, 13055.43, 58690.26014462947, 0.0, 0.0
2, 190000, 118407.95343066836, 0.0, 792028799, 792218799, 13499.09, 58672.754904219466, 0.0, 0.0
2, 195000, 121493.66381372267, 0.0, 817740303, 817935303, 13939.154, 58664.988061685806, 0.0, 0.0
2, 200000, 125531.6386552549, 0.0, 843724658, 843924658, 14384.1, 58656.756974715136, 0.0, 0.0
3, 5000, 31971.856, 0.0, 5988190, 5993190, 103.444, 57888.22938014771, 0.0, 0.0
3, 10000, 40994.415424, 0.0, 15499223, 15509223, 266.699, 58115.03980142408, 0.0, 0.0
3, 15000, 48290.969661696, 0.0, 26875917, 26890917, 461.327, 58257.84530278956, 0.0, 0.0
3, 20000, 55660.17187864678, 0.0, 39404131, 39424131, 675.448, 58337.77137544267, 0.0, 0.0
3, 25000, 63061.968687514585, 0.0, 53218058, 53243058, 911.426, 58389.88354512599, 0.0, 0.0
3, 30000, 68326.21587475007, 0.0, 67926183, 67956183, 1162.796, 58416.25100189543, 0.0, 0.0
3, 35000, 70761.624863499, 0.0, 83708265, 83743265, 1432.384, 58439.82130490148, 0.0, 0.0
3, 40000, 75906.67849945399, 0.0, 100448619, 100488619, 1718.42, 58454.056051489155, 0.0, 0.0
3, 45000, 80675.54671399781, 0.0, 117829993, 117874993, 2015.201, 58470.59077481601, 0.0, 0.0
3, 50000, 88588.23818685599, 0.0, 136005947, 136055947, 2325.514, 58484.25208362538, 0.0, 0.0
3, 55000, 81232.09695274742, 0.0, 154720649, 154775649, 2644.978, 58496.00601592905, 0.0, 0.0
3, 60000, 86887.16838781099, 0.0, 173893984, 173953984, 2972.249, 58505.86004066282, 0.0, 0.0
3, 65000, 89021.98067355124, 0.0, 193650421, 193715421, 3309.721, 58509.59068755342, 0.0, 0.0
3, 70000, 93832.83992269421, 0.0, 213976702, 214046702, 3656.857, 58513.82813164419, 0.0, 0.0
3, 75000, 97850.49935969079, 0.0, 235020829, 235095829, 4016.727, 58510.530837669576, 0.0, 0.0
3, 80000, 97838.02599743876, 0.0, 256401210, 256481210, 4382.084, 58511.2494420463, 0.0, 0.0
3, 85000, 105139.99210398975, 0.0, 278008445, 278093445, 4751.496, 58509.66621880772, 0.0, 0.0
3, 90000, 102453.39196841596, 0.0, 299896929, 299986929, 5125.758, 58507.82050186529, 0.0, 0.0
3, 95000, 101646.90156787366, 0.0, 322379073, 322474073, 5510.14, 58506.51217573419, 0.0, 0.0
3, 100000, 98511.88360627148, 0.0, 345164452, 345264452, 5899.65, 58505.9201817057, 0.0, 0.0
3, 105000, 106067.18353442509, 0.0, 367963416, 368068416, 6289.602, 58503.44997982385, 0.0, 0.0
3, 110000, 109479.8687341377, 0.0, 391027605, 391137605, 6684.267, 58499.698620656534, 0.0, 0.0
3, 115000, 105639.77547493654, 0.0, 414201221, 414316221, 7080.649, 58497.6350331728, 0.0, 0.0
3, 120000, 110504.89510189975, 0.0, 437994376, 438114376, 7487.698, 58495.19785653748, 0.0, 0.0
3, 125000, 113359.41158040758, 0.0, 461904469, 462029469, 7896.901, 58491.86522662498, 0.0, 0.0
3, 130000, 114499.05364632163, 0.0, 485901743, 486031743, 8307.786, 58487.513159342336, 0.0, 0.0
3, 135000, 113740.0922145853, 0.0, 510015548, 510150548, 8720.659, 58483.60175532606, 0.0, 0.0
3, 140000, 117152.17636885833, 0.0, 534486243, 534626243, 9139.837, 58478.75000396615, 0.0, 0.0
3, 145000, 116127.64870547544, 0.0, 559363297, 559508297, 9566.091, 58473.54964530444, 0.0, 0.0
3, 150000, 117262.1585948219, 0.0, 584341124, 584491124, 9994.388, 58466.92403776999, 0.0, 0.0
3, 155000, 119399.6566343793, 0.0, 609158032, 609313032, 10420.398, 58458.23086603794, 0.0, 0.0
3, 160000, 121905.51862653752, 0.0, 634286309, 634446309, 10851.941, 58449.11145388645, 0.0, 0.0
3, 165000, 117664.64607450615, 0.0, 659362348, 659527348, 11282.764, 58439.78904459936, 0.0, 0.0
3, 170000, 114698.97858429803, 0.0, 684886735, 685056735, 11721.206, 58431.42207380367, 0.0, 0.0
3, 175000, 125648.66791433719, 0.0, 710214538, 710389538, 12156.675, 58421.77552661399, 0.0, 0.0
3, 180000, 120563.81067165735, 0.0, 735873756, 736053756, 12597.956, 58412.15479717503, 0.0, 0.0
3, 185000, 125615.71124268662, 0.0, 761502805, 761687805, 13038.637, 58403.55897629484, 0.0, 0.0
3, 190000, 126972.01484497075, 0.0, 787428054, 787618054, 13484.446, 58395.28401834232, 0.0, 0.0
3, 195000, 124577.84005937987, 0.0, 813160190, 813355190, 13927.264, 58386.21210885354, 0.0, 0.0
3, 200000, 127107.67136023752, 0.0, 839394221, 839594221, 14378.515, 58378.36668112111, 0.0, 0.0
4, 5000, 32696.56, 0.0, 6239219, 6244219, 107.451, 58065.71367413984, 0.0, 0.0
4, 10000, 45155.13824, 0.0, 15973774, 15983774, 274.751, 58139.093215311324, 0.0, 0.0
4, 15000, 50387.90055296, 0.0, 27736313, 27751313, 476.412, 58219.173740375976, 0.0, 0.0
4, 20000, 57718.62360221184, 0.0, 40870297, 40890297, 701.145, 58290.79149106105, 0.0, 0.0
4, 25000, 65303.050494408846, 0.0, 55115276, 55140276, 944.638, 58345.39368520004, 0.0, 0.0
4, 30000, 65542.12420197764, 0.0, 70256344, 70286344, 1203.501, 58376.63948762818, 0.0, 0.0
4, 35000, 70114.7604968079, 0.0, 86187528, 86222528, 1475.894, 58396.82795647926, 0.0, 0.0
4, 40000, 72557.62704198725, 0.0, 102760239, 102800239, 1759.306, 58409.531372029654, 0.0, 0.0
4, 45000, 82192.43850816795, 0.0, 120279744, 120324744, 2059.04, 58415.44797575569, 0.0, 0.0
