controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 2000, 11795.36, 0.0, 0.0, 1097557, 1097557
0, 4000, 15274.1472, 0.0, 0.0, 2595472, 2595472
0, 6000, 15829.562944, 0.0, 0.0, 4301905, 4301905
0, 8000, 14761.15125888, 0.0, 0.0, 6127791, 6127791
0, 10000, 17886.6630251776, 0.0, 0.0, 8062331, 8062331
0, 12000, 18160.21326050355, 0.0, 0.0, 10080456, 10080456
0, 14000, 19786.16426521007, 0.0, 0.0, 12165550, 12165550
0, 16000, 18340.5232853042, 0.0, 0.0, 14289220, 14289220
0, 18000, 21276.490465706083, 0.0, 0.0, 16432902, 16432902
0, 20000, 21467.529809314125, 0.0, 0.0, 18648955, 18648955
0, 22000, 20222.150596186282, 0.0, 0.0, 20912750, 20912750
0, 24000, 22214.603011923726, 0.0, 0.0, 23205552, 23205552
0, 26000, 24099.652060238477, 0.0, 0.0, 25585588, 25585588
0, 28000, 24566.15304120477, 0.0, 0.0, 27985385, 27985385
0, 30000, 21909.1630608241, 0.0, 0.0, 30420052, 30420052
0, 32000, 26459.783261216482, 0.0, 0.0, 32883605, 32883605
0, 34000, 23873.51566522433, 0.0, 0.0, 35424183, 35424183
0, 36000, 23698.110313304485, 0.0, 0.0, 37986345, 37986345
0, 38000, 22263.88220626609, 0.0, 0.0, 40595689, 40595689
0, 40000, 27952.15764412532, 0.0, 0.0, 43170563, 43170563
0, 42000, 23631.603152882504, 0.0, 0.0, 45846611, 45846611
0, 44000, 22937.27206305765, 0.0, 0.0, 48553531, 48553531
0, 46000, 23952.90544126115, 0.0, 0.0, 51233245, 51233245
0, 48000, 22933.138108825224, 0.0, 0.0, 53966218, 53966218
0, 50000, 28500.982762176507, 0.0, 0.0, 56694761, 56694761
0, 52000, 28320.97965524353, 0.0, 0.0, 59465518, 59465518
0, 54000, 26028.25959310487, 0.0, 0.0, 62253331, 62253331
0, 56000, 26866.0051918621, 0.0, 0.0, 65101420, 65101420
0, 58000, 24420.520103837243, 0.0, 0.0, 67909913, 67909913
0, 60000, 24101.290402076746, 0.0, 0.0, 70798235, 70798235
0, 62000, 26001.145808041532, 0.0, 0.0, 73711909, 73711909
0, 64000, 28604.02291616083, 0.0, 0.0, 76609552, 76609552
0, 66000, 29028.720458323216, 0.0, 0.0, 79555519, 79555519
0, 68000, 28376.094409166464, 0.0, 0.0, 82518223, 82518223
0, 70000, 31214.88188818333, 0.0, 0.0, 85545918, 85545918
0, 72000, 28810.537637763668, 0.0, 0.0, 88579675, 88579675
0, 74000, 27035.650752755275, 0.0, 0.0, 91595300, 91595300
0, 76000, 30646.793015055107, 0.0, 0.0, 94630960, 94630960
0, 78000, 29307.7358603011, 0.0, 0.0, 97682524, 97682524
0, 80000, 29561.834717206024, 0.0, 0.0, 100754841, 100754841
0, 82000, 29985.63669434412, 0.0, 0.0, 103839892, 103839892
0, 84000, 29900.352733886884, 0.0, 0.0, 106965576, 106965576
0, 86000, 31342.247054677737, 0.0, 0.0, 110067377, 110067377
0, 88000, 29587.244941093555, 0.0, 0.0, 113228403, 113228403
0, 90000, 30486.46489882187, 0.0, 0.0, 116419238, 116419238
0, 92000, 32289.40929797644, 0.0, 0.0, 119601557, 119601557
0, 94000, 31671.068185959528, 0.0, 0.0, 122810210, 122810210
0, 96000, 31085.501363719188, 0.0, 0.0, 126031135, 126031135
0, 98000, 33425.31002727438, 0.0, 0.0, 129265309, 129265309
0, 100000, 27778.826200545485, 0.0, 0.0, 132529087, 132529087
