controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 2000, 14756.88, 0.0, 0.0, 1271947, 1271947
0, 4000, 17158.2576, 0.0, 0.0, 3088973, 3088973
0, 6000, 24384.525152000002, 0.0, 0.0, 5411489, 5411489
0, 8000, 28139.610503040003, 0.0, 0.0, 8103900, 8103900
0, 10000, 29129.992210060802, 0.0, 0.0, 11026205, 11026205
0, 12000, 27853.799844201218, 0.0, 0.0, 14189152, 14189152
0, 14000, 35520.11599688402, 0.0, 0.0, 17591212, 17591212
0, 16000, 33003.36231993768, 0.0, 0.0, 21219761, 21219761
0, 18000, 38455.587246398754, 0.0, 0.0, 25010387, 25010387
0, 20000, 35167.11174492798, 0.0, 0.0, 28983481, 28983481
0, 22000, 48476.70223489856, 0.0, 0.0, 33069312, 33069312
0, 24000, 40646.33404469797, 0.0, 0.0, 37296585, 37296585
0, 26000, 48304.526680893956, 0.0, 0.0, 41655872, 41655872
0, 28000, 50678.41053361788, 0.0, 0.0, 46096455, 46096455
0, 30000, 42629.24821067236, 0.0, 0.0, 50708883, 50708883
0, 32000, 59866.82496421345, 0.0, 0.0, 55373836, 55373836
0, 34000, 49684.61649928426, 0.0, 0.0, 60147855, 60147855
0, 36000, 53396.09232998569, 0.0, 0.0, 65097011, 65097011
0, 38000, 52350.40184659971, 0.0, 0.0, 70155381, 70155381
0, 40000, 50952.528036931995, 0.0, 0.0, 75265317, 75265317
0, 42000, 47795.69056073864, 0.0, 0.0, 80443993, 80443993
0, 44000, 58395.67381121477, 0.0, 0.0, 85696365, 85696365
0, 46000, 62262.8734762243, 0.0, 0.0, 91040051, 91040051
0, 48000, 61367.09746952448, 0.0, 0.0, 96397886, 96397886
0, 50000, 55325.34194939049, 0.0, 0.0, 101830678, 101830678
0, 52000, 64700.82683898781, 0.0, 0.0, 107372747, 107372747
0, 54000, 60413.29653677976, 0.0, 0.0, 113114061, 113114061
0, 56000, 59801.4659307356, 0.0, 0.0, 118801169, 118801169
0, 58000, 61094.34931861472, 0.0, 0.0, 124561769, 124561769
0, 60000, 70586.44698637229, 0.0, 0.0, 130440402, 130440402
0, 62000, 72196.92893972746, 0.0, 0.0, 136322997, 136322997
0, 64000, 62595.93857879455, 0.0, 0.0, 142262079, 142262079
0, 66000, 66901.19877157589, 0.0, 0.0, 148278430, 148278430
0, 68000, 59031.62397543152, 0.0, 0.0, 154357532, 154357532
0, 70000, 65622.95247950863, 0.0, 0.0, 160440307, 160440307
0, 72000, 65200.45904959017, 0.0, 0.0, 166672070, 166672070
0, 74000, 72288.8891809918, 0.0, 0.0, 172885069, 172885069
0, 76000, 74228.97778361983, 0.0, 0.0, 179136929, 179136929
0, 78000, 76811.37955567239, 0.0, 0.0, 185472210, 185472210
0, 80000, 77411.82759111346, 0.0, 0.0, 191751056, 191751056
0, 82000, 66824.87655182228, 0.0, 0.0, 198244037, 198244037
0, 84000, 83534.73753103644, 0.0, 0.0, 204755416, 204755416
0, 86000, 78699.97475062072, 0.0, 0.0, 211438651, 211438651
0, 88000, 64553.83949501241, 0.0, 0.0, 218081526, 218081526
0, 90000, 69937.95678990026, 0.0, 0.0, 224767783, 224767783
0, 92000, 75333.799135798, 0.0, 0.0, 231429691, 231429691
0, 94000, 69789.71598271596, 0.0, 0.0, 238254266, 238254266
0, 96000, 75935.71431965432, 0.0, 0.0, 245063697, 245063697
0, 98000, 81955.83428639309, 0.0, 0.0, 252068700, 252068700
0, 100000, 75455.43668572787, 0.0, 0.0, 259081101, 259081101
