controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 2000, 13213.04, 0.0, 0.0, 1260563, 1260563
0, 4000, 18986.7408, 0.0, 0.0, 3046911, 3046911
0, 6000, 21039.014816, 0.0, 0.0, 5359446, 5359446
0, 8000, 29014.380296320003, 0.0, 0.0, 7983226, 7983226
0, 10000, 30268.8476059264, 0.0, 0.0, 10864370, 10864370
0, 12000, 33098.17695211853, 0.0, 0.0, 13940441, 13940441
0, 14000, 34327.16353904237, 0.0, 0.0, 17220705, 17220705
0, 16000, 31728.783270780845, 0.0, 0.0, 20711096, 20711096
0, 18000, 32075.45566541562, 0.0, 0.0, 24359747, 24359747
0, 20000, 37581.349113308315, 0.0, 0.0, 28236528, 28236528
0, 22000, 41239.306982266164, 0.0, 0.0, 32224931, 32224931
0, 24000, 42328.46613964532, 0.0, 0.0, 36289174, 36289174
0, 26000, 40924.409322792904, 0.0, 0.0, 40528272, 40528272
0, 28000, 50326.168186455856, 0.0, 0.0, 44890796, 44890796
0, 30000, 46745.72336372912, 0.0, 0.0, 49459276, 49459276
0, 32000, 47968.43446727459, 0.0, 0.0, 54072201, 54072201
0, 34000, 49001.92868934549, 0.0, 0.0, 58864505, 58864505
0, 36000, 47372.998573786914, 0.0, 0.0, 63696455, 63696455
0, 38000, 50436.65997147574, 0.0, 0.0, 68568492, 68568492
0, 40000, 52809.85319942951, 0.0, 0.0, 73621416, 73621416
0, 42000, 62042.4370639886, 0.0, 0.0, 78793309, 78793309
0, 44000, 54199.48874127977, 0.0, 0.0, 83929038, 83929038
0, 46000, 62455.10977482559, 0.0, 0.0, 89202564, 89202564
0, 48000, 63041.10219549651, 0.0, 0.0, 94570381, 94570381
0, 50000, 60217.46204390993, 0.0, 0.0, 100067681, 100067681
0, 52000, 61227.0692408782, 0.0, 0.0, 105550333, 105550333
0, 54000, 60080.22138481757, 0.0, 0.0, 111193555, 111193555
0, 56000, 55686.56442769636, 0.0, 0.0, 116816068, 116816068
0, 58000, 69649.49128855392, 0.0, 0.0, 122454696, 122454696
0, 60000, 63372.50982577108, 0.0, 0.0, 128144631, 128144631
0, 62000, 68516.89019651542, 0.0, 0.0, 133969116, 133969116
0, 64000, 56614.577803930304, 0.0, 0.0, 139891815, 139891815
0, 66000, 63368.531556078604, 0.0, 0.0, 145878631, 145878631
0, 68000, 66040.09063112158, 0.0, 0.0, 151849769, 151849769
0, 70000, 72830.24181262244, 0.0, 0.0, 157866860, 157866860
0, 72000, 61026.52483625244, 0.0, 0.0, 163980182, 163980182
0, 74000, 72801.33049672504, 0.0, 0.0, 170133055, 170133055
0, 76000, 69409.8666099345, 0.0, 0.0, 176376290, 176376290
0, 78000, 70951.8773321987, 0.0, 0.0, 182724674, 182724674
0, 80000, 80566.63754664396, 0.0, 0.0, 189076351, 189076351
0, 82000, 73269.81275093288, 0.0, 0.0, 195561211, 195561211
0, 84000, 70579.95625501865, 0.0, 0.0, 201934960, 201934960
0, 86000, 82066.39912510038, 0.0, 0.0, 208469698, 208469698
0, 88000, 71672.127982502, 0.0, 0.0, 214995402, 214995402
0, 90000, 72492.08255965004, 0.0, 0.0, 221703184, 221703184
0, 92000, 80911.281651193, 0.0, 0.0, 228299039, 228299039
0, 94000, 72163.10563302386, 0.0, 0.0, 235038046, 235038046
0, 96000, 76355.90211266048, 0.0, 0.0, 241821319, 241821319
0, 98000, 76865.7580422532, 0.0, 0.0, 248623690, 248623690
0, 100000, 97847.23516084507, 0.0, 0.0, 255503154, 255503154
