controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 5000, 16416.8, 0.0, 0.0, 3786986, 3786986
0, 10000, 25277.856, 0.0, 0.0, 9950345, 9950345
0, 15000, 32382.677120000004, 0.0, 0.0, 17992826, 17992826
0, 20000, 40012.693542400004, 0.0, 0.0, 27342694, 27342694
0, 25000, 50960.493870848, 0.0, 0.0, 37991829, 37991829
0, 30000, 60691.68987741696, 0.0, 0.0, 49848792, 49848792
0, 35000, 58558.95379754834, 0.0, 0.0, 62438648, 62438648
0, 40000, 60657.97907595096, 0.0, 0.0, 75812709, 75812709
0, 45000, 59655.95958151902, 0.0, 0.0, 89686374, 89686374
0, 50000, 62546.23919163038, 0.0, 0.0, 103926827, 103926827
0, 55000, 61562.284783832605, 0.0, 0.0, 118470505, 118470505
0, 60000, 59867.80569567665, 0.0, 0.0, 133251067, 133251067
0, 65000, 62192.63611391353, 0.0, 0.0, 148294572, 148294572
0, 70000, 66790.41272227827, 0.0, 0.0, 163447941, 163447941
0, 75000, 65005.328254445565, 0.0, 0.0, 178810748, 178810748
0, 80000, 76954.34656508891, 0.0, 0.0, 194373427, 194373427
0, 85000, 67624.68693130178, 0.0, 0.0, 210101083, 210101083
0, 90000, 76302.65373862603, 0.0, 0.0, 225844788, 225844788
0, 95000, 73551.81307477252, 0.0, 0.0, 241799385, 241799385
0, 100000, 75338.07626149544, 0.0, 0.0, 257858048, 257858048
0, 105000, 77036.7615252299, 0.0, 0.0, 273947442, 273947442
0, 110000, 77576.4152305046, 0.0, 0.0, 290195011, 290195011
0, 115000, 68059.6883046101, 0.0, 0.0, 306595738, 306595738
0, 120000, 75581.5937660922, 0.0, 0.0, 322987543, 322987543
0, 125000, 81911.63187532185, 0.0, 0.0, 339548631, 339548631
0, 130000, 74935.03263750643, 0.0, 0.0, 356175798, 356175798
0, 135000, 80102.14065275014, 0.0, 0.0, 373039570, 373039570
0, 140000, 80095.722813055, 0.0, 0.0, 390015036, 390015036
0, 145000, 80853.7544562611, 0.0, 0.0, 407080801, 407080801
0, 150000, 73535.87508912523, 0.0, 0.0, 424540703, 424540703
0, 155000, 82733.1175017825, 0.0, 0.0, 442368368, 442368368
0, 160000, 90184.10235003564, 0.0, 0.0, 460860651, 460860651
0, 165000, 86756.16204700072, 0.0, 0.0, 480170815, 480170815
0, 170000, 88175.12324094001, 0.0, 0.0, 499803460, 499803460
0, 175000, 100861.9024648188, 0.0, 0.0, 520181834, 520181834
0, 180000, 100936.35804929637, 0.0, 0.0, 540597161, 540597161
0, 185000, 104051.76716098591, 0.0, 0.0, 561307400, 561307400
0, 190000, 101591.2753432197, 0.0, 0.0, 582134132, 582134132
0, 195000, 96273.4255068644, 0.0, 0.0, 603475293, 603475293
0, 200000, 102343.0685101373, 0.0, 0.0, 624814819, 624814819
