controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 31309.36, 0.0, 0.0, 11163607, 11163607
0, 20000, 38893.3872, 0.0, 0.0, 29095071, 29095071
0, 30000, 41284.827744, 0.0, 0.0, 51097610, 51097610
0, 40000, 53246.41655488, 0.0, 0.0, 75799797, 75799797
0, 50000, 54878.288331097596, 0.0, 0.0, 102841976, 102841976
0, 60000, 61358.52576662195, 0.0, 0.0, 131523945, 131523945
0, 70000, 69315.25051533243, 0.0, 0.0, 161551459, 161551459
0, 80000, 60559.185010306646, 0.0, 0.0, 193570939, 193570939
0, 90000, 79583.42370020613, 0.0, 0.0, 226849980, 226849980
0, 100000, 80225.18847400411, 0.0, 0.0, 261877967, 261877967
0, 110000, 90646.18376948008, 0.0, 0.0, 298361035, 298361035
0, 120000, 92053.8836753896, 0.0, 0.0, 336148950, 336148950
0, 130000, 93170.35767350778, 0.0, 0.0, 374999745, 374999745
0, 140000, 91011.72715347014, 0.0, 0.0, 414496362, 414496362
0, 150000, 89831.75454306942, 0.0, 0.0, 455307875, 455307875
0, 160000, 105655.9950908614, 0.0, 0.0, 496934722, 496934722
0, 170000, 108900.47990181722, 0.0, 0.0, 539080520, 539080520
0, 180000, 107048.56959803634, 0.0, 0.0, 582057066, 582057066
0, 190000, 100553.53139196071, 0.0, 0.0, 624932838, 624932838
0, 200000, 119726.91062783921, 0.0, 0.0, 669070189, 669070189
