controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0

run, gameNum, evalQ, evalT, evalM
0, 500, 6332.24, 0.0, 0.0
0, 1000, 6070.5648, 0.0, 0.0
0, 1500, 7530.2112959999995, 0.0, 0.0
0, 2000, 8593.56422592, 0.0, 0.0
0, 2500, 10731.7112845184, 0.0, 0.0
0, 3000, 10986.79422569037, 0.0, 0.0
0, 3500, 11230.29588451381, 0.0, 0.0
0, 4000, 12143.805917690275, 0.0, 0.0
0, 4500, 9141.996118353805, 0.0, 0.0
0, 5000, 10979.799922367076, 0.0, 0.0
0, 5500, 12267.115998447342, 0.0, 0.0
0, 6000, 12781.342319968948, 0.0, 0.0
0, 6500, 15430.58684639938, 0.0, 0.0
0, 7000, 14792.771736927987, 0.0, 0.0
0, 7500, 15938.095434738561, 0.0, 0.0
0, 8000, 14843.24190869477, 0.0, 0.0
0, 8500, 15815.664838173894, 0.0, 0.0
0, 9000, 15951.993296763478, 0.0, 0.0
0, 9500, 15732.399865935271, 0.0, 0.0
0, 10000, 19356.007997318706, 0.0, 0.0
1, 500, 12185.12, 0.0, 0.0
1, 1000, 16757.1424, 0.0, 0.0
1, 1500, 16752.502848, 0.0, 0.0
1, 2000, 18015.69005696, 0.0, 0.0
1, 2500, 16068.4738011392, 0.0, 0.0
1, 3000, 14710.729476022785, 0.0, 0.0
1, 3500, 18629.254589520457, 0.0, 0.0
1, 4000, 16307.305091790407, 0.0, 0.0
1, 4500, 17356.46610183581, 0.0, 0.0
1, 5000, 19309.929322036718, 0.0, 0.0
1, 5500, 19307.558586440733, 0.0, 0.0
1, 6000, 19037.751171728814, 0.0, 0.0
1, 6500, 18267.955023434577, 0.0, 0.0
1, 7000, 18284.879100468694, 0.0, 0.0
1, 7500, 23702.577582009373, 0.0, 0.0
1, 8000, 20683.411551640187, 0.0, 0.0
1, 8500, 20760.148231032803, 0.0, 0.0
1, 9000, 23025.522964620657, 0.0, 0.0
1, 9500, 23097.230459292416, 0.0, 0.0
1, 10000, 22253.544609185847, 0.0, 0.0
2, 500, 11271.36, 0.0, 0.0
2, 1000, 18049.2672, 0.0, 0.0
2, 1500, 20495.865344, 0.0, 0.0
2, 2000, 19258.23730688, 0.0, 0.0
2, 2500, 20528.9247461376, 0.0, 0.0
2, 3000, 21912.65849492275, 0.0, 0.0
2, 3500, 17953.853169898455, 0.0, 0.0
2, 4000, 20655.71706339797, 0.0, 0.0
2, 4500, 21623.914341267962, 0.0, 0.0
2, 5000, 20328.87828682536, 0.0, 0.0
2, 5500, 20212.337565736507, 0.0, 0.0
2, 6000, 20992.726751314727, 0.0, 0.0
2, 6500, 23776.654535026293, 0.0, 0.0
2, 7000, 24901.133090700525, 0.0, 0.0
2, 7500, 23772.74266181401, 0.0, 0.0
2, 8000, 23315.37485323628, 0.0, 0.0
2, 8500, 22869.82749706472, 0.0, 0.0
2, 9000, 23858.116549941293, 0.0, 0.0
2, 9500, 21829.802330998824, 0.0, 0.0
2, 10000, 25129.396046619975, 0.0, 0.0
3, 500, 6198.64, 0.0, 0.0
3, 1000, 6917.8928000000005, 0.0, 0.0
3, 1500, 7627.3978560000005, 0.0, 0.0
3, 2000, 9545.90795712, 0.0, 0.0
3, 2500, 10719.7181591424, 0.0, 0.0
3, 3000, 10198.314363182848, 0.0, 0.0
3, 3500, 12219.646287263657, 0.0, 0.0
3, 4000, 12880.472925745273, 0.0, 0.0
3, 4500, 11968.489458514907, 0.0, 0.0
3, 5000, 10409.769789170297, 0.0, 0.0
3, 5500, 13746.675395783404, 0.0, 0.0
3, 6000, 13218.693507915668, 0.0, 0.0
3, 6500, 15414.373870158312, 0.0, 0.0
3, 7000, 14548.927477403167, 0.0, 0.0
3, 7500, 14812.978549548065, 0.0, 0.0
3, 8000, 16438.17957099096, 0.0, 0.0
3, 8500, 15022.363591419818, 0.0, 0.0
3, 9000, 14296.127271828394, 0.0, 0.0
3, 9500, 13489.682545436568, 0.0, 0.0
3, 10000, 16421.07365090873, 0.0, 0.0
4, 500, 14011.76, 0.0, 0.0
4, 1000, 15373.5952, 0.0, 0.0
4, 1500, 19398.351904, 0.0, 0.0
4, 2000, 18305.967038079998, 0.0, 0.0
4, 2500, 15533.6393407616, 0.0, 0.0
4, 3000, 22020.112786815233, 0.0, 0.0
4, 3500, 19978.242255736306, 0.0, 0.0
4, 4000, 23115.964845114726, 0.0, 0.0
4, 4500, 19596.159296902293, 0.0, 0.0
4, 5000, 20946.963185938046, 0.0, 0.0
4, 5500, 18876.37926371876, 0.0, 0.0
4, 6000, 20458.407585274374, 0.0, 0.0
4, 6500, 20235.888151705487, 0.0, 0.0
4, 7000, 21089.59776303411, 0.0, 0.0
4, 7500, 20104.751955260683, 0.0, 0.0
4, 8000, 24036.975039105215, 0.0, 0.0
4, 8500, 22904.739500782103, 0.0, 0.0
4, 9000, 22792.73479001564, 0.0, 0.0
4, 9500, 25391.21469580031, 0.0, 0.0
4, 10000, 24263.104293916007, 0.0, 0.0
5, 500, 13675.2, 0.0, 0.0
5, 1000, 18876.703999999998, 0.0, 0.0
5, 1500, 17555.93408, 0.0, 0.0
5, 2000, 20169.0386816, 0.0, 0.0
5, 2500, 20707.700773632, 0.0, 0.0
5, 3000, 20533.99401547264, 0.0, 0.0
5, 3500, 22834.279880309456, 0.0, 0.0
5, 4000, 20206.68559760619, 0.0, 0.0
5, 4500, 19871.413711952126, 0.0, 0.0
5, 5000, 20754.948274239043, 0.0, 0.0
5, 5500, 23995.338965484778, 0.0, 0.0
5, 6000, 21868.466779309696, 0.0, 0.0
5, 6500, 23813.049335586195, 0.0, 0.0
5, 7000, 22727.220986711724, 0.0, 0.0
5, 7500, 27155.344419734236, 0.0, 0.0
5, 8000, 22078.786888394683, 0.0, 0.0
