controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0

run, gameNum, evalQ, evalT, evalM
0, 500, 13673.52, 0.0, 0.0
0, 1000, 15952.8304, 0.0, 0.0
0, 1500, 19526.176607999998, 0.0, 0.0
0, 2000, 22783.16353216, 0.0, 0.0
0, 2500, 20337.9032706432, 0.0, 0.0
0, 3000, 23415.558065412864, 0.0, 0.0
0, 3500, 25304.471161308255, 0.0, 0.0
0, 4000, 25474.089423226163, 0.0, 0.0
0, 4500, 23893.881788464525, 0.0, 0.0
0, 5000, 24770.35763576929, 0.0, 0.0
0, 5500, 28108.847152715385, 0.0, 0.0
0, 6000, 31344.416943054308, 0.0, 0.0
0, 6500, 26375.448338861082, 0.0, 0.0
0, 7000, 34377.26896677722, 0.0, 0.0
0, 7500, 28841.145379335547, 0.0, 0.0
0, 8000, 31579.862907586714, 0.0, 0.0
0, 8500, 31333.197258151733, 0.0, 0.0
0, 9000, 32633.543945163034, 0.0, 0.0
0, 9500, 31938.83087890326, 0.0, 0.0
0, 10000, 31473.896617578062, 0.0, 0.0
1, 500, 11323.04, 0.0, 0.0
1, 1000, 17397.5808, 0.0, 0.0
1, 1500, 20078.751616, 0.0, 0.0
1, 2000, 23212.85503232, 0.0, 0.0
1, 2500, 20298.4971006464, 0.0, 0.0
1, 3000, 22691.889942012927, 0.0, 0.0
1, 3500, 27143.99779884026, 0.0, 0.0
1, 4000, 25526.239955976806, 0.0, 0.0
1, 4500, 26041.32479911954, 0.0, 0.0
1, 5000, 26761.94649598239, 0.0, 0.0
1, 5500, 28682.518929919646, 0.0, 0.0
1, 6000, 32583.090378598394, 0.0, 0.0
1, 6500, 33012.621807571966, 0.0, 0.0
1, 7000, 34158.17243615144, 0.0, 0.0
1, 7500, 29970.84344872303, 0.0, 0.0
1, 8000, 33043.09686897446, 0.0, 0.0
1, 8500, 29224.061937379487, 0.0, 0.0
1, 9000, 36849.76123874759, 0.0, 0.0
1, 9500, 34917.23522477495, 0.0, 0.0
1, 10000, 33724.1047044955, 0.0, 0.0
2, 500, 15941.28, 0.0, 0.0
2, 1000, 21019.9456, 0.0, 0.0
2, 1500, 19180.238912, 0.0, 0.0
2, 2000, 21393.44477824, 0.0, 0.0
2, 2500, 20881.148895564802, 0.0, 0.0
2, 3000, 23530.9029779113, 0.0, 0.0
2, 3500, 24343.178059558224, 0.0, 0.0
2, 4000, 23905.023561191163, 0.0, 0.0
2, 4500, 26071.700471223827, 0.0, 0.0
2, 5000, 27221.914009424476, 0.0, 0.0
2, 5500, 28420.358280188488, 0.0, 0.0
2, 6000, 30533.927165603767, 0.0, 0.0
2, 6500, 34688.11854331208, 0.0, 0.0
2, 7000, 34272.72237086624, 0.0, 0.0
2, 7500, 32719.614447417323, 0.0, 0.0
2, 8000, 33091.35228894834, 0.0, 0.0
2, 8500, 34691.987045778966, 0.0, 0.0
2, 9000, 37774.07974091558, 0.0, 0.0
2, 9500, 34663.641594818306, 0.0, 0.0
2, 10000, 28284.872831896366, 0.0, 0.0
3, 500, 14323.28, 0.0, 0.0
3, 1000, 17186.4656, 0.0, 0.0
3, 1500, 19355.489312, 0.0, 0.0
3, 2000, 21530.789786240002, 0.0, 0.0
3, 2500, 26516.8557957248, 0.0, 0.0
3, 3000, 25256.337115914495, 0.0, 0.0
3, 3500, 25192.80674231829, 0.0, 0.0
3, 4000, 23103.056134846367, 0.0, 0.0
3, 4500, 27689.501122696925, 0.0, 0.0
3, 5000, 27505.070022453936, 0.0, 0.0
3, 5500, 28283.14140044908, 0.0, 0.0
3, 6000, 30105.42282800898, 0.0, 0.0
3, 6500, 31129.948456560178, 0.0, 0.0
3, 7000, 30373.478969131203, 0.0, 0.0
3, 7500, 32827.38957938262, 0.0, 0.0
3, 8000, 31968.547791587655, 0.0, 0.0
3, 8500, 35683.53095583175, 0.0, 0.0
3, 9000, 33656.31061911664, 0.0, 0.0
3, 9500, 34473.12621238233, 0.0, 0.0
3, 10000, 33992.422524247646, 0.0, 0.0
4, 500, 13152.0, 0.0, 0.0
4, 1000, 16623.2, 0.0, 0.0
4, 1500, 18351.104, 0.0, 0.0
4, 2000, 23239.42208, 0.0, 0.0
4, 2500, 24943.5084416, 0.0, 0.0
4, 3000, 22745.590168832, 0.0, 0.0
4, 3500, 25397.311803376637, 0.0, 0.0
4, 4000, 25704.186236067537, 0.0, 0.0
4, 4500, 24286.163724721355, 0.0, 0.0
4, 5000, 24996.20327449443, 0.0, 0.0
4, 5500, 26931.76406548989, 0.0, 0.0
4, 6000, 28376.075281309797, 0.0, 0.0
4, 6500, 29259.281505626197, 0.0, 0.0
4, 7000, 28586.785630112525, 0.0, 0.0
4, 7500, 30613.25571260225, 0.0, 0.0
4, 8000, 32204.665114252046, 0.0, 0.0
4, 8500, 30926.093302285037, 0.0, 0.0
4, 9000, 33878.0418660457, 0.0, 0.0
4, 9500, 35327.88083732091, 0.0, 0.0
4, 10000, 34644.157616746415, 0.0, 0.0
5, 500, 13405.36, 0.0, 0.0
5, 1000, 16881.2272, 0.0, 0.0
5, 1500, 22094.344544000003, 0.0, 0.0
5, 2000, 22216.84689088, 0.0, 0.0
5, 2500, 20424.2569378176, 0.0, 0.0
5, 3000, 21606.005138756354, 0.0, 0.0
5, 3500, 27312.840102775124, 0.0, 0.0
5, 4000, 24944.816802055502, 0.0, 0.0
5, 4500, 26793.05633604111, 0.0, 0.0
5, 5000, 27444.901126720823, 0.0, 0.0
5, 5500, 29357.53802253442, 0.0, 0.0
5, 6000, 30364.990760450688, 0.0, 0.0
5, 6500, 35284.73981520902, 0.0, 0.0
5, 7000, 30004.01479630418, 0.0, 0.0
5, 7500, 31766.48029592608, 0.0, 0.0
5, 8000, 35083.24960591852, 0.0, 0.0
