controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 500, 13047.36, 0.0, 0.0, 328599, 328599
0, 1000, 17332.7872, 0.0, 0.0, 797726, 797726
0, 1500, 19912.815744, 0.0, 0.0, 1356100, 1356100
0, 2000, 24394.73631488, 0.0, 0.0, 1956672, 1956672
0, 2500, 22750.2147262976, 0.0, 0.0, 2596093, 2596093
0, 3000, 25535.884294525953, 0.0, 0.0, 3274512, 3274512
0, 3500, 22511.357685890518, 0.0, 0.0, 3964112, 3964112
0, 4000, 25578.54715371781, 0.0, 0.0, 4668139, 4668139
0, 4500, 28679.970943074357, 0.0, 0.0, 5404698, 5404698
0, 5000, 31483.919418861486, 0.0, 0.0, 6144521, 6144521
0, 5500, 31389.998388377233, 0.0, 0.0, 6938013, 6938013
0, 6000, 34259.95996776754, 0.0, 0.0, 7716994, 7716994
0, 6500, 34476.79919935535, 0.0, 0.0, 8533026, 8533026
0, 7000, 34163.9359839871, 0.0, 0.0, 9375747, 9375747
0, 7500, 35880.47871967974, 0.0, 0.0, 10232132, 10232132
0, 8000, 33527.44957439359, 0.0, 0.0, 11073616, 11073616
0, 8500, 35859.18899148787, 0.0, 0.0, 11926360, 11926360
0, 9000, 37762.143779829756, 0.0, 0.0, 12797707, 12797707
0, 9500, 33914.522875596595, 0.0, 0.0, 13701178, 13701178
0, 10000, 32425.89045751193, 0.0, 0.0, 14568994, 14568994
1, 500, 15026.32, 0.0, 0.0, 331470, 331470
1, 1000, 19846.526400000002, 0.0, 0.0, 807953, 807953
1, 1500, 24169.810527999998, 0.0, 0.0, 1364970, 1364970
1, 2000, 24625.31621056, 0.0, 0.0, 1990166, 1990166
1, 2500, 23141.4663242112, 0.0, 0.0, 2662297, 2662297
1, 3000, 26806.269326484224, 0.0, 0.0, 3328971, 3328971
1, 3500, 25360.925386529685, 0.0, 0.0, 4019328, 4019328
1, 4000, 28023.938507730592, 0.0, 0.0, 4727404, 4727404
1, 4500, 25332.398770154614, 0.0, 0.0, 5474810, 5474810
1, 5000, 28612.727975403093, 0.0, 0.0, 6223634, 6223634
1, 5500, 27100.41455950806, 0.0, 0.0, 6991029, 6991029
1, 6000, 29775.288291190165, 0.0, 0.0, 7787198, 7787198
1, 6500, 30192.225765823805, 0.0, 0.0, 8610760, 8610760
1, 7000, 34990.964515316475, 0.0, 0.0, 9438312, 9438312
1, 7500, 32014.85929030633, 0.0, 0.0, 10295736, 10295736
1, 8000, 35352.61718580613, 0.0, 0.0, 11154753, 11154753
1, 8500, 32826.17234371612, 0.0, 0.0, 12031605, 12031605
1, 9000, 32206.60344687432, 0.0, 0.0, 12872340, 12872340
1, 9500, 35073.33206893749, 0.0, 0.0, 13747399, 13747399
1, 10000, 36494.10664137875, 0.0, 0.0, 14607227, 14607227
2, 500, 13856.96, 0.0, 0.0, 330223, 330223
2, 1000, 17079.2192, 0.0, 0.0, 810343, 810343
2, 1500, 26212.704383999997, 0.0, 0.0, 1356742, 1356742
2, 2000, 23404.73408768, 0.0, 0.0, 1971403, 1971403
2, 2500, 26039.8546817536, 0.0, 0.0, 2615974, 2615974
2, 3000, 24664.23709363507, 0.0, 0.0, 3296945, 3296945
