controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 500, 13912.16, 0.0, 0.0, 332317, 332317
0, 1000, 17278.3232, 0.0, 0.0, 813577, 813577
0, 1500, 19167.566464, 0.0, 0.0, 1375191, 1375191
0, 2000, 22889.351329279998, 0.0, 0.0, 1996710, 1996710
0, 2500, 25974.2670265856, 0.0, 0.0, 2610581, 2610581
0, 3000, 26576.44534053171, 0.0, 0.0, 3289275, 3289275
0, 3500, 27687.928906810634, 0.0, 0.0, 3992512, 3992512
0, 4000, 30387.198578136213, 0.0, 0.0, 4701469, 4701469
0, 4500, 30610.303971562724, 0.0, 0.0, 5436865, 5436865
0, 5000, 31192.606079431254, 0.0, 0.0, 6211662, 6211662
0, 5500, 30096.172121588625, 0.0, 0.0, 7000799, 7000799
0, 6000, 32003.763442431773, 0.0, 0.0, 7786100, 7786100
0, 6500, 34386.39526884864, 0.0, 0.0, 8609095, 8609095
0, 7000, 34085.96790537697, 0.0, 0.0, 9457038, 9457038
0, 7500, 35594.67935810754, 0.0, 0.0, 10288396, 10288396
0, 8000, 37162.21358716215, 0.0, 0.0, 11145968, 11145968
0, 8500, 34965.24427174324, 0.0, 0.0, 12024948, 12024948
0, 9000, 34671.70488543486, 0.0, 0.0, 12907661, 12907661
0, 9500, 39727.4340977087, 0.0, 0.0, 13803006, 13803006
0, 10000, 34530.54868195418, 0.0, 0.0, 14698699, 14698699
1, 500, 15725.44, 0.0, 0.0, 334584, 334584
1, 1000, 18262.908799999997, 0.0, 0.0, 794258, 794258
1, 1500, 20426.298176, 0.0, 0.0, 1343459, 1343459
1, 2000, 23971.08596352, 0.0, 0.0, 1949920, 1949920
1, 2500, 27299.6617192704, 0.0, 0.0, 2619001, 2619001
1, 3000, 27458.633234385412, 0.0, 0.0, 3296321, 3296321
1, 3500, 30282.692664687707, 0.0, 0.0, 4013141, 4013141
1, 4000, 28298.053853293753, 0.0, 0.0, 4746564, 4746564
1, 4500, 32874.36107706588, 0.0, 0.0, 5485742, 5485742
1, 5000, 28658.527221541317, 0.0, 0.0, 6248700, 6248700
1, 5500, 30052.930544430827, 0.0, 0.0, 7026717, 7026717
1, 6000, 28372.018610888616, 0.0, 0.0, 7824560, 7824560
1, 6500, 30562.32037221777, 0.0, 0.0, 8648808, 8648808
1, 7000, 35064.60640744436, 0.0, 0.0, 9443023, 9443023
1, 7500, 36696.73212814889, 0.0, 0.0, 10267275, 10267275
1, 8000, 33751.77464256298, 0.0, 0.0, 11080872, 11080872
1, 8500, 33607.51549285126, 0.0, 0.0, 11948461, 11948461
1, 9000, 31892.070309857027, 0.0, 0.0, 12795505, 12795505
1, 9500, 32727.04140619714, 0.0, 0.0, 13665888, 13665888
1, 10000, 37095.18082812394, 0.0, 0.0, 14534750, 14534750
2, 500, 13302.0, 0.0, 0.0, 324822, 324822
2, 1000, 18004.36, 0.0, 0.0, 780203, 780203
2, 1500, 21649.847199999997, 0.0, 0.0, 1296141, 1296141
2, 2000, 24872.996944, 0.0, 0.0, 1891159, 1891159
2, 2500, 25279.37993888, 0.0, 0.0, 2533503, 2533503
2, 3000, 27312.9475987776, 0.0, 0.0, 3208620, 3208620
2, 3500, 27453.298951975554, 0.0, 0.0, 3894375, 3894375
