controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 500, 14089.84, 0.0, 0.0, 317812, 317812
0, 1000, 18739.3168, 0.0, 0.0, 776226, 776226
0, 1500, 22193.746336000004, 0.0, 0.0, 1350932, 1350932
0, 2000, 24604.43492672, 0.0, 0.0, 1959506, 1959506
0, 2500, 24640.1686985344, 0.0, 0.0, 2620849, 2620849
0, 3000, 28947.52337397069, 0.0, 0.0, 3303204, 3303204
0, 3500, 28083.990467479416, 0.0, 0.0, 4017322, 4017322
0, 4000, 29720.87980934959, 0.0, 0.0, 4760884, 4760884
0, 4500, 28875.777596186992, 0.0, 0.0, 5515077, 5515077
0, 5000, 31897.195551923738, 0.0, 0.0, 6307614, 6307614
0, 5500, 31011.703911038476, 0.0, 0.0, 7134596, 7134596
0, 6000, 33548.07407822077, 0.0, 0.0, 7944338, 7944338
0, 6500, 32412.321481564417, 0.0, 0.0, 8796402, 8796402
0, 7000, 32388.88642963129, 0.0, 0.0, 9647012, 9647012
0, 7500, 35081.21772859262, 0.0, 0.0, 10504720, 10504720
0, 8000, 38178.664354571854, 0.0, 0.0, 11392828, 11392828
0, 8500, 35927.09328709144, 0.0, 0.0, 12281815, 12281815
0, 9000, 36540.62186574183, 0.0, 0.0, 13166398, 13166398
0, 9500, 33016.652437314835, 0.0, 0.0, 14057401, 14057401
0, 10000, 33228.013048746296, 0.0, 0.0, 14929773, 14929773
1, 500, 12942.4, 0.0, 0.0, 327785, 327785
1, 1000, 16423.088, 0.0, 0.0, 780304, 780304
1, 1500, 22880.54176, 0.0, 0.0, 1304248, 1304248
1, 2000, 24470.2508352, 0.0, 0.0, 1889956, 1889956
1, 2500, 27225.485016704002, 0.0, 0.0, 2528059, 2528059
1, 3000, 26362.58970033408, 0.0, 0.0, 3174341, 3174341
1, 3500, 29176.93179400668, 0.0, 0.0, 3873222, 3873222
1, 4000, 32952.65863588013, 0.0, 0.0, 4592413, 4592413
1, 4500, 30713.8531727176, 0.0, 0.0, 5329275, 5329275
1, 5000, 28330.597063454352, 0.0, 0.0, 6098202, 6098202
1, 5500, 31494.851941269088, 0.0, 0.0, 6889894, 6889894
1, 6000, 32009.897038825384, 0.0, 0.0, 7680472, 7680472
1, 6500, 32206.837940776506, 0.0, 0.0, 8497781, 8497781
1, 7000, 33031.57675881553, 0.0, 0.0, 9344891, 9344891
1, 7500, 35950.95153517631, 0.0, 0.0, 10184511, 10184511
1, 8000, 35600.53903070353, 0.0, 0.0, 11037227, 11037227
1, 8500, 33585.29078061407, 0.0, 0.0, 11947106, 11947106
1, 9000, 36822.02581561228, 0.0, 0.0, 12816526, 12816526
1, 9500, 39628.200516312245, 0.0, 0.0, 13708483, 13708483
1, 10000, 32313.76401032625, 0.0, 0.0, 14593985, 14593985
2, 500, 13039.76, 0.0, 0.0, 322158, 322158
2, 1000, 15303.0352, 0.0, 0.0, 782012, 782012
2, 1500, 20986.140704, 0.0, 0.0, 1288620, 1288620
2, 2000, 24522.52281408, 0.0, 0.0, 1871178, 1871178
2, 2500, 25025.970456281604, 0.0, 0.0, 2504820, 2504820
2, 3000, 24334.039409125635, 0.0, 0.0, 3149188, 3149188
2, 3500, 24457.560788182513, 0.0, 0.0, 3837368, 3837368
