controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 500, 11247.28, 0.0, 0.0, 280781, 280781
0, 1000, 16065.2656, 0.0, 0.0, 717029, 717029
0, 1500, 20851.785312, 0.0, 0.0, 1247227, 1247227
0, 2000, 22461.275706239998, 0.0, 0.0, 1817631, 1817631
0, 2500, 22401.1455141248, 0.0, 0.0, 2417558, 2417558
0, 3000, 19573.782910282494, 0.0, 0.0, 3035022, 3035022
0, 3500, 24120.99565820565, 0.0, 0.0, 3669758, 3669758
0, 4000, 24230.659913164112, 0.0, 0.0, 4309851, 4309851
0, 4500, 25293.97319826328, 0.0, 0.0, 4997936, 4997936
0, 5000, 30722.439463965264, 0.0, 0.0, 5677827, 5677827
0, 5500, 27658.448789279304, 0.0, 0.0, 6422020, 6422020
0, 6000, 33832.44897578559, 0.0, 0.0, 7157057, 7157057
0, 6500, 30381.84897951571, 0.0, 0.0, 7913206, 7913206
0, 7000, 33168.19697959031, 0.0, 0.0, 8663629, 8663629
0, 7500, 35532.323939591806, 0.0, 0.0, 9453320, 9453320
0, 8000, 29973.766478791837, 0.0, 0.0, 10236710, 10236710
0, 8500, 29440.195329575836, 0.0, 0.0, 11009163, 11009163
0, 9000, 29687.123906591514, 0.0, 0.0, 11822104, 11822104
0, 9500, 34792.46247813183, 0.0, 0.0, 12630455, 12630455
0, 10000, 37111.04924956264, 0.0, 0.0, 13482444, 13482444
1, 500, 12539.28, 0.0, 0.0, 311417, 311417
1, 1000, 16579.425600000002, 0.0, 0.0, 739996, 739996
1, 1500, 18938.628512, 0.0, 0.0, 1250171, 1250171
1, 2000, 18839.412570239998, 0.0, 0.0, 1785326, 1785326
1, 2500, 23407.2682514048, 0.0, 0.0, 2371685, 2371685
1, 3000, 23530.785365028096, 0.0, 0.0, 2990440, 2990440
1, 3500, 25847.81570730056, 0.0, 0.0, 3627464, 3627464
1, 4000, 27006.95631414601, 0.0, 0.0, 4316358, 4316358
1, 4500, 29935.259126282923, 0.0, 0.0, 5015596, 5015596
1, 5000, 30356.94518252566, 0.0, 0.0, 5730391, 5730391
1, 5500, 28481.53890365051, 0.0, 0.0, 6446420, 6446420
1, 6000, 27678.830778073007, 0.0, 0.0, 7204443, 7204443
1, 6500, 25028.776615561463, 0.0, 0.0, 7939455, 7939455
1, 7000, 29651.45553231123, 0.0, 0.0, 8714321, 8714321
1, 7500, 33805.029110646225, 0.0, 0.0, 9510762, 9510762
1, 8000, 29002.100582212926, 0.0, 0.0, 10325392, 10325392
1, 8500, 30101.08201164426, 0.0, 0.0, 11128581, 11128581
1, 9000, 31417.781640232886, 0.0, 0.0, 11965028, 11965028
1, 9500, 32734.43563280466, 0.0, 0.0, 12785778, 12785778
1, 10000, 29202.04871265609, 0.0, 0.0, 13625452, 13625452
2, 500, 12130.24, 0.0, 0.0, 310479, 310479
2, 1000, 18257.7248, 0.0, 0.0, 765344, 765344
2, 1500, 20641.794496, 0.0, 0.0, 1301794, 1301794
2, 2000, 22488.11588992, 0.0, 0.0, 1882417, 1882417
2, 2500, 23705.1223177984, 0.0, 0.0, 2496485, 2496485
2, 3000, 21252.182446355968, 0.0, 0.0, 3143683, 3143683
