controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 500, 13999.92, 0.0, 0.0, 317158, 317158
0, 1000, 18250.9584, 0.0, 0.0, 782219, 782219
0, 1500, 18213.019168, 0.0, 0.0, 1311824, 1311824
0, 2000, 22784.34038336, 0.0, 0.0, 1910957, 1910957
0, 2500, 20437.5268076672, 0.0, 0.0, 2527975, 2527975
0, 3000, 23333.950536153345, 0.0, 0.0, 3157099, 3157099
0, 3500, 25537.399010723064, 0.0, 0.0, 3814968, 3814968
0, 4000, 23938.42798021446, 0.0, 0.0, 4511154, 4511154
0, 4500, 26797.968559604287, 0.0, 0.0, 5196655, 5196655
0, 5000, 28532.199371192084, 0.0, 0.0, 5931431, 5931431
0, 5500, 27015.523987423843, 0.0, 0.0, 6694319, 6694319
0, 6000, 32242.950479748477, 0.0, 0.0, 7450355, 7450355
0, 6500, 30658.69900959497, 0.0, 0.0, 8280826, 8280826
0, 7000, 32804.853980191896, 0.0, 0.0, 9084095, 9084095
0, 7500, 29424.257079603838, 0.0, 0.0, 9904820, 9904820
0, 8000, 37606.80514159208, 0.0, 0.0, 10722808, 10722808
0, 8500, 32508.45610283184, 0.0, 0.0, 11546286, 11546286
0, 9000, 40381.36912205663, 0.0, 0.0, 12388608, 12388608
0, 9500, 36108.58738244113, 0.0, 0.0, 13217382, 13217382
0, 10000, 34501.451747648825, 0.0, 0.0, 14065329, 14065329
1, 500, 12620.96, 0.0, 0.0, 292106, 292106
1, 1000, 15767.779199999999, 0.0, 0.0, 708419, 708419
1, 1500, 17282.075584, 0.0, 0.0, 1211177, 1211177
1, 2000, 18397.961511679998, 0.0, 0.0, 1757263, 1757263
1, 2500, 25869.7992302336, 0.0, 0.0, 2341562, 2341562
1, 3000, 24982.51598460467, 0.0, 0.0, 2942262, 2942262
1, 3500, 24481.810319692093, 0.0, 0.0, 3562336, 3562336
1, 4000, 23554.756206393842, 0.0, 0.0, 4217120, 4217120
1, 4500, 26587.255124127874, 0.0, 0.0, 4886760, 4886760
1, 5000, 28986.38510248256, 0.0, 0.0, 5587057, 5587057
1, 5500, 27243.24770204965, 0.0, 0.0, 6295385, 6295385
1, 6000, 33607.18495404099, 0.0, 0.0, 7025753, 7025753
1, 6500, 31246.783699080817, 0.0, 0.0, 7785434, 7785434
1, 7000, 28950.135673981615, 0.0, 0.0, 8537701, 8537701
1, 7500, 32024.682713479633, 0.0, 0.0, 9298544, 9298544
1, 8000, 28419.133654269594, 0.0, 0.0, 10093938, 10093938
1, 8500, 34977.262673085395, 0.0, 0.0, 10879087, 10879087
1, 9000, 32432.025253461707, 0.0, 0.0, 11693358, 11693358
1, 9500, 35035.040505069235, 0.0, 0.0, 12516967, 12516967
1, 10000, 31190.300810101387, 0.0, 0.0, 13351510, 13351510
2, 500, 11400.96, 0.0, 0.0, 304653, 304653
2, 1000, 15442.5792, 0.0, 0.0, 710280, 710280
2, 1500, 18369.011584, 0.0, 0.0, 1183578, 1183578
2, 2000, 20524.660231679998, 0.0, 0.0, 1712038, 1712038
2, 2500, 21693.453204633603, 0.0, 0.0, 2276693, 2276693
2, 3000, 24464.749064092674, 0.0, 0.0, 2874191, 2874191
