controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 500, 13565.12, 0.0, 0.0, 307823, 307823
0, 1000, 16978.3424, 0.0, 0.0, 766612, 766612
0, 1500, 19807.406848, 0.0, 0.0, 1321165, 1321165
0, 2000, 22500.948136959996, 0.0, 0.0, 1903870, 1903870
0, 2500, 22852.258962739197, 0.0, 0.0, 2509825, 2509825
0, 3000, 23299.285179254784, 0.0, 0.0, 3135848, 3135848
0, 3500, 27894.465703585098, 0.0, 0.0, 3797740, 3797740
0, 4000, 29900.369314071704, 0.0, 0.0, 4497099, 4497099
0, 4500, 26057.847386281435, 0.0, 0.0, 5189256, 5189256
0, 5000, 28786.75694772563, 0.0, 0.0, 5881109, 5881109
0, 5500, 29425.975138954513, 0.0, 0.0, 6627493, 6627493
0, 6000, 29294.279502779093, 0.0, 0.0, 7362840, 7362840
0, 6500, 29940.765590055584, 0.0, 0.0, 8145096, 8145096
0, 7000, 32723.53531180111, 0.0, 0.0, 8936053, 8936053
0, 7500, 33750.150706236025, 0.0, 0.0, 9725680, 9725680
0, 8000, 27250.92301412472, 0.0, 0.0, 10549331, 10549331
0, 8500, 34835.658460282495, 0.0, 0.0, 11362365, 11362365
0, 9000, 31764.23316920565, 0.0, 0.0, 12220414, 12220414
0, 9500, 37275.124663384115, 0.0, 0.0, 13082053, 13082053
0, 10000, 32124.622493267685, 0.0, 0.0, 13930478, 13930478
1, 500, 12870.72, 0.0, 0.0, 314691, 314691
1, 1000, 17731.7344, 0.0, 0.0, 789063, 789063
1, 1500, 21083.594687999997, 0.0, 0.0, 1339738, 1339738
1, 2000, 23089.27189376, 0.0, 0.0, 1905643, 1905643
1, 2500, 21728.9854378752, 0.0, 0.0, 2518904, 2518904
1, 3000, 26060.659708757503, 0.0, 0.0, 3127867, 3127867
1, 3500, 24043.53319417515, 0.0, 0.0, 3767492, 3767492
1, 4000, 26283.990663883505, 0.0, 0.0, 4432330, 4432330
1, 4500, 29475.99981327767, 0.0, 0.0, 5120273, 5120273
1, 5000, 24925.439996265555, 0.0, 0.0, 5832704, 5832704
1, 5500, 32141.14879992531, 0.0, 0.0, 6547169, 6547169
1, 6000, 29131.702975998505, 0.0, 0.0, 7290866, 7290866
1, 6500, 28097.034059519974, 0.0, 0.0, 8033474, 8033474
1, 7000, 29301.220681190396, 0.0, 0.0, 8813894, 8813894
1, 7500, 30026.66441362381, 0.0, 0.0, 9594869, 9594869
1, 8000, 32738.453288272474, 0.0, 0.0, 10376372, 10376372
1, 8500, 31192.68906576545, 0.0, 0.0, 11134470, 11134470
1, 9000, 34888.01378131531, 0.0, 0.0, 11942010, 11942010
1, 9500, 32358.320275626305, 0.0, 0.0, 12744491, 12744491
1, 10000, 32885.48640551253, 0.0, 0.0, 13561153, 13561153
2, 500, 10246.4, 0.0, 0.0, 298572, 298572
2, 1000, 17520.528000000002, 0.0, 0.0, 751329, 751329
2, 1500, 19287.610559999997, 0.0, 0.0, 1271703, 1271703
2, 2000, 22188.3922112, 0.0, 0.0, 1866567, 1866567
2, 2500, 22652.007844224, 0.0, 0.0, 2479098, 2479098
2, 3000, 22771.12015688448, 0.0, 0.0, 3107174, 3107174
