controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 500, 11674.08, 0.0, 0.0, 296524, 296524
0, 1000, 17309.0816, 0.0, 0.0, 702010, 702010
0, 1500, 21721.541632000004, 0.0, 0.0, 1205651, 1205651
0, 2000, 21265.710832639998, 0.0, 0.0, 1771669, 1771669
0, 2500, 23036.9942166528, 0.0, 0.0, 2374040, 2374040
0, 3000, 20861.859884333055, 0.0, 0.0, 3002293, 3002293
0, 3500, 24312.517197686662, 0.0, 0.0, 3627890, 3627890
0, 4000, 24426.410343953736, 0.0, 0.0, 4277946, 4277946
0, 4500, 23175.408206879078, 0.0, 0.0, 4989125, 4989125
0, 5000, 25689.508164137584, 0.0, 0.0, 5699664, 5699664
0, 5500, 28208.91016328275, 0.0, 0.0, 6425020, 6425020
0, 6000, 30576.578203265657, 0.0, 0.0, 7175110, 7175110
0, 6500, 30082.811564065312, 0.0, 0.0, 7935486, 7935486
0, 7000, 32504.616231281307, 0.0, 0.0, 8718888, 8718888
0, 7500, 35097.85232462562, 0.0, 0.0, 9520155, 9520155
0, 8000, 34550.19704649251, 0.0, 0.0, 10312662, 10312662
0, 8500, 29742.44394092985, 0.0, 0.0, 11136806, 11136806
0, 9000, 31582.288878818596, 0.0, 0.0, 11948500, 11948500
0, 9500, 35170.84577757637, 0.0, 0.0, 12774628, 12774628
0, 10000, 38722.13691555153, 0.0, 0.0, 13644376, 13644376
1, 500, 13958.8, 0.0, 0.0, 313561, 313561
1, 1000, 16574.936, 0.0, 0.0, 773602, 773602
1, 1500, 19285.01872, 0.0, 0.0, 1313898, 1313898
1, 2000, 21757.0603744, 0.0, 0.0, 1919294, 1919294
1, 2500, 23432.821207488003, 0.0, 0.0, 2507187, 2507187
1, 3000, 24491.93642414976, 0.0, 0.0, 3132689, 3132689
1, 3500, 24659.67872848299, 0.0, 0.0, 3771987, 3771987
1, 4000, 25943.353574569657, 0.0, 0.0, 4425706, 4425706
1, 4500, 24480.067071491398, 0.0, 0.0, 5100307, 5100307
1, 5000, 30286.161341429826, 0.0, 0.0, 5821651, 5821651
1, 5500, 29409.803226828593, 0.0, 0.0, 6546933, 6546933
1, 6000, 30409.47606453657, 0.0, 0.0, 7323153, 7323153
1, 6500, 31133.949521290735, 0.0, 0.0, 8108558, 8108558
1, 7000, 32649.558990425812, 0.0, 0.0, 8867281, 8867281
1, 7500, 30078.27117980852, 0.0, 0.0, 9648964, 9648964
1, 8000, 35137.96542359617, 0.0, 0.0, 10433169, 10433169
1, 8500, 34704.83930847192, 0.0, 0.0, 11216318, 11216318
1, 9000, 29890.65678616944, 0.0, 0.0, 12038253, 12038253
1, 9500, 32008.293135723387, 0.0, 0.0, 12837934, 12837934
1, 10000, 31067.525862714465, 0.0, 0.0, 13680637, 13680637
2, 500, 12213.84, 0.0, 0.0, 297187, 297187
2, 1000, 18549.5568, 0.0, 0.0, 745559, 745559
2, 1500, 21387.951136, 0.0, 0.0, 1273554, 1273554
2, 2000, 21566.55902272, 0.0, 0.0, 1835286, 1835286
2, 2500, 20622.3711804544, 0.0, 0.0, 2440748, 2440748
2, 3000, 23548.687423609084, 0.0, 0.0, 3070047, 3070047
2, 3500, 22868.653748472185, 0.0, 0.0, 3721930, 3721930
