controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 500, 13734.72, 0.0, 0.0, 315306, 315306
0, 1000, 19316.6944, 0.0, 0.0, 761694, 761694
0, 1500, 22276.093888, 0.0, 0.0, 1303245, 1303245
0, 2000, 23086.881877760003, 0.0, 0.0, 1896593, 1896593
0, 2500, 25866.057637555197, 0.0, 0.0, 2502304, 2502304
0, 3000, 22198.041152751102, 0.0, 0.0, 3138544, 3138544
0, 3500, 26988.20082305502, 0.0, 0.0, 3788675, 3788675
0, 4000, 23701.1240164611, 0.0, 0.0, 4441929, 4441929
0, 4500, 25254.58248032922, 0.0, 0.0, 5116442, 5116442
0, 5000, 29505.33164960658, 0.0, 0.0, 5814575, 5814575
0, 5500, 27738.82663299213, 0.0, 0.0, 6542154, 6542154
0, 6000, 29827.89653265984, 0.0, 0.0, 7263170, 7263170
0, 6500, 30278.877930653198, 0.0, 0.0, 8058202, 8058202
0, 7000, 33263.97755861306, 0.0, 0.0, 8846006, 8846006
0, 7500, 34906.39955117226, 0.0, 0.0, 9638406, 9638406
0, 8000, 31990.687991023446, 0.0, 0.0, 10437919, 10437919
0, 8500, 34835.73375982047, 0.0, 0.0, 11275029, 11275029
0, 9000, 35304.15467519641, 0.0, 0.0, 12114089, 12114089
0, 9500, 36363.043093503926, 0.0, 0.0, 12948939, 12948939
0, 10000, 36166.14086187008, 0.0, 0.0, 13786146, 13786146
1, 500, 10868.48, 0.0, 0.0, 302672, 302672
1, 1000, 17843.6096, 0.0, 0.0, 755358, 755358
1, 1500, 22058.712192000003, 0.0, 0.0, 1283826, 1283826
1, 2000, 21094.934243839998, 0.0, 0.0, 1857045, 1857045
1, 2500, 21856.298684876798, 0.0, 0.0, 2472499, 2472499
1, 3000, 25958.965973697537, 0.0, 0.0, 3135001, 3135001
1, 3500, 30558.459319473954, 0.0, 0.0, 3792352, 3792352
1, 4000, 26303.08918638948, 0.0, 0.0, 4453592, 4453592
1, 4500, 28285.50178372779, 0.0, 0.0, 5163244, 5163244
1, 5000, 29262.190035674554, 0.0, 0.0, 5884712, 5884712
1, 5500, 28270.44380071349, 0.0, 0.0, 6622681, 6622681
1, 6000, 28860.768876014266, 0.0, 0.0, 7370042, 7370042
1, 6500, 31667.535377520286, 0.0, 0.0, 8160806, 8160806
1, 7000, 30525.110707550404, 0.0, 0.0, 8927068, 8927068
1, 7500, 31928.342214151005, 0.0, 0.0, 9716123, 9716123
1, 8000, 29892.24684428302, 0.0, 0.0, 10526713, 10526713
1, 8500, 28555.764936885662, 0.0, 0.0, 11367540, 11367540
1, 9000, 33280.31529873772, 0.0, 0.0, 12195334, 12195334
1, 9500, 34060.40630597476, 0.0, 0.0, 13035588, 13035588
1, 10000, 33337.9281261195, 0.0, 0.0, 13897786, 13897786
2, 500, 12936.0, 0.0, 0.0, 310275, 310275
2, 1000, 16560.88, 0.0, 0.0, 741287, 741287
2, 1500, 19544.8976, 0.0, 0.0, 1244443, 1244443
2, 2000, 21242.817952, 0.0, 0.0, 1798513, 1798513
2, 2500, 23209.17635904, 0.0, 0.0, 2389536, 2389536
2, 3000, 22503.4635271808, 0.0, 0.0, 3008708, 3008708
2, 3500, 22266.549270543615, 0.0, 0.0, 3643499, 3643499
