controllers.RandomAgent
controllers.RandomAgent:
run, moveNum, gameScore, nEmptyTile, cumEmptyTl
1, 1, 4, 14, 14
1, 2, 4, 13, 27
1, 3, 4, 12, 39
1, 4, 8, 12, 51
1, 5, 16, 12, 63
1, 6, 20, 12, 75
1, 7, 20, 11, 86
1, 8, 24, 11, 97
1, 9, 24, 10, 107
1, 10, 28, 10, 117
1, 11, 36, 10, 127
1, 12, 36, 9, 136
1, 13, 36, 8, 144
1, 14, 40, 8, 152
1, 15, 44, 8, 160
1, 16, 44, 7, 167
1, 17, 44, 6, 173
1, 18, 48, 6, 179
1, 19, 56, 6, 185
1, 20, 76, 7, 192
1, 21, 76, 6, 198
1, 22, 76, 5, 203
1, 23, 84, 5, 208
1, 24, 112, 7, 215
1, 25, 120, 8, 223
1, 26, 120, 7, 230
1, 27, 120, 6, 236
1, 28, 124, 6, 242
1, 29, 128, 6, 248
1, 30, 136, 6, 254
1, 31, 148, 7, 261
1, 32, 164, 7, 268
1, 33, 164, 6, 274
1, 34, 208, 8, 282
1, 35, 208, 7, 289
1, 36, 208, 6, 295
1, 37, 212, 6, 301
1, 38, 212, 5, 306
1, 39, 216, 5, 311
1, 40, 224, 6, 317
1, 41, 232, 6, 323
1, 42, 232, 5, 328
1, 43, 232, 4, 332
1, 44, 240, 4, 336
1, 45, 240, 3, 339
1, 46, 240, 2, 341
1, 47, 240, 1, 342
1, 48, 248, 2, 344
1, 49, 248, 1, 345
1, 50, 256, 1, 346
1, 51, 276, 2, 348
1, 52, 276, 1, 349
1, 53, 280, 1, 350
1, 54, 280, 0, 350
1, 55, 284, 0, 350
1, 56, 288, 0, 350
1, 57, 296, 0, 350
1, 58, 316, 1, 351
1, 59, 316, 0, 351
1, 60, 320, 0, 351
1, 61, 332, 1, 352
1, 62, 356, 2, 354
1, 63, 372, 2, 356
1, 64, 408, 3, 359
1, 65, 484, 5, 364
1, 66, 484, 4, 368
1, 67, 484, 3, 371
1, 68, 492, 3, 374
1, 69, 496, 3, 377
1, 70, 496, 2, 379
1, 71, 500, 2, 381
1, 72, 500, 1, 382
1, 73, 516, 2, 384
1, 74, 520, 2, 386
1, 75, 524, 2, 388
1, 76, 524, 1, 389
1, 77, 540, 1, 390
1, 78, 572, 1, 391
1, 79, 620, 4, 395
1, 80, 628, 4, 399
1, 81, 644, 4, 403
1, 82, 644, 3, 406
1, 83, 648, 3, 409
1, 84, 648, 2, 411
1, 85, 648, 1, 412
1, 86, 652, 1, 413
1, 87, 656, 1, 414
1, 88, 656, 0, 414
1, 89, 668, 1, 415
1, 90, 676, 1, 416
1, 91, 700, 3, 419
1, 92, 700, 2, 421
1, 93, 700, 1, 422
1, 94, 700, 0, 422
1, 95, 704, 0, 422
1, 96, 712, 0, 422
1, 97, 716, 0, 422
1, 98, 728, 1, 423
1, 99, 728, 0, 423
1, 100, 732, 0, 423
1, 101, 748, 0, 423
1, 102, 752, 0, 423
