P0: controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:true, learnFromRM: false
P0: controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:1.0->1.0, epsilon_init->final:0.0->0.0, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=2
Start state = 0001000000000100
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 0, 0, -1, +0.00, 0, 0, 0
1, 1, 0, 3, +0.00, 13, 13, 2
1, 2, 0, 3, +4.00, 13, 26, 4
1, 3, 0, 0, +4.00, 12, 38, 4
1, 4, 0, 1, +4.00, 11, 49, 4
1, 5, 0, 2, +8.00, 11, 60, 4
1, 6, 0, 1, +12.00, 11, 71, 4
1, 7, 0, 0, +20.00, 11, 82, 8
1, 8, 0, 1, +20.00, 10, 92, 8
1, 9, 0, 2, +24.00, 10, 102, 8
1, 10, 0, 3, +24.00, 9, 111, 8
1, 11, 0, 3, +24.00, 8, 119, 8
1, 12, 0, 3, +32.00, 8, 127, 8
1, 13, 0, 0, +56.00, 10, 137, 16
1, 14, 0, 3, +56.00, 9, 146, 16
1, 15, 0, 2, +64.00, 9, 155, 16
1, 16, 0, 2, +64.00, 8, 163, 16
1, 17, 0, 2, +64.00, 7, 170, 16
1, 18, 0, 2, +68.00, 7, 177, 16
1, 19, 0, 0, +68.00, 6, 183, 16
1, 20, 0, 0, +72.00, 6, 189, 16
1, 21, 0, 1, +76.00, 6, 195, 16
1, 22, 0, 2, +84.00, 6, 201, 16
1, 23, 0, 3, +88.00, 6, 207, 16
1, 24, 0, 3, +100.00, 7, 214, 16
1, 25, 0, 0, +124.00, 8, 222, 16
1, 26, 0, 0, +124.00, 7, 229, 16
1, 27, 0, 1, +156.00, 7, 236, 32
1, 28, 0, 2, +156.00, 6, 242, 32
1, 29, 0, 0, +160.00, 6, 248, 32
1, 30, 0, 0, +160.00, 5, 253, 32
1, 31, 0, 0, +164.00, 5, 258, 32
1, 32, 0, 1, +176.00, 6, 264, 32
1, 33, 0, 1, +200.00, 7, 271, 32
1, 34, 0, 1, +200.00, 6, 277, 32
1, 35, 0, 1, +204.00, 6, 283, 32
1, 36, 0, 3, +204.00, 5, 288, 32
1, 37, 0, 3, +212.00, 5, 293, 32
1, 38, 0, 0, +216.00, 5, 298, 32
1, 39, 0, 0, +224.00, 5, 303, 32
1, 40, 0, 0, +240.00, 5, 308, 32
1, 41, 0, 1, +276.00, 6, 314, 32
1, 42, 0, 0, +300.00, 7, 321, 32
1, 43, 0, 0, +300.00, 6, 327, 32
1, 44, 0, 1, +368.00, 7, 334, 64
1, 45, 0, 0, +376.00, 7, 341, 64
1, 46, 0, 0, +392.00, 7, 348, 64
1, 47, 0, 3, +396.00, 7, 355, 64
1, 48, 0, 0, +408.00, 8, 363, 64
1, 49, 0, 3, +408.00, 7, 370, 64
1, 50, 0, 3, +412.00, 7, 377, 64
1, 51, 0, 0, +420.00, 7, 384, 64
1, 52, 0, 3, +424.00, 7, 391, 64
1, 53, 0, 0, +440.00, 7, 398, 64
1, 54, 0, 3, +444.00, 7, 405, 64
1, 55, 0, 3, +444.00, 6, 411, 64
1, 56, 0, 0, +452.00, 6, 417, 64
1, 57, 0, 3, +456.00, 6, 423, 64
1, 58, 0, 3, +464.00, 6, 429, 64
1, 59, 0, 1, +464.00, 5, 434, 64
1, 60, 0, 3, +464.00, 4, 438, 64
1, 61, 0, 0, +492.00, 6, 444, 64
1, 62, 0, 0, +532.00, 7, 451, 64
1, 63, 0, 1, +532.00, 6, 457, 64
1, 64, 0, 0, +572.00, 7, 464, 64
1, 65, 0, 1, +572.00, 6, 470, 64
1, 66, 0, 0, +588.00, 6, 476, 64
1, 67, 0, 3, +592.00, 6, 482, 64
1, 68, 0, 3, +596.00, 6, 488, 64
1, 69, 0, 0, +600.00, 6, 494, 64
1, 70, 0, 3, +600.00, 5, 499, 64
1, 71, 0, 0, +608.00, 5, 504, 64
1, 72, 0, 3, +628.00, 6, 510, 64
1, 73, 0, 3, +628.00, 5, 515, 64
1, 74, 0, 0, +636.00, 5, 520, 64
1, 75, 0, 1, +636.00, 4, 524, 64
1, 76, 0, 3, +640.00, 4, 528, 64
1, 77, 0, 0, +652.00, 5, 533, 64
1, 78, 0, 1, +664.00, 6, 539, 64
1, 79, 0, 0, +680.00, 6, 545, 64
1, 80, 0, 1, +720.00, 7, 552, 64
1, 81, 0, 1, +720.00, 6, 558, 64
1, 82, 0, 0, +800.00, 7, 565, 64
1, 83, 0, 0, +836.00, 8, 573, 64
1, 84, 0, 1, +968.00, 9, 582, 128
1, 85, 0, 0, +968.00, 8, 590, 128
1, 86, 0, 0, +968.00, 7, 597, 128
1, 87, 0, 0, +968.00, 6, 603, 128
1, 88, 0, 1, +980.00, 7, 610, 128
