controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:2.0->2.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -0.875, 0.0, 213653, 237196
0, 20000, -0.3125, 0.0, 453635, 503700
0, 30000, -0.8125, 0.0, 702885, 780247
0, 40000, -0.125, 0.0, 947638, 1052283
0, 50000, -0.5625, 0.0, 1207783, 1341390
0, 60000, -0.25, 0.0, 1461576, 1623351
0, 70000, -0.375, 0.0, 1717585, 1907796
0, 80000, -0.3125, 0.0, 1972301, 2190803
0, 90000, -0.5625, 0.0, 2223668, 2470187
0, 100000, 0.125, 0.0, 2481040, 2756143
0, 110000, -0.1875, 0.0, 2743510, 3047673
0, 120000, -0.1875, 0.0, 3004533, 3337749
0, 130000, 0.0625, 0.0, 3263839, 3626018
0, 140000, 0.1875, 0.0, 3517260, 3907685
0, 150000, 0.1875, 0.0, 3766307, 4184266
0, 160000, 0.1875, 0.0, 4017182, 4463098
0, 170000, 0.25, 0.0, 4274385, 4748835
0, 180000, 0.0625, 0.0, 4524080, 5026162
0, 190000, 0.6875, 0.0, 4770436, 5300085
0, 200000, -0.3125, 0.0, 5024732, 5582867
0, 210000, 0.5, 0.0, 5283493, 5870252
0, 220000, 0.625, 0.0, 5544257, 6160042
0, 230000, -0.0625, 0.0, 5795873, 6439761
0, 240000, 0.5, 0.0, 6051012, 6723354
0, 250000, 0.6875, 0.0, 6309924, 7010847
0, 260000, -0.1875, 0.0, 6562912, 7291933
0, 270000, 0.75, 0.0, 6823245, 7581216
0, 280000, 0.8125, 0.0, 7102464, 7891430
0, 290000, 0.75, 0.0, 7368029, 8186205
0, 300000, 0.75, 0.0, 7621754, 8467977
0, 310000, 0.25, 0.0, 7891222, 8767336
0, 320000, 0.5625, 0.0, 8178269, 9086078
0, 330000, 0.5625, 0.0, 8453580, 9391871
0, 340000, 0.5625, 0.0, 8712970, 9680204
0, 350000, 0.0625, 0.0, 8973382, 9969481
0, 360000, 0.375, 0.0, 9233538, 10258550
0, 370000, 0.4375, 0.0, 9498697, 10553235
0, 380000, 0.5625, 0.0, 9754186, 10837052
0, 390000, 0.375, 0.0, 10014582, 11126141
0, 400000, -0.125, 0.0, 10283394, 11424620
0, 410000, 0.3125, 0.0, 10545120, 11715533
0, 420000, 0.625, 0.0, 10804645, 12003768
0, 430000, 0.5, 0.0, 11072817, 12301379
0, 440000, 0.5625, 0.0, 11340269, 12598264
0, 450000, 0.625, 0.0, 11605122, 12892638
0, 460000, 0.4375, 0.0, 11871741, 13188919
0, 470000, 0.625, 0.0, 12129839, 13475750
0, 480000, 0.75, 0.0, 12385296, 13759353
0, 490000, 0.75, 0.0, 12640912, 14043562
0, 500000, 0.1875, 0.0, 12895241, 14326362
1, 10000, -0.875, 0.0, 214240, 238140
1, 20000, -0.4375, 0.0, 463767, 515326
1, 30000, 0.0625, 0.0, 719919, 800219
1, 40000, 0.1875, 0.0, 973887, 1082471
1, 50000, -0.25, 0.0, 1232592, 1369617
1, 60000, -0.3125, 0.0, 1490404, 1655989
1, 70000, -0.375, 0.0, 1748695, 1942863
1, 80000, -0.0625, 0.0, 2019772, 2244282
1, 90000, -0.4375, 0.0, 2293872, 2549130
1, 100000, 0.25, 0.0, 2568312, 2853815
1, 110000, 0.375, 0.0, 2839206, 3154728
1, 120000, 0.125, 0.0, 3112734, 3458342
1, 130000, 0.1875, 0.0, 3385391, 3761031
1, 140000, -0.25, 0.0, 3646312, 4050858
1, 150000, 0.125, 0.0, 3912428, 4346712
1, 160000, 0.75, 0.0, 4180873, 4644739
1, 170000, 0.25, 0.0, 4441248, 4933862
1, 180000, 0.4375, 0.0, 4705646, 5227770
1, 190000, 0.5625, 0.0, 4973789, 5525794
1, 200000, 0.625, 0.0, 5245474, 5827617
1, 210000, 0.75, 0.0, 5509585, 6121175
1, 220000, 0.6875, 0.0, 5778895, 6420703
1, 230000, 0.1875, 0.0, 6049111, 6720936
1, 240000, 0.375, 0.0, 6319305, 7021067
1, 250000, 0.5, 0.0, 6586798, 7318373
1, 260000, 0.125, 0.0, 6852121, 7613175
1, 270000, 0.4375, 0.0, 7134572, 7927122
1, 280000, 0.1875, 0.0, 7408089, 8230888
1, 290000, 0.0625, 0.0, 7678919, 8531805
1, 300000, 0.75, 0.0, 7934282, 8815552
1, 310000, 0.4375, 0.0, 8194678, 9104975
1, 320000, 0.0, 0.0, 8453768, 9392854
1, 330000, 0.75, 0.0, 8703820, 9670728
1, 340000, 0.3125, 0.0, 8959373, 9954638
1, 350000, 1.0, 0.0, 9215188, 10238508
1, 360000, 0.875, 0.0, 9477772, 10530287
1, 370000, 0.75, 0.0, 9738246, 10819307
1, 380000, 0.4375, 0.0, 10007265, 11118067
1, 390000, 0.5, 0.0, 10282344, 11423624
1, 400000, 0.875, 0.0, 10553275, 11724525
1, 410000, 1.0, 0.0, 10826292, 12027958
1, 420000, 0.25, 0.0, 11092176, 12323469
1, 430000, 0.375, 0.0, 11369488, 12631573
1, 440000, 0.5, 0.0, 11662872, 12957426
1, 450000, 0.625, 0.0, 11938899, 13264140
1, 460000, 0.125, 0.0, 12209647, 13564887
1, 470000, 0.625, 0.0, 12490419, 13877069
1, 480000, 0.875, 0.0, 12760415, 14177370
1, 490000, 0.375, 0.0, 13030781, 14477641
1, 500000, 0.625, 0.0, 13311275, 14789304
2, 10000, -0.8125, 0.0, 221779, 246045
2, 20000, -0.125, 0.0, 461817, 512653
2, 30000, -0.625, 0.0, 706292, 784215
2, 40000, 0.25, 0.0, 953995, 1059778
2, 50000, 0.4375, 0.0, 1203063, 1336520
2, 60000, -0.4375, 0.0, 1461218, 1623231
2, 70000, 0.5, 0.0, 1720560, 1911150
2, 80000, 0.125, 0.0, 1970250, 2188552
2, 90000, 0.4375, 0.0, 2227394, 2474359
2, 100000, 0.0, 0.0, 2494190, 2770661
2, 110000, -0.0625, 0.0, 2758728, 3064369
2, 120000, 0.125, 0.0, 3024215, 3359329
2, 130000, -0.25, 0.0, 3287026, 3651130
2, 140000, 0.375, 0.0, 3550811, 3944125
2, 150000, 0.0, 0.0, 3809014, 4230905
2, 160000, 0.125, 0.0, 4070096, 4520884
2, 170000, 0.625, 0.0, 4325734, 4804626
2, 180000, 0.125, 0.0, 4582441, 5089537
2, 190000, 0.25, 0.0, 4844196, 5380071
2, 200000, -0.25, 0.0, 5114363, 5680291
2, 210000, -0.5, 0.0, 5391859, 5988340
2, 220000, 0.125, 0.0, 5659223, 6285350
2, 230000, -0.125, 0.0, 5926208, 6582101
2, 240000, 0.1875, 0.0, 6200288, 6886757
2, 250000, 0.375, 0.0, 6458257, 7173423
2, 260000, 0.125, 0.0, 6710588, 7453736
2, 270000, 0.0625, 0.0, 6959938, 7730552
2, 280000, -0.1875, 0.0, 7232011, 8032850
2, 290000, -0.125, 0.0, 7494665, 8324604
2, 300000, 0.6875, 0.0, 7751639, 8610154
2, 310000, 0.6875, 0.0, 8015570, 8903588
2, 320000, 0.75, 0.0, 8268983, 9185402
2, 330000, 0.1875, 0.0, 8532609, 9478425
2, 340000, 0.1875, 0.0, 8799664, 9775048
2, 350000, 0.75, 0.0, 9068478, 10074102
2, 360000, 0.25, 0.0, 9336179, 10371658
2, 370000, 0.375, 0.0, 9599908, 10664209
2, 380000, 0.5625, 0.0, 9857833, 10951023
2, 390000, 0.3125, 0.0, 10110908, 11232425
2, 400000, 0.0, 0.0, 10367560, 11517455
2, 410000, 0.875, 0.0, 10623820, 11802065
2, 420000, 0.25, 0.0, 10881666, 12088424
2, 430000, 0.375, 0.0, 11168727, 12407296
2, 440000, 0.5625, 0.0, 11434091, 12702136
2, 450000, 0.3125, 0.0, 11711114, 13009662
2, 460000, 0.0, 0.0, 11995089, 13325268
2, 470000, 0.0, 0.0, 12255407, 13614531
2, 480000, 0.125, 0.0, 12538229, 13928713
2, 490000, 0.5, 0.0, 12798531, 14217931
2, 500000, 0.625, 0.0, 13056247, 14504414
3, 10000, -0.75, 0.0, 217050, 240615
3, 20000, -0.6875, 0.0, 456399, 506560
3, 30000, -0.625, 0.0, 703368, 780520
3, 40000, 0.0625, 0.0, 948785, 1053294
3, 50000, -0.5, 0.0, 1203964, 1336822
3, 60000, 0.0, 0.0, 1467992, 1630045
3, 70000, -0.375, 0.0, 1726165, 1916748
3, 80000, 0.0, 0.0, 1981142, 2200158
3, 90000, -0.25, 0.0, 2244171, 2491972
3, 100000, -0.375, 0.0, 2495243, 2770683
3, 110000, -0.25, 0.0, 2758795, 3063568
3, 120000, 0.5, 0.0, 3032075, 3367399
3, 130000, 0.375, 0.0, 3292824, 3657386
3, 140000, 0.75, 0.0, 3554279, 3947865
3, 150000, 0.125, 0.0, 3822449, 4245587
3, 160000, -0.3125, 0.0, 4094187, 4547722
3, 170000, -0.125, 0.0, 4357722, 4840683
3, 180000, 0.1875, 0.0, 4635994, 5149948
3, 190000, 0.3125, 0.0, 4929667, 5476358
3, 200000, 0.0, 0.0, 5212235, 5790497
3, 210000, -0.75, 0.0, 5473923, 6081248
3, 220000, 0.25, 0.0, 5730074, 6365738
3, 230000, 0.0, 0.0, 5992019, 6656625
3, 240000, 0.375, 0.0, 6255693, 6949566
3, 250000, 0.375, 0.0, 6525483, 7249034
3, 260000, 0.0625, 0.0, 6792133, 7545142
3, 270000, 0.0, 0.0, 7057200, 7839825
3, 280000, 0.75, 0.0, 7321083, 8132850
3, 290000, 0.25, 0.0, 7589419, 8430572
3, 300000, 0.25, 0.0, 7854387, 8725096
3, 310000, 0.375, 0.0, 8127344, 9028322
3, 320000, 0.3125, 0.0, 8385187, 9314807
3, 330000, 0.4375, 0.0, 8647436, 9606154
3, 340000, 0.4375, 0.0, 8905144, 9892858
3, 350000, 0.4375, 0.0, 9165494, 10181919
3, 360000, 0.625, 0.0, 9436756, 10483513
3, 370000, 0.75, 0.0, 9692422, 10767534
3, 380000, 0.8125, 0.0, 9956281, 11060676
