controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -0.75, 0.0, 191308, 212562
0, 20000, -0.625, 0.0, 411646, 457494
0, 30000, 0.0, 0.0, 644522, 716217
0, 40000, -0.1875, 0.0, 883286, 981769
0, 50000, -0.375, 0.0, 1130226, 1255854
0, 60000, 0.0, 0.0, 1373817, 1526623
0, 70000, -0.375, 0.0, 1617260, 1797204
0, 80000, 0.125, 0.0, 1861547, 2068593
0, 90000, -0.25, 0.0, 2110543, 2345326
0, 100000, 0.0625, 0.0, 2358776, 2621072
0, 110000, 0.25, 0.0, 2605997, 2895738
0, 120000, 0.5, 0.0, 2851135, 3168190
0, 130000, 0.625, 0.0, 3098174, 3442801
0, 140000, 0.5, 0.0, 3350321, 3723266
0, 150000, -0.0625, 0.0, 3608159, 4009539
0, 160000, 0.0625, 0.0, 3858839, 4288352
0, 170000, 0.375, 0.0, 4110120, 4567713
0, 180000, 0.125, 0.0, 4362288, 4848206
0, 190000, 0.6875, 0.0, 4615405, 5129367
0, 200000, 0.5, 0.0, 4871846, 5414350
0, 210000, 0.3125, 0.0, 5133587, 5705218
0, 220000, 0.5, 0.0, 5399209, 6000552
0, 230000, 0.625, 0.0, 5664613, 6295588
0, 240000, 0.375, 0.0, 5930779, 6591345
0, 250000, 0.25, 0.0, 6192532, 6881816
0, 260000, 0.4375, 0.0, 6461261, 7180664
0, 270000, 0.5, 0.0, 6724947, 7473608
0, 280000, 0.5625, 0.0, 6983287, 7760548
0, 290000, 0.8125, 0.0, 7238077, 8043830
0, 300000, 0.0, 0.0, 7500787, 8335642
0, 310000, 0.25, 0.0, 7756694, 8620061
0, 320000, 1.0, 0.0, 8011219, 8902972
0, 330000, 0.9375, 0.0, 8265475, 9185714
0, 340000, 0.75, 0.0, 8521625, 9469920
0, 350000, 0.5625, 0.0, 8770868, 9746873
0, 360000, 0.75, 0.0, 9018768, 10022630
0, 370000, 0.5, 0.0, 9266437, 10297918
0, 380000, 0.6875, 0.0, 9515028, 10574233
0, 390000, 0.75, 0.0, 9768321, 10855395
0, 400000, 0.25, 0.0, 10019910, 11135411
0, 410000, 0.6875, 0.0, 10268677, 11411866
0, 420000, -0.3125, 0.0, 10521995, 11693435
0, 430000, 0.4375, 0.0, 10774492, 11973972
0, 440000, 0.875, 0.0, 11034902, 12263215
0, 450000, 0.5, 0.0, 11294942, 12552214
0, 460000, 0.5625, 0.0, 11546103, 12831299
0, 470000, 0.375, 0.0, 11799690, 13113233
0, 480000, 0.0, 0.0, 12053529, 13395289
0, 490000, 0.4375, 0.0, 12314621, 13685400
0, 500000, 0.0625, 0.0, 12563285, 13961751
1, 10000, -1.0, 0.0, 184804, 205582
1, 20000, -1.0, 0.0, 397098, 441370
1, 30000, -0.5, 0.0, 612921, 681236
1, 40000, -0.4375, 0.0, 839783, 933371
1, 50000, -0.375, 0.0, 1080876, 1201088
1, 60000, -0.3125, 0.0, 1323148, 1470509
1, 70000, -0.0625, 0.0, 1567589, 1742147
1, 80000, 0.4375, 0.0, 1818606, 2020864
1, 90000, -0.3125, 0.0, 2068952, 2298749
1, 100000, -0.125, 0.0, 2321004, 2578708
1, 110000, -0.75, 0.0, 2575873, 2861622
1, 120000, -0.125, 0.0, 2828282, 3141998
1, 130000, 0.1875, 0.0, 3081432, 3423413
1, 140000, 0.125, 0.0, 3341873, 3712668
1, 150000, -0.125, 0.0, 3592340, 3991069
1, 160000, 0.375, 0.0, 3845506, 4272592
1, 170000, -0.3125, 0.0, 4100040, 4555430
1, 180000, 0.4375, 0.0, 4358063, 4842195
1, 190000, 0.375, 0.0, 4611514, 5124234
1, 200000, 0.625, 0.0, 4869300, 5410692
1, 210000, 0.25, 0.0, 5122025, 5691642
1, 220000, 0.125, 0.0, 5393296, 5993261
1, 230000, 0.4375, 0.0, 5659383, 6288741
1, 240000, 0.4375, 0.0, 5913964, 6571684
1, 250000, 0.375, 0.0, 6167106, 6852673
1, 260000, -0.125, 0.0, 6416441, 7129725
1, 270000, 0.1875, 0.0, 6667326, 7408499
1, 280000, 0.4375, 0.0, 6926718, 7696958
1, 290000, 0.5625, 0.0, 7175780, 7973671
1, 300000, 0.5625, 0.0, 7432587, 8258923
1, 310000, 0.5625, 0.0, 7682142, 8536172
1, 320000, 0.5625, 0.0, 7941622, 8824250
1, 330000, 0.25, 0.0, 8203419, 9115334
