controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -0.375, -0.95, 189701, 210840
0, 20000, -0.5625, -1.0, 404028, 449178
0, 30000, -0.3125, -1.0, 628824, 698876
0, 40000, 0.0625, -0.95, 860094, 955676
0, 50000, 0.0625, -0.95, 1094278, 1215809
0, 60000, -0.3125, 0.050000000000000044, 1324538, 1471927
0, 70000, -0.1875, 0.25, 1564699, 1738829
0, 80000, -0.5625, -0.7, 1811695, 2013169
0, 90000, -0.9375, -0.95, 2056476, 2285196
0, 100000, -0.125, -0.8, 2315806, 2573354
0, 110000, -0.375, -0.25000000000000006, 2567251, 2853012
0, 120000, -0.4375, -0.95, 2828753, 3143441
0, 130000, -0.8125, -0.75, 3085237, 3428457
0, 140000, -0.3125, -0.6, 3347941, 3720417
0, 150000, -0.25, -0.65, 3607010, 4008114
0, 160000, -0.25, -0.65, 3875357, 4306077
0, 170000, -0.4375, -0.65, 4134400, 4593574
0, 180000, 0.375, -0.65, 4396957, 4885295
0, 190000, -0.125, -0.75, 4668453, 5186932
0, 200000, 0.625, -0.85, 4928681, 5475961
0, 210000, 0.5, -0.8, 5185563, 5761246
0, 220000, 0.875, 0.39999999999999997, 5439631, 6043488
0, 230000, 0.0, 0.35000000000000003, 5693328, 6325534
0, 240000, 0.375, 0.3, 5951700, 6612679
0, 250000, 0.5, 0.39999999999999997, 6208293, 6897930
0, 260000, 0.75, 0.19999999999999996, 6470478, 7189423
0, 270000, 0.4375, 0.6, 6734395, 7482393
0, 280000, 0.25, -0.85, 6992883, 7769638
0, 290000, 0.1875, -0.7, 7247356, 8052482
0, 300000, 0.625, 0.7999999999999999, 7506454, 8340563
0, 310000, 0.5, 0.35000000000000003, 7762296, 8624749
0, 320000, 0.25, 0.39999999999999997, 8022580, 8914063
0, 330000, 0.375, 0.65, 8279072, 9198713
0, 340000, 0.625, 0.5499999999999999, 8543385, 9492111
0, 350000, 0.625, 0.49999999999999994, 8805949, 9783850
0, 360000, 0.375, 0.8999999999999999, 9064716, 10071307
