controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -1.0, -0.39999999999999997, 185833, 206203
0, 20000, -0.625, -0.9, 392569, 436144
0, 30000, 0.125, -0.975, 623416, 692672
0, 40000, -0.6875, -0.775, 870658, 967037
0, 50000, -0.8125, -0.85, 1102323, 1224713
0, 60000, 0.125, -0.875, 1341838, 1490930
0, 70000, 0.5625, -1.0, 1579193, 1754797
0, 80000, 0.5, -0.975, 1817972, 2020252
0, 90000, -0.3125, -0.7, 2059912, 2288927
0, 100000, 0.0, -0.25, 2302627, 2558734
0, 110000, -0.0625, 0.35, 2549792, 2833417
0, 120000, 0.25, -0.25, 2807697, 3119766
0, 130000, 0.0625, -0.27499999999999997, 3062956, 3403462
0, 140000, -0.0625, -1.0, 3320194, 3689098
0, 150000, -0.625, 0.8, 3569031, 3965855
0, 160000, 0.5, 0.6000000000000001, 3819347, 4243872
0, 170000, -0.125, 0.6499999999999999, 4060405, 4511514
0, 180000, 0.5, 0.25, 4306743, 4785181
0, 190000, 0.625, 0.7, 4558371, 5065005
0, 200000, 1.0, 0.39999999999999997, 4815505, 5350752
0, 210000, 0.375, 0.8999999999999999, 5064964, 5627758
0, 220000, 0.8125, 1.0, 5318909, 5909903
0, 230000, 0.125, -0.775, 5585207, 6205904
0, 240000, 0.25, 0.8500000000000001, 5842242, 6491762
0, 250000, 0.0625, -0.275, 6099078, 6776863
0, 260000, -0.5625, -0.925, 6355307, 7061297
0, 270000, 0.1875, -0.4, 6617082, 7352212
0, 280000, 1.0, 0.85, 6880279, 7644753
0, 290000, 0.4375, 0.8500000000000001, 7143156, 7936601
0, 300000, 0.25, 0.8250000000000001, 7394714, 8216158
0, 310000, 0.75, 0.8500000000000001, 7644061, 8493388
0, 320000, 0.125, 1.0, 7899791, 8777467
0, 330000, 0.5, 0.725, 8163808, 9070690
0, 340000, 0.625, 0.5, 8430245, 9366764
0, 350000, 0.5625, 0.95, 8687325, 9652385
0, 360000, 0.375, 0.8250000000000001, 8950138, 9944144
0, 370000, 1.0, 1.0, 9209381, 10232329
0, 380000, 0.875, 0.975, 9476155, 10528620
0, 390000, 0.75, 0.95, 9734084, 10815501
0, 400000, 0.4375, 0.8999999999999999, 9990138, 11099851
0, 410000, 0.5625, 0.775, 10237986, 11374961
0, 420000, 0.75, 0.8999999999999999, 10489433, 11654292
0, 430000, 0.625, 0.8999999999999999, 10742915, 11935822
0, 440000, 1.0, 0.975, 10989665, 12210144
0, 450000, 0.625, 0.975, 11249891, 12499341
0, 460000, 0.625, 0.7, 11515421, 12794432
0, 470000, 0.5625, 0.42499999999999993, 11775296, 13083181
0, 480000, 0.625, 0.95, 12032775, 13369385
0, 490000, 0.5, 1.0, 12292577, 13657905
0, 500000, 0.5, 0.8, 12554582, 13949099
1, 10000, -0.625, -0.22500000000000003, 181640, 201893
1, 20000, -0.75, 0.3, 392658, 436279
1, 30000, -0.625, -0.22500000000000003, 622058, 691368
1, 40000, -0.3125, -0.9, 855260, 950636
1, 50000, -0.125, -0.825, 1085550, 1206702
1, 60000, 0.0, -0.17499999999999993, 1320020, 1467399
1, 70000, 0.0, -0.35, 1562211, 1736831
1, 80000, -0.625, -0.19999999999999996, 1824317, 2027887
1, 90000, 0.0625, -0.15000000000000002, 2083144, 2315267
1, 100000, 0.0, -0.07500000000000001, 2337499, 2597842
1, 110000, 0.125, 0.050000000000000044, 2587195, 2875498
1, 120000, -1.0, -0.8, 2839843, 3156161
1, 130000, -0.75, -0.825, 3092391, 3436755
1, 140000, 0.125, 0.30000000000000004, 3346699, 3719642
1, 150000, 0.1875, 0.35000000000000003, 3607320, 4009336
1, 160000, 0.3125, 0.19999999999999996, 3865831, 4296391
1, 170000, 0.0, -0.525, 4119334, 4578366
1, 180000, 0.1875, 0.44999999999999996, 4374093, 4861354
1, 190000, 0.5, 0.875, 4629445, 5145272
1, 200000, -0.1875, -0.85, 4891184, 5435895
1, 210000, 0.5, 0.325, 5159474, 5733874
1, 220000, 0.125, 0.7, 5421422, 6024822
1, 230000, 0.75, 0.8250000000000001, 5679362, 6311312
1, 240000, 0.625, 0.775, 5938050, 6598926
1, 250000, 0.375, 0.75, 6199185, 6889257
1, 260000, 0.5, 0.35000000000000003, 6467608, 7187705
1, 270000, 0.6875, 0.45000000000000007, 6726625, 7475778
1, 280000, 0.875, 0.8999999999999999, 6984891, 7762977
1, 290000, 0.875, -0.04999999999999999, 7242590, 8049109
1, 300000, 1.0, 0.875, 7500176, 8335268
1, 310000, 0.125, -0.55, 7769152, 8634146
1, 320000, 0.5625, 0.12500000000000006, 8026164, 8919914
1, 330000, 0.5625, 0.9249999999999999, 8286546, 9209259
1, 340000, 0.375, 0.725, 8550879, 9502713
1, 350000, 0.25, 0.9, 8811166, 9792010
1, 360000, 0.75, 0.95, 9073236, 10083022
1, 370000, 0.75, 1.0, 9326602, 10364181
1, 380000, 0.75, 0.9249999999999999, 9589499, 10656252
1, 390000, 0.625, 0.65, 9855273, 10951594
1, 400000, 0.625, 0.55, 10123670, 11250107
1, 410000, 0.625, 0.8500000000000001, 10387558, 11543277
1, 420000, 0.875, 0.75, 10641483, 11825586
1, 430000, 0.25, 0.8250000000000001, 10895319, 12107545
1, 440000, 0.875, 0.8999999999999999, 11154128, 12395253
1, 450000, 0.375, 0.7, 11412797, 12682493
1, 460000, 0.75, 0.475, 11671682, 12970220
1, 470000, 0.6875, 0.975, 11931326, 13259043
1, 480000, 0.4375, 0.8250000000000001, 12183954, 13539767
1, 490000, 0.625, 0.75, 12435582, 13819655
1, 500000, 0.75, 0.8999999999999999, 12696258, 14109307
2, 10000, -1.0, -0.975, 179970, 199748
2, 20000, -0.625, -0.625, 392636, 435746
2, 30000, -0.25, -0.875, 613778, 681758
2, 40000, -0.9375, -0.95, 849366, 943330
2, 50000, 0.5, -0.75, 1083723, 1204038
2, 60000, -0.625, -0.925, 1325592, 1472735
2, 70000, -0.25, -0.875, 1574796, 1749835
2, 80000, -0.0625, 0.42499999999999993, 1831026, 2034203
2, 90000, -0.25, -0.7, 2092123, 2324582
2, 100000, 0.5, 0.65, 2344920, 2605460
2, 110000, -0.5, -0.875, 2593224, 2881141
2, 120000, 0.1875, -0.175, 2847602, 3163776
2, 130000, 0.0625, -0.27499999999999997, 3105292, 3450219
2, 140000, 0.125, 0.0, 3358883, 3731876
2, 150000, 0.75, 0.5, 3611741, 4012747
2, 160000, 0.875, 0.04999999999999999, 3870147, 4299480
2, 170000, 0.25, -0.125, 4126589, 4584269
2, 180000, -0.1875, 0.625, 4382397, 4868593
2, 190000, 0.5, 0.42499999999999993, 4649475, 5165624
2, 200000, 0.125, 0.8500000000000001, 4913666, 5459062
2, 210000, 0.3125, 0.775, 5183822, 5759068
2, 220000, 0.75, 0.55, 5455674, 6061206
2, 230000, 0.5625, 0.5249999999999999, 5723039, 6358273
2, 240000, 0.625, 0.4, 5987780, 6652373
2, 250000, 0.5625, -0.325, 6248710, 6942409
2, 260000, 1.0, 0.47500000000000003, 6511279, 7234316
2, 270000, 0.875, 0.6000000000000001, 6780802, 7533867
2, 280000, 1.0, 0.75, 7051207, 7834417
2, 290000, 0.5, 0.675, 7317242, 8130289
2, 300000, 0.125, 0.8500000000000001, 7571426, 8413020
2, 310000, 0.875, 0.4, 7826650, 8696569
2, 320000, 0.75, 0.75, 8095727, 8995362
2, 330000, 0.375, 0.625, 8366640, 9296537
2, 340000, 0.375, 0.55, 8643217, 9604041
2, 350000, 0.5, 0.14999999999999997, 8920515, 9912180
2, 360000, 0.25, 0.475, 9180830, 10201716
2, 370000, 0.5, 0.725, 9445548, 10495725
2, 380000, 0.6875, 0.9249999999999999, 9710227, 10789764
2, 390000, 0.5, 1.0, 9954559, 11061510
2, 400000, 0.8125, 0.975, 10211490, 11347436
2, 410000, 0.3125, 0.875, 10456626, 11620138
2, 420000, 0.875, 1.0, 10710142, 11901945
2, 430000, 0.625, 0.9249999999999999, 10962662, 12182940
2, 440000, 0.625, 0.875, 11231692, 12482049
2, 450000, 0.5625, 0.95, 11483289, 12761611
2, 460000, 0.125, 0.8500000000000001, 11737325, 13043853
2, 470000, 0.6875, 0.9, 11987807, 13322005
