TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:3.7->3.7, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1, evalQ: 0, evalT: -1
run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; user1; user2
0;50;0;0;0;0;1;0.92;0;0
0;50;0;50;0;0;1;0.81;0;0
0;50;0;100;0;0;1;0.86;0;0
0;50;0;200;0;0;1;0.92;0;0
0;50;0;300;0;0;1;1;0;0
0;50;0;500;0;0;1;0.97;0;0
0;50;0;600;0;0;1;1;0;0
0;50;0;800;0;0;1;1;0;0
0;50;0;1000;0;0;1;0.98;0;0
0;50;0;0;1.00E-08;0;1;0.96;0;0
0;50;0;50;1.00E-08;0;1;0.98;0;0
0;50;0;100;1.00E-08;0;1;0.96;0;0
0;50;0;200;1.00E-08;0;1;0.91;0;0
0;50;0;300;1.00E-08;0;1;1;0;0
0;50;0;500;1.00E-08;0;1;0.97;0;0
0;50;0;600;1.00E-08;0;1;1;0;0
0;50;0;800;1.00E-08;0;1;1;0;0
0;50;0;1000;1.00E-08;0;1;1;0;0
1;50;0;0;0;0;1;0.9;0;0
1;50;0;50;0;0;1;0.54;0;0
1;50;0;100;0;0;1;0.87;0;0
1;50;0;200;0;0;1;0.98;0;0
1;50;0;300;0;0;1;0.97;0;0
1;50;0;500;0;0;1;0.98;0;0
1;50;0;600;0;0;1;1;0;0
1;50;0;800;0;0;1;1;0;0
1;50;0;1000;0;0;1;0.97;0;0
1;50;0;0;1.00E-08;0;1;0.9;0;0
1;50;0;50;1.00E-08;0;1;1;0;0
1;50;0;100;1.00E-08;0;1;0.98;0;0
1;50;0;200;1.00E-08;0;1;0.94;0;0
1;50;0;300;1.00E-08;0;1;0.99;0;0
1;50;0;500;1.00E-08;0;1;1;0;0
1;50;0;600;1.00E-08;0;1;1;0;0
1;50;0;800;1.00E-08;0;1;0.98;0;0
1;50;0;1000;1.00E-08;0;1;0.98;0;0
2;50;0;0;0;0;1;0.87;0;0
2;50;0;50;0;0;1;0.71;0;0
2;50;0;100;0;0;1;0.82;0;0
2;50;0;200;0;0;1;0.95;0;0
2;50;0;300;0;0;1;0.98;0;0
2;50;0;500;0;0;1;0.98;0;0
2;50;0;600;0;0;1;0.96;0;0
2;50;0;800;0;0;1;0.95;0;0
2;50;0;1000;0;0;1;1;0;0
2;50;0;0;1.00E-08;0;1;0.88;0;0
2;50;0;50;1.00E-08;0;1;1;0;0
2;50;0;100;1.00E-08;0;1;1;0;0
2;50;0;200;1.00E-08;0;1;1;0;0
2;50;0;300;1.00E-08;0;1;1;0;0
2;50;0;500;1.00E-08;0;1;0.96;0;0
2;50;0;600;1.00E-08;0;1;0.99;0;0
2;50;0;800;1.00E-08;0;1;1;0;0
2;50;0;1000;1.00E-08;0;1;1;0;0
3;50;0;0;0;0;1;0.93;0;0
3;50;0;50;0;0;1;0.64;0;0
3;50;0;100;0;0;1;0.87;0;0
3;50;0;200;0;0;1;0.92;0;0
3;50;0;300;0;0;1;0.97;0;0
3;50;0;500;0;0;1;0.97;0;0
3;50;0;600;0;0;1;0.98;0;0
3;50;0;800;0;0;1;0.99;0;0
3;50;0;1000;0;0;1;1;0;0
3;50;0;0;1.00E-08;0;1;0.94;0;0
3;50;0;50;1.00E-08;0;1;0.97;0;0
3;50;0;100;1.00E-08;0;1;0.94;0;0
3;50;0;200;1.00E-08;0;1;1;0;0
3;50;0;300;1.00E-08;0;1;1;0;0
3;50;0;500;1.00E-08;0;1;0.96;0;0
3;50;0;600;1.00E-08;0;1;0.98;0;0
3;50;0;800;1.00E-08;0;1;1;0;0
3;50;0;1000;1.00E-08;0;1;1;0;0
