TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:3.7->3.7, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1, evalQ: 0, evalT: -1
run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, user1, user2
0, 25, 0, 0, 1.0E-8, 1, 1.0, -1.1102230246251565E-16, 0.0, 0.0
0, 25, 0, 50, 1.0E-8, 1, 1.0, 0.76, 0.0, 0.0
0, 25, 0, 100, 1.0E-8, 1, 1.0, 0.8200000000000001, 0.0, 0.0
0, 25, 0, 200, 1.0E-8, 1, 1.0, 0.8800000000000001, 0.0, 0.0
0, 25, 0, 300, 1.0E-8, 1, 1.0, 0.9000000000000001, 0.0, 0.0
0, 25, 0, 500, 1.0E-8, 1, 1.0, 0.9800000000000002, 0.0, 0.0
0, 25, 0, 750, 1.0E-8, 1, 1.0, 1.0, 0.0, 0.0
0, 25, 0, 1000, 1.0E-8, 1, 1.0, 1.0, 0.0, 0.0
1, 25, 0, 0, 1.0E-8, 1, 1.0, -1.1102230246251565E-16, 0.0, 0.0
1, 25, 0, 50, 1.0E-8, 1, 1.0, 0.8400000000000001, 0.0, 0.0
1, 25, 0, 100, 1.0E-8, 1, 1.0, 0.9000000000000001, 0.0, 0.0
1, 25, 0, 200, 1.0E-8, 1, 1.0, 0.9000000000000001, 0.0, 0.0
1, 25, 0, 300, 1.0E-8, 1, 1.0, 1.0, 0.0, 0.0
1, 25, 0, 500, 1.0E-8, 1, 1.0, 1.0, 0.0, 0.0
1, 25, 0, 750, 1.0E-8, 1, 1.0, 1.0, 0.0, 0.0
1, 25, 0, 1000, 1.0E-8, 1, 1.0, 1.0, 0.0, 0.0
2, 25, 0, 0, 1.0E-8, 1, 1.0, 0.03999999999999987, 0.0, 0.0
2, 25, 0, 50, 1.0E-8, 1, 1.0, 0.8, 0.0, 0.0
2, 25, 0, 100, 1.0E-8, 1, 1.0, 0.8800000000000001, 0.0, 0.0
2, 25, 0, 200, 1.0E-8, 1, 1.0, 0.8600000000000001, 0.0, 0.0
2, 25, 0, 300, 1.0E-8, 1, 1.0, 0.9200000000000002, 0.0, 0.0
2, 25, 0, 500, 1.0E-8, 1, 1.0, 0.9600000000000002, 0.0, 0.0
2, 25, 0, 750, 1.0E-8, 1, 1.0, 0.9400000000000002, 0.0, 0.0
2, 25, 0, 1000, 1.0E-8, 1, 1.0, 0.9600000000000002, 0.0, 0.0
3, 25, 0, 0, 1.0E-8, 1, 1.0, -1.1102230246251565E-16, 0.0, 0.0
3, 25, 0, 50, 1.0E-8, 1, 1.0, 0.8800000000000001, 0.0, 0.0
3, 25, 0, 100, 1.0E-8, 1, 1.0, 0.9400000000000002, 0.0, 0.0
3, 25, 0, 200, 1.0E-8, 1, 1.0, 0.9400000000000002, 0.0, 0.0
3, 25, 0, 300, 1.0E-8, 1, 1.0, 0.9200000000000002, 0.0, 0.0
3, 25, 0, 500, 1.0E-8, 1, 1.0, 0.9800000000000002, 0.0, 0.0
3, 25, 0, 750, 1.0E-8, 1, 1.0, 0.8800000000000001, 0.0, 0.0
3, 25, 0, 1000, 1.0E-8, 1, 1.0, 0.9800000000000002, 0.0, 0.0
4, 25, 0, 0, 1.0E-8, 1, 1.0, 0.03999999999999987, 0.0, 0.0
4, 25, 0, 50, 1.0E-8, 1, 1.0, 0.9200000000000002, 0.0, 0.0
4, 25, 0, 100, 1.0E-8, 1, 1.0, 0.9400000000000002, 0.0, 0.0
4, 25, 0, 200, 1.0E-8, 1, 1.0, 0.9600000000000002, 0.0, 0.0
4, 25, 0, 300, 1.0E-8, 1, 1.0, 0.9800000000000002, 0.0, 0.0
4, 25, 0, 500, 1.0E-8, 1, 1.0, 0.9800000000000002, 0.0, 0.0
4, 25, 0, 750, 1.0E-8, 1, 1.0, 0.9800000000000002, 0.0, 0.0
4, 25, 0, 1000, 1.0E-8, 1, 1.0, 1.0, 0.0, 0.0
