TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:3.7->3.7, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1, evalQ: 0, evalT: -1
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, time, user2
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 0, 25, 0, 0, 1.0E-8, 0, 1.0, 1.0, 0.032, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 0, 25, 0, 50, 1.0E-8, 0, 1.0, 1.0, 0.332, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 0, 25, 0, 100, 1.0E-8, 0, 1.0, 1.0, 0.535, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 0, 25, 0, 200, 1.0E-8, 0, 1.0, 1.0, 0.618, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 0, 25, 0, 300, 1.0E-8, 0, 1.0, 1.0, 0.917, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 0, 25, 0, 500, 1.0E-8, 0, 1.0, 1.0, 1.547, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 0, 25, 0, 750, 1.0E-8, 0, 1.0, 1.0, 2.994, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 0, 25, 0, 1000, 1.0E-8, 0, 1.0, 1.0, 4.173, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 1, 25, 0, 0, 1.0E-8, 0, 1.0, 1.0, 0.006, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 1, 25, 0, 50, 1.0E-8, 0, 1.0, 1.0, 0.251, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 1, 25, 0, 100, 1.0E-8, 0, 1.0, 1.0, 0.433, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 1, 25, 0, 200, 1.0E-8, 0, 1.0, 1.0, 0.694, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 1, 25, 0, 300, 1.0E-8, 0, 1.0, 1.0, 1.308, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 1, 25, 0, 500, 1.0E-8, 0, 1.0, 1.0, 1.954, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 1, 25, 0, 750, 1.0E-8, 0, 1.0, 1.0, 3.002, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 1, 25, 0, 1000, 1.0E-8, 0, 1.0, 1.0, 3.715, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 2, 25, 0, 0, 1.0E-8, 0, 1.0, 1.0, 0.009, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 2, 25, 0, 50, 1.0E-8, 0, 1.0, 1.0, 0.226, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 2, 25, 0, 100, 1.0E-8, 0, 1.0, 1.0, 0.354, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 2, 25, 0, 200, 1.0E-8, 0, 1.0, 1.0, 0.802, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 2, 25, 0, 300, 1.0E-8, 0, 1.0, 1.0, 1.149, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 2, 25, 0, 500, 1.0E-8, 0, 1.0, 1.0, 1.792, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 2, 25, 0, 750, 1.0E-8, 0, 1.0, 1.0, 2.796, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 2, 25, 0, 1000, 1.0E-8, 0, 1.0, 1.0, 4.162, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 3, 25, 0, 0, 1.0E-8, 0, 1.0, 1.0, 0.006, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 3, 25, 0, 50, 1.0E-8, 0, 1.0, 1.0, 0.198, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 3, 25, 0, 100, 1.0E-8, 0, 1.0, 1.0, 0.386, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 3, 25, 0, 200, 1.0E-8, 0, 1.0, 1.0, 0.79, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 3, 25, 0, 300, 1.0E-8, 0, 1.0, 1.0, 1.079, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 3, 25, 0, 500, 1.0E-8, 0, 1.0, 1.0, 1.853, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 3, 25, 0, 750, 1.0E-8, 0, 1.0, 1.0, 2.704, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 3, 25, 0, 1000, 1.0E-8, 0, 1.0, 1.0, 3.455, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 4, 25, 0, 0, 1.0E-8, 0, 1.0, 1.0, 0.006, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 4, 25, 0, 50, 1.0E-8, 0, 1.0, 1.0, 0.216, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 4, 25, 0, 100, 1.0E-8, 0, 1.0, 1.0, 0.451, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 4, 25, 0, 200, 1.0E-8, 0, 1.0, 1.0, 0.781, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 4, 25, 0, 300, 1.0E-8, 0, 1.0, 1.0, 1.041, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 4, 25, 0, 500, 1.0E-8, 0, 1.0, 1.0, 1.568, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 4, 25, 0, 750, 1.0E-8, 0, 1.0, 1.0, 2.649, 0.0
2-TCL-EXP-NT3-al37-lam000-6000k-epsfin0.agt.zip, 4, 25, 0, 1000, 1.0E-8, 0, 1.0, 1.0, 3.749, 0.0
