controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.36, horizon:5, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:0.5->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 5000, -0.875, -0.39999999999999997, 85672, 85672
0, 10000, -1.0, -0.975, 179374, 179374
0, 15000, -0.9375, -0.975, 286243, 286243
0, 20000, -0.875, -0.8, 394340, 394340
0, 25000, -0.875, -0.9, 505007, 505007
0, 30000, -0.8125, -0.875, 623137, 623137
0, 35000, -0.625, -0.9, 737496, 737496
0, 40000, -0.9375, -0.975, 850885, 850885
0, 45000, -0.15625, -0.875, 963536, 963536
0, 50000, -0.5, -0.85, 1079098, 1079098
0, 55000, -0.125, -0.12500000000000006, 1198134, 1198134
0, 60000, -0.375, -0.85, 1317683, 1317683
0, 65000, -0.40625, -0.975, 1439677, 1439677
0, 70000, -0.25, 0.39999999999999997, 1561135, 1561135
0, 75000, -0.5, -0.875, 1683997, 1683997
0, 80000, -0.46875, -0.8, 1808167, 1808167
0, 85000, 0.0, -0.95, 1931229, 1931229
0, 90000, -0.25, -0.925, 2059218, 2059218
0, 95000, 0.09375, -0.925, 2184976, 2184976
0, 100000, -0.375, -0.95, 2310178, 2310178
0, 105000, -0.21875, -0.9, 2440556, 2440556
0, 110000, -0.53125, -0.975, 2569791, 2569791
0, 115000, -0.09375, -0.825, 2700209, 2700209
0, 120000, -0.65625, -0.9, 2833361, 2833361
0, 125000, -0.09375, -0.975, 2961147, 2961147
0, 130000, -0.40625, -0.775, 3092477, 3092477
0, 135000, -0.125, -0.5249999999999999, 3225735, 3225735
0, 140000, -0.375, -0.95, 3359556, 3359556
0, 145000, 0.21875, -0.775, 3495791, 3495791
0, 150000, 0.1875, -0.875, 3631896, 3631896
0, 155000, -0.03125, 0.27499999999999997, 3769681, 3769681
0, 160000, -0.34375, -0.125, 3905090, 3905090
0, 165000, 0.0625, -0.024999999999999967, 4043037, 4043037
0, 170000, -0.59375, -1.0, 4180185, 4180185
0, 175000, -0.75, -0.95, 4320267, 4320267
0, 180000, 0.0625, -0.85, 4462748, 4462748
0, 185000, -0.3125, -0.95, 4600952, 4600952
0, 190000, 0.1875, -0.925, 4737861, 4737861
0, 195000, 0.40625, 0.42499999999999993, 4878783, 4878783
0, 200000, -0.1875, -0.675, 5022237, 5022237
0, 205000, -0.28125, -0.725, 5157214, 5157214
0, 210000, -0.4375, -0.925, 5298766, 5298766
0, 215000, -0.75, -0.6, 5436551, 5436551
0, 220000, -0.15625, -0.22499999999999998, 5578372, 5578372
0, 225000, 0.1875, -0.825, 5721822, 5721822
0, 230000, 0.34375, -0.65, 5861535, 5861535
0, 235000, 0.3125, -0.75, 6000212, 6000212
0, 240000, 0.21875, -0.725, 6135865, 6135865
0, 245000, -0.3125, 0.6000000000000001, 6279325, 6279325
0, 250000, 0.3125, 0.22499999999999998, 6421303, 6421303
0, 255000, -0.125, -0.9, 6564282, 6564282
0, 260000, -0.5, -0.85, 6704953, 6704953
0, 265000, 0.125, -0.925, 6848182, 6848182
0, 270000, 0.53125, 0.25, 6995617, 6995617
0, 275000, 0.0625, 0.44999999999999996, 7136239, 7136239
0, 280000, 0.125, -0.45, 7281148, 7281148
0, 285000, -0.21875, -0.725, 7427407, 7427407
0, 290000, 0.25, -0.95, 7572461, 7572461
0, 295000, 0.0, -0.55, 7717838, 7717838
0, 300000, 0.0625, 0.19999999999999996, 7860718, 7860718
0, 305000, 0.25, 0.0, 8004679, 8004679
0, 310000, -0.125, -0.8, 8147706, 8147706
0, 315000, -0.125, -0.8, 8296868, 8296868
0, 320000, 0.0625, -0.825, 8445882, 8445882
0, 325000, 0.15625, -0.625, 8587134, 8587134
0, 330000, -0.03125, -0.75, 8740614, 8740614
0, 335000, 0.1875, -0.725, 8890927, 8890927
0, 340000, -0.46875, -0.75, 9041609, 9041609
0, 345000, 0.4375, -0.85, 9193142, 9193142
0, 350000, 0.25, -0.65, 9347921, 9347921
0, 355000, -0.25, -0.825, 9506957, 9506957
0, 360000, -0.5, -0.95, 9657904, 9657904
0, 365000, -0.0625, -1.0, 9817630, 9817630
0, 370000, 0.25, -0.625, 9976835, 9976835
0, 375000, -0.25, 0.6, 10128746, 10128746
0, 380000, -0.3125, -0.9, 10276180, 10276180
0, 385000, 0.0625, -0.85, 10430600, 10430600
0, 390000, -0.34375, -0.65, 10590166, 10590166
0, 395000, 0.40625, -0.475, 10749463, 10749463
0, 400000, 0.1875, -1.0, 10924624, 10924624
0, 405000, 0.40625, -0.875, 11087042, 11087042
0, 410000, -0.4375, -0.95, 11242440, 11242440
0, 415000, -0.21875, -0.45, 11405191, 11405191
0, 420000, 0.375, -0.325, 11573815, 11573815
0, 425000, 0.125, -0.425, 11735519, 11735519
0, 430000, 0.1875, -0.4, 11903442, 11903442
0, 435000, -0.875, -0.925, 12066037, 12066037
0, 440000, 0.1875, -0.925, 12230628, 12230628
0, 445000, 0.3125, -0.825, 12402255, 12402255
0, 450000, -0.1875, -0.975, 12565655, 12565655
0, 455000, 0.75, 0.04999999999999999, 12728877, 12728877
0, 460000, 0.625, 0.0, 12906353, 12906353
0, 465000, -0.1875, -0.9, 13072228, 13072228
0, 470000, 0.65625, 0.75, 13229256, 13229256
0, 475000, 0.09375, -0.85, 13415812, 13415812
0, 480000, -0.125, -0.3, 13599927, 13599927
0, 485000, -0.4375, -1.0, 13776993, 13776993
0, 490000, -0.40625, -0.95, 13960724, 13960724
0, 495000, 0.125, 0.4, 14140003, 14140003
0, 500000, 0.4375, 0.55, 14334301, 14334301
1, 5000, -1.0, -0.8999999999999999, 71947, 71947
1, 10000, -1.0, -0.7, 158765, 158765
1, 15000, -0.875, -0.8500000000000001, 252906, 252906
1, 20000, -0.9375, -1.0, 355524, 355524
1, 25000, -0.75, -0.975, 462280, 462280
1, 30000, -0.78125, -0.95, 570820, 570820
1, 35000, -0.53125, -0.925, 684657, 684657
