TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:3.7->3.7, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1, evalQ: 0, evalT: -1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 1000, -0.9375, 0.0, 19452, 18452, 0.96, 20262.5, 0.0, 0.0
0, 2000, -0.78125, 0.0, 40457, 38457, 1.829, 22119.73756150902, 0.0, 0.0
0, 3000, -0.75, 0.0, 61631, 58631, 2.699, 22834.753612449058, 0.0, 0.0
0, 4000, -0.875, 0.0, 83251, 79251, 3.625, 22965.793103448275, 0.0, 0.0
0, 5000, -0.84375, 0.0, 108036, 103036, 4.644, 23263.565891472866, 0.0, 0.0
0, 6000, -0.8125, 0.0, 133300, 127300, 5.686, 23443.54555047485, 0.0, 0.0
0, 7000, -0.9375, 0.0, 156635, 149635, 6.635, 23607.38507912585, 0.0, 0.0
0, 8000, -0.53125, 0.0, 182218, 174218, 7.678, 23732.48241729617, 0.0, 0.0
0, 9000, -0.0625, 0.0, 209572, 200572, 8.776, 23880.12762078396, 0.0, 0.0
0, 10000, -0.4375, 0.0, 237579, 227579, 9.906, 23983.34342822532, 0.0, 0.0
