TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:2.5->2.5, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
"run","gameNum","evalQ","evalT","actionNum","trnMoves","elapsedTime","movesSecond","X","X.1"
0,5000,-0.9375,-1,105199,100199,6.631,15864.7262856281,0,0
0,10000,-0.875,-0.9,216329,206329,13.452,16081.5492120131,0,0
0,15000,-0.53125,0.6,338694,323694,20.898,16207.0054550675,0,0
0,20000,-0.53125,-0.625,473170,453170,29.886,15832.4968212541,0,0
0,25000,-0.3125,-0.225,605260,580260,37.933,15956.0277331084,0,0
0,30000,-0.46875,-0.950000000000001,735066,705066,45.885,16019.7450147107,0,0
0,35000,-0.40625,-0.875,872516,837516,54.238,16086.8026107157,0,0
0,40000,-0.21875,-0.4,1005571,965571,62.428,16107.6920612546,0,0
0,45000,-0.375,0.025,1144737,1099737,70.928,16139.4230769231,0,0
0,50000,-0.15625,-0.85,1281682,1231682,79.463,16129.2928784466,0,0
0,55000,0.03125,-0.9,1419164,1364164,88.196,16091.0245362601,0,0
0,60000,0.125,-0.925,1559244,1499244,97.256,16032.3681829399,0,0
0,65000,-0.0625,-0.05,1694132,1629132,106.158,15958.5900261874,0,0
0,70000,-0.34375,-0.85,1830806,1760806,115.464,15856.0763528026,0,0
0,75000,-0.125,-0.725,1968276,1893276,124.976,15749.2318525157,0,0
0,80000,-0.03125,-0.825,2105779,2025779,133.532,15769.8454303088,0,0
0,85000,0.21875,-0.925,2244925,2159925,142.293,15776.7774943251,0,0
0,90000,-0.34375,-0.875,2388548,2298548,151.117,15805.9516798242,0,0
0,95000,0.46875,-0.950000000000001,2526554,2431554,159.772,15813.4967328443,0,0
0,100000,-0.21875,-0.775,2660101,2560101,168.356,15800.4526123215,0,0
0,105000,-0.71875,-0.85,2798179,2693179,177.358,15777.0103406669,0,0
0,110000,0.15625,-0.85,2940098,2830098,185.956,15810.7186646303,0,0
0,115000,0,-0.925,3078585,2963585,194.598,15820.2293959856,0,0
0,120000,0.28125,0.075,3222671,3102671,203.247,15855.9339129237,0,0
0,125000,0.5625,0.25,3371150,3246150,212.574,15858.7127306256,0,0
0,130000,0.0625,-0.175,3520969,3390969,221.669,15883.9034777078,0,0
0,135000,0.28125,0.075,3665496,3530496,230.57,15897.5408769571,0,0
0,140000,-0.125,0.7,3812184,3672184,240.108,15876.9553700835,0,0
0,145000,0.28125,0.375,3963209,3818209,249.337,15894.9895121863,0,0
0,150000,0.15625,-0.05,4112913,3962913,258.636,15902.3221825268,0,0
0,155000,0.21875,-0.875,4262924,4107924,267.684,15925.2103226192,0,0
0,160000,0.1875,-0.65,4411505,4251505,277.243,15912.0518822838,0,0
0,165000,0.46875,-0.875,4557492,4392492,286.272,15920.1458752515,0,0
0,170000,0.3125,-0.775,4708552,4538552,295.426,15938.1774116022,0,0
0,175000,0.25,-0.65,4861006,4686006,305.36,15918.9350275085,0,0
0,180000,0.375,0.025,5017295,4837295,315.825,15886.3136230507,0,0
0,185000,0.28125,-0.225,5169163,4984163,325.715,15870.2024776261,0,0
0,190000,0.59375,0.275,5322678,5132678,335.837,15848.9922194398,0,0
0,195000,-0.03125,0.075,5477843,5282843,346.58,15805.4215476946,0,0
0,200000,0.40625,-0.575,5630339,5430339,357.731,15739.0301651241,0,0
0,205000,0.1875,0.4,5791714,5586714,367.581,15756.2931707569,0,0
0,210000,0.3125,0.425,5948246,5738246,378.091,15732.3131203864,0,0
0,215000,0.78125,0.175,6103594,5888594,389.101,15686.400189154,0,0
0,220000,0.71875,0.3,6261898,6041898,399.899,15658.6988214524,0,0
0,225000,0.40625,0.625,6416536,6191536,409.948,15652.072945837,0,0
0,230000,0.3125,0.25,6574984,6344984,419.57,15670.767690731,0,0
0,235000,0.46875,0.375,6729873,6494873,429.003,15687.239949371,0,0
0,240000,0.21875,0.625,6882721,6642721,438.284,15703.7925180933,0,0
0,245000,0.59375,0.35,7040619,6795619,447.889,15719.562212959,0,0
0,250000,0.6875,0.25,7199503,6949503,457.379,15740.7817149454,0,0
0,255000,0.59375,0.525,7356866,7101866,466.659,15764.971853109,0,0
0,260000,0.21875,0.625,7522578,7262578,476.625,15783.0118017309,0,0
0,265000,0.4375,0.15,7678344,7413344,486.339,15788.0490768785,0,0
0,270000,0.21875,0.3,7834703,7564703,495.638,15807.3089633967,0,0
0,275000,0.53125,0.55,7989278,7714278,505.218,15813.5260422234,0,0
0,280000,0.625,0.3,8138209,7858209,514.684,15812.049723714,0,0
0,285000,0.875,0.75,8293028,8008028,524.067,15824.3659684735,0,0
0,290000,0.5,0.5,8456509,8166509,533.627,15847.22849481,0,0
0,295000,0.4375,0.85,8607155,8312155,542.786,15857.3636755554,0,0
0,300000,0.5,0.7,8762026,8462026,552.346,15863.2922117658,0,0
0,305000,0.25,0.525,8917524,8612524,561.671,15876.7748379389,0,0
0,310000,0.25,0.55,9073467,8763467,570.976,15891.1530432102,0,0
0,315000,0.4375,0.75,9234270,8919270,580.454,15908.7024983892,0,0
0,320000,0.59375,0.85,9395827,9075827,589.963,15926.1292657336,0,0
0,325000,0.59375,0.7,9555968,9230968,599.692,15934.7931938395,0,0
0,330000,0.15625,-0.725,9715126,9385126,609.102,15949.9164343575,0,0
0,335000,0.5625,0.65,9881011,9546011,618.848,15966.7818268783,0,0
0,340000,0.34375,0.8,10035252,9695252,628.05,15978.4284690709,0,0
0,345000,0.5625,0.75,10189468,9844468,637.256,15989.599156383,0,0
0,350000,0.6875,0.85,10340317,9990317,646.095,16004.3290847321,0,0
0,355000,0.8125,0.175,10494103,10139103,656.245,15991.1359324642,0,0
0,360000,0.625,1,10641759,10281759,666.4,15969.0261104442,0,0
0,365000,0.65625,0.950000000000001,10792950,10427950,675.424,15979.5180508836,0,0
0,370000,0.84375,0.85,10951612,10581612,684.808,15992.2372402192,0,0
0,375000,0.3125,-0.950000000000001,11109930,10734930,694.112,16005.9615739247,0,0
0,380000,0.5,1,11271439,10891439,703.592,16019.8509931892,0,0
0,385000,0.75,0.975000000000001,11425818,11040818,712.634,16033.2204188967,0,0
0,390000,0.84375,0.775,11577660,11187660,721.767,16040.7167409981,0,0
0,395000,0.8125,0.85,11738317,11343317,731.184,16053.8482789558,0,0
0,400000,0.6875,0.875,11901037,11501037,740.664,16068.0646014927,0,0
0,405000,0.8125,0.85,12056487,11651487,749.824,16079.0892262718,0,0
0,410000,0.6875,1,12212554,11802554,758.985,16090.6394724533,0,0
0,415000,0.53125,1,12374212,11959212,768.476,16102.2751523795,0,0
0,420000,0.875,1,12532687,12112687,777.741,16114.2166865319,0,0
0,425000,0.78125,0.950000000000001,12691655,12266655,786.856,16129.577711805,0,0
0,430000,0.5,0.15,12851740,12421740,796.274,16139.846334302,0,0
0,435000,0.9375,0.85,13003948,12568948,805.435,16145.248219906,0,0
0,440000,0.875,1,13162885,12722885,815.609,16138.7196561097,0,0
0,445000,0.8125,0.975000000000001,13320870,12875870,824.803,16150.365602453,0,0
0,450000,0.59375,0.950000000000001,13472980,13022980,833.691,16160.6398533749,0,0
0,455000,0.8125,0.950000000000001,13625568,13170568,842.643,16170.0364211178,0,0
0,460000,0.875,0.8,13779100,13319100,851.788,16176.6777648899,0,0
0,465000,0.4375,0.875,13941148,13476148,861.218,16187.7108931769,0,0
0,470000,0.8125,0.950000000000001,14100677,13630677,870.305,16201.9947030064,0,0
0,475000,0.59375,0.950000000000001,14258689,13783689,879.404,16214.0370068819,0,0
0,480000,0.78125,0.9,14413591,13933591,888.535,16221.7481584856,0,0
0,485000,0.75,1,14561528,14076528,897.263,16228.8292284425,0,0
0,490000,0.75,0.875,14709348,14219348,906.006,16235.3759246628,0,0
0,495000,0.90625,1,14865614,14370614,915.02,16246.2175690149,0,0
0,500000,0.625,1,15029396,14529396,924.43,16258.0141276246,0,0
0,505000,0.96875,1,15189780,14684780,933.462,16272.5210024618,0,0
0,510000,0.625,0.925,15346140,14836140,942.703,16278.8704395764,0,0
0,515000,0.46875,1,15501082,14986082,951.793,16286.1903796309,0,0
0,520000,0.90625,0.950000000000001,15655048,15135048,960.857,16292.7969510552,0,0
0,525000,0.625,1,15820664,15295664,971.404,16286.3895969133,0,0
0,530000,0.34375,1,15978271,15448271,981.144,16285.3475126995,0,0
0,535000,0.5625,0.950000000000001,16137451,15602451,990.623,16290.2042452073,0,0
0,540000,0.84375,0.950000000000001,16293610,15753610,999.627,16299.6897842895,0,0
0,545000,0.75,0.950000000000001,16456503,15911503,1008.936,16310.7501367778,0,0
0,550000,0.875,0.925,16612109,16062109,1017.923,16319.612583663,0,0
0,555000,0.84375,1,16763312,16208312,1026.69,16327.5302184691,0,0
0,560000,0.59375,0.75,16916187,16356187,1035.571,16335.1300876521,0,0
0,565000,0.53125,0.950000000000001,17078411,16513411,1044.687,16347.8735736158,0,0
0,570000,0.96875,0.9,17245184,16675184,1053.892,16363.331347045,0,0
0,575000,0.6875,0.975000000000001,17402924,16827924,1062.945,16372.36545635,0,0
0,580000,0.8125,0.975000000000001,17570298,16990298,1072.437,16383.5246266214,0,0
0,585000,0.875,1,17728047,17143047,1081.569,16391.0457862605,0,0
0,590000,1,0.925,17886892,17296892,1090.655,16400.1375320335,0,0
0,595000,0.9375,1,18043417,17448417,1099.679,16407.8944855726,0,0
0,600000,0.8125,0.9,18206215,17606215,1108.989,16416.9482294234,0,0
0,605000,0.75,0.85,18364586,17759586,1117.944,16427.1072611866,0,0
0,610000,0.71875,0.950000000000001,18517174,17907174,1126.666,16435.3712635333,0,0
0,615000,1,0.950000000000001,18675967,18060967,1135.836,16442.4855348836,0,0
0,620000,0.75,0.925,18826541,18206541,1144.72,16446.4157173807,0,0
0,625000,0.875,0.950000000000001,18984282,18359282,1155.535,16428.997823519,0,0
0,630000,0.8125,0.950000000000001,19132655,18502655,1164.688,16427.2792370145,0,0
0,635000,0.875,0.950000000000001,19292680,18657680,1173.822,16435.7798712241,0,0
0,640000,0.8125,0.950000000000001,19446431,18806431,1182.643,16443.1962984603,0,0
0,645000,0.9375,0.975000000000001,19606910,18961910,1191.816,16451.2894607892,0,0
0,650000,0.9375,1,19767503,19117503,1200.995,16459.271687226,0,0
0,655000,0.8125,1,19928025,19273025,1210.309,16465.2373897905,0,0
0,660000,0.875,0.85,20082101,19422101,1219.068,16473.3230631925,0,0
0,665000,0.875,0.925,20236972,19571972,1227.9,16480.9609903087,0,0
0,670000,0.9375,0.85,20400565,19730565,1237.03,16491.5685149107,0,0
0,675000,0.75,0.975000000000001,20562901,19887901,1246.271,16499.5422343936,0,0
0,680000,0.6875,0.975000000000001,20728397,20048397,1255.579,16509.0344773208,0,0
