TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:3.7->3.7, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond, , 
0, 5000, -0.9375, -1.0000000000000004, 99301, 94301, 7.465, 13302.21031480241, 0.0, 0.0
0, 10000, -0.84375, -0.9500000000000005, 211185, 201185, 15.72, 13434.16030534351, 0.0, 0.0
0, 15000, -0.5625, -0.6500000000000002, 332421, 317421, 24.301, 13679.313608493478, 0.0, 0.0
0, 20000, -0.71875, -0.9000000000000005, 458866, 438866, 33.304, 13778.104732164304, 0.0, 0.0
0, 25000, -0.9375, -0.6750000000000003, 587210, 562210, 42.299, 13882.361285136765, 0.0, 0.0
0, 30000, -0.3125, -0.7750000000000004, 717522, 687522, 51.397, 13960.386793003483, 0.0, 0.0
0, 35000, -0.28125, -0.24999999999999997, 844495, 809495, 60.248, 14016.979816757403, 0.0, 0.0
0, 40000, -0.5, -0.9750000000000005, 974690, 934690, 69.265, 14071.89778387353, 0.0, 0.0
0, 45000, 0.0625, -0.9500000000000005, 1107217, 1062217, 78.564, 14093.185173870985, 0.0, 0.0
0, 50000, -0.28125, -0.6000000000000002, 1244197, 1194197, 88.022, 14135.068505600872, 0.0, 0.0
0, 55000, -0.1875, -1.0000000000000004, 1382250, 1327250, 97.577, 14165.73577789848, 0.0, 0.0
0, 60000, 0.03125, -0.9250000000000005, 1519680, 1459680, 107.108, 14188.295925607797, 0.0, 0.0
0, 65000, -0.25, -0.9250000000000005, 1661420, 1596420, 116.94, 14207.45681546092, 0.0, 0.0
0, 70000, 0.28125, -0.6000000000000002, 1802712, 1732712, 126.733, 14224.48770249264, 0.0, 0.0
0, 75000, 0.0625, -0.325, 1943325, 1868325, 136.453, 14241.71692817307, 0.0, 0.0
0, 80000, 0.0, -1.0000000000000004, 2089847, 2009847, 146.487, 14266.433198850411, 0.0, 0.0
0, 85000, -0.28125, -0.6250000000000002, 2233123, 2148123, 156.451, 14273.625608017846, 0.0, 0.0
0, 90000, 0.03125, -0.9250000000000005, 2371086, 2281086, 166.042, 14280.037580853037, 0.0, 0.0
0, 95000, 0.3125, -0.9500000000000005, 2512308, 2417308, 175.871, 14284.94748992159, 0.0, 0.0
0, 100000, 0.625, -0.9750000000000005, 2650349, 2550349, 185.511, 14286.748494698428, 0.0, 0.0
0, 105000, 0.46875, -0.9750000000000005, 2794092, 2689092, 195.513, 14291.080388516364, 0.0, 0.0
0, 110000, 0.3125, -0.8000000000000004, 2940232, 2830232, 205.72, 14292.397433404627, 0.0, 0.0
0, 115000, 0.0625, -0.24999999999999997, 3088386, 2973386, 215.988, 14298.877715428634, 0.0, 0.0
0, 120000, 0.15625, -0.8750000000000004, 3232246, 3112246, 226.007, 14301.530483569093, 0.0, 0.0
0, 125000, 0.3125, -0.9500000000000005, 3378407, 3253407, 236.23, 14301.346145705456, 0.0, 0.0
0, 130000, 0.375, -0.6750000000000003, 3523007, 3393007, 246.323, 14302.387515579137, 0.0, 0.0
0, 135000, -0.09375, -0.5250000000000001, 3671460, 3536460, 256.651, 14305.262788767626, 0.0, 0.0
0, 140000, 0.28125, -0.6250000000000002, 3817379, 3677379, 266.778, 14309.197160185622, 0.0, 0.0
0, 145000, 0.59375, -0.3, 3964606, 3819606, 277.005, 14312.398693164383, 0.0, 0.0
0, 150000, 0.4375, -0.6250000000000002, 4108006, 3958006, 287.083, 14309.471476889958, 0.0, 0.0
0, 155000, 0.25, -0.8500000000000004, 4250887, 4095887, 297.089, 14308.463120479048, 0.0, 0.0
0, 160000, 0.46875, -0.9250000000000005, 4395433, 4235433, 307.205, 14307.817255578524, 0.0, 0.0
0, 165000, 0.5, -0.9500000000000005, 4545968, 4380968, 317.73, 14307.644855695085, 0.0, 0.0
0, 170000, 0.25, -0.175, 4692643, 4522643, 327.903, 14311.070651991595, 0.0, 0.0
0, 175000, 0.28125, 0.3, 4841757, 4666757, 338.27, 14313.29115795075, 0.0, 0.0
0, 180000, 0.375, 0.37500000000000006, 4986778, 4806778, 348.345, 14315.62962006057, 0.0, 0.0
0, 185000, 0.5, -0.6250000000000002, 5134126, 4949126, 358.595, 14317.33850165228, 0.0, 0.0
0, 190000, 0.6875, -0.9500000000000005, 5282394, 5092394, 368.926, 14318.302315369478, 0.0, 0.0
