TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond, , 
0, 5000, -0.75, -0.125, 99351, 94351, 6.869, 14463.677391177756, 0.0, 0.0
0, 10000, -0.90625, -1.0000000000000004, 213177, 203177, 14.23, 14980.815179198875, 0.0, 0.0
0, 15000, -0.65625, -0.9500000000000005, 327985, 312985, 21.715, 15104.075523831452, 0.0, 0.0
0, 20000, -0.5625, -0.5000000000000001, 453779, 433779, 31.878, 14234.864169646778, 0.0, 0.0
0, 25000, -0.9375, -1.0000000000000004, 581582, 556582, 40.237, 14453.910579814597, 0.0, 0.0
0, 30000, -0.28125, -0.22499999999999998, 712127, 682127, 49.474, 14393.964506609533, 0.0, 0.0
0, 35000, -0.6875, -0.19999999999999998, 845650, 810650, 58.724, 14400.41550303113, 0.0, 0.0
0, 40000, 0.25, 0.1, 976457, 936457, 67.627, 14438.863175950435, 0.0, 0.0
0, 45000, 0.21875, -0.1, 1110928, 1065928, 76.748, 14475.009120758847, 0.0, 0.0
0, 50000, -0.21875, -0.07500000000000001, 1250147, 1200147, 85.825, 14566.233614914068, 0.0, 0.0
0, 55000, 0.125, -0.175, 1387893, 1332893, 94.799, 14640.37595333284, 0.0, 0.0
0, 60000, 0.375, -0.075, 1523836, 1463836, 104.753, 14546.943762947123, 0.0, 0.0
0, 65000, 0.125, -0.175, 1663229, 1598229, 114.638, 14508.531202568083, 0.0, 0.0
0, 70000, -0.0625, -0.4250000000000001, 1801263, 1731263, 123.961, 14530.884713740612, 0.0, 0.0
0, 75000, 0.21875, 0.19999999999999998, 1946091, 1871091, 133.782, 14546.732744315377, 0.0, 0.0
0, 80000, 0.40625, 0.4500000000000001, 2088106, 2008106, 143.317, 14569.84167963326, 0.0, 0.0
0, 85000, -0.1875, -0.9500000000000005, 2229384, 2144384, 152.826, 14587.727219190452, 0.0, 0.0
0, 90000, 0.21875, -0.9000000000000005, 2366594, 2276594, 162.115, 14598.241988711716, 0.0, 0.0
0, 95000, -0.34375, -1.0000000000000004, 2507813, 2412813, 172.444, 14542.767507132752, 0.0, 0.0
0, 100000, 0.6875, 0.4250000000000001, 2652639, 2552639, 185.392, 14308.271122810045, 0.0, 0.0
0, 105000, 0.28125, -0.9000000000000005, 2792747, 2687747, 195.536, 14282.520865722936, 0.0, 0.0
0, 110000, -0.65625, -0.7750000000000004, 2936280, 2826280, 207.323, 14162.828050915721, 0.0, 0.0
0, 115000, 0.25, -0.9000000000000005, 3076948, 2961948, 217.241, 14163.75361925235, 0.0, 0.0
0, 120000, -0.125, -0.8250000000000004, 3221574, 3101574, 227.201, 14179.400618835305, 0.0, 0.0
0, 125000, 0.3125, -1.0000000000000004, 3365961, 3240961, 237.022, 14201.048847786282, 0.0, 0.0
0, 130000, 0.59375, -0.9500000000000005, 3510653, 3380653, 246.721, 14229.24274788121, 0.0, 0.0
0, 135000, 0.46875, -0.6750000000000003, 3657766, 3522766, 256.533, 14258.461874300772, 0.0, 0.0
0, 140000, -0.25, -0.6000000000000002, 3807117, 3667117, 266.583, 14281.169466920244, 0.0, 0.0
0, 145000, 0.625, -0.4250000000000001, 3956621, 3811621, 276.561, 14306.503809286198, 0.0, 0.0
0, 150000, 0.3125, -0.7750000000000004, 4104435, 3954435, 287.605, 14271.083604248883, 0.0, 0.0
0, 155000, 0.1875, -0.7000000000000003, 4251610, 4096610, 297.57, 14287.76422354404, 0.0, 0.0
0, 160000, -0.15625, -0.8250000000000004, 4399625, 4239625, 307.477, 14308.79382848148, 0.0, 0.0
0, 165000, -0.03125, -0.9000000000000005, 4550520, 4385520, 317.846, 14316.744587001253, 0.0, 0.0
0, 170000, 0.25, -0.9000000000000005, 4700658, 4530658, 327.877, 14336.650634231739, 0.0, 0.0
0, 175000, 0.5, 0.6750000000000003, 4851288, 4676288, 338.194, 14344.689734294516, 0.0, 0.0
0, 180000, 0.75, 0.35000000000000003, 5001221, 4821221, 348.18, 14363.895111723821, 0.0, 0.0
0, 185000, 0.34375, 0.6250000000000002, 5152115, 4967115, 358.263, 14380.81800241722, 0.0, 0.0
0, 190000, 0.3125, 0.7500000000000003, 5297855, 5107855, 368.974, 14358.342322223247, 0.0, 0.0
0, 195000, 0.625, 0.19999999999999998, 5448100, 5253100, 379.144, 14369.47439495284, 0.0, 0.0
0, 200000, 0.5, 0.8500000000000004, 5603285, 5403285, 389.616, 14381.557738901894, 0.0, 0.0
0, 205000, 0.59375, 0.8500000000000004, 5754397, 5549397, 399.667, 14397.978817365458, 0.0, 0.0
0, 210000, 0.4375, 0.8750000000000004, 5904203, 5694203, 409.773, 14408.472495747645, 0.0, 0.0
0, 215000, -0.15625, -0.8000000000000004, 6055180, 5840180, 419.903, 14420.42566973801, 0.0, 0.0
0, 220000, 0.5, -0.8250000000000004, 6210125, 5990125, 430.127, 14437.886949668353, 0.0, 0.0
0, 225000, 0.21875, -0.8000000000000004, 6362989, 6137989, 441.25, 14420.371671388102, 0.0, 0.0
0, 230000, 0.0625, -0.8000000000000004, 6516087, 6286087, 451.918, 14418.737470072005, 0.0, 0.0
0, 235000, 0.125, -0.8000000000000004, 6666391, 6431391, 463.07, 14396.076187185523, 0.0, 0.0
0, 240000, 0.40625, -0.7750000000000004, 6822522, 6582522, 474.925, 14365.472443017317, 0.0, 0.0
0, 245000, 0.78125, 0.8500000000000004, 6972828, 6727828, 485.315, 14367.633392744918, 0.0, 0.0
0, 250000, 0.3125, 0.8750000000000004, 7132460, 6882460, 496.776, 14357.497141568836, 0.0, 0.0
0, 255000, 0.75, 0.6000000000000002, 7286692, 7031692, 507.187, 14366.874545286058, 0.0, 0.0
0, 260000, -0.09375, -0.6000000000000002, 7442077, 7182077, 517.478, 14381.436505513278, 0.0, 0.0
0, 265000, -0.0625, -0.8250000000000004, 7595451, 7330451, 528.047, 14384.043465827852, 0.0, 0.0
0, 270000, 0.1875, 0.3, 7753313, 7483313, 538.39, 14400.923122643437, 0.0, 0.0
0, 275000, 0.25, 0.3, 7912313, 7637313, 548.858, 14415.956404024357, 0.0, 0.0
0, 280000, 0.28125, 0.5000000000000001, 8070954, 7790954, 560.649, 14395.73422943767, 0.0, 0.0
0, 285000, 0.59375, 0.05000000000000001, 8232282, 7947282, 572.487, 14379.858407265145, 0.0, 0.0
0, 290000, 0.8125, 0.9500000000000005, 8385854, 8095854, 583.649, 14367.974587466097, 0.0, 0.0
0, 295000, 0.875, 0.8500000000000004, 8542671, 8247671, 593.935, 14383.174926549204, 0.0, 0.0
0, 300000, 0.6875, 0.4250000000000001, 8690095, 8390095, 603.791, 14392.554708500125, 0.0, 0.0
0, 305000, 0.59375, 0.6000000000000002, 8845841, 8540841, 614.342, 14398.886939196735, 0.0, 0.0
0, 310000, 0.875, 0.9000000000000005, 9002659, 8692659, 624.585, 14413.825179919466, 0.0, 0.0
