controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond
0, 5000, 0.375, -0.525, 89957, 89957, 6.388, 14082.185347526613
0, 10000, 0.65625, -0.975, 193291, 193291, 13.683, 14126.361178104216
0, 15000, 0.8125, -0.925, 301204, 301204, 21.242, 14179.644101308728
0, 20000, 0.78125, -0.95, 412515, 412515, 29.023, 14213.382489749509
0, 25000, 0.75, -0.95, 529458, 529458, 37.285, 14200.295024808906
0, 30000, 0.8125, -0.9, 647189, 647189, 45.535999999999994, 14212.688861560086
0, 35000, 0.84375, -0.95, 769508, 769508, 54.270999999999994, 14178.990621142048
0, 40000, 0.75, -0.95, 892140, 892140, 62.75999999999999, 14215.105162523903
0, 45000, 0.875, -0.17499999999999993, 1019607, 1019607, 71.749, 14210.74858186177
0, 50000, 0.8125, -0.9, 1148868, 1148868, 80.613, 14251.646756726583
0, 55000, 0.8125, -0.375, 1275820, 1275820, 89.453, 14262.461851475076
0, 60000, 0.90625, -0.75, 1400751, 1400751, 98.492, 14221.977419485846
0, 65000, 0.65625, -0.65, 1528395, 1528395, 107.397, 14231.263443112935
0, 70000, 0.90625, 0.07500000000000001, 1657324, 1657324, 116.988, 14166.615379355148
0, 75000, 1.0, 0.45000000000000007, 1789775, 1789775, 126.568, 14140.817584223501
0, 80000, 0.9375, -0.95, 1924091, 1924091, 135.97299999999998, 14150.537239010688
0, 85000, 0.90625, -0.29999999999999993, 2058875, 2058875, 145.14999999999998, 14184.464347227009
0, 90000, 1.0, 0.6000000000000001, 2190337, 2190337, 155.135, 14118.90933702904
0, 95000, 0.96875, 0.55, 2320170, 2320170, 164.09199999999998, 14139.446164346831
0, 100000, 0.84375, -0.825, 2455403, 2455403, 173.504, 14151.852406860939
0, 105000, 1.0, 0.17499999999999993, 2589937, 2589937, 182.893, 14160.941096706818
0, 110000, 0.90625, 0.35000000000000003, 2726531, 2726531, 192.546, 14160.413615447738
0, 115000, 0.875, -0.95, 2863066, 2863066, 202.558, 14134.549116796177
0, 120000, 0.6875, -0.75, 2998248, 2998248, 212.683, 14097.262122501565
0, 125000, 0.65625, -0.95, 3138994, 3138994, 222.362, 14116.593662586234
0, 130000, 0.96875, -0.95, 3277801, 3277801, 232.103, 14122.18282400486
0, 135000, 0.875, -0.925, 3417496, 3417496, 241.845, 14130.935103061878
0, 140000, 0.90625, -0.15000000000000002, 3558899, 3558899, 252.063, 14119.085308038071
0, 145000, 0.9375, 0.575, 3701243, 3701243, 261.52799999999996, 14152.377565690866
0, 150000, 0.90625, 0.625, 3839508, 3839508, 271.09999999999997, 14162.700110660275
0, 155000, 0.8125, 0.4, 3978222, 3978222, 280.746, 14170.182300014962
0, 160000, 0.9375, -0.875, 4122527, 4122527, 290.644, 14184.111834409105
0, 165000, 1.0, 0.0, 4268313, 4268313, 300.672, 14195.91115900383
0, 170000, 0.8125, -0.775, 4418248, 4418248, 311.091, 14202.429514193596
0, 175000, 1.0, -0.35, 4561443, 4561443, 320.999, 14210.147072109257
0, 180000, 0.78125, -0.925, 4706690, 4706690, 330.92, 14223.044844675449
0, 185000, 1.0, 0.22499999999999998, 4854063, 4854063, 340.971, 14235.999542483085
0, 190000, 0.9375, 0.3, 5005980, 5005980, 351.908, 14225.252054514247
0, 195000, 1.0, -0.575, 5160028, 5160028, 362.36600000000004, 14239.823824530997
0, 200000, 1.0, 0.42499999999999993, 5314933, 5314933, 372.83500000000004, 14255.456166937116
0, 205000, 0.9375, -0.7, 5465728, 5465728, 383.124, 14266.211461563356
0, 210000, 1.0, 0.55, 5613978, 5613978, 393.17100000000005, 14278.718420229365
0, 215000, 1.0, 0.575, 5764472, 5764472, 403.41900000000004, 14289.0443930504
0, 220000, 0.90625, -0.85, 5916240, 5916240, 413.45200000000006, 14309.375695364877
0, 225000, 0.9375, -0.025000000000000022, 6063289, 6063289, 423.4030000000001, 14320.37326140816
0, 230000, 1.0, 0.75, 6211543, 6211543, 433.61300000000006, 14325.084810649125
0, 235000, 0.9375, 0.22499999999999998, 6363666, 6363666, 444.1720000000001, 14327.030969984598
0, 240000, 0.8125, 0.875, 6513508, 6513508, 454.8930000000001, 14318.769468864104
