TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond, , 
0, 5000, -0.9375, -0.5500000000000002, 102984, 97984, 8.146, 12642.278418855878, 0.0, 0.0
0, 10000, -0.84375, -0.4250000000000001, 207904, 197904, 15.714, 13230.495099910908, 0.0, 0.0
0, 15000, -0.375, -0.9000000000000005, 320249, 305249, 23.763, 13476.79165088583, 0.0, 0.0
0, 20000, -1.0, -0.9500000000000005, 442325, 422325, 32.552, 13588.258785942493, 0.0, 0.0
0, 25000, -0.0625, -0.9250000000000005, 567942, 542942, 41.502, 13684.689894462917, 0.0, 0.0
0, 30000, -0.28125, -1.0000000000000004, 695568, 665568, 50.568, 13755.102040816328, 0.0, 0.0
0, 35000, 0.40625, -0.8750000000000004, 823503, 788503, 59.668, 13801.417845411275, 0.0, 0.0
0, 40000, -0.6875, -0.8250000000000004, 952787, 912787, 68.795, 13849.654771422342, 0.0, 0.0
0, 45000, -0.21875, -0.1, 1082404, 1037404, 78.007, 13875.729101234503, 0.0, 0.0
0, 50000, -0.1875, -0.35000000000000003, 1217086, 1167086, 87.516, 13907.011289364229, 0.0, 0.0
0, 55000, 0.15625, -0.9250000000000005, 1354236, 1299236, 97.105, 13946.099582925699, 0.0, 0.0
0, 60000, 0.0625, -0.8250000000000004, 1484167, 1424167, 106.298, 13962.322903535343, 0.0, 0.0
0, 65000, 0.375, -0.9000000000000005, 1620372, 1555372, 115.89, 13981.982914833032, 0.0, 0.0
0, 70000, -0.25, -0.9000000000000005, 1757524, 1687524, 125.579, 13995.365467156134, 0.0, 0.0
0, 75000, -0.34375, 0.15, 1896418, 1821418, 135.395, 14006.55858783559, 0.0, 0.0
0, 80000, -0.5, -0.5250000000000001, 2035968, 1955968, 145.169, 14024.812459960458, 0.0, 0.0
0, 85000, 0.375, -0.8000000000000004, 2175918, 2090918, 155.013, 14037.003348106287, 0.0, 0.0
0, 90000, 0.3125, -0.8000000000000004, 2313288, 2223288, 164.748, 14041.372277660428, 0.0, 0.0
0, 95000, 0.3125, -0.8500000000000004, 2453581, 2358581, 174.681, 14046.066830393687, 0.0, 0.0
0, 100000, -0.625, -0.8000000000000004, 2594655, 2494655, 184.685, 14049.08357473536, 0.0, 0.0
0, 105000, -0.03125, 0.175, 2734200, 2629200, 194.515, 14056.49949875331, 0.0, 0.0
0, 110000, 0.25, -0.27499999999999997, 2876930, 2766930, 204.538, 14065.503720580038, 0.0, 0.0
0, 115000, -0.125, -0.8250000000000004, 3016889, 2901889, 214.421, 14069.932515938272, 0.0, 0.0
0, 120000, 0.4375, 0.47500000000000014, 3160720, 3040720, 224.557, 14075.357258958751, 0.0, 0.0
0, 125000, 0.25, -0.02500000000000001, 3307065, 3182065, 234.795, 14084.903852296686, 0.0, 0.0
0, 130000, -0.34375, -0.5500000000000002, 3447790, 3317790, 244.718, 14088.828774344349, 0.0, 0.0
0, 135000, 0.40625, 0.24999999999999997, 3594800, 3459800, 255.08, 14092.833620824838, 0.0, 0.0
0, 140000, 0.21875, -0.8000000000000004, 3743209, 3603209, 265.539, 14096.644937278517, 0.0, 0.0
0, 145000, 0.40625, -0.9000000000000005, 3892222, 3747222, 276.055, 14099.443951386498, 0.0, 0.0
0, 150000, 0.3125, -0.8000000000000004, 4037751, 3887751, 286.346, 14100.951296683033, 0.0, 0.0
0, 155000, -0.03125, -0.7250000000000003, 4189645, 4034645, 296.989, 14107.071305671256, 0.0, 0.0
0, 160000, -0.15625, -0.8250000000000004, 4340284, 4180284, 307.572, 14111.440573264146, 0.0, 0.0
0, 165000, 0.5625, 0.8500000000000004, 4487759, 4322759, 317.969, 14113.825561611353, 0.0, 0.0
0, 170000, 0.21875, 0.4000000000000001, 4636438, 4466438, 328.391, 14118.651241964608, 0.0, 0.0
