TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond, , 
0, 5000, -0.4375, -0.7000000000000003, 98500, 93500, 6.373, 15455.829279774047, 0.0, 0.0
0, 10000, -0.65625, -0.5750000000000002, 207816, 197816, 13.162, 15789.089803981156, 0.0, 0.0
0, 15000, -0.78125, -0.9250000000000005, 318848, 303848, 20.983, 15195.53924605633, 0.0, 0.0
0, 20000, -0.34375, -0.8500000000000004, 439700, 419700, 29.963, 14674.765544171143, 0.0, 0.0
0, 25000, -0.5625, -0.8500000000000004, 565332, 540332, 38.21, 14795.393875948705, 0.0, 0.0
0, 30000, -0.0625, -0.9500000000000005, 692822, 662822, 46.56, 14880.197594501717, 0.0, 0.0
0, 35000, -0.6875, -0.22499999999999998, 824494, 789494, 55.083, 14968.211607937114, 0.0, 0.0
0, 40000, -0.34375, -0.27499999999999997, 951819, 911819, 63.039, 15098.89116261362, 0.0, 0.0
0, 45000, 0.0, -0.9250000000000005, 1083078, 1038078, 71.243, 15202.588324466966, 0.0, 0.0
0, 50000, -0.125, -0.9250000000000005, 1214154, 1164154, 79.806, 15213.818509886476, 0.0, 0.0
0, 55000, -0.875, -0.9000000000000005, 1349687, 1294687, 88.292, 15286.628460109636, 0.0, 0.0
0, 60000, -0.1875, -0.9250000000000005, 1484926, 1424926, 96.665, 15361.568302901773, 0.0, 0.0
0, 65000, 0.34375, -0.8500000000000004, 1620745, 1555745, 104.936, 15445.080811161088, 0.0, 0.0
0, 70000, -0.3125, -0.8500000000000004, 1756910, 1686910, 113.172, 15524.246279998586, 0.0, 0.0
0, 75000, -0.1875, -0.8250000000000004, 1890607, 1815607, 121.68, 15537.532873109796, 0.0, 0.0
0, 80000, 0.3125, -0.9250000000000005, 2026561, 1946561, 130.474, 15532.297622514832, 0.0, 0.0
0, 85000, 0.25, -0.05000000000000001, 2163674, 2078674, 138.742, 15594.946014905365, 0.0, 0.0
0, 90000, 0.125, -0.8500000000000004, 2304671, 2214671, 147.325, 15643.448158832514, 0.0, 0.0
0, 95000, 0.625, 0.4500000000000001, 2448053, 2353053, 156.068, 15685.81003152472, 0.0, 0.0
0, 100000, 0.40625, 0.5750000000000002, 2590787, 2490787, 164.65, 15735.116914667477, 0.0, 0.0
0, 105000, 0.0625, 0.3, 2734881, 2629881, 173.379, 15774.003772083124, 0.0, 0.0
0, 110000, 0.125, -0.9500000000000005, 2877603, 2767603, 182.169, 15796.337466857696, 0.0, 0.0
0, 115000, 0.03125, -0.6750000000000003, 3022549, 2907549, 191.01, 15824.035390817235, 0.0, 0.0
0, 120000, 0.1875, -0.7750000000000004, 3167248, 3047248, 200.766, 15775.818614705679, 0.0, 0.0
0, 125000, 0.03125, -0.7750000000000004, 3315315, 3190315, 209.7, 15809.799713876968, 0.0, 0.0
0, 130000, 0.3125, -0.7500000000000003, 3464222, 3334222, 218.71, 15839.339764985596, 0.0, 0.0
0, 135000, 0.09375, -0.47500000000000014, 3610967, 3475967, 227.492, 15872.940586921739, 0.0, 0.0
0, 140000, 0.375, -0.9000000000000005, 3757508, 3617508, 236.308, 15900.892056130137, 0.0, 0.0
0, 145000, -0.03125, 0.5750000000000002, 3905138, 3760138, 246.472, 15844.144568145672, 0.0, 0.0
0, 150000, 0.40625, -0.9000000000000005, 4053650, 3903650, 256.846, 15782.414365028071, 0.0, 0.0
0, 155000, 0.46875, 0.37500000000000006, 4203616, 4048616, 266.365, 15781.412723143056, 0.0, 0.0
0, 160000, 0.15625, 0.125, 4353354, 4193354, 275.993, 15773.421789683072, 0.0, 0.0
0, 165000, 0.34375, -0.7500000000000003, 4502204, 4337204, 285.811, 15752.381818754353, 0.0, 0.0
0, 170000, 0.5625, 0.7500000000000003, 4653680, 4483680, 295.607, 15742.793641557877, 0.0, 0.0
0, 175000, 0.5, 0.6000000000000002, 4803094, 4628094, 305.151, 15740.056562161028, 0.0, 0.0
0, 180000, 0.65625, 0.6750000000000003, 4954669, 4774669, 314.807, 15738.751044290628, 0.0, 0.0
0, 185000, 0.5, 0.8750000000000004, 5103343, 4918343, 324.463, 15728.582303683315, 0.0, 0.0
0, 190000, 0.53125, 0.5250000000000001, 5253301, 5063301, 333.998, 15728.540290660423, 0.0, 0.0
0, 195000, 0.28125, 0.47500000000000014, 5405302, 5210302, 344.326, 15698.210416872382, 0.0, 0.0
0, 200000, 0.4375, 0.6000000000000002, 5557485, 5357485, 354.617, 15671.795204403623, 0.0, 0.0
0, 205000, 0.3125, -0.7250000000000003, 5710756, 5505756, 364.473, 15668.529630452735, 0.0, 0.0
0, 210000, 0.3125, -0.7750000000000004, 5863948, 5653948, 374.896, 15641.532585036915, 0.0, 0.0
0, 215000, 0.5, 0.6000000000000002, 6016782, 5801782, 385.442, 15610.084007451185, 0.0, 0.0
0, 220000, 0.34375, 0.5000000000000001, 6168412, 5948412, 395.008, 15615.916639662995, 0.0, 0.0
0, 225000, 0.3125, 0.4500000000000001, 6320954, 6095954, 405.005, 15607.101146899422, 0.0, 0.0
0, 230000, 0.1875, -0.7250000000000003, 6474468, 6244468, 415.046, 15599.398620875758, 0.0, 0.0
0, 235000, 0.4375, 0.9250000000000005, 6627508, 6392508, 424.891, 15598.136933943058, 0.0, 0.0
0, 240000, 0.3125, 0.7750000000000004, 6779466, 6539466, 434.779, 15592.901221080136, 0.0, 0.0
0, 245000, 0.5, 0.5750000000000002, 6929311, 6684311, 444.518, 15588.369874785723, 0.0, 0.0
0, 250000, 0.5, 0.6500000000000002, 7080446, 6830446, 454.227, 15587.902084200192, 0.0, 0.0
0, 255000, 0.6875, 0.5000000000000001, 7234569, 6979569, 465.332, 15547.112599176502, 0.0, 0.0
0, 260000, 0.625, -0.175, 7389819, 7129819, 475.348, 15546.124102762607, 0.0, 0.0
0, 265000, 0.6875, 0.4500000000000001, 7549421, 7284421, 485.723, 15542.646734867403, 0.0, 0.0
0, 270000, -0.6875, -0.8500000000000004, 7698441, 7428441, 495.678, 15531.133114642975, 0.0, 0.0
0, 275000, 0.65625, 0.6250000000000002, 7854825, 7579825, 505.63, 15534.728952000474, 0.0, 0.0
0, 280000, 0.6875, 0.37500000000000006, 8009687, 7729687, 516.003, 15522.558977370285, 0.0, 0.0
0, 285000, 0.0, -0.9500000000000005, 8166283, 7881283, 526.913, 15498.351720302971, 0.0, 0.0
0, 290000, 0.625, 0.15, 8326570, 8036570, 537.235, 15498.934358334807, 0.0, 0.0
0, 295000, 0.375, -0.27499999999999997, 8485950, 8190950, 547.294, 15505.286007155204, 0.0, 0.0
0, 300000, 0.4375, 0.7500000000000003, 8641184, 8341184, 557.366, 15503.608042112364, 0.0, 0.0
0, 305000, 0.53125, -0.8500000000000004, 8798274, 8493274, 567.495, 15503.703116327017, 0.0, 0.0
0, 310000, 0.625, 0.4500000000000001, 8955105, 8645105, 577.366, 15510.274245452625, 0.0, 0.0
0, 315000, 0.6875, 0.8000000000000004, 9109901, 8794901, 586.967, 15520.295008066894, 0.0, 0.0
0, 320000, 0.71875, -0.8500000000000004, 9268265, 8948265, 596.994, 15524.888022325182, 0.0, 0.0
0, 325000, 0.40625, 0.8250000000000004, 9423643, 9098643, 606.686, 15532.98246539396, 0.0, 0.0
0, 330000, 0.4375, 0.9000000000000005, 9576686, 9246686, 616.127, 15543.363624707245, 0.0, 0.0
0, 335000, 0.40625, 0.5250000000000001, 9735705, 9400705, 626.076, 15550.356506238859, 0.0, 0.0
0, 340000, 0.875, 0.9000000000000005, 9891539, 9551539, 635.951, 15553.93261430519, 0.0, 0.0
0, 345000, 0.875, 0.9750000000000005, 10052086, 9707086, 646.086, 15558.43339741149, 0.0, 0.0
0, 350000, 0.8125, 1.0000000000000004, 10204217, 9854217, 655.772, 15560.617104725421, 0.0, 0.0
0, 355000, 0.8125, 0.8000000000000004, 10360344, 10005344, 665.941, 15557.450284634824, 0.0, 0.0
0, 360000, 0.625, 0.9500000000000005, 10513876, 10153876, 676.804, 15534.594949202428, 0.0, 0.0
0, 365000, 0.375, -0.8750000000000004, 10677565, 10312565, 687.529, 15530.348538025306, 0.0, 0.0
0, 370000, 0.53125, -0.9000000000000005, 10837275, 10467275, 698.031, 15525.492420823719, 0.0, 0.0
0, 375000, 0.0625, -0.9500000000000005, 10999022, 10624022, 708.611, 15521.946455812851, 0.0, 0.0
0, 380000, 0.40625, -0.6250000000000002, 11161183, 10781183, 718.98, 15523.634871623688, 0.0, 0.0
0, 385000, 0.875, 0.175, 11327305, 10942305, 729.999, 15516.877420380028, 0.0, 0.0
0, 390000, 0.6875, -0.8000000000000004, 11490694, 11100694, 740.13, 15525.237458284355, 0.0, 0.0
0, 395000, 0.4375, -0.7500000000000003, 11649807, 11254807, 750.094, 15531.129431777883, 0.0, 0.0
0, 400000, 0.8125, 0.8750000000000004, 11816310, 11416310, 760.557, 15536.389777492022, 0.0, 0.0
0, 405000, 0.5, 0.07500000000000001, 11977144, 11572144, 770.619, 15542.238122859675, 0.0, 0.0
0, 410000, 0.46875, 0.3, 12148606, 11738606, 781.006, 15555.073840661917, 0.0, 0.0
0, 415000, 0.5625, 1.0000000000000004, 12314571, 11899571, 791.318, 15562.101456051803, 0.0, 0.0
0, 420000, 0.75, 0.9500000000000005, 12477761, 12057761, 802.284, 15552.798011676663, 0.0, 0.0
0, 425000, 0.9375, 0.47500000000000014, 12649270, 12224270, 812.869, 15561.265099296443, 0.0, 0.0
0, 430000, 0.5, 0.5500000000000002, 12814118, 12384118, 824.176, 15547.793189804119, 0.0, 0.0
0, 435000, 0.8125, 0.5500000000000002, 12969939, 12534939, 834.319, 15545.539535837013, 0.0, 0.0
0, 440000, 0.75, 0.5500000000000002, 13133079, 12693079, 844.462, 15552.007076694985, 0.0, 0.0
0, 445000, 0.5, 0.6250000000000002, 13300228, 12855228, 855.051, 15554.894386416716, 0.0, 0.0
0, 450000, 0.625, 1.0000000000000004, 13463355, 13013355, 865.475, 15556.029925763309, 0.0, 0.0
0, 455000, 0.90625, 0.8750000000000004, 13622620, 13167620, 875.501, 15559.799474814992, 0.0, 0.0
0, 460000, 0.375, -0.8500000000000004, 13782317, 13322317, 885.984, 15555.94344818868, 0.0, 0.0
0, 465000, 0.6875, 0.7500000000000003, 13946510, 13481510, 896.379, 15558.720139583815, 0.0, 0.0
0, 470000, 0.4375, 0.9500000000000005, 14109119, 13639119, 906.799, 15559.257343689174, 0.0, 0.0
0, 475000, 0.75, 0.9750000000000005, 14267473, 13792473, 917.211, 15555.278992510992, 0.0, 0.0
0, 480000, 0.8125, 0.9500000000000005, 14427234, 13947234, 927.702, 15551.582296901375, 0.0, 0.0
0, 485000, 1.0, 0.9000000000000005, 14584247, 14099247, 937.693, 15553.328221496802, 0.0, 0.0
0, 490000, 0.875, 1.0000000000000004, 14744579, 14254579, 948.339, 15547.793563272204, 0.0, 0.0
0, 495000, 0.875, 1.0000000000000004, 14901747, 14406747, 958.375, 15548.973001173861, 0.0, 0.0
0, 500000, 0.78125, 0.9000000000000005, 15063399, 14563399, 969.728, 15533.633142489442, 0.0, 0.0
0, 505000, 0.5625, 0.9750000000000005, 15222720, 14717720, 979.441, 15542.25318319327, 0.0, 0.0
0, 510000, 0.875, 0.9500000000000005, 15381192, 14871192, 989.209, 15548.981054559756, 0.0, 0.0
0, 515000, 0.78125, 0.9750000000000005, 15541675, 15026675, 999.32, 15552.250530360645, 0.0, 0.0
0, 520000, 0.9375, 0.9750000000000005, 15700656, 15180656, 1009.006, 15560.517975116105, 0.0, 0.0
0, 525000, 0.6875, 0.8250000000000004, 15855071, 15330071, 1018.682, 15564.298770371912, 0.0, 0.0
0, 530000, 0.84375, 0.9250000000000005, 16014898, 15484898, 1028.668, 15568.578005731686, 0.0, 0.0
0, 535000, 1.0, 0.9000000000000005, 16179383, 15644383, 1039.681, 15561.872343536143, 0.0, 0.0
0, 540000, 0.75, 0.9500000000000005, 16339775, 15799775, 1049.944, 15562.520477282598, 0.0, 0.0
0, 545000, 0.71875, 0.9500000000000005, 16500023, 15955023, 1060.098, 15564.620440751705, 0.0, 0.0
0, 550000, 0.8125, 0.9250000000000005, 16667058, 16117058, 1070.654, 15567.174829590138, 0.0, 0.0
0, 555000, 0.8125, 1.0000000000000004, 16824479, 16269479, 1080.828, 15566.287142820134, 0.0, 0.0
0, 560000, 0.875, 0.9250000000000005, 16991520, 16431520, 1091.187, 15571.59313664844, 0.0, 0.0
0, 565000, 1.0, 1.0000000000000004, 17157328, 16592328, 1101.78, 15572.371979887092, 0.0, 0.0
0, 570000, 0.6875, 0.9250000000000005, 17322502, 16752502, 1111.902, 15579.162552095419, 0.0, 0.0
0, 575000, 0.6875, 0.9250000000000005, 17488889, 16913889, 1122.833, 15575.681334624114, 0.0, 0.0
0, 580000, 0.9375, 0.9250000000000005, 17660115, 17080115, 1133.311, 15582.761483829241, 0.0, 0.0
0, 585000, 0.9375, 0.9000000000000005, 17840494, 17255494, 1144.837, 15583.435895240982, 0.0, 0.0
0, 590000, 0.9375, 0.8250000000000004, 18006113, 17416113, 1154.948, 15590.410131018885, 0.0, 0.0
0, 595000, 0.9375, 0.37500000000000006, 18175845, 17580845, 1166.071, 15587.254120889724, 0.0, 0.0
0, 600000, 0.78125, 1.0000000000000004, 18334975, 17734975, 1176.491, 15584.45835964746, 0.0, 0.0
0, 605000, 0.78125, 1.0000000000000004, 18497517, 17892517, 1186.932, 15584.310642901193, 0.0, 0.0
0, 610000, 0.8125, 1.0000000000000004, 18657200, 18047200, 1196.839, 15588.729979554477, 0.0, 0.0
0, 615000, 0.8125, 0.9500000000000005, 18824975, 18209975, 1207.204, 15593.864003101382, 0.0, 0.0
0, 620000, 0.8125, 0.9500000000000005, 18989664, 18369664, 1217.294, 15599.899449105966, 0.0, 0.0
0, 625000, 1.0, 1.0000000000000004, 19152834, 18527834, 1227.123, 15607.91705476957, 0.0, 0.0
0, 630000, 0.75, 1.0000000000000004, 19310403, 18680403, 1236.658, 15614.990563276186, 0.0, 0.0
0, 635000, 0.96875, 0.9750000000000005, 19478326, 18843326, 1246.952, 15620.750437867697, 0.0, 0.0
0, 640000, 0.875, 0.9250000000000005, 19646940, 19006940, 1257.532, 15623.41157123636, 0.0, 0.0
0, 645000, 0.9375, 0.9750000000000005, 19820165, 19175165, 1268.28, 15627.594064402183, 0.0, 0.0
0, 650000, 0.75, 0.8750000000000004, 19988604, 19338604, 1278.41, 15635.519121408624, 0.0, 0.0
0, 655000, 0.9375, 1.0000000000000004, 20147234, 19492234, 1289.053, 15629.48459062583, 0.0, 0.0
0, 660000, 0.875, 1.0000000000000004, 20319773, 19659773, 1299.6, 15635.405509387505, 0.0, 0.0
0, 665000, 0.875, 1.0000000000000004, 20486379, 19821379, 1309.371, 15645.969706064972, 0.0, 0.0
0, 670000, 1.0, 0.9500000000000005, 20652605, 19982605, 1319.351, 15653.60923666257, 0.0, 0.0
0, 675000, 0.875, 0.9250000000000005, 20817273, 20142273, 1329.137, 15662.247759260334, 0.0, 0.0
0, 680000, 0.9375, 0.9000000000000005, 20985606, 20305606, 1338.81, 15674.82017612656, 0.0, 0.0
0, 685000, 0.96875, 0.9500000000000005, 21150039, 20465039, 1348.963, 15678.739149998926, 0.0, 0.0
0, 690000, 0.875, 0.8500000000000004, 21301100, 20611100, 1358.432, 15680.652399236767, 0.0, 0.0
0, 695000, 0.8125, 1.0000000000000004, 21476177, 20781177, 1369.351, 15683.471221038286, 0.0, 0.0
0, 700000, 0.6875, 0.9500000000000005, 21644854, 20944854, 1379.397, 15691.53332941858, 0.0, 0.0
0, 705000, 0.84375, 1.0000000000000004, 21803585, 21098585, 1389.748, 15688.876688435601, 0.0, 0.0
0, 710000, 1.0, 1.0000000000000004, 21958724, 21248724, 1399.695, 15688.220648069759, 0.0, 0.0
0, 715000, 1.0, 0.9000000000000005, 22125703, 21410703, 1409.708, 15695.238304670185, 0.0, 0.0
0, 720000, 0.875, 1.0000000000000004, 22288828, 21568828, 1419.833, 15698.203943703238, 0.0, 0.0
0, 725000, 0.875, 1.0000000000000004, 22454832, 21729832, 1430.055, 15702.075794287632, 0.0, 0.0
0, 730000, 0.9375, 1.0000000000000004, 22626339, 21896339, 1440.282, 15709.658941790567, 0.0, 0.0
0, 735000, 0.875, 0.9750000000000005, 22787590, 22052590, 1449.86, 15717.096823141546, 0.0, 0.0
0, 740000, 0.96875, 0.9000000000000005, 22928397, 22188397, 1459.639, 15708.265536889601, 0.0, 0.0
0, 745000, 0.875, 0.8000000000000004, 23111073, 22366073, 1470.443, 15717.081859004395, 0.0, 0.0
0, 750000, 0.75, 0.9000000000000005, 23325711, 22575711, 1482.061, 15738.698339676977, 0.0, 0.0
1, 5000, -1.0, -1.0000000000000004, 94750, 89750, 6.147, 15414.023100699527, 0.0, 0.0
1, 10000, -0.8125, -0.9000000000000005, 204674, 194674, 13.077, 15651.449109122888, 0.0, 0.0
1, 15000, -0.78125, -0.9750000000000005, 317397, 302397, 20.68, 15348.017408123791, 0.0, 0.0
1, 20000, -0.625, -0.37500000000000006, 442131, 422131, 28.646, 15434.301473155065, 0.0, 0.0
1, 25000, -0.34375, -0.27499999999999997, 569267, 544267, 37.629, 15128.411597438148, 0.0, 0.0
1, 30000, -0.6875, -0.6750000000000003, 696159, 666159, 46.066, 15112.20857031216, 0.0, 0.0
1, 35000, -0.28125, -0.9000000000000005, 821009, 786009, 54.152, 15161.194415718717, 0.0, 0.0
1, 40000, 0.125, -0.9750000000000005, 951029, 911029, 62.221, 15284.694877935102, 0.0, 0.0
1, 45000, -0.1875, 0.1, 1084199, 1039199, 70.641, 15348.013193471212, 0.0, 0.0
1, 50000, -0.3125, -0.9000000000000005, 1215067, 1165067, 79.432, 15296.945815288549, 0.0, 0.0
1, 55000, -0.5625, -0.37500000000000006, 1347115, 1292115, 88.889, 15155.024806218993, 0.0, 0.0
1, 60000, 0.0, -0.8000000000000004, 1484943, 1424943, 98.152, 15129.01418208493, 0.0, 0.0
1, 65000, -0.375, -0.05000000000000001, 1618235, 1553235, 107.07, 15113.804053422995, 0.0, 0.0
1, 70000, -0.03125, -0.27499999999999997, 1762193, 1692193, 116.191, 15166.346791059548, 0.0, 0.0
1, 75000, -0.09375, 6.938893903907228E-18, 1900975, 1825975, 125.372, 15162.675876591264, 0.0, 0.0
1, 80000, -0.09375, -0.6750000000000003, 2040581, 1960581, 135.12, 15101.990822972173, 0.0, 0.0
1, 85000, 0.125, -0.6250000000000002, 2180106, 2095106, 144.304, 15107.730901430314, 0.0, 0.0
1, 90000, -0.625, -0.47500000000000014, 2321689, 2231689, 153.372, 15137.632683931877, 0.0, 0.0
1, 95000, 0.0, -0.6250000000000002, 2464534, 2369534, 162.632, 15154.053322839292, 0.0, 0.0
1, 100000, 0.28125, 0.4250000000000001, 2609264, 2509264, 171.756, 15191.690537739583, 0.0, 0.0
1, 105000, 0.03125, -0.35000000000000003, 2753034, 2648034, 180.972, 15212.485909422452, 0.0, 0.0
1, 110000, 0.40625, -0.7750000000000004, 2894890, 2784890, 190.096, 15228.56872317145, 0.0, 0.0
1, 115000, -0.125, -0.9750000000000005, 3034866, 2919866, 199.222, 15233.58865988696, 0.0, 0.0
1, 120000, 0.3125, -0.6750000000000003, 3174589, 3054589, 208.625, 15216.723786698622, 0.0, 0.0
1, 125000, 0.53125, -1.0000000000000004, 3319865, 3194865, 218.158, 15217.709183252506, 0.0, 0.0
1, 130000, 0.15625, -0.9250000000000005, 3465432, 3335432, 227.547, 15229.52181307598, 0.0, 0.0
1, 135000, -0.0625, -0.07500000000000001, 3612482, 3477482, 237.032, 15240.482297748826, 0.0, 0.0
1, 140000, -0.0625, -0.8750000000000004, 3760204, 3620204, 246.633, 15246.151163875069, 0.0, 0.0
1, 145000, 0.375, -0.7000000000000003, 3903795, 3758795, 256.535, 15217.397236244566, 0.0, 0.0
1, 150000, 0.09375, -0.05000000000000001, 4049452, 3899452, 265.986, 15224.305038611055, 0.0, 0.0
1, 155000, 0.25, 0.6000000000000002, 4197931, 4042931, 275.525, 15236.11650485437, 0.0, 0.0
1, 160000, 0.25, -0.9750000000000005, 4347210, 4187210, 284.769, 15265.741706435743, 0.0, 0.0
1, 165000, 0.8125, 0.4500000000000001, 4496517, 4331517, 294.281, 15279.671470465304, 0.0, 0.0
1, 170000, 0.15625, 0.125, 4644639, 4474639, 303.729, 15292.049820728347, 0.0, 0.0
1, 175000, 0.5625, -0.8750000000000004, 4795428, 4620428, 313.907, 15276.588288888111, 0.0, 0.0
1, 180000, 0.15625, -0.9500000000000005, 4942350, 4762350, 323.773, 15264.8614924654, 0.0, 0.0
1, 185000, 0.25, -0.22499999999999998, 5091550, 4906550, 333.328, 15274.894398310375, 0.0, 0.0
1, 190000, 0.6875, 0.4500000000000001, 5244938, 5054938, 342.873, 15297.028345772342, 0.0, 0.0
1, 195000, 0.84375, 0.8000000000000004, 5396207, 5201207, 352.095, 15325.9972450617, 0.0, 0.0
1, 200000, 0.5625, 0.4500000000000001, 5545196, 5345196, 361.106, 15356.144733125453, 0.0, 0.0
1, 205000, 0.375, 0.125, 5693445, 5488445, 370.622, 15361.864649157362, 0.0, 0.0
1, 210000, 0.40625, 0.35000000000000003, 5842942, 5632942, 380.073, 15373.209883364512, 0.0, 0.0
1, 215000, 0.75, -0.9000000000000005, 5992736, 5777736, 389.42, 15388.875763956652, 0.0, 0.0
1, 220000, 0.375, 0.7500000000000003, 6142857, 5922857, 398.599, 15411.119947616527, 0.0, 0.0
