TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.16, horizon:3, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond, , 
0, 5000, -1.0, -0.7500000000000003, 38226, 43226, 3.83, 9980.678851174935, 0.0, 0.0
0, 10000, -1.0, -0.8000000000000004, 72111, 82111, 7.072, 10196.691176470587, 0.0, 0.0
0, 15000, -1.0, -0.7500000000000003, 105419, 120419, 10.256, 10278.763650546021, 0.0, 0.0
0, 20000, -1.0, -0.6250000000000002, 138911, 158911, 13.48, 10304.970326409495, 0.0, 0.0
0, 25000, -1.0, -0.6500000000000002, 172244, 197244, 16.732, 10294.286397322496, 0.0, 0.0
0, 30000, -1.0, -0.6500000000000002, 205752, 235752, 20.093, 10239.984074055641, 0.0, 0.0
0, 35000, -1.0, -0.6500000000000002, 239397, 274397, 23.621, 10134.922314889294, 0.0, 0.0
0, 40000, -0.9375, -0.5750000000000002, 272884, 312884, 26.821, 10174.266433018902, 0.0, 0.0
0, 45000, -1.0, -0.7500000000000003, 306767, 351767, 30.087, 10195.998271678798, 0.0, 0.0
0, 50000, -1.0, -0.7000000000000003, 341324, 391324, 33.39, 10222.342018568434, 0.0, 0.0
0, 55000, -1.0, -0.5000000000000001, 375618, 430618, 36.634, 10253.261997051919, 0.0, 0.0
0, 60000, -1.0, -0.8500000000000004, 410081, 470081, 40.418, 10145.999307239348, 0.0, 0.0
0, 65000, -1.0, -0.7000000000000003, 444291, 509291, 43.682, 10171.031546174625, 0.0, 0.0
0, 70000, -1.0, -0.6000000000000002, 478938, 548938, 46.965, 10197.764292558288, 0.0, 0.0
0, 75000, -1.0, -0.6500000000000002, 513694, 588694, 50.292, 10214.228903205281, 0.0, 0.0
0, 80000, -1.0, -0.7500000000000003, 548673, 628673, 53.623, 10232.045950431719, 0.0, 0.0
0, 85000, -1.0, -0.6000000000000002, 583755, 668755, 57.344, 10179.879324776786, 0.0, 0.0
0, 90000, -1.0, -0.7000000000000003, 618600, 708600, 60.672, 10195.806962025317, 0.0, 0.0
0, 95000, -1.0, -0.8000000000000004, 653176, 748176, 63.935, 10216.250879799796, 0.0, 0.0
0, 100000, -1.0, -0.7000000000000003, 687754, 787754, 67.217, 10231.846110358987, 0.0, 0.0
0, 105000, -1.0, -0.7000000000000003, 722466, 827466, 70.563, 10238.59529781897, 0.0, 0.0
0, 110000, -1.0, -0.7000000000000003, 757924, 867924, 73.936, 10251.082016879462, 0.0, 0.0
0, 115000, -1.0, -0.4500000000000001, 792882, 907882, 77.329, 10253.359024428093, 0.0, 0.0
0, 120000, -1.0, -0.5250000000000001, 827584, 947584, 80.615, 10265.881039508777, 0.0, 0.0
0, 125000, -1.0, -0.7000000000000003, 861893, 986893, 83.857, 10278.128242126477, 0.0, 0.0
0, 130000, -1.0, -0.4500000000000001, 896751, 1026751, 87.288, 10273.474017047018, 0.0, 0.0
0, 135000, -1.0, -0.5250000000000001, 946696, 1081696, 92.361, 10249.95398490705, 0.0, 0.0
0, 140000, -1.0, -0.8000000000000004, 989870, 1129870, 96.612, 10245.828675526851, 0.0, 0.0
0, 145000, -1.0, -0.6500000000000002, 1041759, 1186759, 101.734, 10240.027915937642, 0.0, 0.0
0, 150000, -1.0, -0.6500000000000002, 1088574, 1238574, 106.188, 10251.384337213245, 0.0, 0.0
0, 155000, -1.0, -0.8500000000000004, 1145341, 1300341, 111.657, 10257.67305229408, 0.0, 0.0
0, 160000, -1.0, -0.3, 1186924, 1346924, 116.118, 10221.705506467559, 0.0, 0.0
0, 165000, -0.9375, -0.7000000000000003, 1221082, 1386082, 119.4, 10226.817420435511, 0.0, 0.0
0, 170000, -1.0, -0.5000000000000001, 1255687, 1425687, 122.665, 10236.717890188726, 0.0, 0.0
0, 175000, -1.0, -0.35000000000000003, 1290181, 1465181, 125.942, 10244.247351955662, 0.0, 0.0
0, 180000, -1.0, -0.5500000000000002, 1324237, 1504237, 129.135, 10254.67146784373, 0.0, 0.0
0, 185000, -1.0, -0.8000000000000004, 1358984, 1543984, 132.552, 10252.45941215523, 0.0, 0.0
0, 190000, -1.0, -0.5000000000000001, 1393817, 1583817, 135.884, 10257.403373465604, 0.0, 0.0
0, 195000, -1.0, -0.6000000000000002, 1428875, 1623875, 139.235, 10262.326282903005, 0.0, 0.0
0, 200000, -1.0, -0.6500000000000002, 1463370, 1663370, 142.557, 10265.157095056715, 0.0, 0.0
0, 205000, -1.0, -0.8000000000000004, 1498491, 1703491, 145.997, 10263.847887285354, 0.0, 0.0
0, 210000, -1.0, -0.35000000000000003, 1533325, 1743325, 149.345, 10266.999229970874, 0.0, 0.0
0, 215000, -1.0, -0.6000000000000002, 1568113, 1783113, 152.617, 10274.825216063742, 0.0, 0.0
0, 220000, -0.9375, -0.325, 1602806, 1822806, 155.934, 10278.746136185822, 0.0, 0.0
0, 225000, -1.0, -0.5500000000000002, 1637443, 1862443, 159.294, 10279.376498800959, 0.0, 0.0
0, 230000, -1.0, -0.6750000000000003, 1672117, 1902117, 162.59, 10284.254874223507, 0.0, 0.0
0, 235000, -1.0, -0.6500000000000002, 1706862, 1941862, 165.89, 10289.119295918983, 0.0, 0.0
0, 240000, -1.0, -0.6500000000000002, 1741551, 1981551, 169.2, 10292.854609929078, 0.0, 0.0
0, 245000, -1.0, -0.4000000000000001, 1776457, 2021457, 172.525, 10296.80915809303, 0.0, 0.0
0, 250000, -1.0, -0.7000000000000003, 1811028, 2061028, 175.787, 10302.40006371347, 0.0, 0.0
0, 255000, -1.0, -0.6750000000000003, 1845621, 2100621, 179.236, 10297.155705327055, 0.0, 0.0
0, 260000, -1.0, -0.19999999999999998, 1880228, 2140228, 182.517, 10301.659571437182, 0.0, 0.0
0, 265000, -1.0, -0.5000000000000001, 1914513, 2179513, 185.768, 10305.93536023427, 0.0, 0.0
0, 270000, -1.0, -0.6000000000000002, 1949035, 2219035, 189.063, 10308.918191290735, 0.0, 0.0
0, 275000, -1.0, -0.5250000000000001, 1983195, 2258195, 192.291, 10313.509212599654, 0.0, 0.0
0, 280000, -1.0, -0.5500000000000002, 2017596, 2297596, 195.53, 10318.600726231269, 0.0, 0.0
0, 285000, -1.0, -0.4500000000000001, 2051904, 2336904, 198.783, 10322.331386486772, 0.0, 0.0
0, 290000, -1.0, -0.6500000000000002, 2085995, 2375995, 202.289, 10311.954678702254, 0.0, 0.0
0, 295000, -1.0, -0.7250000000000003, 2120053, 2415053, 205.728, 10305.126186032041, 0.0, 0.0
0, 300000, -0.9375, -0.4500000000000001, 2154012, 2454012, 209.04, 10304.30539609644, 0.0, 0.0
0, 305000, -1.0, -0.5500000000000002, 2187977, 2492977, 212.364, 10302.956244937937, 0.0, 0.0
0, 310000, -1.0, -0.7500000000000003, 2221476, 2531476, 215.576, 10304.839128659962, 0.0, 0.0
0, 315000, -1.0, -0.6000000000000002, 2255319, 2570319, 218.782, 10308.521724821969, 0.0, 0.0
0, 320000, -1.0, -0.5000000000000001, 2288891, 2608891, 221.96, 10312.177869886465, 0.0, 0.0
0, 325000, -1.0, -0.6000000000000002, 2322776, 2647776, 225.38, 10306.043127163013, 0.0, 0.0
0, 330000, -1.0, -0.6000000000000002, 2356578, 2686578, 228.661, 10305.99009013343, 0.0, 0.0
0, 335000, -1.0, -0.5000000000000001, 2390113, 2725113, 231.879, 10307.58714674464, 0.0, 0.0
0, 340000, -1.0, -0.4500000000000001, 2423657, 2763657, 235.106, 10308.784122906263, 0.0, 0.0
0, 345000, -1.0, -0.7500000000000003, 2457110, 2802110, 238.272, 10312.20621810368, 0.0, 0.0
0, 350000, -1.0, -0.5250000000000001, 2490624, 2840624, 241.525, 10312.075354518165, 0.0, 0.0
0, 355000, -1.0, -0.6000000000000002, 2524097, 2879097, 244.752, 10312.875890697522, 0.0, 0.0
0, 360000, -1.0, -0.5500000000000002, 2557432, 2917432, 247.961, 10313.847742185262, 0.0, 0.0
0, 365000, -1.0, -0.5000000000000001, 2590400, 2955400, 251.073, 10317.318070839954, 0.0, 0.0
0, 370000, -1.0, -0.4500000000000001, 2623603, 2993603, 254.227, 10319.92274620713, 0.0, 0.0
0, 375000, -1.0, -0.5000000000000001, 2656753, 3031753, 257.375, 10322.498300145702, 0.0, 0.0
0, 380000, -1.0, -0.5000000000000001, 2689769, 3069769, 260.507, 10325.131378427452, 0.0, 0.0
0, 385000, -1.0, -0.6000000000000002, 2722734, 3107734, 263.627, 10327.97854544489, 0.0, 0.0
0, 390000, -1.0, -0.4500000000000001, 2755677, 3145677, 266.794, 10328.856720915763, 0.0, 0.0
0, 395000, -1.0, -0.35000000000000003, 2788726, 3183726, 269.972, 10329.686041515417, 0.0, 0.0
0, 400000, -1.0, -0.47500000000000014, 2821686, 3221686, 273.091, 10332.402019839541, 0.0, 0.0
0, 405000, -1.0, -0.6500000000000002, 2854587, 3259587, 276.512, 10323.555578058094, 0.0, 0.0
0, 410000, -1.0, -0.45000000000000007, 2887566, 3297566, 279.622, 10326.676727868336, 0.0, 0.0
0, 415000, -1.0, -0.5500000000000002, 2920477, 3335477, 282.77, 10328.100576440218, 0.0, 0.0
0, 420000, -1.0, -0.7000000000000003, 2953346, 3373346, 285.916, 10329.418430588004, 0.0, 0.0
0, 425000, -1.0, -0.45000000000000007, 2986079, 3411079, 289.176, 10326.164688632529, 0.0, 0.0
0, 430000, -1.0, -0.5000000000000001, 3018610, 3448610, 292.452, 10321.728010066608, 0.0, 0.0
0, 435000, -1.0, -0.5000000000000001, 3051158, 3486158, 295.523, 10324.604176324685, 0.0, 0.0
0, 440000, -1.0, -0.5000000000000001, 3083673, 3523673, 298.632, 10325.996544241742, 0.0, 0.0
0, 445000, -1.0, -0.5500000000000002, 3116260, 3561260, 301.706, 10328.796908248427, 0.0, 0.0
0, 450000, -1.0, -0.15, 3148876, 3598876, 304.794, 10331.161374567742, 0.0, 0.0
0, 455000, -1.0, -0.7000000000000003, 3181402, 3636402, 307.868, 10333.655982434031, 0.0, 0.0
0, 460000, -1.0, -0.4000000000000001, 3213941, 3673941, 310.979, 10334.913289964918, 0.0, 0.0
0, 465000, -1.0, -0.5000000000000001, 3246720, 3711720, 314.136, 10335.396134158453, 0.0, 0.0
0, 470000, -1.0, -0.5250000000000001, 3279125, 3749125, 317.214, 10337.264433473933, 0.0, 0.0
0, 475000, -1.0, -0.5000000000000001, 3311473, 3786473, 320.285, 10339.144824140998, 0.0, 0.0
0, 480000, -1.0, -0.7000000000000003, 3343708, 3823708, 323.347, 10340.92785768849, 0.0, 0.0
0, 485000, -1.0, -0.7500000000000003, 3376076, 3861076, 326.419, 10342.768037399785, 0.0, 0.0
0, 490000, -1.0, -0.4500000000000001, 3408375, 3898375, 329.465, 10345.18082345621, 0.0, 0.0
0, 495000, -1.0, -0.5500000000000002, 3440444, 3935444, 332.503, 10347.106642646833, 0.0, 0.0
0, 500000, -1.0, -0.6500000000000002, 3472606, 3972606, 335.536, 10349.428973344142, 0.0, 0.0
0, 505000, -1.0, -0.5250000000000001, 3504684, 4009684, 338.572, 10351.369871105702, 0.0, 0.0
0, 510000, -1.0, -0.6000000000000002, 3536836, 4046836, 341.703, 10350.614422466295, 0.0, 0.0
0, 515000, -1.0, -0.5250000000000001, 3568977, 4083977, 344.742, 10352.602816018936, 0.0, 0.0
0, 520000, -1.0, -0.5500000000000002, 3600816, 4120816, 347.777, 10353.807181038424, 0.0, 0.0
0, 525000, -1.0, -0.4500000000000001, 3632716, 4157716, 350.816, 10355.046520113108, 0.0, 0.0
0, 530000, -1.0, -0.19999999999999998, 3664490, 4194490, 353.809, 10357.25490306917, 0.0, 0.0
0, 535000, -1.0, -0.7250000000000003, 3696148, 4231148, 356.812, 10358.810802327276, 0.0, 0.0
0, 540000, -1.0, -0.5500000000000002, 3727889, 4267889, 359.784, 10361.464100682631, 0.0, 0.0
0, 545000, -1.0, -0.4000000000000001, 3759699, 4304699, 362.763, 10364.064141050769, 0.0, 0.0
0, 550000, -1.0, -0.5500000000000002, 3791445, 4341445, 365.743, 10366.41849604777, 0.0, 0.0
0, 555000, -1.0, -0.7000000000000003, 3823225, 4378225, 368.715, 10369.051977814845, 0.0, 0.0
0, 560000, -1.0, -0.5500000000000002, 3854775, 4414775, 371.667, 10371.582626383295, 0.0, 0.0
0, 565000, -1.0, -0.6000000000000002, 3886430, 4451430, 374.626, 10374.15982873586, 0.0, 0.0
0, 570000, -0.9375, -0.5250000000000001, 3917981, 4487981, 377.756, 10371.724075858492, 0.0, 0.0
0, 575000, -1.0, -0.5000000000000001, 3949479, 4524479, 380.922, 10368.209239686865, 0.0, 0.0
0, 580000, -1.0, -0.5000000000000001, 3980937, 4560937, 383.921, 10369.15667546188, 0.0, 0.0
0, 585000, -1.0, -0.6500000000000002, 4012315, 4597315, 386.874, 10371.11566039589, 0.0, 0.0
0, 590000, -1.0, -0.5500000000000002, 4043613, 4633613, 389.855, 10372.094753177464, 0.0, 0.0
0, 595000, -1.0, -0.5500000000000002, 4075021, 4670021, 392.842, 10373.180566232735, 0.0, 0.0
0, 600000, -1.0, -0.35000000000000003, 4106359, 4706359, 395.846, 10373.627622863436, 0.0, 0.0
0, 605000, -0.9375, -0.6500000000000002, 4137683, 4742683, 398.823, 10374.735158203013, 0.0, 0.0
0, 610000, -1.0, -0.35000000000000003, 4168739, 4778739, 401.805, 10375.030176329314, 0.0, 0.0
0, 615000, -1.0, -0.19999999999999998, 4199877, 4814877, 404.742, 10376.676994233363, 0.0, 0.0
0, 620000, -1.0, -0.5500000000000002, 4231030, 4851030, 407.671, 10378.54053881684, 0.0, 0.0
0, 625000, -1.0, -0.4250000000000001, 4262106, 4887106, 410.577, 10380.77145090933, 0.0, 0.0
0, 630000, -1.0, -0.35000000000000003, 4293240, 4923240, 413.508, 10382.483531152964, 0.0, 0.0
0, 635000, -1.0, -0.5000000000000001, 4324219, 4959219, 416.451, 10383.50009965158, 0.0, 0.0
0, 640000, -1.0, -0.5000000000000001, 4355097, 4995097, 419.389, 10384.385379683301, 0.0, 0.0
0, 645000, -1.0, -0.4500000000000001, 4385982, 5030982, 422.281, 10386.406208188386, 0.0, 0.0
0, 650000, -1.0, -0.7500000000000003, 4416866, 5066866, 425.238, 10386.80926916221, 0.0, 0.0
0, 655000, -1.0, -0.5000000000000001, 4447755, 5102755, 428.146, 10388.407225572584, 0.0, 0.0
0, 660000, -1.0, -0.4500000000000001, 4478564, 5138564, 431.045, 10390.014963634887, 0.0, 0.0
0, 665000, -1.0, -0.6000000000000002, 4509289, 5174289, 433.922, 10391.93449513968, 0.0, 0.0
0, 670000, -1.0, -0.4500000000000001, 4539959, 5209959, 436.776, 10394.250141949191, 0.0, 0.0
0, 675000, -1.0, -0.6500000000000002, 4570631, 5245631, 439.622, 10396.7294630387, 0.0, 0.0
0, 680000, -0.9375, -0.3, 4601280, 5281280, 442.48, 10398.84288555415, 0.0, 0.0
0, 685000, -1.0, -0.6000000000000002, 4631871, 5316871, 445.609, 10394.473630469762, 0.0, 0.0
0, 690000, -1.0, -0.6000000000000002, 4662318, 5352318, 448.397, 10397.745747629891, 0.0, 0.0
0, 695000, -1.0, -0.7000000000000003, 4692782, 5387782, 451.196, 10400.76153157386, 0.0, 0.0
0, 700000, -1.0, -0.3, 4723259, 5423259, 453.996, 10403.74584798104, 0.0, 0.0
0, 705000, -1.0, -0.8500000000000004, 4753594, 5458594, 456.761, 10407.180122646198, 0.0, 0.0
0, 710000, -1.0, -0.35000000000000003, 4783983, 5493983, 459.542, 10410.328109291426, 0.0, 0.0
0, 715000, -1.0, -0.5500000000000002, 4814372, 5529372, 462.419, 10411.276353264031, 0.0, 0.0
0, 720000, -1.0, -0.4500000000000001, 4844634, 5564634, 465.385, 10409.94875210847, 0.0, 0.0
0, 725000, -1.0, -0.5500000000000002, 4874909, 5599909, 468.144, 10413.268139717693, 0.0, 0.0
0, 730000, -1.0, -0.5000000000000001, 4905101, 5635101, 470.965, 10415.001114732519, 0.0, 0.0
0, 735000, -1.0, -0.6000000000000002, 4935265, 5670265, 473.761, 10417.204033257274, 0.0, 0.0
0, 740000, -1.0, -0.6000000000000002, 4965364, 5705364, 476.524, 10419.966255634554, 0.0, 0.0
0, 745000, -1.0, -0.5000000000000001, 4995467, 5740467, 479.303, 10422.357047629579, 0.0, 0.0
0, 750000, -1.0, -0.6000000000000002, 5025483, 5775483, 482.053, 10425.166942224196, 0.0, 0.0
1, 5000, -1.0, -1.0000000000000004, 51251, 56251, 5.127, 9996.294129120344, 0.0, 0.0
1, 10000, -1.0, -1.0000000000000004, 97364, 107364, 9.665, 10073.874806001035, 0.0, 0.0
1, 15000, -1.0, -1.0000000000000004, 142818, 157818, 14.213, 10048.406388517555, 0.0, 0.0
1, 20000, -1.0, -1.0000000000000004, 188396, 208396, 18.684, 10083.27981160351, 0.0, 0.0
1, 25000, -1.0, -1.0000000000000004, 234495, 259495, 23.17, 10120.630125161846, 0.0, 0.0
1, 30000, -1.0, -0.9750000000000005, 282915, 312915, 27.937, 10126.892651322618, 0.0, 0.0
1, 35000, -1.0, -1.0000000000000004, 332988, 367988, 32.828, 10143.414158645059, 0.0, 0.0
1, 40000, -1.0, -1.0000000000000004, 379769, 419769, 37.379, 10159.95612509698, 0.0, 0.0
1, 45000, -1.0, -1.0000000000000004, 426258, 471258, 41.908, 10171.279946549585, 0.0, 0.0
1, 50000, -1.0, -1.0000000000000004, 472401, 522401, 46.402, 10180.617214775226, 0.0, 0.0
1, 55000, -1.0, -1.0000000000000004, 518562, 573562, 50.947, 10178.459968202249, 0.0, 0.0
1, 60000, -1.0, -1.0000000000000004, 564675, 624675, 55.462, 10181.295301287368, 0.0, 0.0
1, 65000, -1.0, -1.0000000000000004, 610344, 675344, 59.945, 10181.733255484194, 0.0, 0.0
1, 70000, -1.0, -1.0000000000000004, 655941, 725941, 64.414, 10183.205514329184, 0.0, 0.0
1, 75000, -1.0, -1.0000000000000004, 701234, 776234, 68.835, 10187.172223432848, 0.0, 0.0
1, 80000, -1.0, -1.0000000000000004, 746308, 826308, 73.193, 10196.439550230214, 0.0, 0.0
1, 85000, -1.0, -1.0000000000000004, 791078, 876078, 78.036, 10137.346865549234, 0.0, 0.0
1, 90000, -1.0, -1.0000000000000004, 836232, 926232, 82.459, 10141.185316339028, 0.0, 0.0
1, 95000, -1.0, -1.0000000000000004, 881081, 976081, 86.848, 10145.092575534267, 0.0, 0.0
1, 100000, -1.0, -1.0000000000000004, 925435, 1025435, 91.182, 10149.316751113158, 0.0, 0.0
1, 105000, -1.0, -1.0000000000000004, 970022, 1075022, 95.586, 10148.1597723516, 0.0, 0.0
1, 110000, -1.0, -1.0000000000000004, 1014680, 1124680, 99.927, 10154.212575179881, 0.0, 0.0
1, 115000, -1.0, -1.0000000000000004, 1059229, 1174229, 104.28, 10157.546988876104, 0.0, 0.0
1, 120000, -1.0, -1.0000000000000004, 1103732, 1223732, 108.624, 10161.032552658713, 0.0, 0.0
1, 125000, -1.0, -1.0000000000000004, 1148000, 1273000, 112.942, 10164.509217120292, 0.0, 0.0
1, 130000, -1.0, -1.0000000000000004, 1192499, 1322499, 117.275, 10168.39906203368, 0.0, 0.0
1, 135000, -1.0, -1.0000000000000004, 1236843, 1371843, 121.582, 10172.912108700302, 0.0, 0.0
1, 140000, -1.0, -1.0000000000000004, 1280988, 1420988, 125.911, 10173.757654216073, 0.0, 0.0
1, 145000, -1.0, -1.0000000000000004, 1325229, 1470229, 130.228, 10176.221703473906, 0.0, 0.0
1, 150000, -1.0, -1.0000000000000004, 1369410, 1519410, 134.544, 10178.15733143061, 0.0, 0.0
1, 155000, -1.0, -1.0000000000000004, 1413296, 1568296, 138.84, 10179.314318640161, 0.0, 0.0
1, 160000, -1.0, -1.0000000000000004, 1457031, 1617031, 143.138, 10179.204683592057, 0.0, 0.0
1, 165000, -1.0, -1.0000000000000004, 1500629, 1665629, 147.366, 10183.006935113934, 0.0, 0.0
1, 170000, -1.0, -1.0000000000000004, 1543999, 1713999, 151.587, 10185.563405832954, 0.0, 0.0
1, 175000, -1.0, -1.0000000000000004, 1587172, 1762172, 156.371, 10150.040608552736, 0.0, 0.0
1, 180000, -1.0, -1.0000000000000004, 1630122, 1810122, 160.66, 10146.408564670734, 0.0, 0.0
1, 185000, -1.0, -1.0000000000000004, 1673073, 1858073, 164.813, 10151.341217015648, 0.0, 0.0
1, 190000, -1.0, -1.0000000000000004, 1716079, 1906079, 169.037, 10152.09096233369, 0.0, 0.0
1, 195000, -1.0, -1.0000000000000004, 1758994, 1953994, 173.298, 10150.11136885596, 0.0, 0.0
1, 200000, -1.0, -1.0000000000000004, 1801816, 2001816, 177.498, 10151.190435948574, 0.0, 0.0
1, 205000, -1.0, -1.0000000000000004, 1844221, 2049221, 181.948, 10135.97841141425, 0.0, 0.0
1, 210000, -1.0, -1.0000000000000004, 1886600, 2096600, 186.08, 10138.65004299226, 0.0, 0.0
1, 215000, -1.0, -1.0000000000000004, 1929058, 2144058, 190.201, 10142.207454219484, 0.0, 0.0
1, 220000, -1.0, -1.0000000000000004, 1971257, 2191257, 194.259, 10147.571026310236, 0.0, 0.0
1, 225000, -1.0, -1.0000000000000004, 2013482, 2238482, 198.462, 10145.428343965092, 0.0, 0.0
1, 230000, -1.0, -1.0000000000000004, 2055575, 2285575, 202.483, 10151.839907547794, 0.0, 0.0
1, 235000, -1.0, -1.0000000000000004, 2097753, 2332753, 206.543, 10156.495257646107, 0.0, 0.0
1, 240000, -1.0, -1.0000000000000004, 2139557, 2379557, 210.596, 10159.53294459534, 0.0, 0.0
1, 245000, -1.0, -1.0000000000000004, 2181955, 2426955, 214.682, 10163.660670200576, 0.0, 0.0
1, 250000, -1.0, -1.0000000000000004, 2224204, 2474204, 218.774, 10166.67428487846, 0.0, 0.0
1, 255000, -1.0, -1.0000000000000004, 2266438, 2521438, 222.869, 10169.373039767755, 0.0, 0.0
1, 260000, -1.0, -1.0000000000000004, 2308549, 2568549, 227.132, 10163.909092510083, 0.0, 0.0
1, 265000, -1.0, -1.0000000000000004, 2350787, 2615787, 231.258, 10165.213743956965, 0.0, 0.0
1, 270000, -1.0, -1.0000000000000004, 2392860, 2662860, 235.349, 10167.283481128028, 0.0, 0.0
1, 275000, -1.0, -1.0000000000000004, 2434872, 2709872, 239.424, 10169.707297514033, 0.0, 0.0
1, 280000, -1.0, -1.0000000000000004, 2476994, 2756994, 243.518, 10171.708046222457, 0.0, 0.0
1, 285000, -1.0, -1.0000000000000004, 2519007, 2804007, 247.574, 10174.76390897267, 0.0, 0.0
1, 290000, -1.0, -1.0000000000000004, 2561169, 2851169, 251.681, 10176.250889022214, 0.0, 0.0
1, 295000, -1.0, -1.0000000000000004, 2602927, 2897927, 255.718, 10178.896284188051, 0.0, 0.0
1, 300000, -1.0, -1.0000000000000004, 2644653, 2944653, 259.735, 10182.120237934818, 0.0, 0.0
1, 305000, -1.0, -1.0000000000000004, 2686331, 2991331, 263.9, 10179.352027283063, 0.0, 0.0
1, 310000, -1.0, -1.0000000000000004, 2728168, 3038168, 267.952, 10181.554905356183, 0.0, 0.0
1, 315000, -1.0, -1.0000000000000004, 2769944, 3084944, 271.987, 10184.10438734204, 0.0, 0.0
1, 320000, -1.0, -1.0000000000000004, 2811667, 3131667, 276.521, 10168.00532328467, 0.0, 0.0
1, 325000, -1.0, -1.0000000000000004, 2853373, 3178373, 280.586, 10169.334891976077, 0.0, 0.0
1, 330000, -1.0, -1.0000000000000004, 2895130, 3225130, 284.688, 10169.483785758444, 0.0, 0.0
1, 335000, -1.0, -1.0000000000000004, 2936796, 3271796, 288.728, 10171.497049125821, 0.0, 0.0
1, 340000, -1.0, -1.0000000000000004, 2978328, 3318328, 292.727, 10174.421901635313, 0.0, 0.0
