controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.25, horizon:4, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 5000, 0.225, -0.6000000000000001, 91941, 91941
0, 10000, 0.275, -0.85, 196154, 196154
0, 15000, 0.25, -0.925, 309038, 309038
0, 20000, 0.375, 0.15000000000000002, 426113, 426113
0, 25000, 0.325, -0.875, 547666, 547666
0, 30000, 0.475, -0.975, 668708, 668708
0, 35000, 0.5, -0.95, 791393, 791393
0, 40000, 0.2, -0.10000000000000003, 915885, 915885
0, 45000, 0.0, -0.65, 1042873, 1042873
0, 50000, 0.725, 0.125, 1169966, 1169966
0, 55000, 0.475, -0.15000000000000002, 1304192, 1304192
0, 60000, 0.475, 0.27499999999999997, 1429235, 1429235
0, 65000, 0.525, 0.39999999999999997, 1562950, 1562950
0, 70000, 0.45, 0.024999999999999967, 1700147, 1700147
0, 75000, 0.125, -0.875, 1834014, 1834014
0, 80000, 0.3, -0.95, 1968431, 1968431
0, 85000, 0.0, -0.875, 2096644, 2096644
0, 90000, 0.0, -0.925, 2229491, 2229491
0, 95000, 0.85, 0.45, 2365587, 2365587
0, 100000, 0.625, -0.925, 2501478, 2501478
0, 105000, 0.775, 0.22499999999999998, 2640877, 2640877
0, 110000, 0.575, -0.9, 2782168, 2782168
0, 115000, 0.35, 0.6, 2922552, 2922552
0, 120000, 0.65, -0.975, 3058476, 3058476
0, 125000, 0.6, -0.725, 3198165, 3198165
0, 130000, 0.375, -0.875, 3342200, 3342200
0, 135000, 0.725, 0.07500000000000001, 3485046, 3485046
0, 140000, 0.7, -0.875, 3625419, 3625419
0, 145000, 0.675, -0.775, 3766514, 3766514
0, 150000, 0.7, 0.375, 3907930, 3907930
0, 155000, 0.375, -0.55, 4052989, 4052989
0, 160000, 0.575, -0.875, 4192448, 4192448
0, 165000, 0.675, -0.825, 4334335, 4334335
0, 170000, 0.85, 0.10000000000000003, 4478872, 4478872
0, 175000, 0.875, 0.4, 4623683, 4623683
