TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.25, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond
0, 5000, -0.9375, -0.04999999999999999, 91868, 91868, 13.537, 6786.4371721947255
0, 10000, -0.65625, -0.9, 196004, 196004, 27.954, 7011.662016169421
0, 15000, -1.0, -0.95, 302045, 302045, 42.142, 7167.315267429168
0, 20000, -0.75, -0.925, 413738, 413738, 57.323, 7217.66132268025
0, 25000, -0.625, -0.375, 529127, 529127, 72.93299999999999, 7254.97374302442
0, 30000, -0.4375, -0.3, 649701, 649701, 88.951, 7304.032557250622
0, 35000, -0.8125, -0.975, 777014, 777014, 105.71499999999999, 7350.082769711016
0, 40000, -0.46875, -0.975, 902072, 902072, 121.99099999999999, 7394.578288562272
0, 45000, -0.71875, -0.875, 1029668, 1029668, 139.295, 7391.99540543451
0, 50000, 0.0, -0.9, 1157222, 1157222, 156.09599999999998, 7413.527572775729
0, 55000, -0.40625, -0.9, 1286714, 1286714, 173.13599999999997, 7431.81083079198
0, 60000, -0.03125, -0.975, 1415389, 1415389, 190.03099999999998, 7448.200556751268
0, 65000, -0.0625, -0.925, 1541653, 1541653, 206.47599999999997, 7466.499738468395
0, 70000, -0.34375, -0.9, 1673746, 1673746, 223.68499999999997, 7482.602767284352
0, 75000, 0.21875, -0.4, 1804300, 1804300, 241.926, 7458.065689508362
0, 80000, 0.0, -0.975, 1936994, 1936994, 260.006, 7449.805004499897
0, 85000, -0.125, -1.0, 2071249, 2071249, 277.82099999999997, 7455.336349663993
0, 90000, -0.1875, -0.775, 2206927, 2206927, 295.79099999999994, 7461.102602851339
0, 95000, 0.125, -0.975, 2340839, 2340839, 313.6039999999999, 7464.3148684328025
0, 100000, 0.09375, -0.25, 2479835, 2479835, 331.8589999999999, 7472.556115699742
0, 105000, 0.25, 0.17499999999999993, 2619057, 2619057, 350.15099999999995, 7479.793003589881
0, 110000, 0.25, 0.27499999999999997, 2755111, 2755111, 368.0559999999999, 7485.575564587999
0, 115000, -0.25, -0.975, 2892515, 2892515, 386.52399999999994, 7483.403359170454
0, 120000, 0.5625, 0.7, 3028806, 3028806, 404.256, 7492.296960341962
0, 125000, 0.1875, -0.875, 3169569, 3169569, 422.517, 7501.636620538346
0, 130000, 0.21875, 0.375, 3310500, 3310500, 440.941, 7507.807166945238
0, 135000, 0.46875, -0.9, 3454373, 3454373, 459.323, 7520.574846023387
0, 140000, 0.34375, 0.35, 3592361, 3592361, 477.17999999999995, 7528.314262961567
0, 145000, 0.15625, -0.025000000000000022, 3734064, 3734064, 495.39799999999997, 7537.5031792619275
0, 150000, 0.1875, 0.07500000000000001, 3876283, 3876283, 513.593, 7547.382849844138
0, 155000, 0.46875, 0.6749999999999999, 4017769, 4017769, 532.217, 7549.118122870935
0, 160000, 0.1875, -0.8, 4159534, 4159534, 550.552, 7555.206411020212
0, 165000, 0.3125, 0.8999999999999999, 4304728, 4304728, 569.586, 7557.643621858683
0, 170000, 0.34375, 0.4, 4450283, 4450283, 588.599, 7560.806253493464
0, 175000, 0.125, 0.5, 4591085, 4591085, 607.263, 7560.291010649422
0, 180000, -0.21875, -0.95, 4733996, 4733996, 626.134, 7560.675510354014
0, 185000, 0.15625, 0.75, 4871693, 4871693, 644.193, 7562.474289537452
0, 190000, 0.375, 0.7000000000000001, 5013984, 5013984, 662.558, 7567.615212554976
0, 195000, 0.46875, 0.95, 5160970, 5160970, 682.296, 7564.121730158171
0, 200000, 0.5625, 0.3, 5306888, 5306888, 701.433, 7565.780338250411
0, 205000, 0.5625, 0.8, 5452969, 5452969, 720.415, 7569.20524975188
0, 210000, 0.90625, 0.825, 5597852, 5597852, 739.3159999999999, 7571.663537648314
0, 215000, 0.46875, -0.975, 5738859, 5738859, 757.6639999999999, 7574.411612535373
0, 220000, 0.75, -0.675, 5883965, 5883965, 776.9089999999999, 7573.557520893696
0, 225000, 0.34375, -0.8, 6031744, 6031744, 796.3259999999999, 7574.465733882858
0, 230000, 0.65625, 0.49999999999999994, 6181430, 6181430, 815.9549999999999, 7575.699640298792
0, 235000, 0.4375, 0.8250000000000001, 6330123, 6330123, 835.507, 7576.385356436272
0, 240000, 0.5625, -0.775, 6480306, 6480306, 854.673, 7582.2051240649935
0, 245000, 0.53125, -0.7, 6632638, 6632638, 874.442, 7584.994773810041
0, 250000, 0.3125, -0.85, 6781441, 6781441, 893.902, 7586.33608605865
0, 255000, -0.625, -0.8, 6928923, 6928923, 913.0690000000001, 7588.608308901079
0, 260000, 0.6875, -0.675, 7080354, 7080354, 932.8340000000001, 7590.154303981201
0, 265000, 0.9375, -0.825, 7226553, 7226553, 951.9240000000001, 7591.523062765514
0, 270000, 0.375, -0.775, 7378476, 7378476, 972.1490000000001, 7589.861224976828
0, 275000, 0.25, -0.925, 7531415, 7531415, 992.0070000000001, 7592.09864446521
0, 280000, 0.0625, 0.25, 7684222, 7684222, 1012.0400000000001, 7592.804632227974
0, 285000, 0.4375, -0.85, 7838243, 7838243, 1031.9370000000001, 7595.660393996919
