TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.25, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond, , 
0, 5000, -0.875, -0.9750000000000005, 96096, 91096, 13.512, 7111.90053285968, 0.0, 0.0
0, 10000, -0.46875, -0.9750000000000005, 203187, 193187, 27.713, 7331.82982715693, 0.0, 0.0
0, 15000, -0.5625, -0.9000000000000005, 317488, 302488, 42.777, 7421.93234682189, 0.0, 0.0
0, 20000, -0.375, -0.9250000000000005, 440636, 420636, 59.182, 7445.439491737352, 0.0, 0.0
0, 25000, -0.4375, -0.8750000000000004, 569063, 544063, 76.257, 7462.436235361999, 0.0, 0.0
0, 30000, -0.625, -0.9500000000000005, 699449, 669449, 93.559, 7476.020479055997, 0.0, 0.0
0, 35000, -0.75, -0.9250000000000005, 828011, 793011, 111.452, 7429.30588953092, 0.0, 0.0
0, 40000, -0.9375, -0.9500000000000005, 955152, 915152, 131.046, 7288.677258367291, 0.0, 0.0
0, 45000, -0.59375, -0.9750000000000005, 1083219, 1038219, 148.675, 7285.818059525811, 0.0, 0.0
0, 50000, -0.3125, -0.9500000000000005, 1215631, 1165631, 168.096, 7231.766371597182, 0.0, 0.0
0, 55000, 0.1875, -0.9500000000000005, 1352402, 1297402, 187.695, 7205.317136844349, 0.0, 0.0
0, 60000, 0.53125, -0.9250000000000005, 1487710, 1427710, 206.515, 7203.883495145632, 0.0, 0.0
0, 65000, 0.0, -0.9750000000000005, 1620027, 1555027, 225.175, 7194.524258909736, 0.0, 0.0
0, 70000, -0.5, -0.4250000000000001, 1752541, 1682541, 244.271, 7174.576597303814, 0.0, 0.0
0, 75000, -0.21875, -0.8500000000000004, 1890018, 1815018, 263.619, 7169.505991601515, 0.0, 0.0
0, 80000, -0.5, -0.22499999999999998, 2026922, 1946922, 282.111, 7184.838591901769, 0.0, 0.0
0, 85000, -0.09375, -0.8750000000000004, 2160514, 2075514, 300.081, 7199.7693955965215, 0.0, 0.0
0, 90000, -0.03125, -0.9500000000000005, 2296623, 2206623, 318.177, 7218.067302162004, 0.0, 0.0
0, 95000, -0.75, -1.0000000000000004, 2432491, 2337491, 336.205, 7235.142249520382, 0.0, 0.0
0, 100000, 0.15625, -0.8250000000000004, 2569889, 2469889, 356.047, 7217.836409238105, 0.0, 0.0
0, 105000, 0.1875, -0.7500000000000003, 2712500, 2607500, 376.232, 7209.647238937676, 0.0, 0.0
0, 110000, 0.21875, -0.8250000000000004, 2857282, 2747282, 396.268, 7210.478766895132, 0.0, 0.0
0, 115000, 0.3125, -0.9750000000000005, 3000911, 2885911, 416.576, 7203.7539368566595, 0.0, 0.0
