controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.25, horizon:4, AFTERSTATE:false, learnFromRM: true,,,,,
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1,,,,,evalQ=0, evalT=3
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 5000, -1.0, -0.925, 91346, 91346
0, 10000, -0.875, -1.0, 192991, 192991
0, 15000, -0.6875, -0.975, 300602, 300602
0, 20000, -0.78125, -0.975, 412887, 412887
0, 25000, -0.84375, -0.925, 527716, 527716
0, 30000, -0.625, -0.825, 645487, 645487
0, 35000, -0.6875, -0.35000000000000003, 767199, 767199
0, 40000, -0.375, -0.975, 888188, 888188
0, 45000, -0.09375, -0.85, 1013623, 1013623
0, 50000, -0.0625, -0.825, 1141734, 1141734
0, 55000, 0.0, -0.925, 1270674, 1270674
0, 60000, -0.15625, -0.85, 1403586, 1403586
0, 65000, 0.15625, -0.95, 1539887, 1539887
0, 70000, -0.4375, -0.19999999999999996, 1675404, 1675404
0, 75000, -0.4375, -0.4, 1809475, 1809475
0, 80000, -0.5625, -0.625, 1944697, 1944697
0, 85000, -0.125, -0.875, 2079583, 2079583
0, 90000, 0.09375, -0.775, 2214899, 2214899
0, 95000, -0.1875, -0.875, 2349498, 2349498
0, 100000, -0.125, -0.875, 2484841, 2484841
0, 105000, 0.1875, 0.025000000000000022, 2624187, 2624187
0, 110000, 0.28125, -0.875, 2762684, 2762684
0, 115000, 0.40625, 0.375, 2903258, 2903258
0, 120000, 0.0625, 0.45000000000000007, 3044984, 3044984
0, 125000, 0.59375, 0.15000000000000002, 3186367, 3186367
0, 130000, 0.03125, 0.0, 3327677, 3327677
0, 135000, 0.40625, 0.3, 3469575, 3469575
0, 140000, -0.0625, 0.8, 3610082, 3610082
0, 145000, 0.65625, 0.17499999999999993, 3752994, 3752994
0, 150000, 0.0625, 0.27499999999999997, 3896374, 3896374
0, 155000, 0.40625, 0.8999999999999999, 4037185, 4037185
0, 160000, 0.0625, 0.8500000000000001, 4179850, 4179850
0, 165000, 0.4375, 0.5249999999999999, 4322117, 4322117
0, 170000, -0.0625, 0.0, 4463627, 4463627
0, 175000, 0.125, -0.575, 4610748, 4610748
0, 180000, -0.3125, -0.775, 4751706, 4751706
0, 185000, -0.125, -0.875, 4894334, 4894334
0, 190000, 0.09375, -0.875, 5040055, 5040055
0, 195000, -0.125, -0.825, 5188289, 5188289
0, 200000, 0.625, 0.8, 5337863, 5337863
0, 205000, 0.59375, 0.9249999999999999, 5483890, 5483890
0, 210000, 0.4375, 0.44999999999999996, 5632615, 5632615
0, 215000, 0.875, 0.4, 5785135, 5785135
0, 220000, -0.21875, -0.8, 5932115, 5932115
0, 225000, 0.40625, -0.575, 6083104, 6083104
0, 230000, 0.375, 0.07500000000000001, 6233446, 6233446
0, 235000, 0.5625, 0.6499999999999999, 6387160, 6387160
0, 240000, 0.6875, 0.8250000000000001, 6532011, 6532011
0, 245000, -0.40625, -0.825, 6681270, 6681270
0, 250000, -0.21875, -0.725, 6834233, 6834233
0, 255000, -0.25, -0.675, 6985628, 6985628
0, 260000, 0.4375, -0.4, 7140495, 7140495
0, 265000, 0.1875, -0.725, 7296139, 7296139
0, 270000, 0.125, -0.825, 7454378, 7454378
0, 275000, 0.40625, -0.85, 7604423, 7604423
0, 280000, 0.34375, -0.75, 7760411, 7760411
0, 285000, 0.4375, 0.8250000000000001, 7914737, 7914737
0, 290000, 0.125, 0.8250000000000001, 8067726, 8067726
0, 295000, 0.625, 0.775, 8221088, 8221088
0, 300000, 0.6875, 0.9249999999999999, 8374711, 8374711
0, 305000, 0.71875, 0.8500000000000001, 8532019, 8532019
0, 310000, 0.625, 0.95, 8682870, 8682870
0, 315000, 0.5, 0.5, 8836990, 8836990
0, 320000, 0.625, 0.95, 8986301, 8986301
0, 325000, 0.625, 0.8500000000000001, 9138583, 9138583
0, 330000, 0.84375, 0.775, 9289374, 9289374
0, 335000, 0.625, 0.875, 9441802, 9441802
0, 340000, 0.84375, 0.7, 9589737, 9589737
0, 345000, 0.5, 0.75, 9744837, 9744837
0, 350000, 0.65625, 0.875, 9891982, 9891982
0, 355000, 0.75, 0.875, 10038155, 10038155
0, 360000, 0.71875, 0.8, 10187823, 10187823
0, 365000, 0.9375, 0.95, 10353245, 10353245
0, 370000, 0.96875, 1.0, 10505726, 10505726
0, 375000, 0.78125, 0.95, 10656193, 10656193
0, 380000, 0.65625, 1.0, 10811411, 10811411
0, 385000, 0.8125, 0.8999999999999999, 10981478, 10981478
0, 390000, 0.8125, 1.0, 11139797, 11139797
0, 395000, 0.6875, 1.0, 11297524, 11297524
0, 400000, 0.65625, 0.8999999999999999, 11458222, 11458222
0, 405000, 0.9375, 0.95, 11617256, 11617256
0, 410000, 0.9375, 0.95, 11777645, 11777645
0, 415000, 0.71875, 0.8999999999999999, 11932563, 11932563
0, 420000, 0.9375, 1.0, 12092026, 12092026
0, 425000, 0.4375, 1.0, 12242758, 12242758
0, 430000, 0.90625, 0.95, 12392171, 12392171
0, 435000, 0.625, 0.95, 12543544, 12543544
0, 440000, 0.8125, 1.0, 12699597, 12699597
0, 445000, 0.96875, 1.0, 12861935, 12861935
0, 450000, 0.8125, 1.0, 13020931, 13020931
0, 455000, 0.625, 0.8999999999999999, 13184022, 13184022
0, 460000, 0.78125, 0.975, 13337135, 13337135
0, 465000, 0.75, 0.95, 13493325, 13493325
0, 470000, 0.875, 1.0, 13654114, 13654114
0, 475000, 0.75, 0.95, 13818361, 13818361
