controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.25, horizon:4, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 5000, -0.8125, -0.5, 89825, 89825
0, 10000, -0.5625, -0.12500000000000006, 187438, 187438
0, 15000, -0.6875, -0.925, 292621, 292621
0, 20000, -0.75, -0.95, 407567, 407567
0, 25000, -0.78125, -0.975, 526085, 526085
0, 30000, -0.4375, -0.925, 649254, 649254
0, 35000, -0.09375, -0.875, 769095, 769095
0, 40000, -0.125, -0.925, 895530, 895530
0, 45000, -0.8125, -1.0, 1021228, 1021228
0, 50000, -0.1875, 0.025000000000000022, 1143963, 1143963
0, 55000, 0.0, -0.9, 1272652, 1272652
0, 60000, -0.4375, -1.0, 1405456, 1405456
0, 65000, -0.625, -0.975, 1534486, 1534486
0, 70000, -0.0625, -0.9, 1664931, 1664931
0, 75000, 0.03125, -0.825, 1795649, 1795649
0, 80000, 0.5, -0.925, 1922466, 1922466
0, 85000, -0.625, -0.95, 2048321, 2048321
0, 90000, -0.46875, 0.475, 2178388, 2178388
0, 95000, 0.15625, -0.7, 2307040, 2307040
0, 100000, -0.1875, 0.125, 2438857, 2438857
0, 105000, 0.59375, -0.7, 2573547, 2573547
0, 110000, -0.25, -0.9, 2702655, 2702655
0, 115000, -0.25, -0.95, 2830108, 2830108
0, 120000, -0.375, -0.95, 2963355, 2963355
0, 125000, 0.125, -0.9, 3097982, 3097982
0, 130000, -0.1875, -0.975, 3228763, 3228763
0, 135000, -0.375, -0.325, 3362904, 3362904
0, 140000, 0.0625, 0.425, 3496851, 3496851
0, 145000, 0.1875, -0.875, 3630675, 3630675
0, 150000, 0.25, 0.4, 3768277, 3768277
0, 155000, 0.0625, -0.925, 3903288, 3903288
0, 160000, -0.125, -0.925, 4040258, 4040258
0, 165000, 0.125, -0.7, 4177419, 4177419
0, 170000, 0.03125, -0.9, 4312294, 4312294
0, 175000, 0.5, 0.15000000000000002, 4445604, 4445604
0, 180000, 0.125, 0.75, 4583636, 4583636
0, 185000, 0.34375, -0.65, 4722357, 4722357
0, 190000, 0.25, 0.10000000000000003, 4857886, 4857886
0, 195000, -0.09375, -0.75, 4995126, 4995126
0, 200000, 0.4375, -0.275, 5133756, 5133756
0, 205000, 0.21875, -0.9, 5271922, 5271922
0, 210000, 0.0625, -0.975, 5410529, 5410529
0, 215000, -0.125, 0.44999999999999996, 5547758, 5547758
0, 220000, 0.125, -0.725, 5687201, 5687201
0, 225000, 0.21875, -0.8, 5825481, 5825481
0, 230000, 0.0625, -0.8, 5965405, 5965405
0, 235000, 0.28125, 0.07500000000000001, 6103497, 6103497
0, 240000, 0.25, -0.024999999999999967, 6240881, 6240881
0, 245000, 0.21875, 0.5499999999999999, 6375823, 6375823
0, 250000, -0.1875, -0.8, 6513375, 6513375
0, 255000, 0.125, -0.7, 6651100, 6651100
0, 260000, 0.125, -0.9, 6789248, 6789248
0, 265000, 0.53125, 0.25000000000000006, 6925083, 6925083
0, 270000, -0.125, -0.8, 7062206, 7062206
0, 275000, 0.375, -0.975, 7201435, 7201435
0, 280000, -0.25, -0.925, 7338877, 7338877
0, 285000, 0.34375, -0.45, 7473242, 7473242
0, 290000, 0.4375, -0.85, 7609681, 7609681
0, 295000, 0.0625, -0.9, 7748795, 7748795
