controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:2.0->2.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -0.5, 0.0, 218236, 231324
0, 20000, -0.75, 0.0, 462061, 491185
0, 30000, -0.125, 0.0, 706556, 751825
0, 40000, -0.4375, 0.0, 949368, 1010476
0, 50000, -0.3125, 0.0, 1206843, 1285259
0, 60000, 0.0, 0.0, 1471001, 1567518
0, 70000, 0.1875, 0.0, 1724370, 1838022
0, 80000, -0.25, 0.0, 1962708, 2091483
0, 90000, -0.125, 0.0, 2208069, 2352757
0, 100000, -0.125, 0.0, 2457050, 2617929
0, 110000, -0.0625, 0.0, 2714003, 2892477
0, 120000, -0.3125, 0.0, 2964591, 3160172
0, 130000, -0.0625, 0.0, 3222088, 3435280
0, 140000, -0.25, 0.0, 3484460, 3715547
0, 150000, -0.3125, 0.0, 3746818, 3995830
0, 160000, -0.25, 0.0, 4006974, 4273886
0, 170000, 0.25, 0.0, 4276165, 4562139
0, 180000, -0.125, 0.0, 4538639, 4843115
0, 190000, -0.0625, 0.0, 4810241, 5133840
0, 200000, -0.0625, 0.0, 5079774, 5422206
0, 210000, 0.1875, 0.0, 5348142, 5709387
0, 220000, 0.375, 0.0, 5619546, 6000022
0, 230000, 0.375, 0.0, 5881953, 6280695
0, 240000, 0.5, 0.0, 6142696, 6559549
0, 250000, 0.25, 0.0, 6403475, 6838269
0, 260000, 0.5625, 0.0, 6664261, 7116967
0, 270000, 0.625, 0.0, 6928231, 7398995
0, 280000, 0.25, 0.0, 7192276, 7681535
0, 290000, 0.25, 0.0, 7462578, 7970983
0, 300000, 0.1875, 0.0, 7714781, 8240083
0, 310000, 0.5625, 0.0, 7983712, 8527744
0, 320000, 0.5, 0.0, 8265180, 8829254
0, 330000, 0.1875, 0.0, 8557130, 9142561
0, 340000, 0.8125, 0.0, 8845730, 9452024
0, 350000, 0.1875, 0.0, 9133018, 9760061
0, 360000, 0.1875, 0.0, 9424011, 10072123
0, 370000, 0.4375, 0.0, 9694117, 10360941
0, 380000, 0.8125, 0.0, 9963424, 10649012
0, 390000, 0.4375, 0.0, 10241800, 10947527
0, 400000, 0.5625, 0.0, 10498914, 11222215
0, 410000, 0.4375, 0.0, 10779373, 11522568
0, 420000, 0.125, 0.0, 11059906, 11823324
0, 430000, 0.625, 0.0, 11336916, 12120104
0, 440000, 0.1875, 0.0, 11618924, 12422502
0, 450000, 0.4375, 0.0, 11893380, 12716353
0, 460000, 0.8125, 0.0, 12162038, 13003989
0, 470000, 0.5, 0.0, 12460256, 13324323
0, 480000, 0.5, 0.0, 12760422, 13646679
0, 490000, 0.4375, 0.0, 13060900, 13969436
0, 500000, 0.5, 0.0, 13355308, 14285546
1, 10000, -1.0, 0.0, 215317, 228037
1, 20000, -1.0, 0.0, 462133, 491204
1, 30000, -0.75, 0.0, 714397, 760356
1, 40000, -0.125, 0.0, 971409, 1034829
1, 50000, -0.5, 0.0, 1229634, 1310879
1, 60000, -1.0, 0.0, 1485477, 1584209
1, 70000, 0.0, 0.0, 1749315, 1866417
1, 80000, 0.0625, 0.0, 2013662, 2149222
1, 90000, 0.0625, 0.0, 2272581, 2425709
1, 100000, -0.125, 0.0, 2535645, 2706496
1, 110000, -0.375, 0.0, 2795041, 2983577
1, 120000, 0.0, 0.0, 3054150, 3260207
1, 130000, -0.0625, 0.0, 3327439, 3552729
1, 140000, -0.4375, 0.0, 3599102, 3843362
1, 150000, -0.75, 0.0, 3881912, 4146515
1, 160000, 0.0, 0.0, 4143936, 4426676
1, 170000, 0.0625, 0.0, 4413422, 4714884
1, 180000, 0.0625, 0.0, 4685472, 5005923
1, 190000, 0.125, 0.0, 4955563, 5295010
1, 200000, 0.1875, 0.0, 5220431, 5578217
1, 210000, 0.5, 0.0, 5490220, 5866775
1, 220000, -0.1875, 0.0, 5762286, 6157793
1, 230000, 0.25, 0.0, 6032290, 6446587
1, 240000, -0.25, 0.0, 6297682, 6730335
1, 250000, 0.375, 0.0, 6562964, 7013963
1, 260000, 0.0, 0.0, 6827110, 7296364
1, 270000, -0.1875, 0.0, 7096855, 7585069
1, 280000, 0.125, 0.0, 7360713, 7867169
1, 290000, -0.0625, 0.0, 7636078, 8161712
1, 300000, 0.5, 0.0, 7914978, 8460370
1, 310000, 0.4375, 0.0, 8189908, 8754877
1, 320000, 0.5625, 0.0, 8454085, 9037474
1, 330000, 0.25, 0.0, 8723839, 9326276
1, 340000, 0.125, 0.0, 8988417, 9609124
1, 350000, 0.1875, 0.0, 9247885, 9886527
1, 360000, 0.5, 0.0, 9524802, 10183163
1, 370000, -0.25, 0.0, 9798301, 10476036
1, 380000, 0.0625, 0.0, 10065089, 10761177
1, 390000, 0.625, 0.0, 10335141, 11050207
1, 400000, 0.3125, 0.0, 10602857, 11336824
1, 410000, 0.375, 0.0, 10871717, 11624667
1, 420000, 0.25, 0.0, 11135688, 11907021
1, 430000, 0.375, 0.0, 11409166, 12200097
1, 440000, 0.0, 0.0, 11685203, 12495463
1, 450000, 0.375, 0.0, 11957802, 12787009
1, 460000, 0.75, 0.0, 12225630, 13073447
1, 470000, 0.1875, 0.0, 12495689, 13362573
1, 480000, 0.0, 0.0, 12768710, 13655044
1, 490000, 0.375, 0.0, 13026721, 13930736
1, 500000, 0.25, 0.0, 13289771, 14211941
2, 10000, -0.875, 0.0, 216427, 229225
2, 20000, -0.75, 0.0, 448543, 476071
2, 30000, -0.5, 0.0, 686896, 730042
2, 40000, -0.5, 0.0, 941139, 1001359
2, 50000, -0.625, 0.0, 1197962, 1275446
2, 60000, -0.375, 0.0, 1456497, 1551677
2, 70000, 0.0, 0.0, 1713398, 1826233
2, 80000, -0.1875, 0.0, 1968337, 2098544
2, 90000, -0.1875, 0.0, 2229261, 2377215
2, 100000, 0.0, 0.0, 2486040, 2651521
2, 110000, -0.125, 0.0, 2752482, 2936290
2, 120000, -0.1875, 0.0, 3030587, 3234453
2, 130000, -0.0625, 0.0, 3304269, 3527483
2, 140000, -0.1875, 0.0, 3576466, 3818731
2, 150000, 0.0, 0.0, 3843674, 4104398
2, 160000, 0.375, 0.0, 4126399, 4407656
2, 170000, -0.125, 0.0, 4404356, 4705554
2, 180000, -0.5, 0.0, 4686920, 5008446
2, 190000, -0.125, 0.0, 4975620, 5318496
2, 200000, 0.375, 0.0, 5268165, 5632316
2, 210000, -0.625, 0.0, 5545963, 5929750
2, 220000, 0.5625, 0.0, 5815650, 6218453
2, 230000, -0.125, 0.0, 6105886, 6529561
2, 240000, 0.25, 0.0, 6404597, 6850147
2, 250000, -0.3125, 0.0, 6673848, 7138019
2, 260000, -0.25, 0.0, 6948049, 7431694
2, 270000, 0.0625, 0.0, 7211406, 7713434
2, 280000, 0.0, 0.0, 7481490, 8002453
2, 290000, -0.25, 0.0, 7759684, 8300519
2, 300000, 0.3125, 0.0, 8036140, 8596649
2, 310000, 0.25, 0.0, 8304590, 8883568
2, 320000, 0.375, 0.0, 8566419, 9163460
2, 330000, 0.25, 0.0, 8833740, 9449397
2, 340000, 0.1875, 0.0, 9085681, 9718136
2, 350000, 0.625, 0.0, 9350689, 10001460
2, 360000, 0.0, 0.0, 9626095, 10296155
2, 370000, 0.0625, 0.0, 9904639, 10594618
2, 380000, 0.3125, 0.0, 10185442, 10895489
2, 390000, 0.3125, 0.0, 10452601, 11181126
2, 400000, 0.625, 0.0, 10718578, 11465469
2, 410000, 0.375, 0.0, 10997660, 11764380
2, 420000, 0.375, 0.0, 11288096, 12075828
2, 430000, 0.6875, 0.0, 11564120, 12371803
2, 440000, 0.4375, 0.0, 11833809, 12660614
2, 450000, 0.625, 0.0, 12103880, 12949556
2, 460000, 0.25, 0.0, 12376017, 13240925
2, 470000, 0.5625, 0.0, 12642726, 13525971
2, 480000, 0.875, 0.0, 12909437, 13811429
2, 490000, 0.0625, 0.0, 13188229, 14110120
2, 500000, 0.375, 0.0, 13474036, 14416475
3, 10000, -1.0, 0.0, 241030, 256432
3, 20000, -0.75, 0.0, 480905, 511777
3, 30000, -0.75, 0.0, 734054, 782420
3, 40000, -0.6875, 0.0, 981854, 1046715
3, 50000, -0.3125, 0.0, 1228962, 1310054
3, 60000, 0.1875, 0.0, 1477199, 1574775
3, 70000, -0.1875, 0.0, 1732244, 1847255
3, 80000, -0.125, 0.0, 1987437, 2119735
3, 90000, 0.0, 0.0, 2243860, 2393785
3, 100000, 0.0, 0.0, 2502522, 2669848
3, 110000, -0.0625, 0.0, 2769991, 2955845
3, 120000, -0.125, 0.0, 3046738, 3252332
3, 130000, -0.25, 0.0, 3316223, 3540883
3, 140000, 0.4375, 0.0, 3587470, 3831246
3, 150000, -0.4375, 0.0, 3868773, 4132676
3, 160000, 0.4375, 0.0, 4148399, 4432295
3, 170000, -0.0625, 0.0, 4437099, 4741753
3, 180000, 0.125, 0.0, 4703220, 5026483
3, 190000, 0.3125, 0.0, 4967601, 5309132
3, 200000, -0.25, 0.0, 5236001, 5596222
3, 210000, 0.5, 0.0, 5507662, 5886781
3, 220000, 0.4375, 0.0, 5784913, 6183418
3, 230000, 0.5625, 0.0, 6059194, 6477224
3, 240000, 0.25, 0.0, 6350689, 6789810
3, 250000, -0.125, 0.0, 6627657, 7086139
3, 260000, 0.125, 0.0, 6896720, 7374052
3, 270000, -0.0625, 0.0, 7175630, 7672870
3, 280000, 0.5, 0.0, 7444869, 7961096
3, 290000, 0.0625, 0.0, 7700534, 8233738
3, 300000, 0.6875, 0.0, 7968871, 8520640
3, 310000, 0.0, 0.0, 8232289, 8801882
3, 320000, -0.0625, 0.0, 8492360, 9079508
3, 330000, 0.375, 0.0, 8755608, 9360840
3, 340000, 0.1875, 0.0, 9024310, 9648428
3, 350000, 0.6875, 0.0, 9287665, 9929772
3, 360000, 0.3125, 0.0, 9555194, 10215952
3, 370000, 0.375, 0.0, 9837242, 10518374
3, 380000, 0.3125, 0.0, 10111686, 10812186
3, 390000, 0.4375, 0.0, 10376349, 11095167
3, 400000, 0.6875, 0.0, 10630922, 11366944
3, 410000, 0.75, 0.0, 10891069, 11644444
3, 420000, -0.25, 0.0, 11142477, 11912880
3, 430000, 0.1875, 0.0, 11398790, 12186444
3, 440000, 0.6875, 0.0, 11663397, 12469121
3, 450000, 0.125, 0.0, 11920098, 12743317
3, 460000, 0.0, 0.0, 12178574, 13019245
3, 470000, 0.1875, 0.0, 12450358, 13309831
3, 480000, 0.0, 0.0, 12714885, 13592455
3, 490000, 0.25, 0.0, 12979860, 13876013
3, 500000, 0.3125, 0.0, 13254252, 14169854
4, 10000, -1.0, 0.0, 223413, 237129
4, 20000, -0.375, 0.0, 455098, 483456
4, 30000, -0.5, 0.0, 700246, 744972
4, 40000, -0.25, 0.0, 941291, 1001901
4, 50000, -0.125, 0.0, 1209701, 1288999
4, 60000, -0.625, 0.0, 1455552, 1551157
4, 70000, 0.125, 0.0, 1705855, 1818020
4, 80000, -0.125, 0.0, 1974640, 2105634
4, 90000, -0.0625, 0.0, 2236917, 2385944
4, 100000, -0.125, 0.0, 2499057, 2665987
4, 110000, 0.0, 0.0, 2775911, 2962414
4, 120000, 0.3125, 0.0, 3057654, 3264632
4, 130000, 0.0, 0.0, 3333620, 3560126
4, 140000, 0.0, 0.0, 3595480, 3839879
4, 150000, -0.0625, 0.0, 3855742, 4117821
4, 160000, 0.375, 0.0, 4120256, 4400502
4, 170000, -0.4375, 0.0, 4378073, 4675939
4, 180000, 0.625, 0.0, 4633579, 4948716
4, 190000, 0.375, 0.0, 4909213, 5243923
4, 200000, -0.125, 0.0, 5178684, 5532091
4, 210000, 0.5, 0.0, 5448628, 5821038
4, 220000, -0.0625, 0.0, 5713002, 6103612
4, 230000, 0.25, 0.0, 5984034, 6393639
4, 240000, 0.125, 0.0, 6266709, 6696694
4, 250000, 0.5625, 0.0, 6552855, 7003406
4, 260000, 0.4375, 0.0, 6823402, 7292773
4, 270000, -0.125, 0.0, 7098704, 7587525
4, 280000, 0.25, 0.0, 7370788, 7878635
4, 290000, 0.1875, 0.0, 7635439, 8161897
4, 300000, 0.25, 0.0, 7903178, 8448318
4, 310000, 0.1875, 0.0, 8179594, 8744377
4, 320000, 0.25, 0.0, 8435524, 9017830
4, 330000, 0.3125, 0.0, 8699811, 9300685
