controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:2.0->2.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -1.0, 0.0, 202564, 224990
0, 20000, 0.25, 0.0, 430885, 478620
0, 30000, -0.3125, 0.0, 673402, 747898
0, 40000, -0.375, 0.0, 911726, 1012556
0, 50000, -0.25, 0.0, 1165172, 1294296
0, 60000, 0.0, 0.0, 1424652, 1582467
0, 70000, -0.1875, 0.0, 1679908, 1866141
0, 80000, 0.3125, 0.0, 1939468, 2154771
0, 90000, -0.25, 0.0, 2201983, 2446677
0, 100000, 0.125, 0.0, 2450762, 2722925
0, 110000, 0.0, 0.0, 2716755, 3017998
0, 120000, 0.1875, 0.0, 2975148, 3305419
0, 130000, -0.1875, 0.0, 3228775, 3587228
0, 140000, 0.125, 0.0, 3481356, 3867702
0, 150000, 0.25, 0.0, 3752822, 4169712
0, 160000, 0.125, 0.0, 4031292, 4479067
0, 170000, 0.0, 0.0, 4281786, 4757084
0, 180000, 0.25, 0.0, 4533358, 5036664
0, 190000, 0.3125, 0.0, 4776921, 5307412
0, 200000, 0.0625, 0.0, 5020867, 5578264
0, 210000, 0.375, 0.0, 5280083, 5866433
0, 220000, 0.5625, 0.0, 5529780, 6143779
0, 230000, -0.1875, 0.0, 5778644, 6420477
0, 240000, 0.0625, 0.0, 6034532, 6704883
0, 250000, 0.5625, 0.0, 6290875, 6989974
0, 260000, 0.375, 0.0, 6544235, 7271782
0, 270000, 0.1875, 0.0, 6801071, 7557267
0, 280000, 0.0, 0.0, 7056557, 7840932
0, 290000, 0.5625, 0.0, 7311388, 8124227
0, 300000, 0.4375, 0.0, 7565728, 8406895
0, 310000, -0.1875, 0.0, 7821023, 8690604
0, 320000, 0.4375, 0.0, 8082097, 8980652
0, 330000, 0.375, 0.0, 8349253, 9277297
0, 340000, 0.5625, 0.0, 8616559, 9574398
0, 350000, 0.5625, 0.0, 8887580, 9875559
0, 360000, 0.375, 0.0, 9158665, 10176584
0, 370000, 0.625, 0.0, 9426777, 10474579
0, 380000, 0.375, 0.0, 9691027, 10768196
0, 390000, 0.375, 0.0, 9967867, 11075821
0, 400000, 0.375, 0.0, 10236782, 11374678
0, 410000, 0.375, 0.0, 10511652, 11680037
0, 420000, 0.5, 0.0, 10786790, 11986320
0, 430000, 0.75, 0.0, 11055336, 12284810
0, 440000, 0.25, 0.0, 11319833, 12578415
0, 450000, 0.1875, 0.0, 11583020, 12870952
0, 460000, 0.375, 0.0, 11842724, 13159697
0, 470000, 0.375, 0.0, 12104924, 13451123
0, 480000, 0.5, 0.0, 12382495, 13759483
0, 490000, 0.625, 0.0, 12651178, 14058107
0, 500000, 0.4375, 0.0, 12920286, 14357442
1, 10000, -1.0, 0.0, 213664, 237739
1, 20000, -0.8125, 0.0, 449716, 500140
