controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:2.0->2.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -0.875, 0.0, 211678, 224203
0, 20000, -0.3125, 0.0, 447463, 475171
0, 30000, -0.875, 0.0, 695770, 739818
0, 40000, -0.75, 0.0, 940327, 1000431
0, 50000, -0.25, 0.0, 1195193, 1272004
0, 60000, -0.1875, 0.0, 1449240, 1543336
0, 70000, -0.5, 0.0, 1707333, 1819319
0, 80000, -0.3125, 0.0, 1964977, 2094457
0, 90000, 0.125, 0.0, 2224252, 2371406
0, 100000, -0.5, 0.0, 2490408, 2655806
0, 110000, -0.0625, 0.0, 2752192, 2935474
0, 120000, -0.0625, 0.0, 3020004, 3222011
0, 130000, 0.25, 0.0, 3284132, 3504498
0, 140000, 0.0625, 0.0, 3545935, 3784713
0, 150000, 0.1875, 0.0, 3814539, 4071979
0, 160000, 0.25, 0.0, 4079171, 4354880
0, 170000, 0.4375, 0.0, 4345797, 4639988
0, 180000, 0.125, 0.0, 4617917, 4931419
0, 190000, 0.4375, 0.0, 4881397, 5213446
0, 200000, -0.0625, 0.0, 5143955, 5494146
0, 210000, 0.0625, 0.0, 5403721, 5771974
0, 220000, -0.3125, 0.0, 5668487, 6054947
0, 230000, 0.125, 0.0, 5934157, 6339074
0, 240000, 0.0, 0.0, 6220246, 6645749
0, 250000, 0.125, 0.0, 6495835, 6940940
0, 260000, 0.375, 0.0, 6767322, 7231637
0, 270000, 0.125, 0.0, 7037591, 7520831
0, 280000, 0.3125, 0.0, 7308295, 7810519
0, 290000, 0.0, 0.0, 7586220, 8108339
0, 300000, 0.375, 0.0, 7862203, 8403800
0, 310000, 0.125, 0.0, 8140708, 8702333
0, 320000, 0.0, 0.0, 8411007, 8991651
0, 330000, 0.5, 0.0, 8682209, 9281887
0, 340000, 0.25, 0.0, 8962301, 9581992
0, 350000, 0.25, 0.0, 9243070, 9883387
0, 360000, 0.375, 0.0, 9522836, 10183152
0, 370000, 0.0, 0.0, 9804635, 10484942
0, 380000, 0.125, 0.0, 10092037, 10793114
0, 390000, -0.4375, 0.0, 10374713, 11096233
0, 400000, 0.0625, 0.0, 10660297, 11402453
0, 410000, 0.0625, 0.0, 10937365, 11699097
0, 420000, 0.125, 0.0, 11205018, 11985073
0, 430000, 0.4375, 0.0, 11479035, 12278463
0, 440000, 0.25, 0.0, 11754128, 12572987
0, 450000, -0.125, 0.0, 12025047, 12862915
0, 460000, 0.5625, 0.0, 12294194, 13151002
0, 470000, -0.25, 0.0, 12570812, 13447163
0, 480000, -0.25, 0.0, 12840016, 13735425
0, 490000, 0.1875, 0.0, 13102688, 14016317
0, 500000, 0.125, 0.0, 13367778, 14299512
1, 10000, -0.9375, 0.0, 219397, 232412
1, 20000, -0.875, 0.0, 449547, 476710
1, 30000, -0.4375, 0.0, 695957, 739238
1, 40000, -0.375, 0.0, 949304, 1009555
1, 50000, -0.375, 0.0, 1210289, 1287953
1, 60000, -0.4375, 0.0, 1461695, 1556123
1, 70000, -0.4375, 0.0, 1719825, 1831953
1, 80000, 0.5, 0.0, 1975985, 2105597
1, 90000, -0.1875, 0.0, 2236917, 2384487
1, 100000, 0.1875, 0.0, 2500409, 2666211
1, 110000, -0.125, 0.0, 2773327, 2958435
1, 120000, 0.5625, 0.0, 3048182, 3252986
1, 130000, -0.25, 0.0, 3330907, 3555968
1, 140000, 0.125, 0.0, 3602603, 3846726
1, 150000, 0.0625, 0.0, 3877638, 4141013
1, 160000, 0.1875, 0.0, 4150601, 4433033
1, 170000, 0.5625, 0.0, 4423871, 4725534
1, 180000, 0.0, 0.0, 4701260, 5022341
1, 190000, 0.375, 0.0, 4985003, 5326130
1, 200000, 0.3125, 0.0, 5272430, 5634189
1, 210000, 0.3125, 0.0, 5551808, 5933345
1, 220000, 0.4375, 0.0, 5823445, 6224128
1, 230000, 0.3125, 0.0, 6091799, 6511400
1, 240000, 0.1875, 0.0, 6363377, 6802001
1, 250000, 0.75, 0.0, 6635855, 7093680
1, 260000, 0.25, 0.0, 6898969, 7375031
1, 270000, 0.3125, 0.0, 7172671, 7667902
1, 280000, 0.1875, 0.0, 7441910, 7955771
1, 290000, 0.125, 0.0, 7719043, 8252643
1, 300000, 0.0, 0.0, 7993431, 8545969
1, 310000, 0.5, 0.0, 8263499, 8834788
1, 320000, 0.25, 0.0, 8533163, 9123233
1, 330000, 0.75, 0.0, 8800812, 9409373
1, 340000, 0.5, 0.0, 9073386, 9700857
1, 350000, 0.75, 0.0, 9347711, 9994483
1, 360000, 0.1875, 0.0, 9623045, 10289008
1, 370000, 0.375, 0.0, 9900140, 10586126
1, 380000, 0.25, 0.0, 10164286, 10868485
1, 390000, 0.625, 0.0, 10428284, 11150502
1, 400000, 0.4375, 0.0, 10685219, 11425323
1, 410000, 0.25, 0.0, 10962681, 11722461
1, 420000, 0.1875, 0.0, 11237255, 12016246
1, 430000, 0.3125, 0.0, 11504863, 12302331
1, 440000, 0.1875, 0.0, 11776231, 12592764
1, 450000, 0.375, 0.0, 12036423, 12870897
1, 460000, 0.0625, 0.0, 12308050, 13161742
1, 470000, 0.5, 0.0, 12577864, 13450077
