controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:2.0->2.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -0.9375, 0.0, 218139, 231329
0, 20000, -0.375, 0.0, 461737, 490939
0, 30000, -0.25, 0.0, 704449, 749630
0, 40000, -0.375, 0.0, 962633, 1025337
0, 50000, -0.3125, 0.0, 1214938, 1294821
0, 60000, 0.0, 0.0, 1457263, 1552819
0, 70000, 0.1875, 0.0, 1708542, 1821221
0, 80000, -0.375, 0.0, 1964856, 2095101
0, 90000, 0.1875, 0.0, 2220866, 2368273
0, 100000, 0.125, 0.0, 2479028, 2643911
0, 110000, 0.125, 0.0, 2735614, 2918152
0, 120000, -0.375, 0.0, 2987543, 3187060
0, 130000, 0.0625, 0.0, 3252885, 3471150
0, 140000, -0.0625, 0.0, 3507787, 3743368
0, 150000, 0.25, 0.0, 3765813, 4018926
0, 160000, -0.0625, 0.0, 4035829, 4307661
0, 170000, 0.1875, 0.0, 4295866, 4585517
0, 180000, -0.25, 0.0, 4560583, 4868511
0, 190000, 0.1875, 0.0, 4825373, 5151269
0, 200000, 0.1875, 0.0, 5078702, 5421624
0, 210000, 0.0625, 0.0, 5340362, 5701056
0, 220000, -0.375, 0.0, 5599491, 5977686
0, 230000, 0.3125, 0.0, 5863007, 6259038
0, 240000, 0.25, 0.0, 6123532, 6537418
0, 250000, 0.1875, 0.0, 6391328, 6823735
0, 260000, 0.1875, 0.0, 6660977, 7112307
0, 270000, 0.1875, 0.0, 6924674, 7394166
0, 280000, 0.375, 0.0, 7198567, 7687243
0, 290000, -0.0625, 0.0, 7471398, 7979064
0, 300000, 0.1875, 0.0, 7746081, 8273035
0, 310000, 0.75, 0.0, 8014832, 8560849
0, 320000, 0.4375, 0.0, 8280560, 8845087
0, 330000, 0.25, 0.0, 8549098, 9132239
0, 340000, 0.8125, 0.0, 8818741, 9420867
0, 350000, 0.5625, 0.0, 9089004, 9710101
0, 360000, 0.3125, 0.0, 9363071, 10003484
0, 370000, 0.625, 0.0, 9637670, 10297348
0, 380000, 0.375, 0.0, 9925826, 10606374
0, 390000, 0.625, 0.0, 10195051, 10894343
0, 400000, 0.3125, 0.0, 10459350, 11177002
0, 410000, 0.3125, 0.0, 10719234, 11454663
0, 420000, 0.4375, 0.0, 10981857, 11735222
0, 430000, 0.375, 0.0, 11250608, 12022970
0, 440000, 0.5, 0.0, 11519222, 12310353
0, 450000, 0.0625, 0.0, 11784776, 12594554
