controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false;;;;;;;;;;;
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=1;;;;;;;;;;;evalQ=evalAB5, evalT=evalAB
run, gameNum, evalQ, evalT, actionNum, trnMoves;;;;;;;;;;;
0, 5000, 0.35, -0.3, 91587, 101588;;;;;;;;;;;
0, 10000, 0.35, -0.8500000000000001, 202080, 224101;;;;;;;;;;;
0, 15000, 0.15, -0.42499999999999993, 316404, 350934;;;;;;;;;;;
0, 20000, 0.25, -0.04999999999999999, 431983, 478861;;;;;;;;;;;
0, 25000, 0.275, -1.0, 547190, 606148;;;;;;;;;;;
0, 30000, 0.2, 0.30000000000000004, 663944, 734953;;;;;;;;;;;
0, 35000, 0.35, -0.975, 789119, 872995;;;;;;;;;;;
0, 40000, 0.425, -0.85, 909194, 1005279;;;;;;;;;;;
0, 45000, 0.35, -0.4, 1035019, 1143878;;;;;;;;;;;
0, 50000, 0.575, -0.775, 1168806, 1291207;;;;;;;;;;;
0, 55000, 0.225, -0.725, 1289888, 1424204;;;;;;;;;;;
0, 60000, 0.175, -0.8, 1416871, 1563383;;;;;;;;;;;
0, 65000, 0.3, -0.85, 1548627, 1707676;;;;;;;;;;;
0, 70000, 0.5, -0.875, 1673198, 1844070;;;;;;;;;;;
0, 75000, 0.175, -0.875, 1802285, 1985272;;;;;;;;;;;
0, 80000, 0.175, -0.825, 1931789, 2126745;;;;;;;;;;;
0, 85000, 0.6, 0.42500000000000004, 2064139, 2271141;;;;;;;;;;;
0, 90000, 0.35, -0.9, 2194780, 2413700;;;;;;;;;;;
0, 95000, 0.475, -0.875, 2325582, 2556243;;;;;;;;;;;
0, 100000, 0.35, -0.975, 2460246, 2702799;;;;;;;;;;;
0, 105000, 0.425, -0.8, 2589559, 2843140;;;;;;;;;;;
0, 110000, 0.4, 0.6, 2721757, 2986879;;;;;;;;;;;
0, 115000, 0.45, -0.9, 2852294, 3128439;;;;;;;;;;;
0, 120000, 0.5, -0.95, 2987619, 3275121;;;;;;;;;;;
0, 125000, 0.725, 0.22499999999999998, 3122402, 3420813;;;;;;;;;;;
0, 130000, 0.875, 1.0, 3259227, 3568562;;;;;;;;;;;
0, 135000, 0.775, 0.45000000000000007, 3395040, 3715269;;;;;;;;;;;
0, 140000, 0.875, 0.625, 3529164, 3859899;;;;;;;;;;;
0, 145000, 0.8, 0.8999999999999999, 3663366, 4004341;;;;;;;;;;;
0, 150000, 0.85, 0.8999999999999999, 3804952, 4156549;;;;;;;;;;;
0, 155000, 0.9, 0.15000000000000002, 3946279, 4308511;;;;;;;;;;;
0, 160000, 0.475, 0.12500000000000006, 4088705, 4461452;;;;;;;;;;;
0, 165000, 0.45, 0.37500000000000006, 4231407, 4614619;;;;;;;;;;;
0, 170000, 0.55, 0.325, 4370882, 4764338;;;;;;;;;;;
0, 175000, 0.125, 0.5249999999999999, 4514638, 4918142;;;;;;;;;;;
0, 180000, 0.425, 0.10000000000000003, 4662883, 5076563;;;;;;;;;;;
0, 185000, 0.4, -0.975, 4807029, 5230354;;;;;;;;;;;
0, 190000, 0.275, -1.0, 4955573, 5388720;;;;;;;;;;;
0, 195000, 0.325, -0.7, 5102189, 5545043;;;;;;;;;;;
0, 200000, 0.65, -1.0, 5245129, 5697088;;;;;;;;;;;
0, 205000, 0.575, 0.3, 5394308, 5855572;;;;;;;;;;;
0, 210000, 0.825, 0.75, 5534104, 6004012;;;;;;;;;;;
0, 215000, 0.875, 0.925, 5667701, 6145830;;;;;;;;;;;
0, 220000, 0.55, 0.825, 5819316, 6306498;;;;;;;;;;;
0, 225000, 0.575, 0.875, 5968695, 6464695;;;;;;;;;;;
0, 230000, 0.55, 0.75, 6111462, 6615488;;;;;;;;;;;
0, 235000, 0.575, 0.8500000000000001, 6256830, 6769129;;;;;;;;;;;
0, 240000, 0.55, 0.95, 6413021, 6933968;;;;;;;;;;;
0, 245000, 0.55, 0.44999999999999996, 6567619, 7096844;;;;;;;;;;;
0, 250000, 0.575, 0.9, 6722289, 7259662;;;;;;;;;;;
0, 255000, 0.525, 0.35, 6888283, 7434316;;;;;;;;;;;
0, 260000, 0.575, 0.875, 7051819, 7606126;;;;;;;;;;;
0, 265000, 0.85, 0.9249999999999999, 7220958, 7783578;;;;;;;;;;;
0, 270000, 0.8, 0.4, 7391930, 7962911;;;;;;;;;;;
0, 275000, 0.825, 0.975, 7565220, 8144544;;;;;;;;;;;
0, 280000, 0.95, 0.8, 7736308, 8323578;;;;;;;;;;;
0, 285000, 0.8, 0.525, 7908069, 8503093;;;;;;;;;;;
0, 290000, 0.375, -1.0, 8078547, 8681257;;;;;;;;;;;
0, 295000, 0.35, -0.975, 8251172, 8861284;;;;;;;;;;;
0, 300000, 0.375, -1.0, 8419537, 9036825;;;;;;;;;;;
0, 305000, 0.375, -1.0, 8589774, 9214210;;;;;;;;;;;
0, 310000, 0.35, -1.0, 8763882, 9395308;;;;;;;;;;;
0, 315000, 0.4, -0.825, 8936880, 9575055;;;;;;;;;;;
0, 320000, 0.375, -0.75, 9103305, 9747843;;;;;;;;;;;
0, 325000, 0.75, -0.8, 9282063, 9933255;;;;;;;;;;;
