controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false;;;;;;;;;;;
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=1;;;;;;;;;;;evalQ=4, evalT=3
run, gameNum, evalQ, evalT, actionNum, trnMoves;;;;;;;;;;;
0, 5000, 0.35, -0.975, 88840, 98491;;;;;;;;;;;
0, 10000, 0.375, -0.475, 189704, 210537;;;;;;;;;;;
0, 15000, 0.3, -0.875, 291639, 323687;;;;;;;;;;;
0, 20000, 0.125, -0.925, 399130, 443092;;;;;;;;;;;
0, 25000, 0.0, -0.875, 514325, 571161;;;;;;;;;;;
0, 30000, 0.0, -0.85, 630840, 700487;;;;;;;;;;;
0, 35000, 0.0, -0.9, 745590, 827916;;;;;;;;;;;
0, 40000, 0.275, -0.8, 866746, 962443;;;;;;;;;;;
0, 45000, 0.05, -0.27499999999999997, 987445, 1096460;;;;;;;;;;;
0, 50000, 0.55, -0.975, 1110148, 1232852;;;;;;;;;;;
0, 55000, 0.45, -0.7, 1230252, 1366434;;;;;;;;;;;
0, 60000, 0.0, -0.95, 1349810, 1499248;;;;;;;;;;;
0, 65000, 0.075, -0.04999999999999999, 1473399, 1636713;;;;;;;;;;;
0, 70000, 0.0, -0.8, 1595843, 1772869;;;;;;;;;;;
0, 75000, 0.525, -0.825, 1719559, 1910357;;;;;;;;;;;
0, 80000, 0.35, -0.875, 1844608, 2049353;;;;;;;;;;;
0, 85000, 0.05, -0.15000000000000002, 1965462, 2183893;;;;;;;;;;;
0, 90000, 0.725, -0.925, 2094898, 2327830;;;;;;;;;;;
0, 95000, 0.325, -0.7, 2226337, 2473970;;;;;;;;;;;
0, 100000, 0.625, -0.39999999999999997, 2347706, 2608859;;;;;;;;;;;
0, 105000, 0.625, -0.9, 2464653, 2738984;;;;;;;;;;;
0, 110000, 0.325, -0.775, 2586771, 2874775;;;;;;;;;;;
0, 115000, 0.425, -0.825, 2710723, 3012686;;;;;;;;;;;
0, 120000, 0.45, -0.8, 2830817, 3146075;;;;;;;;;;;
0, 125000, 0.5, -0.75, 2959856, 3289241;;;;;;;;;;;
0, 130000, 0.6, -0.8, 3089561, 3433431;;;;;;;;;;;
0, 135000, 0.325, -0.7, 3220311, 3578602;;;;;;;;;;;
0, 140000, 0.675, -0.825, 3348882, 3721489;;;;;;;;;;;
0, 145000, 0.45, -0.14999999999999997, 3484174, 3871941;;;;;;;;;;;
0, 150000, 0.65, -0.675, 3610900, 4012847;;;;;;;;;;;
0, 155000, 0.6, -0.875, 3735477, 4151116;;;;;;;;;;;
0, 160000, 0.7, -0.8, 3854807, 4283765;;;;;;;;;;;
0, 165000, 0.725, -0.7, 3980680, 4423880;;;;;;;;;;;
0, 170000, 0.6, -0.85, 4106002, 4562905;;;;;;;;;;;
0, 175000, 0.75, -0.65, 4231278, 4702084;;;;;;;;;;;
0, 180000, 0.725, -0.825, 4359918, 4844987;;;;;;;;;;;
0, 185000, 0.675, -0.75, 4491680, 4991566;;;;;;;;;;;
0, 190000, 0.65, -0.775, 4621255, 5135357;;;;;;;;;;;
0, 195000, 0.375, -0.825, 4751433, 5280038;;;;;;;;;;;
0, 200000, 0.675, -0.675, 4875602, 5417908;;;;;;;;;;;
0, 205000, 0.75, -0.625, 5008248, 5565264;;;;;;;;;;;
0, 210000, 0.7, -0.55, 5142018, 5713868;;;;;;;;;;;
0, 215000, 0.625, -0.7, 5272470, 5858942;;;;;;;;;;;
0, 220000, 0.675, -0.575, 5407530, 6008911;;;;;;;;;;;
0, 225000, 0.725, -0.675, 5542336, 6158635;;;;;;;;;;;
0, 230000, 0.725, -0.525, 5679531, 6310930;;;;;;;;;;;
0, 235000, 0.7, -0.65, 5812371, 6458718;;;;;;;;;;;
0, 240000, 0.325, -0.9, 5942795, 6603518;;;;;;;;;;;
0, 245000, 0.725, -0.75, 6076873, 6752505;;;;;;;;;;;
0, 250000, 0.625, -0.75, 6210517, 6900932;;;;;;;;;;;
0, 255000, 0.575, -0.575, 6346533, 7052015;;;;;;;;;;;
0, 260000, 0.525, -0.525, 6480575, 7200917;;;;;;;;;;;
0, 265000, 0.375, -0.625, 6612976, 7347994;;;;;;;;;;;
0, 270000, 0.7, -0.825, 6748484, 7498535;;;;;;;;;;;
0, 275000, 0.55, -0.75, 6883475, 7648569;;;;;;;;;;;
