controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:2.0->2.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -0.125, -0.825, 203361, 214878
0, 20000, -0.75, -0.9, 434160, 460362
0, 30000, -1.0, -0.95, 674203, 716105
0, 40000, -1.0, -0.975, 915566, 973108
0, 50000, -0.8125, -0.17500000000000004, 1163310, 1237021
0, 60000, -0.75, -0.875, 1417526, 1508500
0, 70000, 0.125, -0.925, 1666932, 1774632
0, 80000, -0.6875, -0.975, 1922637, 2047642
0, 90000, 0.25, -0.9, 2186974, 2330140
0, 100000, 0.375, -0.925, 2458709, 2620898
0, 110000, 0.625, -0.7, 2714671, 2894176
0, 120000, 0.75, -0.8, 2968650, 3165377
0, 130000, 0.875, -0.9, 3223497, 3437755
0, 140000, 0.6875, -0.9, 3489319, 3721860
0, 150000, 0.4375, -0.95, 3759984, 4011126
0, 160000, 0.5, -0.9, 4026349, 4296083
0, 170000, 0.375, -0.7, 4287069, 4574609
0, 180000, 0.8125, -0.775, 4543267, 4848145
0, 190000, 0.375, -0.925, 4794775, 5116373
0, 200000, -0.0625, -0.775, 5050659, 5389958
0, 210000, -0.875, -0.9, 5310577, 5667531
0, 220000, 0.5, -0.8, 5568341, 5942561
0, 230000, 0.5, -0.9, 5820901, 6211984
0, 240000, -0.125, -0.825, 6075350, 6483770
0, 250000, -0.125, -0.9, 6330073, 6755903
0, 260000, 0.0625, -0.825, 6590688, 7034455
0, 270000, 0.125, -0.775, 6850906, 7312594
0, 280000, -0.125, -0.85, 7113452, 7593398
0, 290000, 0.3125, -0.7, 7389585, 7889007
0, 300000, 0.0, -0.65, 7652922, 8170236
0, 310000, 0.4375, -0.625, 7932196, 8469420
0, 320000, 0.25, -0.675, 8218685, 8776799
0, 330000, -0.5, -0.8, 8497560, 9075583
0, 340000, 0.5, -0.575, 8765412, 9361968
0, 350000, 0.4375, -0.8, 9041673, 9658234
0, 360000, 0.375, -0.575, 9321509, 9958004
0, 370000, 0.625, -0.525, 9606342, 10263383
0, 380000, 0.4375, -0.575, 9873968, 10549660
0, 390000, -0.125, -0.775, 10145488, 10840033
0, 400000, -0.25, -0.8, 10407844, 11120641
0, 410000, 0.375, -0.5, 10689805, 11422615
0, 420000, 0.625, -1.0, 10967199, 11719613
0, 430000, 0.0, -0.95, 11238291, 12009779
0, 440000, 0.1875, -0.65, 11500316, 12289997
0, 450000, -0.375, -0.95, 11772112, 12580905
0, 460000, 0.25, -0.25, 12045453, 12873483
0, 470000, 0.375, -0.35, 12320335, 13167778
0, 480000, -0.0625, -0.275, 12597094, 13464258
0, 490000, 0.0, -0.15, 12871915, 13758420
0, 500000, 0.625, -0.55, 13160407, 14068065
1, 10000, -1.0, -1.0, 225229, 239207
1, 20000, -1.0, -0.9, 466065, 495918
1, 30000, -0.8125, -0.95, 714787, 761280
1, 40000, -1.0, -0.875, 965748, 1029184
1, 50000, -0.25, -0.7, 1226722, 1308106
1, 60000, -0.1875, 0.4, 1484700, 1583603
1, 70000, -0.1875, -0.25000000000000006, 1754287, 1871969
1, 80000, 0.0, -1.0, 2022899, 2159257
1, 90000, -0.25, -0.575, 2279900, 2433774
1, 100000, 0.5, 0.15000000000000002, 2535776, 2707406
1, 110000, 0.125, 0.375, 2791123, 2979916
1, 120000, -0.0625, 0.19999999999999996, 3042426, 3247989
