controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:40, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -1.0, -0.9, 179524, 188315
0, 20000, -0.625, -0.44999999999999996, 387568, 408186
0, 30000, -0.75, -1.0, 611983, 646567
0, 40000, -0.375, -0.95, 843175, 892244
0, 50000, -0.25, -0.9, 1069252, 1132440
0, 60000, -0.25, -0.95, 1299133, 1376620
0, 70000, 0.125, 0.0, 1541000, 1634309
0, 80000, -0.25, -0.10000000000000003, 1798138, 1908751
0, 90000, 0.375, -0.6, 2048603, 2176288
0, 100000, -0.375, -0.95, 2288591, 2431639
0, 110000, 0.3125, -0.8, 2539247, 2699203
0, 120000, 0.25, -0.7, 2801952, 2979878
0, 130000, 0.5625, -1.0, 3062347, 3258105
0, 140000, 0.0625, -0.85, 3317463, 3530374
0, 150000, -0.25, 0.7, 3572902, 3803489
0, 160000, -0.375, -0.3, 3825173, 4072617
0, 170000, -0.25, -1.0, 4074578, 4338526
0, 180000, 0.0625, -0.95, 4326609, 4607604
0, 190000, 0.0625, 0.55, 4581828, 4880054
0, 200000, 0.25, -0.75, 4836968, 5152578
0, 210000, -0.5, -0.65, 5088870, 5421331
0, 220000, -0.1875, 0.7, 5339394, 5688668
0, 230000, -0.1875, -0.9, 5589904, 5956017
0, 240000, 0.375, 0.7, 5845400, 6228627
0, 250000, 0.25, 0.65, 6099035, 6499300
0, 260000, 0.125, -1.0, 6354151, 6771518
0, 270000, 0.0625, 0.3, 6607494, 7041876
0, 280000, 0.6875, 0.10000000000000003, 6867733, 7320233
0, 290000, 0.4375, -0.95, 7120080, 7589529
0, 300000, 0.875, 1.0, 7371667, 7858470
0, 310000, -0.25, -0.85, 7621169, 8124626
0, 320000, 0.1875, -0.95, 7879462, 8400395
0, 330000, 0.5625, 0.8, 8137576, 8676282
0, 340000, 0.4375, -0.9, 8395943, 8952317
0, 350000, 0.375, 0.8, 8651820, 9225687
0, 360000, -0.375, -1.0, 8915035, 9506849
0, 370000, 0.6875, 0.8, 9172634, 9781909
0, 380000, 0.3125, -1.0, 9430697, 10057614
0, 390000, 0.6875, 0.8999999999999999, 9690002, 10334620
0, 400000, 0.9375, 0.8999999999999999, 9948463, 10610914
0, 410000, 0.6875, 1.0, 10209032, 10889425
0, 420000, 0.875, 1.0, 10464397, 11162208
0, 430000, 0.625, 1.0, 10719947, 11434851
0, 440000, 0.1875, 1.0, 10971273, 11703231
0, 450000, 0.375, 0.9, 11221146, 11969730
0, 460000, 0.5625, 0.8999999999999999, 11472348, 12237544
0, 470000, 0.5, 0.85, 11713691, 12494578
0, 480000, 0.4375, 1.0, 11962200, 12759625
0, 490000, 0.8125, 1.0, 12215390, 13030150
0, 500000, 0.5625, 1.0, 12472182, 13304451
1, 10000, -1.0, -1.0, 178666, 187534
1, 20000, -0.625, 0.0, 386008, 406727
1, 30000, -1.0, -0.10000000000000003, 607901, 642061
1, 40000, -0.125, -0.95, 829716, 877307
1, 50000, -0.4375, -0.9, 1052710, 1113959
1, 60000, -0.25, -0.9, 1278134, 1353369
1, 70000, 0.125, -1.0, 1512368, 1602396
1, 80000, 0.0, 0.10000000000000003, 1756145, 1862259
1, 90000, 0.125, 0.49999999999999994, 2008463, 2131458
1, 100000, 0.375, 0.49999999999999994, 2255045, 2394586
1, 110000, 0.125, 1.0, 2501083, 2656819
1, 120000, 0.375, -0.19999999999999996, 2749349, 2921633
1, 130000, 0.3125, 0.3, 2994719, 3183236
1, 140000, -0.25, -0.9, 3239269, 3444021
1, 150000, -0.375, -0.6, 3489123, 3710255
1, 160000, -0.5625, -0.9, 3738907, 3976613
1, 170000, -0.0625, -0.85, 3994291, 4249517
1, 180000, 0.1875, -0.6, 4253148, 4525994
1, 190000, 0.625, 0.8, 4512039, 4802562
1, 200000, 0.0, -0.8, 4768444, 5076068
1, 210000, 0.125, -1.0, 5020063, 5344460
1, 220000, 0.4375, -0.85, 5270663, 5612049
1, 230000, 0.3125, -0.65, 5524144, 5882399
1, 240000, 0.5625, 0.7, 5783466, 6159373
1, 250000, 0.4375, -0.8, 6041540, 6435037
1, 260000, 0.0625, 0.19999999999999996, 6306281, 6718416
1, 270000, 0.4375, -1.0, 6568673, 6998759
1, 280000, 0.5, 0.75, 6828505, 7276451
1, 290000, 0.3125, -0.85, 7089907, 7555819
1, 300000, 0.25, 0.44999999999999996, 7349325, 7832916
1, 310000, 0.5625, 0.65, 7612317, 8113929
1, 320000, 0.375, 1.0, 7879964, 8399972
1, 330000, 0.4375, 1.0, 8145699, 8683876
1, 340000, 0.375, 0.65, 8408195, 8964535
1, 350000, 0.6875, 0.8, 8670885, 9245276
1, 360000, 0.375, -0.7, 8932931, 9525149
1, 370000, 0.75, 1.0, 9197253, 9807769
1, 380000, 0.625, 1.0, 9454631, 10082565
1, 390000, 0.625, 1.0, 9716145, 10362057
1, 400000, 0.1875, 0.7, 9981474, 10645543
1, 410000, 0.625, 0.39999999999999997, 10252982, 10936125
1, 420000, 0.375, 0.8999999999999999, 10514331, 11215470
1, 430000, 0.0, 0.8999999999999999, 10774571, 11493086
1, 440000, 0.6875, 0.8999999999999999, 11031790, 11767973
1, 450000, 0.4375, -0.7, 11294938, 12049154
1, 460000, 0.125, -0.8, 11559567, 12331970
1, 470000, 0.625, 0.8999999999999999, 11827258, 12618425
1, 480000, 0.625, 0.7999999999999999, 12088458, 12897859
1, 490000, 0.5625, 0.8999999999999999, 12348955, 13176144
1, 500000, -0.5, 0.7000000000000001, 12603271, 13447478
2, 10000, -0.875, -0.55, 184007, 193374
2, 20000, -0.875, -0.95, 379806, 400159
2, 30000, -0.625, -0.95, 601778, 635463
2, 40000, -0.125, -1.0, 841137, 890189
2, 50000, -0.375, -1.0, 1085474, 1150212
2, 60000, -0.25, -0.85, 1330047, 1410874
2, 70000, -0.1875, -0.95, 1567217, 1663092
2, 80000, -0.375, -0.85, 1801628, 1912453
2, 90000, 0.0625, -1.0, 2038507, 2164251
2, 100000, 0.0, -0.9, 2278913, 2420370
2, 110000, -0.3125, -0.9, 2521526, 2678618
2, 120000, -0.125, -1.0, 2775222, 2949600
2, 130000, -0.0625, -1.0, 3031045, 3222722
2, 140000, 0.375, -0.7, 3278309, 3486452
2, 150000, 0.125, -0.95, 3531408, 3756573
2, 160000, -0.125, -0.5, 3782593, 4024462
2, 170000, 0.3125, -0.7, 4029068, 4287306
2, 180000, -0.375, -0.9, 4279339, 4554327
2, 190000, 0.5625, 0.25, 4537643, 4830355
2, 200000, 0.5625, 0.30000000000000004, 4801182, 5112205
2, 210000, 0.0, 0.8, 5064668, 5393771
2, 220000, 0.375, -0.6, 5324923, 5671656
2, 230000, 0.125, 0.6000000000000001, 5579753, 5943722
2, 240000, -0.1875, 0.19999999999999996, 5828372, 6208897
2, 250000, 0.375, 0.44999999999999996, 6089772, 6488579
2, 260000, 0.0, -0.9, 6356435, 6773812
2, 270000, 0.125, -0.95, 6623565, 7059481
2, 280000, 0.25, 0.30000000000000004, 6883076, 7336726
2, 290000, -0.25, 0.95, 7145959, 7617851
2, 300000, 0.4375, 0.8, 7406694, 7896495
2, 310000, 0.5, 0.8, 7672376, 8180614
2, 320000, -0.125, 0.8, 7934653, 8461168
2, 330000, 0.75, 0.4, 8201766, 8746781
2, 340000, 0.4375, 0.7000000000000001, 8468889, 9032659
2, 350000, 0.5625, 0.35, 8736651, 9319205
2, 360000, 0.4375, 0.7999999999999999, 9006183, 9607439
2, 370000, 0.625, 0.8999999999999999, 9279184, 9899403
2, 380000, 0.25, 1.0, 9551809, 10191337
2, 390000, 0.75, 0.8, 9816927, 10474606
2, 400000, 0.4375, 0.7999999999999999, 10075508, 10750875
2, 410000, 0.1875, 0.7, 10332755, 11025642
2, 420000, 0.25, -0.85, 10590228, 11300961
2, 430000, 0.875, 0.8, 10847271, 11575803
2, 440000, 0.375, 0.8, 11117474, 11864519
2, 450000, 0.0, 0.6000000000000001, 11377372, 12142001
2, 460000, 0.625, 0.85, 11634869, 12417052
2, 470000, 0.5, 1.0, 11900002, 12700657
2, 480000, 0.5625, 0.8999999999999999, 12158474, 12976753
2, 490000, 0.5, 1.0, 12414809, 13250417
2, 500000, 0.375, 0.8999999999999999, 12670620, 13523550
3, 10000, -0.875, -1.0, 188132, 197783
3, 20000, -0.4375, -0.8, 399235, 421258
3, 30000, -0.5, -1.0, 636884, 674407
3, 40000, -0.625, -0.25, 877515, 930417
3, 50000, -0.625, -0.85, 1113317, 1181248
3, 60000, -0.1875, -1.0, 1363060, 1447821
3, 70000, 0.0, -0.9, 1602970, 1703370
3, 80000, -0.375, -0.04999999999999999, 1851081, 1967823
3, 90000, -0.0625, -0.75, 2104125, 2237882
3, 100000, 0.125, -0.95, 2350140, 2500233
3, 110000, 0.4375, 0.25000000000000006, 2599426, 2766292
3, 120000, 0.4375, 0.20000000000000007, 2845266, 3028436
3, 130000, 0.1875, 0.35000000000000003, 3098084, 3298001
3, 140000, 0.1875, 0.39999999999999997, 3353877, 3571259
3, 150000, -0.5, -0.9, 3596750, 3830035
3, 160000, 0.125, 0.04999999999999999, 3849983, 4100472
3, 170000, 0.0625, -0.9, 4101066, 4368380
3, 180000, -0.0625, -0.3, 4359621, 4644935
3, 190000, 0.5, -1.0, 4616851, 4919841
3, 200000, 0.125, -0.75, 4864394, 5184177
3, 210000, 0.3125, 0.8999999999999999, 5127010, 5464770
3, 220000, -0.0625, 0.8999999999999999, 5387969, 5743366
3, 230000, 0.4375, 0.8, 5652428, 6026233
3, 240000, 0.4375, 0.49999999999999994, 5911782, 6303255
3, 250000, 0.0, 0.8999999999999999, 6174581, 6583962
3, 260000, 0.0625, 0.8, 6438695, 6866388
3, 270000, -0.4375, 1.0, 6698276, 7143610
3, 280000, 0.75, 0.8, 6958597, 7421836
3, 290000, 0.375, 0.8, 7218785, 7699399
3, 300000, 0.3125, 0.6000000000000001, 7477800, 7976132
3, 310000, 0.375, 0.30000000000000004, 7739753, 8255897
3, 320000, 0.625, 0.8999999999999999, 7998875, 8532670
3, 330000, 0.875, 0.8, 8261233, 8813048
3, 340000, 0.3125, 0.8999999999999999, 8521843, 9091622
3, 350000, 0.5, 0.8999999999999999, 8780626, 9368236
3, 360000, -0.0625, 0.8999999999999999, 9031958, 9636499
3, 370000, 0.1875, -0.95, 9294670, 9917006
3, 380000, 0.25, 0.8, 9557199, 10197461
3, 390000, 0.5625, 0.8999999999999999, 9818197, 10476179
3, 400000, 0.4375, 1.0, 10081987, 10758020
