controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:2.0->2.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -0.375, 0.0, 215405, 239507
0, 20000, -0.25, 0.0, 459675, 510881
0, 30000, 0.0, 0.0, 702973, 781089
0, 40000, -0.125, 0.0, 951293, 1056971
0, 50000, -0.3125, 0.0, 1211900, 1346407
0, 60000, -0.1875, 0.0, 1461985, 1624605
0, 70000, 0.0625, 0.0, 1710723, 1901154
0, 80000, 0.125, 0.0, 1970710, 2190104
0, 90000, -0.0625, 0.0, 2236551, 2485324
0, 100000, 0.0625, 0.0, 2511337, 2790735
0, 110000, -0.375, 0.0, 2769528, 3077890
0, 120000, 0.125, 0.0, 3029658, 3366755
0, 130000, -0.1875, 0.0, 3295106, 3661543
0, 140000, 0.0625, 0.0, 3574584, 3971841
0, 150000, 0.125, 0.0, 3855013, 4283631
0, 160000, 0.75, 0.0, 4134140, 4593896
0, 170000, 0.0625, 0.0, 4402055, 4891445
0, 180000, -0.0625, 0.0, 4675238, 5195124
0, 190000, 0.0, 0.0, 4947245, 5497372
0, 200000, 0.5, 0.0, 5223754, 5804734
0, 210000, 0.625, 0.0, 5497203, 6108325
0, 220000, 0.625, 0.0, 5766774, 6407935
0, 230000, 0.75, 0.0, 6033082, 6703933
0, 240000, 0.25, 0.0, 6303123, 7004173
0, 250000, 0.5625, 0.0, 6576086, 7307348
0, 260000, 0.0, 0.0, 6847780, 7609188
0, 270000, 0.5625, 0.0, 7128356, 7920626
0, 280000, 0.3125, 0.0, 7397453, 8219431
0, 290000, 0.5625, 0.0, 7668850, 8520897
0, 300000, 0.4375, 0.0, 7943774, 8826529
0, 310000, -0.0625, 0.0, 8216316, 9129407
0, 320000, 0.3125, 0.0, 8482834, 9425478
0, 330000, 0.3125, 0.0, 8739121, 9710428
0, 340000, 0.0, 0.0, 9001588, 10002400
0, 350000, 0.375, 0.0, 9249691, 10278363
0, 360000, 0.5, 0.0, 9499259, 10555715
0, 370000, -0.375, 0.0, 9757042, 10842021
0, 380000, 0.375, 0.0, 10029796, 11145001
0, 390000, 0.5, 0.0, 10319678, 11466852
0, 400000, -0.5, 0.0, 10585534, 11762311
0, 410000, 0.6875, 0.0, 10849470, 12055568
0, 420000, 0.8125, 0.0, 11104079, 12338613
0, 430000, 0.8125, 0.0, 11367214, 12631191
0, 440000, 0.625, 0.0, 11629850, 12923132
0, 450000, 0.5625, 0.0, 11885110, 13206700
0, 460000, 0.875, 0.0, 12131952, 13480921
0, 470000, 0.875, 0.0, 12390742, 13768617
0, 480000, 0.375, 0.0, 12651528, 14058613
0, 490000, 0.0, 0.0, 12896997, 14331474
0, 500000, 0.625, 0.0, 13153007, 14615983
1, 10000, -0.25, 0.0, 224126, 249066
1, 20000, -0.1875, 0.0, 477777, 530966
1, 30000, -0.5625, 0.0, 740103, 822554
1, 40000, 0.1875, 0.0, 995618, 1106274
1, 50000, -0.125, 0.0, 1249934, 1388665
1, 60000, 0.375, 0.0, 1495263, 1661403
1, 70000, 0.375, 0.0, 1751244, 1946118
1, 80000, 0.25, 0.0, 2003016, 2225793
1, 90000, 0.5, 0.0, 2254082, 2504521
