controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:2.0->2.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -0.75, 0.0, 218987, 232105
0, 20000, -0.6875, 0.0, 461261, 490287
0, 30000, 0.0, 0.0, 697080, 740883
0, 40000, 0.0, 0.0, 945426, 1005614
0, 50000, -0.0625, 0.0, 1194133, 1271155
0, 60000, -0.125, 0.0, 1441500, 1534974
0, 70000, -0.375, 0.0, 1691984, 1802120
0, 80000, 0.25, 0.0, 1938883, 2065356
0, 90000, -0.25, 0.0, 2198210, 2342097
0, 100000, 0.25, 0.0, 2465683, 2628248
0, 110000, 0.1875, 0.0, 2734927, 2916537
0, 120000, 0.0625, 0.0, 2995650, 3195330
0, 130000, 0.125, 0.0, 3266304, 3485184
0, 140000, -0.375, 0.0, 3531399, 3768447
0, 150000, 0.625, 0.0, 3804438, 4060588
0, 160000, 0.0, 0.0, 4075021, 4350314
0, 170000, -0.125, 0.0, 4345202, 4639538
0, 180000, 0.375, 0.0, 4609580, 4922469
0, 190000, 0.375, 0.0, 4877883, 5209449
0, 200000, 0.125, 0.0, 5145817, 5496004
0, 210000, 0.625, 0.0, 5430584, 5800984
0, 220000, 0.625, 0.0, 5698874, 6088285
0, 230000, 0.5, 0.0, 5967695, 6375770
0, 240000, 0.5, 0.0, 6240337, 6667625
0, 250000, -0.25, 0.0, 6513835, 6960566
0, 260000, 0.5, 0.0, 6775016, 7239707
0, 270000, 0.5, 0.0, 7036744, 7519445
0, 280000, 0.0, 0.0, 7311618, 7813640
0, 290000, -0.0625, 0.0, 7587405, 8108818
0, 300000, 0.1875, 0.0, 7853139, 8393131
0, 310000, 0.1875, 0.0, 8117729, 8676000
0, 320000, 0.625, 0.0, 8389607, 8967227
0, 330000, 0.375, 0.0, 8664007, 9260957
0, 340000, 0.375, 0.0, 8940018, 9556443
0, 350000, 0.4375, 0.0, 9215382, 9851343
0, 360000, 0.625, 0.0, 9475901, 10129624
0, 370000, 0.1875, 0.0, 9746765, 10419034
0, 380000, -0.125, 0.0, 10005807, 10695470
0, 390000, 0.5625, 0.0, 10263907, 10971026
0, 400000, -0.25, 0.0, 10532035, 11257789
0, 410000, 0.375, 0.0, 10791891, 11535539
0, 420000, 0.3125, 0.0, 11058223, 11820513
0, 430000, 0.375, 0.0, 11328557, 12109882
0, 440000, 0.25, 0.0, 11597501, 12397358
0, 450000, 0.625, 0.0, 11862587, 12680426
0, 460000, -0.0625, 0.0, 12133484, 12970286
0, 470000, 0.4375, 0.0, 12402896, 13258621
0, 480000, -0.0625, 0.0, 12662655, 13536254
0, 490000, 0.3125, 0.0, 12920558, 13811330
0, 500000, 0.1875, 0.0, 13186636, 14096213
1, 10000, -0.875, 0.0, 219715, 233104
1, 20000, -0.625, 0.0, 457290, 486014
1, 30000, -0.75, 0.0, 709572, 755189
1, 40000, -0.3125, 0.0, 961922, 1024369
1, 50000, -0.375, 0.0, 1219274, 1299149
1, 60000, 0.0, 0.0, 1483557, 1582086
1, 70000, -0.625, 0.0, 1762542, 1880951
1, 80000, 0.0, 0.0, 2038179, 2176062
1, 90000, -0.125, 0.0, 2308178, 2464702
1, 100000, -0.3125, 0.0, 2573334, 2748219
1, 110000, 0.1875, 0.0, 2844019, 3037584
1, 120000, 0.0, 0.0, 3119565, 3332520
1, 130000, 0.375, 0.0, 3396711, 3629386
1, 140000, -0.125, 0.0, 3663458, 3914599
1, 150000, -0.0625, 0.0, 3918982, 4187359
1, 160000, -0.0625, 0.0, 4187740, 4475292
1, 170000, 0.25, 0.0, 4462363, 4769323
1, 180000, 0.375, 0.0, 4727018, 5052040
1, 190000, -0.125, 0.0, 4987304, 5330229
1, 200000, 0.125, 0.0, 5252455, 5613808
1, 210000, 0.0, 0.0, 5522348, 5902698
1, 220000, 0.0, 0.0, 5781571, 6179340
1, 230000, 0.375, 0.0, 6036773, 6452104
1, 240000, 0.0625, 0.0, 6303502, 6737370
1, 250000, 0.1875, 0.0, 6571662, 7024123
1, 260000, 0.25, 0.0, 6838985, 7310033
1, 270000, -0.0625, 0.0, 7103763, 7592765
1, 280000, -0.375, 0.0, 7369467, 7876779
