controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 10000, -0.75, 0.0, 186875, 196724
0, 20000, -0.875, 0.0, 418411, 442533
0, 30000, -0.5, 0.0, 632170, 668910
0, 40000, -0.4375, 0.0, 868565, 920421
0, 50000, -0.75, 0.0, 1110025, 1177574
0, 60000, 0.125, 0.0, 1353196, 1436463
0, 70000, -0.5, 0.0, 1599211, 1698314
0, 80000, 0.0, 0.0, 1848282, 1963790
0, 90000, -0.1875, 0.0, 2096955, 2229090
0, 100000, 0.0, 0.0, 2353047, 2502768
0, 110000, 0.3125, 0.0, 2604367, 2770836
0, 120000, -0.125, 0.0, 2859449, 3043336
0, 130000, 0.25, 0.0, 3118742, 3320247
0, 140000, 0.0625, 0.0, 3369017, 3587051
0, 150000, -0.0625, 0.0, 3623857, 3859020
0, 160000, 0.5625, 0.0, 3887964, 4141385
0, 170000, 0.0, 0.0, 4144571, 4415153
0, 180000, -0.0625, 0.0, 4404150, 4692716
0, 190000, -0.0625, 0.0, 4667085, 4973740
0, 200000, 0.125, 0.0, 4917442, 5241068
0, 210000, 0.3125, 0.0, 5172673, 5513179
0, 220000, 0.4375, 0.0, 5421639, 5778978
0, 230000, 0.25, 0.0, 5673935, 6048477
0, 240000, -0.3125, 0.0, 5922271, 6313313
0, 250000, 0.375, 0.0, 6171159, 6578702
0, 260000, 0.5, 0.0, 6419987, 6844149
0, 270000, 0.0625, 0.0, 6667366, 7107856
0, 280000, 0.5625, 0.0, 6923636, 7381595
0, 290000, 0.0, 0.0, 7176222, 7651248
0, 300000, 0.5, 0.0, 7436355, 7929273
0, 310000, -0.0625, 0.0, 7701318, 8212697
0, 320000, 0.5, 0.0, 7963296, 8492615
0, 330000, 0.1875, 0.0, 8224354, 8771354
0, 340000, -0.125, 0.0, 8494742, 9060695
0, 350000, 0.125, 0.0, 8752399, 9335933
0, 360000, 0.25, 0.0, 9012748, 9614256
0, 370000, 0.375, 0.0, 9269096, 9888045
0, 380000, 0.625, 0.0, 9532050, 10169239
0, 390000, 0.3125, 0.0, 9793812, 10449170
0, 400000, 0.125, 0.0, 10059343, 10732949
0, 410000, 0.25, 0.0, 10327154, 11019397
0, 420000, 0.375, 0.0, 10581117, 11290425
0, 430000, 0.625, 0.0, 10847762, 11575541
0, 440000, 0.5625, 0.0, 11117497, 11864083
0, 450000, 0.1875, 0.0, 11379280, 12143992
0, 460000, 0.125, 0.0, 11639122, 12421917
0, 470000, 0.875, 0.0, 11902174, 12703075
0, 480000, 0.25, 0.0, 12166926, 12985946
0, 490000, 0.375, 0.0, 12433871, 13271258
0, 500000, -0.3125, 0.0, 12704549, 13561031
1, 10000, -0.625, 0.0, 193678, 204215
1, 20000, -0.25, 0.0, 404876, 427979
1, 30000, -0.625, 0.0, 625476, 661915
1, 40000, -0.625, 0.0, 857984, 909097
1, 50000, -0.375, 0.0, 1088832, 1154456
1, 60000, -0.75, 0.0, 1321608, 1401865
1, 70000, -0.625, 0.0, 1572527, 1669729
1, 80000, 0.625, 0.0, 1820994, 1934401
1, 90000, -0.25, 0.0, 2067413, 2197217
1, 100000, 0.3125, 0.0, 2310468, 2456066
1, 110000, 0.25, 0.0, 2547082, 2707834
1, 120000, -0.25, 0.0, 2788111, 2964396
1, 130000, -0.25, 0.0, 3035097, 3227503
1, 140000, -0.125, 0.0, 3281031, 3489726
1, 150000, 0.0, 0.0, 3535257, 3760839
1, 160000, -0.1875, 0.0, 3781600, 4023347
1, 170000, -0.1875, 0.0, 4029109, 4287330
1, 180000, -0.25, 0.0, 4279915, 4554543
1, 190000, -0.25, 0.0, 4535424, 4827384
1, 200000, -0.0625, 0.0, 4790598, 5100027
1, 210000, -0.0625, 0.0, 5048343, 5375183
1, 220000, -0.3125, 0.0, 5310942, 5655928
1, 230000, 0.3125, 0.0, 5574288, 5937437
1, 240000, 0.0625, 0.0, 5845713, 6228119
1, 250000, -0.0625, 0.0, 6116713, 6518005
1, 260000, 0.4375, 0.0, 6381204, 6800740
1, 270000, 0.4375, 0.0, 6650910, 7089081
1, 280000, 0.5, 0.0, 6915725, 7372099
1, 290000, 0.3125, 0.0, 7180577, 7655308
1, 300000, 0.4375, 0.0, 7446881, 7940058
1, 310000, 0.75, 0.0, 7716350, 8228349
1, 320000, 0.6875, 0.0, 7981308, 8511880
1, 330000, 0.1875, 0.0, 8253280, 8802835
1, 340000, 0.25, 0.0, 8518936, 9086822
1, 350000, 0.0625, 0.0, 8765590, 9349565
1, 360000, 0.0, 0.0, 9024370, 9625903
1, 370000, -0.125, 0.0, 9283092, 9902164
1, 380000, 0.125, 0.0, 9543236, 10179962
1, 390000, 0.0, 0.0, 9797006, 10450782
1, 400000, 0.4375, 0.0, 10057137, 10728426
1, 410000, 0.25, 0.0, 10310554, 10999110
1, 420000, -0.0625, 0.0, 10569133, 11274860
1, 430000, 0.5625, 0.0, 10830037, 11553696
1, 440000, 0.5625, 0.0, 11093737, 11835716
1, 450000, 0.375, 0.0, 11359849, 12120429
1, 460000, 0.75, 0.0, 11622238, 12400759
1, 470000, 0.4375, 0.0, 11889055, 12686181
1, 480000, 0.375, 0.0, 12156057, 12971681
1, 490000, 0.5625, 0.0, 12424070, 13258415
1, 500000, 0.25, 0.0, 12689510, 13542426
2, 10000, -0.9375, 0.0, 195116, 205890
2, 20000, -0.75, 0.0, 418473, 443062
2, 30000, -0.8125, 0.0, 655142, 694836
2, 40000, -0.875, 0.0, 899672, 955305
2, 50000, -0.5, 0.0, 1151608, 1224141
2, 60000, -0.375, 0.0, 1396960, 1485259
2, 70000, -0.0625, 0.0, 1651281, 1756636
2, 80000, -0.25, 0.0, 1908435, 2031151
2, 90000, -0.0625, 0.0, 2150732, 2289579
2, 100000, -0.0625, 0.0, 2401458, 2557127
2, 110000, -0.75, 0.0, 2648514, 2820536
2, 120000, -0.25, 0.0, 2896204, 3084689
2, 130000, -0.125, 0.0, 3148980, 3354305
2, 140000, -0.125, 0.0, 3401343, 3623474
2, 150000, 0.375, 0.0, 3650420, 3889121
2, 160000, -0.125, 0.0, 3904453, 4160143
2, 170000, 0.125, 0.0, 4163924, 4437465
2, 180000, -0.125, 0.0, 4421283, 4712472
2, 190000, -0.125, 0.0, 4679817, 4988811
2, 200000, 0.0625, 0.0, 4945468, 5272899
2, 210000, 0.3125, 0.0, 5205822, 5550705
2, 220000, 0.5, 0.0, 5463865, 5826470
2, 230000, 0.75, 0.0, 5721709, 6102363
2, 240000, 0.25, 0.0, 5978932, 6377192
2, 250000, 0.3125, 0.0, 6239598, 6655609
2, 260000, 0.4375, 0.0, 6499891, 6934021
2, 270000, 0.375, 0.0, 6766358, 7218812
2, 280000, 0.5, 0.0, 7030947, 7501767
2, 290000, 0.25, 0.0, 7290418, 7779360
2, 300000, 0.0625, 0.0, 7555499, 8062742
2, 310000, -0.375, 0.0, 7826356, 8352646
2, 320000, 0.5, 0.0, 8083132, 8626704
2, 330000, 0.1875, 0.0, 8346722, 8908445
2, 340000, 0.1875, 0.0, 8614028, 9194309
2, 350000, 0.1875, 0.0, 8881593, 9480389
2, 360000, 0.875, 0.0, 9158376, 9776841
2, 370000, -0.1875, 0.0, 9428416, 10065681
2, 380000, 0.25, 0.0, 9687528, 10342749
2, 390000, 0.0, 0.0, 9948438, 10621484
2, 400000, 0.3125, 0.0, 10208923, 10899985
2, 410000, 0.6875, 0.0, 10470691, 11179838
2, 420000, 0.75, 0.0, 10733948, 11460989
2, 430000, 0.625, 0.0, 10996943, 11742007
2, 440000, 0.4375, 0.0, 11255153, 12017538
2, 450000, -0.125, 0.0, 11517284, 12297745
2, 460000, 0.25, 0.0, 11784602, 12583667
2, 470000, 0.0625, 0.0, 12048210, 12865345
2, 480000, 0.375, 0.0, 12310036, 13144992
2, 490000, 0.375, 0.0, 12564858, 13417042
2, 500000, 0.5, 0.0, 12825192, 13695518
3, 10000, -0.625, 0.0, 181773, 190878
3, 20000, -0.625, 0.0, 393105, 414187
3, 30000, -0.6875, 0.0, 611246, 645580
3, 40000, -0.5, 0.0, 847321, 897065
3, 50000, -0.5, 0.0, 1082595, 1147179
3, 60000, -0.75, 0.0, 1326478, 1407056
3, 70000, -0.375, 0.0, 1572680, 1669286
3, 80000, -0.25, 0.0, 1815631, 1928482
3, 90000, -0.1875, 0.0, 2065789, 2195350
3, 100000, -0.125, 0.0, 2312977, 2458771
3, 110000, -0.375, 0.0, 2568041, 2731218
3, 120000, -0.625, 0.0, 2817100, 2996868
3, 130000, -0.0625, 0.0, 3070422, 3267268
3, 140000, -0.4375, 0.0, 3318988, 3532668
3, 150000, 0.125, 0.0, 3568980, 3799145
3, 160000, -0.0625, 0.0, 3826008, 4073642
3, 170000, -0.3125, 0.0, 4086440, 4351831
3, 180000, 0.625, 0.0, 4346229, 4629592
