TDNTuple4Agt: USESYM:true, P:7, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.0->0.0, gamma: 1.0, fixed n-tuple, mode=0, evalQ: 0, evalT: 2
run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, user1, user2
0, 1, 0, 0, 1.0E-8, 0, 5.0, 0.3, 0.0, 0.0
0, 1, 0, 100, 1.0E-8, 0, 5.0, 0.65, 0.0, 0.0
0, 1, 0, 200, 1.0E-8, 0, 5.0, 0.5, 0.0, 0.0
0, 1, 0, 500, 1.0E-8, 0, 5.0, 0.25, 0.0, 0.0
0, 1, 0, 1000, 1.0E-8, 0, 5.0, 0.55, 0.0, 0.0
0, 1, 0, 2000, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
0, 1, 0, 5000, 1.0E-8, 0, 5.0, 0.65, 0.0, 0.0
1, 1, 0, 0, 1.0E-8, 0, 5.0, 0.4, 0.0, 0.0
1, 1, 0, 100, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
1, 1, 0, 200, 1.0E-8, 0, 5.0, 0.55, 0.0, 0.0
1, 1, 0, 500, 1.0E-8, 0, 5.0, 0.55, 0.0, 0.0
1, 1, 0, 1000, 1.0E-8, 0, 5.0, 0.4, 0.0, 0.0
1, 1, 0, 2000, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
1, 1, 0, 5000, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
2, 1, 0, 0, 1.0E-8, 0, 5.0, 0.25, 0.0, 0.0
2, 1, 0, 100, 1.0E-8, 0, 5.0, 0.35, 0.0, 0.0
2, 1, 0, 200, 1.0E-8, 0, 5.0, 0.3, 0.0, 0.0
2, 1, 0, 500, 1.0E-8, 0, 5.0, 0.65, 0.0, 0.0
2, 1, 0, 1000, 1.0E-8, 0, 5.0, 0.55, 0.0, 0.0
2, 1, 0, 2000, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
2, 1, 0, 5000, 1.0E-8, 0, 5.0, 0.25, 0.0, 0.0
3, 1, 0, 0, 1.0E-8, 0, 5.0, 0.3, 0.0, 0.0
3, 1, 0, 100, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
3, 1, 0, 200, 1.0E-8, 0, 5.0, 0.55, 0.0, 0.0
3, 1, 0, 500, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
3, 1, 0, 1000, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
3, 1, 0, 2000, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
3, 1, 0, 5000, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
4, 1, 0, 0, 1.0E-8, 0, 5.0, 0.4, 0.0, 0.0
4, 1, 0, 100, 1.0E-8, 0, 5.0, 0.5, 0.0, 0.0
4, 1, 0, 200, 1.0E-8, 0, 5.0, 0.6, 0.0, 0.0
4, 1, 0, 500, 1.0E-8, 0, 5.0, 0.5, 0.0, 0.0
4, 1, 0, 1000, 1.0E-8, 0, 5.0, 0.5, 0.0, 0.0
4, 1, 0, 2000, 1.0E-8, 0, 5.0, 0.45, 0.0, 0.0
4, 1, 0, 5000, 1.0E-8, 0, 5.0, 0.65, 0.0, 0.0
