controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 5000, 0.0, 0.0, 0.0, 5000, 64927
0, 10000, 0.0, 0.0, 0.0, 10000, 129961
0, 15000, 0.0, 0.0, 0.0, 15000, 194457
0, 20000, 0.0, 0.0, 0.0, 20000, 259197
0, 25000, 0.0, 0.0, 0.0, 25290, 324123
0, 30000, 0.0, 0.16666666666666666, 0.0, 33859, 387328
0, 35000, 0.6666666666666666, 0.7499999999999999, 0.0, 46394, 448589
0, 40000, 1.0, 0.8333333333333334, 0.0, 62508, 507925
0, 45000, 1.0, 0.75, 0.0, 82227, 565832
0, 50000, 1.0, 0.8333333333333334, 0.0, 105104, 621967
0, 55000, 1.0, 0.9166666666666666, 0.0, 131056, 677134
0, 60000, 1.0, 0.9166666666666666, 0.0, 159906, 730747
0, 65000, 1.0, 1.0, 0.0, 191748, 783222
0, 70000, 1.0, 1.0, 0.0, 226323, 834227
0, 75000, 1.0, 1.0, 0.0, 263499, 884392
0, 80000, 1.0, 1.0, 0.0, 302599, 932529
0, 85000, 1.0, 0.8333333333333333, 0.0, 343565, 979320
0, 90000, 1.0, 1.0, 0.0, 386572, 1024785
0, 95000, 0.3333333333333333, 1.0, 0.0, 431110, 1068580
0, 100000, 0.6666666666666666, 0.9166666666666666, 0.0, 477729, 1111678
1, 5000, 0.0, 0.0, 0.0, 5000, 64993
1, 10000, 0.0, 0.0, 0.0, 10000, 129813
1, 15000, 0.0, 0.0, 0.0, 15000, 194748
1, 20000, 0.0, 0.0, 0.0, 20000, 259632
1, 25000, 0.0, 0.0, 0.0, 25308, 324026
1, 30000, 0.6666666666666666, 0.3333333333333333, 0.0, 33978, 387298
1, 35000, 0.0, 0.5, 0.0, 46298, 448264
1, 40000, 1.0, 0.75, 0.0, 62537, 507438
1, 45000, 1.0, 0.41666666666666663, 0.0, 82398, 565556
1, 50000, 1.0, 0.9166666666666666, 0.0, 105346, 621983
1, 55000, 1.0, 1.0, 0.0, 131144, 676811
1, 60000, 1.0, 0.9166666666666666, 0.0, 160172, 730547
1, 65000, 1.0, 1.0, 0.0, 191849, 782858
1, 70000, 1.0, 1.0, 0.0, 226517, 833940
1, 75000, 1.0, 1.0, 0.0, 263460, 883723
1, 80000, 1.0, 0.9166666666666666, 0.0, 302673, 931990
1, 85000, 1.0, 0.8333333333333333, 0.0, 343606, 978607
1, 90000, 1.0, 1.0, 0.0, 385489, 1022704
1, 95000, 1.0, 1.0, 0.0, 428209, 1064562
1, 100000, 1.0, 1.0, 0.0, 471030, 1103659
2, 5000, 0.0, 0.0, 0.0, 5000, 64615
2, 10000, 0.0, 0.0, 0.0, 10000, 129179
2, 15000, 0.0, 0.0, 0.0, 15000, 193786
2, 20000, 0.0, 0.0, 0.0, 20000, 258656
2, 25000, 0.0, 0.0, 0.0, 25326, 323534
2, 30000, 0.6666666666666666, 0.16666666666666666, 0.0, 34019, 386510
2, 35000, 1.0, 0.5833333333333333, 0.0, 46431, 447743
2, 40000, 1.0, 0.8333333333333334, 0.0, 62510, 507089
2, 45000, 1.0, 0.8333333333333333, 0.0, 82088, 564546
2, 50000, 1.0, 0.9166666666666666, 0.0, 105014, 621058
2, 55000, 1.0, 0.9166666666666666, 0.0, 131054, 675777
2, 60000, 1.0, 0.7499999999999999, 0.0, 159902, 729613
2, 65000, 1.0, 1.0, 0.0, 191813, 781844
2, 70000, 1.0, 0.9166666666666666, 0.0, 226414, 832983
2, 75000, 1.0, 1.0, 0.0, 263072, 882172
2, 80000, 1.0, 1.0, 0.0, 302204, 930119
2, 85000, 0.6666666666666666, 1.0, 0.0, 343294, 977034
2, 90000, 1.0, 1.0, 0.0, 385265, 1021229
2, 95000, 1.0, 0.9166666666666666, 0.0, 428783, 1063915
2, 100000, 1.0, 1.0, 0.0, 473784, 1105306
3, 5000, 0.0, 0.0, 0.0, 5000, 65256
3, 10000, 0.0, 0.0, 0.0, 10000, 130038
3, 15000, 0.0, 0.0, 0.0, 15000, 194544
3, 20000, 0.0, 0.0, 0.0, 20000, 259144
3, 25000, 0.0, 0.0, 0.0, 25283, 323758
3, 30000, 0.0, 0.08333333333333333, 0.0, 33990, 386928
3, 35000, 0.6666666666666666, 0.49999999999999994, 0.0, 46367, 448348
3, 40000, 0.6666666666666666, 0.5, 0.0, 62279, 507942
3, 45000, 1.0, 1.0, 0.0, 81875, 565634
3, 50000, 1.0, 1.0, 0.0, 104610, 621638
3, 55000, 1.0, 1.0, 0.0, 130920, 677143
3, 60000, 1.0, 1.0, 0.0, 160074, 731037
3, 65000, 0.6666666666666666, 1.0, 0.0, 192062, 784057
3, 70000, 1.0, 1.0, 0.0, 226805, 835416
3, 75000, 1.0, 1.0, 0.0, 264104, 885614
3, 80000, 1.0, 0.8333333333333333, 0.0, 303676, 934388
3, 85000, 1.0, 0.8333333333333333, 0.0, 345990, 982729
3, 90000, 1.0, 1.0, 0.0, 388809, 1027953
3, 95000, 1.0, 1.0, 0.0, 432201, 1070504
3, 100000, 0.6666666666666666, 0.6666666666666666, 0.0, 473846, 1108369
4, 5000, 0.0, 0.0, 0.0, 5000, 64838
4, 10000, 0.0, 0.0, 0.0, 10000, 129512
4, 15000, 0.0, 0.0, 0.0, 15000, 194258
4, 20000, 0.0, 0.0, 0.0, 20000, 259170
4, 25000, 0.0, 0.0, 0.0, 25287, 324172
4, 30000, 0.0, 0.0, 0.0, 33913, 387184
4, 35000, 0.6666666666666666, 0.5, 0.0, 46484, 448513
4, 40000, 1.0, 0.75, 0.0, 62513, 507711
4, 45000, 1.0, 0.6666666666666666, 0.0, 82039, 565338
4, 50000, 1.0, 0.8333333333333333, 0.0, 104917, 621768
4, 55000, 1.0, 0.9166666666666666, 0.0, 130951, 676303
4, 60000, 1.0, 1.0, 0.0, 160083, 730182
4, 65000, 1.0, 1.0, 0.0, 192220, 783156
4, 70000, 1.0, 1.0, 0.0, 226907, 834532
4, 75000, 1.0, 1.0, 0.0, 264026, 884339
4, 80000, 1.0, 1.0, 0.0, 303894, 933608
4, 85000, 1.0, 1.0, 0.0, 346397, 982212
4, 90000, 1.0, 1.0, 0.0, 391145, 1029649
4, 95000, 1.0, 1.0, 0.0, 435182, 1072989
4, 100000, 1.0, 1.0, 0.0, 478943, 1113103
5, 5000, 0.0, 0.0, 0.0, 5000, 65024
5, 10000, 0.0, 0.0, 0.0, 10000, 129978
5, 15000, 0.0, 0.0, 0.0, 15000, 194692
5, 20000, 0.3333333333333333, 0.0, 0.0, 20000, 259800
5, 25000, 0.0, 0.08333333333333333, 0.0, 25331, 324611
5, 30000, 0.0, 0.25, 0.0, 33957, 387350
5, 35000, 1.0, 0.7499999999999999, 0.0, 46508, 448876
5, 40000, 1.0, 0.6666666666666667, 0.0, 62577, 508370
5, 45000, 1.0, 0.9166666666666666, 0.0, 82085, 566357
5, 50000, 1.0, 0.9166666666666666, 0.0, 104921, 622933
5, 55000, 1.0, 0.9166666666666666, 0.0, 131319, 678665
5, 60000, 1.0, 1.0, 0.0, 160527, 732835
5, 65000, 0.6666666666666666, 1.0, 0.0, 192729, 785741
5, 70000, 1.0, 1.0, 0.0, 228053, 838027
5, 75000, 1.0, 1.0, 0.0, 266124, 889259
5, 80000, 1.0, 1.0, 0.0, 306183, 938690
5, 85000, 1.0, 1.0, 0.0, 349001, 987735
5, 90000, 1.0, 1.0, 0.0, 391882, 1033095
5, 95000, 1.0, 1.0, 0.0, 436436, 1076950
5, 100000, 1.0, 1.0, 0.0, 483429, 1120369
6, 5000, 0.0, 0.0, 0.0, 5000, 64710
6, 10000, 0.0, 0.0, 0.0, 10000, 129330
6, 15000, 0.0, 0.0, 0.0, 15000, 194426
6, 20000, 0.0, 0.0, 0.0, 20000, 258842
6, 25000, 0.0, 0.0, 0.0, 25305, 323572
6, 30000, 0.0, 0.08333333333333333, 0.0, 34099, 386626
6, 35000, 0.3333333333333333, 0.08333333333333333, 0.0, 46490, 448032
6, 40000, 1.0, 0.9166666666666666, 0.0, 62541, 507134
6, 45000, 1.0, 0.75, 0.0, 82035, 564977
6, 50000, 1.0, 0.9166666666666666, 0.0, 104726, 621180
6, 55000, 1.0, 0.9166666666666666, 0.0, 130585, 675879
6, 60000, 1.0, 1.0, 0.0, 159438, 729299
6, 65000, 1.0, 1.0, 0.0, 191245, 781459
6, 70000, 1.0, 1.0, 0.0, 225807, 832320
6, 75000, 1.0, 0.9166666666666666, 0.0, 262991, 882527
6, 80000, 1.0, 0.9166666666666666, 0.0, 302001, 930355
6, 85000, 1.0, 0.9166666666666666, 0.0, 343862, 977991
6, 90000, 0.3333333333333333, 0.9166666666666666, 0.0, 387548, 1024173
6, 95000, 1.0, 1.0, 0.0, 431365, 1067079
6, 100000, 1.0, 1.0, 0.0, 473585, 1105587
7, 5000, 0.0, 0.0, 0.0, 5000, 64798
7, 10000, 0.0, 0.0, 0.0, 10000, 129637
7, 15000, 0.0, 0.0, 0.0, 15000, 194433
7, 20000, 0.0, 0.0, 0.0, 20000, 259346
7, 25000, 0.0, 0.0, 0.0, 25287, 324166
7, 30000, 0.3333333333333333, 0.25, 0.0, 33868, 387455
7, 35000, 0.6666666666666666, 0.6666666666666666, 0.0, 46255, 448546
