controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 5000, 0.0, 0.0, 0.0, 5000, 64777
0, 10000, 0.0, 0.0, 0.0, 10000, 130014
0, 15000, 0.0, 0.0, 0.0, 15000, 194807
0, 20000, 0.0, 0.0, 0.0, 20000, 259468
0, 25000, 0.0, 0.0, 0.0, 25324, 324265
0, 30000, 0.3333333333333333, 0.0, 0.0, 33946, 387455
0, 35000, 0.6666666666666666, 0.41666666666666663, 0.0, 46369, 448464
0, 40000, 1.0, 0.9166666666666666, 0.0, 62559, 507740
0, 45000, 0.6666666666666666, 0.9166666666666666, 0.0, 82185, 565350
0, 50000, 1.0, 0.9166666666666666, 0.0, 105125, 622080
0, 55000, 1.0, 1.0, 0.0, 131313, 677467
0, 60000, 1.0, 1.0, 0.0, 160599, 731615
0, 65000, 1.0, 1.0, 0.0, 192928, 784905
0, 70000, 1.0, 1.0, 0.0, 227797, 836524
0, 75000, 1.0, 1.0, 0.0, 265728, 887606
0, 80000, 1.0, 1.0, 0.0, 305889, 937270
0, 85000, 1.0, 1.0, 0.0, 348628, 986387
0, 90000, 1.0, 1.0, 0.0, 392811, 1033264
0, 95000, 1.0, 1.0, 0.0, 436583, 1076291
0, 100000, 1.0, 0.8333333333333333, 0.0, 480513, 1116509
1, 5000, 0.0, 0.0, 0.0, 5000, 64847
1, 10000, 0.0, 0.0, 0.0, 10000, 129682
1, 15000, 0.0, 0.0, 0.0, 15000, 194478
1, 20000, 0.0, 0.0, 0.0, 20000, 259151
1, 25000, 0.0, 0.0, 0.0, 25317, 323950
1, 30000, 0.0, 0.25, 0.0, 33841, 387158
1, 35000, 0.6666666666666666, 0.08333333333333333, 0.0, 46323, 448258
1, 40000, 1.0, 0.3333333333333333, 0.0, 62374, 507627
1, 45000, 1.0, 0.6666666666666666, 0.0, 82140, 565631
1, 50000, 1.0, 1.0, 0.0, 104833, 621878
1, 55000, 1.0, 1.0, 0.0, 130853, 676408
1, 60000, 0.6666666666666666, 0.9166666666666666, 0.0, 159721, 729673
1, 65000, 1.0, 1.0, 0.0, 191772, 782342
1, 70000, 1.0, 1.0, 0.0, 226018, 832919
1, 75000, 1.0, 1.0, 0.0, 263383, 883267
1, 80000, 1.0, 1.0, 0.0, 301837, 930429
1, 85000, 0.6666666666666666, 0.9166666666666666, 0.0, 343945, 978379
1, 90000, 1.0, 0.9166666666666666, 0.0, 387932, 1024940
1, 95000, 1.0, 0.8333333333333333, 0.0, 433552, 1069906
1, 100000, 0.3333333333333333, 1.0, 0.0, 480530, 1113381
2, 5000, 0.0, 0.0, 0.0, 5000, 64835
2, 10000, 0.0, 0.0, 0.0, 10000, 129595
2, 15000, 0.0, 0.0, 0.0, 15000, 194390
2, 20000, 0.0, 0.0, 0.0, 20000, 259311
2, 25000, 0.0, 0.0, 0.0, 25307, 324057
2, 30000, 0.0, 0.6666666666666666, 0.0, 33882, 387574
2, 35000, 0.6666666666666666, 0.6666666666666666, 0.0, 46336, 448382
2, 40000, 1.0, 0.75, 0.0, 62319, 507968
2, 45000, 1.0, 0.8333333333333334, 0.0, 81891, 565994
2, 50000, 0.6666666666666666, 0.9166666666666666, 0.0, 104622, 622245
2, 55000, 1.0, 1.0, 0.0, 130636, 677067
2, 60000, 1.0, 1.0, 0.0, 159824, 731105
2, 65000, 1.0, 1.0, 0.0, 191706, 783550
2, 70000, 1.0, 1.0, 0.0, 226134, 834606
2, 75000, 1.0, 1.0, 0.0, 263690, 885125
2, 80000, 1.0, 1.0, 0.0, 302815, 933328
2, 85000, 1.0, 1.0, 0.0, 343855, 980149
2, 90000, 1.0, 1.0, 0.0, 386748, 1025528
2, 95000, 1.0, 0.9166666666666666, 0.0, 429723, 1067650
2, 100000, 1.0, 1.0, 0.0, 471965, 1106180
3, 5000, 0.0, 0.0, 0.0, 5000, 64911
3, 10000, 0.0, 0.0, 0.0, 10000, 129733
3, 15000, 0.0, 0.0, 0.0, 15000, 194433
3, 20000, 0.0, 0.0, 0.0, 20000, 259479
3, 25000, 0.0, 0.0, 0.0, 25327, 323874
3, 30000, 0.0, 0.25, 0.0, 33926, 386733
3, 35000, 0.6666666666666666, 0.5, 0.0, 46479, 448074
3, 40000, 1.0, 0.75, 0.0, 62732, 507215
3, 45000, 1.0, 0.49999999999999994, 0.0, 82368, 565135
3, 50000, 1.0, 0.9166666666666666, 0.0, 105048, 621098
3, 55000, 1.0, 0.9166666666666666, 0.0, 131014, 675781
3, 60000, 1.0, 1.0, 0.0, 159717, 728889
3, 65000, 1.0, 0.9166666666666666, 0.0, 191261, 780870
3, 70000, 1.0, 1.0, 0.0, 225396, 831078
3, 75000, 1.0, 0.9166666666666666, 0.0, 262235, 880458
3, 80000, 0.6666666666666666, 1.0, 0.0, 300884, 928049
3, 85000, 1.0, 1.0, 0.0, 342606, 975565
3, 90000, 1.0, 1.0, 0.0, 386356, 1021778
3, 95000, 1.0, 1.0, 0.0, 432035, 1066833
3, 100000, 0.6666666666666666, 0.9166666666666666, 0.0, 478538, 1109795
4, 5000, 0.0, 0.0, 0.0, 5000, 64958
4, 10000, 0.0, 0.0, 0.0, 10000, 129666
4, 15000, 0.0, 0.0, 0.0, 15000, 194750
4, 20000, 0.0, 0.0, 0.0, 20000, 259877
4, 25000, 0.0, 0.0, 0.0, 25305, 324537
4, 30000, 0.0, 0.25, 0.0, 33926, 387800
4, 35000, 0.6666666666666666, 0.8333333333333333, 0.0, 46438, 448958
4, 40000, 1.0, 0.5833333333333333, 0.0, 62545, 508481
4, 45000, 1.0, 0.6666666666666666, 0.0, 82172, 566513
4, 50000, 1.0, 1.0, 0.0, 105033, 622958
4, 55000, 1.0, 1.0, 0.0, 130984, 677954
4, 60000, 1.0, 1.0, 0.0, 160310, 732143
4, 65000, 1.0, 1.0, 0.0, 191838, 784412
4, 70000, 1.0, 1.0, 0.0, 226812, 835946
4, 75000, 1.0, 1.0, 0.0, 264404, 886654
4, 80000, 1.0, 1.0, 0.0, 303938, 935294
4, 85000, 0.6666666666666666, 1.0, 0.0, 345629, 982862
4, 90000, 1.0, 1.0, 0.0, 388599, 1028249
4, 95000, 1.0, 1.0, 0.0, 432071, 1070906
4, 100000, 1.0, 1.0, 0.0, 474843, 1109949
5, 5000, 0.0, 0.0, 0.0, 5000, 65083
5, 10000, 0.0, 0.0, 0.0, 10000, 129844
5, 15000, 0.0, 0.0, 0.0, 15000, 194490
5, 20000, 0.0, 0.08333333333333333, 0.0, 20000, 259270
5, 25000, 0.0, 0.0, 0.0, 25311, 323931
5, 30000, 0.0, 0.08333333333333333, 0.0, 33928, 387152
5, 35000, 1.0, 0.75, 0.0, 46445, 448327
5, 40000, 1.0, 0.49999999999999994, 0.0, 62575, 507312
5, 45000, 1.0, 0.8333333333333333, 0.0, 82190, 565196
5, 50000, 1.0, 0.8333333333333334, 0.0, 105228, 621954
5, 55000, 1.0, 0.9166666666666666, 0.0, 131417, 677360
5, 60000, 1.0, 1.0, 0.0, 160678, 731857
5, 65000, 1.0, 0.9166666666666666, 0.0, 193028, 785078
5, 70000, 1.0, 1.0, 0.0, 227865, 836586
5, 75000, 1.0, 1.0, 0.0, 265428, 887476
5, 80000, 1.0, 0.75, 0.0, 305985, 937710
5, 85000, 1.0, 1.0, 0.0, 349154, 987383
5, 90000, 1.0, 1.0, 0.0, 392616, 1033354
5, 95000, 1.0, 0.8333333333333333, 0.0, 437114, 1077150
5, 100000, 1.0, 1.0, 0.0, 482795, 1119202
6, 5000, 0.0, 0.0, 0.0, 5000, 64964
6, 10000, 0.0, 0.0, 0.0, 10000, 129837
6, 15000, 0.0, 0.08333333333333333, 0.0, 15000, 194798
6, 20000, 0.0, 0.0, 0.0, 20000, 259528
6, 25000, 0.0, 0.0, 0.0, 25310, 324182
6, 30000, 0.0, 0.0, 0.0, 33859, 387249
6, 35000, 0.3333333333333333, 0.3333333333333333, 0.0, 46399, 448270
6, 40000, 1.0, 0.6666666666666666, 0.0, 62431, 507500
6, 45000, 0.6666666666666666, 0.9166666666666666, 0.0, 82126, 565468
6, 50000, 1.0, 0.5833333333333333, 0.0, 104885, 621639
6, 55000, 1.0, 1.0, 0.0, 130943, 676725
6, 60000, 1.0, 1.0, 0.0, 159895, 730496
6, 65000, 1.0, 0.9166666666666666, 0.0, 191562, 782756
6, 70000, 1.0, 1.0, 0.0, 226570, 834639
6, 75000, 1.0, 1.0, 0.0, 264401, 885739
6, 80000, 1.0, 1.0, 0.0, 304243, 935012
6, 85000, 1.0, 1.0, 0.0, 348848, 986371
6, 90000, 1.0, 1.0, 0.0, 393266, 1033633
6, 95000, 1.0, 1.0, 0.0, 437944, 1077624
6, 100000, 1.0, 0.9166666666666666, 0.0, 482205, 1118249
7, 5000, 0.3333333333333333, 0.0, 0.0, 5000, 64925
7, 10000, 0.0, 0.0, 0.0, 10000, 129873
7, 15000, 0.0, 0.0, 0.0, 15000, 194805
7, 20000, 0.0, 0.0, 0.0, 20000, 259757
7, 25000, 0.3333333333333333, 0.0, 0.0, 25308, 324618
7, 30000, 0.0, 0.3333333333333333, 0.0, 33933, 387914
7, 35000, 1.0, 0.6666666666666667, 0.0, 46512, 448924
