controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalT, evalQ, evalM, actionNum, trnMoves
0, 5000, 0.0, 0.0, 0.0, 5000, 65173
0, 10000, 0.0, 0.0, 0.0, 10000, 130027
0, 15000, 0.0, 0.0, 0.0, 15000, 194945
0, 20000, 0.0, 0.0, 0.0, 20000, 259841
0, 25000, 0.25, 0.0, 0.0, 25295, 324414
0, 30000, 0.3333333333333333, 0.3333333333333333, 0.0, 33832, 387409
0, 35000, 1.0, 1.0, 0.0, 46314, 448753
0, 40000, 0.6666666666666666, 1.0, 0.0, 62545, 508398
0, 45000, 0.75, 0.3333333333333333, 0.0, 82062, 566037
0, 50000, 0.6666666666666667, 1.0, 0.0, 104729, 622319
0, 55000, 0.9166666666666666, 1.0, 0.0, 130906, 677538
0, 60000, 1.0, 1.0, 0.0, 160176, 731693
0, 65000, 1.0, 1.0, 0.0, 192147, 784291
0, 70000, 0.9166666666666666, 1.0, 0.0, 226512, 835258
0, 75000, 0.9166666666666666, 1.0, 0.0, 263452, 884883
0, 80000, 0.9166666666666666, 0.6666666666666666, 0.0, 302995, 933561
0, 85000, 1.0, 0.6666666666666666, 0.0, 344802, 981331
0, 90000, 1.0, 1.0, 0.0, 389202, 1028452
0, 95000, 0.8333333333333333, 1.0, 0.0, 435210, 1073897
0, 100000, 1.0, 1.0, 0.0, 482211, 1117331
1, 5000, 0.0, 0.0, 0.0, 5000, 64988
1, 10000, 0.0, 0.0, 0.0, 10000, 130026
1, 15000, 0.0, 0.3333333333333333, 0.0, 15000, 195187
1, 20000, 0.0, 0.0, 0.0, 20000, 259941
1, 25000, 0.0, 0.0, 0.0, 25303, 324772
1, 30000, 0.49999999999999994, 0.3333333333333333, 0.0, 33943, 388010
1, 35000, 0.5833333333333333, 0.3333333333333333, 0.0, 46371, 449093
1, 40000, 0.8333333333333333, 1.0, 0.0, 62518, 508466
1, 45000, 0.75, 1.0, 0.0, 82167, 566511
1, 50000, 0.9166666666666666, 1.0, 0.0, 105173, 622826
1, 55000, 0.8333333333333333, 1.0, 0.0, 131329, 678020
1, 60000, 1.0, 1.0, 0.0, 160508, 731719
1, 65000, 1.0, 0.6666666666666666, 0.0, 192374, 784581
1, 70000, 1.0, 1.0, 0.0, 227718, 836973
1, 75000, 1.0, 1.0, 0.0, 264769, 886864
1, 80000, 1.0, 1.0, 0.0, 304288, 935415
1, 85000, 1.0, 1.0, 0.0, 346574, 983807
1, 90000, 0.9166666666666666, 1.0, 0.0, 390626, 1030499
1, 95000, 1.0, 1.0, 0.0, 437522, 1076937
1, 100000, 1.0, 1.0, 0.0, 481357, 1117048
2, 5000, 0.0, 0.0, 0.0, 5000, 64489
2, 10000, 0.0, 0.0, 0.0, 10000, 129200
2, 15000, 0.0, 0.0, 0.0, 15000, 194132
2, 20000, 0.0, 0.0, 0.0, 20000, 259113
2, 25000, 0.08333333333333333, 0.0, 0.0, 25317, 323740
2, 30000, 0.0, 0.0, 0.0, 33913, 386847
2, 35000, 0.5833333333333333, 0.6666666666666666, 0.0, 46481, 447683
2, 40000, 0.49999999999999994, 1.0, 0.0, 62581, 506980
2, 45000, 0.75, 1.0, 0.0, 82054, 564802
2, 50000, 1.0, 0.6666666666666666, 0.0, 104903, 621293
2, 55000, 0.9166666666666666, 1.0, 0.0, 130976, 676469
2, 60000, 1.0, 1.0, 0.0, 159749, 730042
2, 65000, 1.0, 0.6666666666666666, 0.0, 191384, 782141
2, 70000, 1.0, 1.0, 0.0, 225943, 833399
2, 75000, 1.0, 1.0, 0.0, 262946, 883257
2, 80000, 1.0, 1.0, 0.0, 302169, 931539
