controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 5000, 0.0, 0.0, 0.3333333333333333, 10000, 64788
0, 10000, 0.0, 0.0, 0.0, 20000, 129958
0, 15000, 0.0, 0.0, 0.0, 30000, 194684
0, 20000, 0.0, 0.0, 0.0, 40000, 259718
0, 25000, 0.0, 0.0, 0.0, 50000, 324610
0, 30000, 0.08333333333333333, 0.0, 0.0, 60000, 389233
0, 35000, 0.0, 0.0, 0.0, 70000, 453925
0, 40000, 0.0, 0.0, 0.0, 80000, 518819
0, 45000, 0.0, 0.0, 0.0, 90000, 583829
0, 50000, 0.0, 0.0, 0.0, 101224, 648527
0, 55000, 0.16666666666666666, 0.0, 0.0, 116356, 711999
0, 60000, 0.16666666666666666, 0.0, 0.3333333333333333, 135550, 774612
0, 65000, 0.16666666666666666, 0.0, 0.6666666666666666, 158578, 836473
0, 70000, 0.25, 0.0, 0.6666666666666666, 185778, 897293
0, 75000, 0.6666666666666666, 0.0, 0.3333333333333333, 216096, 957071
0, 80000, 0.5, 0.0, 1.0, 250006, 1016244
0, 85000, 0.5, 0.0, 0.0, 287138, 1074191
0, 90000, 0.3333333333333333, 0.0, 0.6666666666666666, 328166, 1131430
0, 95000, 0.41666666666666663, 0.0, 0.6666666666666666, 372342, 1188228
0, 100000, 0.5833333333333333, 0.0, 1.0, 420112, 1244563
0, 105000, 0.5833333333333333, 0.0, 1.0, 470712, 1300086
0, 110000, 0.8333333333333334, 0.0, 1.0, 524696, 1355291
0, 115000, 0.5833333333333334, 0.0, 1.0, 581558, 1409210
0, 120000, 0.6666666666666666, 0.0, 1.0, 641648, 1462843
0, 125000, 0.6666666666666666, 0.0, 1.0, 704518, 1516115
0, 130000, 0.6666666666666666, 0.0, 0.6666666666666666, 770188, 1568542
0, 135000, 0.8333333333333333, 0.0, 1.0, 839176, 1621097
0, 140000, 0.8333333333333333, 0.0, 1.0, 910200, 1672512
0, 145000, 0.9166666666666666, 0.0, 1.0, 982968, 1722491
0, 150000, 0.9166666666666666, 0.0, 0.6666666666666666, 1058444, 1772103
0, 155000, 0.9166666666666666, 0.0, 1.0, 1134808, 1820158
0, 160000, 1.0, 0.0, 1.0, 1215220, 1868751
0, 165000, 0.8333333333333334, 0.0, 1.0, 1296062, 1915580
0, 170000, 0.9166666666666666, 0.0, 1.0, 1378776, 1961673
0, 175000, 0.9166666666666666, 0.0, 1.0, 1463064, 2006774
0, 180000, 0.8333333333333334, 0.0, 1.0, 1550720, 2052220
0, 185000, 0.8333333333333333, 0.0, 1.0, 1640620, 2097334
0, 190000, 0.9166666666666666, 0.0, 1.0, 1730602, 2140979
0, 195000, 0.9166666666666666, 0.0, 1.0, 1827330, 2186519
0, 200000, 0.9166666666666666, 0.0, 1.0, 1924396, 2230762
1, 5000, 0.0, 0.0, 0.0, 10000, 64933
1, 10000, 0.0, 0.0, 0.0, 20000, 129851
1, 15000, 0.0, 0.0, 0.0, 30000, 194588
1, 20000, 0.0, 0.0, 0.0, 40000, 259735
1, 25000, 0.0, 0.0, 0.0, 50000, 324724
1, 30000, 0.0, 0.0, 0.0, 60000, 389812
1, 35000, 0.0, 0.0, 0.0, 70000, 454869
1, 40000, 0.0, 0.0, 0.0, 80000, 519773
1, 45000, 0.0, 0.0, 0.0, 90000, 584665
1, 50000, 0.0, 0.0, 0.0, 101258, 649363
1, 55000, 0.08333333333333333, 0.0, 0.0, 116482, 713286
1, 60000, 0.25, 0.0, 0.0, 135754, 775987
1, 65000, 0.0, 0.0, 0.3333333333333333, 158876, 838138
1, 70000, 0.16666666666666666, 0.0, 0.6666666666666666, 185848, 898835
1, 75000, 0.49999999999999994, 0.0, 0.6666666666666666, 216466, 959076
1, 80000, 0.3333333333333333, 0.0, 1.0, 250266, 1017770
1, 85000, 0.25, 0.0, 0.6666666666666666, 287896, 1076227
1, 90000, 0.3333333333333333, 0.0, 0.6666666666666666, 329000, 1133810
1, 95000, 0.25, 0.0, 0.3333333333333333, 373430, 1191043
1, 100000, 0.16666666666666666, 0.0, 0.3333333333333333, 420852, 1246900
1, 105000, 0.41666666666666663, 0.0, 0.3333333333333333, 471024, 1301739
1, 110000, 0.3333333333333333, 0.0, 1.0, 524582, 1355971
1, 115000, 0.6666666666666666, 0.0, 0.3333333333333333, 581126, 1409918
1, 120000, 0.8333333333333333, 0.0, 1.0, 640774, 1463371
1, 125000, 0.5833333333333333, 0.0, 0.3333333333333333, 702938, 1515906
1, 130000, 0.41666666666666663, 0.0, 0.6666666666666666, 768542, 1568099
1, 135000, 0.6666666666666666, 0.0, 1.0, 836652, 1619678
1, 140000, 1.0, 0.0, 1.0, 908230, 1671272
1, 145000, 0.75, 0.0, 0.6666666666666666, 982126, 1722319
1, 150000, 0.5, 0.0, 1.0, 1058628, 1772702
1, 155000, 0.9166666666666666, 0.0, 1.0, 1138032, 1822901
1, 160000, 1.0, 0.0, 1.0, 1218564, 1871656
1, 165000, 1.0, 0.0, 1.0, 1303194, 1920892
1, 170000, 1.0, 0.0, 1.0, 1391838, 1970686
1, 175000, 1.0, 0.0, 1.0, 1485876, 2021633
1, 180000, 1.0, 0.0, 1.0, 1582654, 2072407
1, 185000, 1.0, 0.0, 1.0, 1679286, 2121415
1, 190000, 0.6666666666666666, 0.0, 1.0, 1778738, 2170055
1, 195000, 1.0, 0.0, 1.0, 1881624, 2218924
1, 200000, 1.0, 0.0, 1.0, 1998636, 2273256
2, 5000, 0.0, 0.0, 0.0, 10000, 65001
2, 10000, 0.0, 0.0, 0.0, 20000, 129926
2, 15000, 0.0, 0.0, 0.0, 30000, 194862
2, 20000, 0.0, 0.0, 0.0, 40000, 259958
2, 25000, 0.0, 0.0, 0.0, 50000, 324607
2, 30000, 0.0, 0.0, 0.0, 60000, 389654
2, 35000, 0.0, 0.0, 0.0, 70000, 454383
2, 40000, 0.0, 0.0, 0.0, 80000, 519393
2, 45000, 0.0, 0.0, 0.0, 90000, 584401
2, 50000, 0.0, 0.0, 0.0, 101210, 649013
2, 55000, 0.0, 0.0, 0.0, 116482, 712619
2, 60000, 0.08333333333333333, 0.0, 0.0, 135640, 775513
2, 65000, 0.25, 0.0, 0.0, 158708, 837367
2, 70000, 0.0, 0.0, 0.0, 185686, 898195
2, 75000, 0.3333333333333333, 0.0, 0.6666666666666666, 216318, 958049
2, 80000, 0.16666666666666666, 0.0, 0.6666666666666666, 250344, 1017594
2, 85000, 0.25, 0.0, 1.0, 288184, 1075728
2, 90000, 0.5833333333333333, 0.0, 0.6666666666666666, 329088, 1133238
2, 95000, 0.49999999999999994, 0.0, 1.0, 373566, 1190335
2, 100000, 0.75, 0.0, 1.0, 420886, 1246653
2, 105000, 0.5833333333333334, 0.0, 1.0, 471692, 1302220
2, 110000, 0.41666666666666663, 0.0, 1.0, 525428, 1356733
2, 115000, 1.0, 0.0, 1.0, 582130, 1410909
2, 120000, 0.6666666666666666, 0.0, 0.3333333333333333, 642138, 1465079
2, 125000, 0.9166666666666666, 0.0, 0.6666666666666666, 704146, 1517412
2, 130000, 1.0, 0.0, 0.6666666666666666, 769106, 1569409
2, 135000, 0.9166666666666666, 0.0, 0.3333333333333333, 836604, 1620797
2, 140000, 0.7499999999999999, 0.0, 1.0, 907148, 1671732
2, 145000, 0.8333333333333333, 0.0, 1.0, 980136, 1721873
2, 150000, 1.0, 0.0, 0.6666666666666666, 1056422, 1772180
2, 155000, 0.9166666666666666, 0.0, 0.6666666666666666, 1135194, 1821786
2, 160000, 0.9166666666666666, 0.0, 0.6666666666666666, 1216718, 1870994
2, 165000, 1.0, 0.0, 1.0, 1301734, 1920630
2, 170000, 1.0, 0.0, 1.0, 1390654, 1970659
2, 175000, 0.9166666666666666, 0.0, 1.0, 1480804, 2019356
2, 180000, 0.9166666666666666, 0.0, 1.0, 1574414, 2068445
2, 185000, 1.0, 0.0, 1.0, 1674274, 2119199
2, 190000, 1.0, 0.0, 1.0, 1788292, 2175794
2, 195000, 0.9166666666666666, 0.0, 0.6666666666666666, 1897374, 2227919
2, 200000, 0.75, 0.0, 1.0, 2012080, 2281131
3, 5000, 0.0, 0.0, 0.0, 10000, 64981
3, 10000, 0.0, 0.0, 0.0, 20000, 129784
3, 15000, 0.0, 0.0, 0.0, 30000, 194653
3, 20000, 0.0, 0.0, 0.0, 40000, 259597
3, 25000, 0.0, 0.0, 0.0, 50000, 324152
3, 30000, 0.0, 0.0, 0.0, 60000, 388892
3, 35000, 0.0, 0.0, 0.0, 70000, 453728
3, 40000, 0.0, 0.0, 0.0, 80000, 518531
3, 45000, 0.16666666666666666, 0.0, 0.0, 90000, 583689
3, 50000, 0.0, 0.0, 0.0, 101188, 648265
3, 55000, 0.0, 0.0, 0.0, 116380, 711982
3, 60000, 0.16666666666666666, 0.0, 0.0, 135528, 774581
3, 65000, 0.16666666666666666, 0.0, 0.3333333333333333, 158878, 836166
3, 70000, 0.08333333333333333, 0.0, 0.0, 185770, 896757
3, 75000, 0.25, 0.0, 1.0, 216198, 956806
3, 80000, 0.16666666666666666, 0.0, 0.3333333333333333, 250018, 1015734
3, 85000, 0.75, 0.0, 0.6666666666666666, 287658, 1074063
3, 90000, 0.3333333333333333, 0.0, 0.6666666666666666, 328690, 1131341
