controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 5000, 0.0, 0.0, 0.0, 10000, 64944
0, 10000, 0.0, 0.0, 0.0, 20000, 129962
0, 15000, 0.0, 0.0, 0.0, 30000, 194786
0, 20000, 0.0, 0.0, 0.0, 40000, 259592
0, 25000, 0.0, 0.0, 0.0, 50564, 324465
0, 30000, 0.0, 0.0, 0.0, 67864, 387868
0, 35000, 0.3333333333333333, 0.25, 0.0, 92764, 449163
0, 40000, 0.3333333333333333, 0.41666666666666663, 0.0, 124768, 508791
0, 45000, 0.6666666666666666, 0.3333333333333333, 0.0, 163732, 566240
0, 50000, 1.0, 0.5833333333333333, 0.0, 209812, 622939
0, 55000, 0.6666666666666666, 0.75, 0.0, 261132, 677526
0, 60000, 0.6666666666666666, 0.6666666666666666, 0.0, 318668, 731021
0, 65000, 0.6666666666666666, 0.5833333333333333, 0.0, 382608, 783830
0, 70000, 1.0, 0.6666666666666666, 0.0, 452962, 835719
0, 75000, 0.6666666666666666, 0.9166666666666666, 0.0, 526092, 884949
0, 80000, 1.0, 1.0, 0.0, 607474, 935325
0, 85000, 1.0, 0.9166666666666666, 0.0, 691510, 983377
0, 90000, 1.0, 0.8333333333333333, 0.0, 782542, 1031783
0, 95000, 1.0, 1.0, 0.0, 881322, 1081084
0, 100000, 0.3333333333333333, 0.41666666666666663, 0.0, 982536, 1128271
1, 5000, 0.0, 0.0, 0.0, 10000, 64796
1, 10000, 0.0, 0.08333333333333333, 0.0, 20000, 129641
1, 15000, 0.0, 0.0, 0.0, 30000, 194288
1, 20000, 0.0, 0.0, 0.0, 40000, 259286
1, 25000, 0.0, 0.0, 0.0, 50618, 324141
1, 30000, 0.0, 0.0, 0.0, 67792, 387507
1, 35000, 0.0, 0.16666666666666666, 0.0, 92866, 449245
1, 40000, 0.6666666666666666, 0.25, 0.0, 125138, 508806
1, 45000, 0.6666666666666666, 0.41666666666666663, 0.0, 164442, 566860
1, 50000, 0.6666666666666666, 0.3333333333333333, 0.0, 210086, 623543
1, 55000, 1.0, 0.25, 0.0, 262484, 678508
1, 60000, 1.0, 0.3333333333333333, 0.0, 319968, 731699
1, 65000, 1.0, 0.9166666666666666, 0.0, 383118, 783588
1, 70000, 0.6666666666666666, 0.9166666666666666, 0.0, 451888, 833898
1, 75000, 1.0, 0.6666666666666666, 0.0, 525866, 883465
1, 80000, 1.0, 0.9166666666666666, 0.0, 606470, 933151
1, 85000, 1.0, 0.75, 0.0, 691302, 981861
1, 90000, 0.3333333333333333, 0.41666666666666663, 0.0, 781748, 1030027
1, 95000, 1.0, 0.8333333333333333, 0.0, 875042, 1076156
1, 100000, 1.0, 0.25, 0.0, 983452, 1126979
2, 5000, 0.0, 0.0, 0.0, 10000, 64936
2, 10000, 0.0, 0.0, 0.0, 20000, 129721
2, 15000, 0.0, 0.0, 0.0, 30000, 194511
2, 20000, 0.0, 0.0, 0.0, 40000, 259512
2, 25000, 0.0, 0.08333333333333333, 0.0, 50684, 324333
2, 30000, 0.0, 0.0, 0.0, 68154, 387873
2, 35000, 0.3333333333333333, 0.08333333333333333, 0.0, 93198, 449263
2, 40000, 0.3333333333333333, 0.25, 0.0, 125200, 508461
2, 45000, 0.6666666666666666, 0.41666666666666663, 0.0, 164404, 565935
2, 50000, 1.0, 0.6666666666666666, 0.0, 210152, 622139
2, 55000, 0.6666666666666666, 0.5833333333333333, 0.0, 261604, 676475
2, 60000, 0.6666666666666666, 0.8333333333333333, 0.0, 319298, 729908
2, 65000, 1.0, 0.8333333333333334, 0.0, 383266, 782655
2, 70000, 1.0, 0.6666666666666666, 0.0, 451868, 833191
2, 75000, 1.0, 1.0, 0.0, 525708, 882767
2, 80000, 1.0, 1.0, 0.0, 606246, 932608
2, 85000, 1.0, 0.9166666666666666, 0.0, 691474, 981375
2, 90000, 1.0, 0.9166666666666666, 0.0, 779808, 1028260
2, 95000, 1.0, 0.9166666666666666, 0.0, 871604, 1073546
2, 100000, 1.0, 0.9166666666666666, 0.0, 966588, 1117512
3, 5000, 0.0, 0.0, 0.0, 10000, 64620
3, 10000, 0.0, 0.0, 0.0, 20000, 129451
3, 15000, 0.0, 0.0, 0.0, 30000, 194199
3, 20000, 0.0, 0.0, 0.0, 40000, 259244
3, 25000, 0.0, 0.08333333333333333, 0.0, 50640, 324044
3, 30000, 0.0, 0.0, 0.0, 67800, 387189
3, 35000, 0.0, 0.08333333333333333, 0.0, 92546, 447960
3, 40000, 1.0, 0.7499999999999999, 0.0, 124802, 507138
3, 45000, 1.0, 0.5, 0.0, 163754, 564695
3, 50000, 0.6666666666666666, 0.5, 0.0, 209130, 620676
3, 55000, 1.0, 0.5833333333333333, 0.0, 260882, 675394
3, 60000, 1.0, 0.49999999999999994, 0.0, 318370, 728288
3, 65000, 1.0, 0.9166666666666666, 0.0, 382194, 780829
3, 70000, 1.0, 0.6666666666666666, 0.0, 451140, 831774
3, 75000, 0.6666666666666666, 1.0, 0.0, 525642, 881842
3, 80000, 1.0, 1.0, 0.0, 605466, 931112
3, 85000, 1.0, 1.0, 0.0, 690416, 979680
3, 90000, 1.0, 0.8333333333333333, 0.0, 783302, 1029150
3, 95000, 1.0, 0.75, 0.0, 878272, 1076276
3, 100000, 1.0, 0.75, 0.0, 980908, 1124085
4, 5000, 0.0, 0.0, 0.0, 10000, 64924
4, 10000, 0.0, 0.0, 0.0, 20000, 129797
4, 15000, 0.0, 0.0, 0.0, 30000, 194874
4, 20000, 0.0, 0.0, 0.0, 40000, 259488
4, 25000, 0.0, 0.0, 0.0, 50626, 324487
4, 30000, 0.0, 0.08333333333333333, 0.0, 67892, 387956
4, 35000, 0.0, 0.3333333333333333, 0.0, 92952, 449405
4, 40000, 0.6666666666666666, 0.41666666666666663, 0.0, 124906, 508970
4, 45000, 0.6666666666666666, 0.25, 0.0, 164408, 566972
4, 50000, 0.6666666666666666, 0.49999999999999994, 0.0, 210184, 623563
4, 55000, 0.6666666666666666, 0.5833333333333334, 0.0, 262236, 678419
4, 60000, 1.0, 0.8333333333333333, 0.0, 319924, 732170
4, 65000, 1.0, 0.8333333333333333, 0.0, 383894, 785256
4, 70000, 1.0, 1.0, 0.0, 453230, 836591
4, 75000, 0.3333333333333333, 0.75, 0.0, 527312, 886429
4, 80000, 0.6666666666666666, 0.9166666666666666, 0.0, 607044, 935495
4, 85000, 0.3333333333333333, 1.0, 0.0, 692140, 984285
4, 90000, 1.0, 0.75, 0.0, 783946, 1033210
4, 95000, 1.0, 0.75, 0.0, 882466, 1082352
4, 100000, 0.6666666666666666, 1.0, 0.0, 983888, 1129640
5, 5000, 0.0, 0.0, 0.0, 10000, 64820
5, 10000, 0.0, 0.0, 0.0, 20000, 129267
5, 15000, 0.0, 0.0, 0.0, 30000, 194258
5, 20000, 0.0, 0.0, 0.0, 40000, 259178
5, 25000, 0.0, 0.0, 0.0, 50602, 324038
5, 30000, 0.0, 0.0, 0.0, 67962, 387286
5, 35000, 0.3333333333333333, 0.41666666666666663, 0.0, 92792, 448357
5, 40000, 0.0, 0.08333333333333333, 0.0, 124938, 507495
5, 45000, 0.3333333333333333, 0.5833333333333333, 0.0, 164304, 565319
5, 50000, 0.0, 0.3333333333333333, 0.0, 209810, 621726
5, 55000, 0.3333333333333333, 0.25, 0.0, 261808, 676533
5, 60000, 1.0, 0.6666666666666666, 0.0, 319592, 729994
5, 65000, 1.0, 0.6666666666666666, 0.0, 382260, 781775
5, 70000, 1.0, 0.9166666666666666, 0.0, 450496, 832171
5, 75000, 1.0, 0.9166666666666666, 0.0, 523298, 881071
5, 80000, 0.6666666666666666, 0.9166666666666666, 0.0, 602420, 929838
5, 85000, 1.0, 0.8333333333333333, 0.0, 685022, 976970
5, 90000, 1.0, 0.9166666666666666, 0.0, 775512, 1024993
5, 95000, 1.0, 0.9166666666666666, 0.0, 871642, 1072763
5, 100000, 1.0, 0.8333333333333333, 0.0, 968464, 1117613
6, 5000, 0.0, 0.0, 0.0, 10000, 64823
6, 10000, 0.0, 0.0, 0.0, 20000, 129639
6, 15000, 0.3333333333333333, 0.0, 0.0, 30000, 194434
6, 20000, 0.0, 0.08333333333333333, 0.0, 40000, 259459
6, 25000, 0.3333333333333333, 0.0, 0.0, 50574, 324133
6, 30000, 0.0, 0.0, 0.0, 67814, 387652
6, 35000, 0.3333333333333333, 0.25, 0.0, 92664, 448797
6, 40000, 0.0, 0.08333333333333333, 0.0, 125272, 508511
6, 45000, 0.3333333333333333, 0.5833333333333333, 0.0, 164108, 566306
6, 50000, 0.0, 0.5, 0.0, 210056, 622462
6, 55000, 0.6666666666666666, 0.6666666666666666, 0.0, 262452, 678029
6, 60000, 0.3333333333333333, 0.49999999999999994, 0.0, 320784, 731992
6, 65000, 0.3333333333333333, 0.5833333333333333, 0.0, 384188, 783960
6, 70000, 1.0, 0.6666666666666667, 0.0, 453260, 835376
6, 75000, 1.0, 1.0, 0.0, 525982, 884202
6, 80000, 1.0, 1.0, 0.0, 604352, 932524
6, 85000, 1.0, 1.0, 0.0, 686948, 979484
6, 90000, 1.0, 0.9166666666666666, 0.0, 773804, 1025362
6, 95000, 1.0, 0.8333333333333333, 0.0, 868746, 1072454
