controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 5000, 1.0, 0.16666666666666666, 0.0, 139844, 64922
0, 10000, 0.3333333333333333, 0.16666666666666666, 0.0, 279608, 129804
0, 15000, 0.3333333333333333, 0.0, 0.0, 419206, 194603
0, 20000, 0.3333333333333333, 0.0, 0.0, 559120, 259560
0, 25000, 0.6666666666666666, 0.16666666666666666, 0.0, 698758, 324379
0, 30000, 0.3333333333333333, 0.16666666666666666, 0.0, 834952, 387476
0, 35000, 0.3333333333333333, 0.5, 0.0, 967716, 448858
0, 40000, 0.0, 0.3333333333333333, 0.0, 1097328, 508664
0, 45000, 0.6666666666666666, 0.16666666666666666, 0.0, 1223754, 566877
0, 50000, 0.0, 0.08333333333333333, 0.0, 1347192, 623596
0, 55000, 0.3333333333333333, 0.25, 0.0, 1468324, 679162
0, 60000, 0.6666666666666666, 0.16666666666666666, 0.0, 1586390, 733195
0, 65000, 0.6666666666666666, 0.5, 0.0, 1701282, 785641
0, 70000, 0.3333333333333333, 0.5833333333333333, 0.0, 1812404, 836202
0, 75000, 0.6666666666666666, 0.41666666666666663, 0.0, 1922052, 886026
0, 80000, 0.6666666666666666, 0.5833333333333333, 0.0, 2029898, 934949
0, 85000, 1.0, 0.6666666666666666, 0.0, 2133032, 981516
0, 90000, 0.6666666666666666, 0.8333333333333333, 0.0, 2233936, 1026968
0, 95000, 1.0, 0.75, 0.0, 2333394, 1071697
0, 100000, 1.0, 0.5833333333333333, 0.0, 2435188, 1117594
1, 5000, 0.6666666666666666, 0.16666666666666666, 0.0, 140438, 65219
1, 10000, 0.3333333333333333, 0.25, 0.0, 280018, 130009
1, 15000, 0.0, 0.08333333333333333, 0.0, 419166, 194583
1, 20000, 0.3333333333333333, 0.3333333333333333, 0.0, 558900, 259450
1, 25000, 1.0, 0.25, 0.0, 698024, 324012
1, 30000, 0.3333333333333333, 0.41666666666666663, 0.0, 834250, 387125
1, 35000, 0.6666666666666666, 0.41666666666666663, 0.0, 967016, 448508
1, 40000, 1.0, 0.49999999999999994, 0.0, 1096198, 508099
1, 45000, 0.0, 0.08333333333333333, 0.0, 1221988, 565994
1, 50000, 0.0, 0.5, 0.0, 1344500, 622250
1, 55000, 0.6666666666666666, 0.5833333333333333, 0.0, 1464300, 677150
1, 60000, 0.0, 0.25, 0.0, 1581462, 730731
1, 65000, 0.6666666666666666, 0.41666666666666663, 0.0, 1694436, 782218
1, 70000, 1.0, 0.41666666666666663, 0.0, 1805480, 832740
1, 75000, 1.0, 0.6666666666666666, 0.0, 1914660, 882330
1, 80000, 1.0, 0.41666666666666663, 0.0, 2022578, 931289
1, 85000, 0.3333333333333333, 0.5833333333333333, 0.0, 2128902, 979451
1, 90000, 1.0, 0.8333333333333334, 0.0, 2232758, 1026379
1, 95000, 1.0, 1.0, 0.0, 2332314, 1071157
1, 100000, 0.3333333333333333, 0.75, 0.0, 2431330, 1115665
2, 5000, 0.6666666666666666, 0.08333333333333333, 0.0, 139488, 64744
2, 10000, 1.0, 0.25, 0.0, 279658, 129829
2, 15000, 0.0, 0.0, 0.0, 418766, 194383
2, 20000, 0.0, 0.25, 0.0, 558068, 259034
2, 25000, 0.6666666666666666, 0.25, 0.0, 697358, 323679
2, 30000, 0.0, 0.25, 0.0, 833698, 386849
2, 35000, 0.0, 0.16666666666666666, 0.0, 965742, 447871
2, 40000, 0.3333333333333333, 0.25, 0.0, 1096080, 508040
2, 45000, 0.0, 0.08333333333333333, 0.0, 1223590, 566795
2, 50000, 0.0, 0.41666666666666663, 0.0, 1347580, 623790
2, 55000, 0.6666666666666666, 0.25, 0.0, 1469016, 679508
2, 60000, 0.3333333333333333, 0.25, 0.0, 1588026, 734013
2, 65000, 0.0, 0.7499999999999999, 0.0, 1703040, 786520
2, 70000, 0.6666666666666666, 0.41666666666666663, 0.0, 1815246, 837623
2, 75000, 1.0, 0.16666666666666666, 0.0, 1925874, 887937
2, 80000, 0.6666666666666666, 0.8333333333333333, 0.0, 2033992, 936996
2, 85000, 0.6666666666666666, 0.8333333333333333, 0.0, 2141140, 985570
2, 90000, 1.0, 0.9166666666666666, 0.0, 2243110, 1031555
2, 95000, 1.0, 0.5833333333333333, 0.0, 2339322, 1074661
2, 100000, 1.0, 0.41666666666666663, 0.0, 2429502, 1114751
3, 5000, 0.0, 0.08333333333333333, 0.0, 139500, 64750
3, 10000, 0.6666666666666666, 0.25, 0.0, 279720, 129860
3, 15000, 1.0, 0.5, 0.0, 419574, 194787
3, 20000, 0.3333333333333333, 0.5833333333333333, 0.0, 559392, 259696
3, 25000, 0.3333333333333333, 0.08333333333333333, 0.0, 698732, 324366
3, 30000, 0.0, 0.08333333333333333, 0.0, 834778, 387389
3, 35000, 0.3333333333333333, 0.08333333333333333, 0.0, 967540, 448770
3, 40000, 0.6666666666666666, 0.3333333333333333, 0.0, 1096714, 508357
3, 45000, 0.6666666666666666, 0.25, 0.0, 1223118, 566559
3, 50000, 0.0, 0.25, 0.0, 1346316, 623158
3, 55000, 0.3333333333333333, 0.3333333333333333, 0.0, 1466936, 678468
3, 60000, 0.0, 0.3333333333333333, 0.0, 1585422, 732711
3, 65000, 0.6666666666666666, 0.3333333333333333, 0.0, 1701000, 785500
3, 70000, 1.0, 0.5, 0.0, 1814014, 837007
3, 75000, 0.3333333333333333, 0.25, 0.0, 1923520, 886760
3, 80000, 0.6666666666666666, 0.49999999999999994, 0.0, 2031634, 935817
3, 85000, 0.3333333333333333, 0.8333333333333333, 0.0, 2137900, 983950
3, 90000, 0.6666666666666666, 0.8333333333333333, 0.0, 2239430, 1029715
3, 95000, 1.0, 0.6666666666666666, 0.0, 2337482, 1073741
3, 100000, 0.6666666666666666, 0.5833333333333333, 0.0, 2436646, 1118323
4, 5000, 0.0, 0.16666666666666666, 0.0, 139344, 64672
4, 10000, 0.0, 0.16666666666666666, 0.0, 279074, 129537
4, 15000, 1.0, 0.25, 0.0, 419060, 194530
4, 20000, 0.3333333333333333, 0.08333333333333333, 0.0, 558886, 259443
4, 25000, 0.3333333333333333, 0.25, 0.0, 699110, 324555
4, 30000, 0.0, 0.0, 0.0, 835536, 387768
4, 35000, 0.6666666666666666, 0.5, 0.0, 968426, 449213
4, 40000, 0.0, 0.08333333333333333, 0.0, 1098456, 509228
4, 45000, 0.6666666666666666, 0.41666666666666663, 0.0, 1225668, 567834
4, 50000, 0.3333333333333333, 0.5, 0.0, 1350220, 625110
4, 55000, 0.6666666666666666, 0.41666666666666663, 0.0, 1471822, 680911
4, 60000, 0.6666666666666666, 0.5, 0.0, 1591076, 735538
4, 65000, 1.0, 0.5833333333333333, 0.0, 1708832, 789416
4, 70000, 0.0, 0.3333333333333333, 0.0, 1824034, 842017
4, 75000, 0.6666666666666666, 0.5833333333333333, 0.0, 1936052, 893026
4, 80000, 0.3333333333333333, 0.5833333333333333, 0.0, 2045698, 942849
4, 85000, 0.6666666666666666, 0.5833333333333333, 0.0, 2154054, 992027
4, 90000, 1.0, 0.8333333333333334, 0.0, 2257834, 1038917
4, 95000, 0.6666666666666666, 0.6666666666666666, 0.0, 2358408, 1084204
4, 100000, 0.3333333333333333, 0.49999999999999994, 0.0, 2458450, 1129225
5, 5000, 0.0, 0.41666666666666663, 0.0, 139980, 64990
5, 10000, 0.0, 0.0, 0.0, 279256, 129628
5, 15000, 0.0, 0.16666666666666666, 0.0, 418622, 194311
5, 20000, 0.6666666666666666, 0.3333333333333333, 0.0, 557736, 258868
5, 25000, 0.6666666666666666, 0.0, 0.0, 696678, 323339
5, 30000, 1.0, 0.16666666666666666, 0.0, 832542, 386271
5, 35000, 0.0, 0.5, 0.0, 965988, 447994
5, 40000, 1.0, 0.41666666666666663, 0.0, 1095040, 507520
5, 45000, 0.3333333333333333, 0.5, 0.0, 1221418, 565709
5, 50000, 1.0, 0.5833333333333333, 0.0, 1344726, 622363
5, 55000, 0.0, 0.5, 0.0, 1464508, 677254
5, 60000, 0.3333333333333333, 0.49999999999999994, 0.0, 1582252, 731126
5, 65000, 0.3333333333333333, 0.3333333333333333, 0.0, 1696818, 783409
5, 70000, 1.0, 0.8333333333333333, 0.0, 1807996, 833998
5, 75000, 1.0, 0.6666666666666666, 0.0, 1917004, 883502
5, 80000, 1.0, 0.8333333333333333, 0.0, 2022498, 931249
5, 85000, 1.0, 0.9166666666666666, 0.0, 2126902, 978451
5, 90000, 1.0, 0.9166666666666666, 0.0, 2232562, 1026281
5, 95000, 0.6666666666666666, 0.9166666666666666, 0.0, 2334858, 1072429
5, 100000, 1.0, 1.0, 0.0, 2428650, 1114325
6, 5000, 0.3333333333333333, 0.16666666666666666, 0.0, 140028, 65014
6, 10000, 0.0, 0.16666666666666666, 0.0, 280144, 130072
6, 15000, 0.0, 0.08333333333333333, 0.0, 419390, 194695
6, 20000, 0.0, 0.0, 0.0, 559158, 259579
6, 25000, 0.3333333333333333, 0.25, 0.0, 697892, 323946
6, 30000, 0.0, 0.08333333333333333, 0.0, 834656, 387328
6, 35000, 0.3333333333333333, 0.0, 0.0, 967914, 448957
6, 40000, 0.3333333333333333, 0.3333333333333333, 0.0, 1097472, 508736
6, 45000, 0.6666666666666666, 0.41666666666666663, 0.0, 1223996, 566998
