controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 5000, 1.0, 0.25, 0.0, 69951, 64951
0, 10000, 1.0, 0.49999999999999994, 0.0, 139971, 129971
0, 15000, 0.6666666666666666, 0.25, 0.0, 209815, 194815
0, 20000, 1.0, 0.25, 0.0, 279411, 259411
0, 25000, 1.0, 0.16666666666666666, 0.0, 349438, 324438
0, 30000, 0.0, 0.41666666666666663, 0.0, 417493, 387493
0, 35000, 0.6666666666666666, 0.08333333333333333, 0.0, 483483, 448483
0, 40000, 0.0, 0.25, 0.0, 547903, 507903
0, 45000, 0.3333333333333333, 0.3333333333333333, 0.0, 610852, 565852
0, 50000, 1.0, 0.41666666666666663, 0.0, 672575, 622575
0, 55000, 0.0, 0.41666666666666663, 0.0, 732427, 677427
0, 60000, 0.0, 0.5, 0.0, 791609, 731609
0, 65000, 1.0, 0.5833333333333333, 0.0, 849568, 784568
0, 70000, 1.0, 0.9166666666666666, 0.0, 905677, 835677
0, 75000, 1.0, 0.9166666666666666, 0.0, 960512, 885512
0, 80000, 1.0, 0.9166666666666666, 0.0, 1014742, 934742
0, 85000, 1.0, 0.9166666666666666, 0.0, 1068346, 983346
0, 90000, 0.6666666666666666, 0.8333333333333333, 0.0, 1121272, 1031272
0, 95000, 0.6666666666666666, 1.0, 0.0, 1173066, 1078066
0, 100000, 1.0, 1.0, 0.0, 1220221, 1120221
1, 5000, 0.0, 0.3333333333333333, 0.0, 69934, 64934
1, 10000, 1.0, 0.3333333333333333, 0.0, 139888, 129888
1, 15000, 0.0, 0.16666666666666666, 0.0, 209701, 194701
1, 20000, 1.0, 0.41666666666666663, 0.0, 279646, 259646
1, 25000, 0.3333333333333333, 0.41666666666666663, 0.0, 349076, 324076
1, 30000, 1.0, 0.49999999999999994, 0.0, 417246, 387246
1, 35000, 0.6666666666666666, 0.3333333333333333, 0.0, 483595, 448595
1, 40000, 0.0, 0.41666666666666663, 0.0, 547989, 507989
1, 45000, 0.6666666666666666, 0.8333333333333333, 0.0, 610911, 565911
1, 50000, 0.0, 0.5, 0.0, 672323, 622323
1, 55000, 1.0, 0.5833333333333333, 0.0, 732285, 677285
1, 60000, 1.0, 0.8333333333333333, 0.0, 790241, 730241
1, 65000, 1.0, 0.8333333333333334, 0.0, 846751, 781751
1, 70000, 1.0, 0.8333333333333333, 0.0, 902067, 832067
1, 75000, 1.0, 0.8333333333333333, 0.0, 955782, 880782
1, 80000, 1.0, 0.9166666666666666, 0.0, 1008227, 928227
1, 85000, 1.0, 0.9166666666666666, 0.0, 1060026, 975026
1, 90000, 1.0, 1.0, 0.0, 1109393, 1019393
1, 95000, 1.0, 1.0, 0.0, 1157809, 1062809
1, 100000, 1.0, 1.0, 0.0, 1204939, 1104939
2, 5000, 0.6666666666666666, 0.16666666666666666, 0.0, 69812, 64812
2, 10000, 0.6666666666666666, 0.16666666666666666, 0.0, 139671, 129671
2, 15000, 0.6666666666666666, 0.5, 0.0, 209349, 194349
2, 20000, 0.6666666666666666, 0.08333333333333333, 0.0, 279209, 259209
2, 25000, 0.6666666666666666, 0.49999999999999994, 0.0, 348870, 323870
2, 30000, 0.6666666666666666, 0.41666666666666663, 0.0, 416850, 386850
2, 35000, 0.6666666666666666, 0.49999999999999994, 0.0, 483174, 448174
2, 40000, 1.0, 0.3333333333333333, 0.0, 547858, 507858
2, 45000, 0.3333333333333333, 0.7499999999999999, 0.0, 610866, 565866
2, 50000, 1.0, 0.7499999999999999, 0.0, 672297, 622297
2, 55000, 1.0, 0.5, 0.0, 732296, 677296
2, 60000, 0.3333333333333333, 0.3333333333333333, 0.0, 791026, 731026
2, 65000, 1.0, 0.5, 0.0, 848072, 783072
2, 70000, 0.3333333333333333, 0.7499999999999999, 0.0, 903439, 833439
2, 75000, 1.0, 0.75, 0.0, 957787, 882787
2, 80000, 1.0, 1.0, 0.0, 1010996, 930996
2, 85000, 1.0, 0.9166666666666666, 0.0, 1062253, 977253
2, 90000, 1.0, 1.0, 0.0, 1110538, 1020538
2, 95000, 1.0, 1.0, 0.0, 1156698, 1061698
2, 100000, 1.0, 1.0, 0.0, 1201437, 1101437
3, 5000, 0.0, 0.3333333333333333, 0.0, 69709, 64709
3, 10000, 1.0, 0.75, 0.0, 139516, 129516
3, 15000, 0.6666666666666666, 0.5, 0.0, 209513, 194513
3, 20000, 1.0, 0.6666666666666666, 0.0, 279400, 259400
3, 25000, 0.3333333333333333, 0.5833333333333333, 0.0, 349127, 324127
3, 30000, 0.6666666666666666, 0.41666666666666663, 0.0, 417118, 387118
3, 35000, 0.6666666666666666, 0.3333333333333333, 0.0, 483231, 448231
3, 40000, 0.3333333333333333, 0.41666666666666663, 0.0, 547767, 507767
3, 45000, 0.3333333333333333, 0.41666666666666663, 0.0, 610747, 565747
3, 50000, 1.0, 0.5, 0.0, 672578, 622578
3, 55000, 1.0, 0.5, 0.0, 732760, 677760
3, 60000, 0.3333333333333333, 0.3333333333333333, 0.0, 792252, 732252
3, 65000, 1.0, 0.8333333333333333, 0.0, 850157, 785157
3, 70000, 1.0, 1.0, 0.0, 906883, 836883
3, 75000, 1.0, 1.0, 0.0, 961502, 886502
3, 80000, 1.0, 0.9166666666666666, 0.0, 1015052, 935052
3, 85000, 1.0, 1.0, 0.0, 1066921, 981921
3, 90000, 1.0, 1.0, 0.0, 1117651, 1027651
3, 95000, 1.0, 1.0, 0.0, 1164881, 1069881
3, 100000, 1.0, 1.0, 0.0, 1209269, 1109269
4, 5000, 0.0, 0.5, 0.0, 70088, 65088
4, 10000, 0.3333333333333333, 0.16666666666666666, 0.0, 139923, 129923
4, 15000, 0.6666666666666666, 0.25, 0.0, 209509, 194509
4, 20000, 0.6666666666666666, 0.3333333333333333, 0.0, 279254, 259254
4, 25000, 0.3333333333333333, 0.3333333333333333, 0.0, 349018, 324018
4, 30000, 1.0, 0.5833333333333333, 0.0, 417002, 387002
4, 35000, 1.0, 0.3333333333333333, 0.0, 483361, 448361
4, 40000, 0.6666666666666666, 0.41666666666666663, 0.0, 547810, 507810
4, 45000, 0.0, 0.16666666666666666, 0.0, 610689, 565689
4, 50000, 0.0, 0.3333333333333333, 0.0, 672595, 622595
4, 55000, 0.0, 0.5, 0.0, 732691, 677691
4, 60000, 0.3333333333333333, 0.75, 0.0, 791386, 731386
4, 65000, 1.0, 0.7499999999999999, 0.0, 848600, 783600
4, 70000, 1.0, 0.8333333333333333, 0.0, 904481, 834481
4, 75000, 1.0, 1.0, 0.0, 959012, 884012
4, 80000, 1.0, 1.0, 0.0, 1012967, 932967
4, 85000, 1.0, 1.0, 0.0, 1065355, 980355
4, 90000, 0.6666666666666666, 1.0, 0.0, 1116769, 1026769
4, 95000, 1.0, 0.9166666666666666, 0.0, 1167108, 1072108
4, 100000, 1.0, 0.9166666666666666, 0.0, 1214625, 1114625
5, 5000, 0.0, 0.0, 0.0, 70015, 65015
5, 10000, 1.0, 0.41666666666666663, 0.0, 140039, 130039
5, 15000, 0.3333333333333333, 0.3333333333333333, 0.0, 209937, 194937
5, 20000, 0.6666666666666666, 0.5, 0.0, 279751, 259751
5, 25000, 0.3333333333333333, 0.5833333333333334, 0.0, 349453, 324453
5, 30000, 0.6666666666666666, 0.41666666666666663, 0.0, 417634, 387634
5, 35000, 0.3333333333333333, 0.5, 0.0, 483601, 448601
5, 40000, 0.3333333333333333, 0.41666666666666663, 0.0, 547939, 507939
5, 45000, 0.3333333333333333, 0.49999999999999994, 0.0, 610727, 565727
5, 50000, 1.0, 0.9166666666666666, 0.0, 672028, 622028
5, 55000, 0.6666666666666666, 0.5, 0.0, 732109, 677109
5, 60000, 0.0, 0.5, 0.0, 790972, 730972
5, 65000, 1.0, 0.5833333333333334, 0.0, 848041, 783041
5, 70000, 1.0, 0.8333333333333333, 0.0, 904111, 834111
5, 75000, 1.0, 0.8333333333333334, 0.0, 959011, 884011
5, 80000, 1.0, 0.7499999999999999, 0.0, 1012028, 932028
5, 85000, 1.0, 0.8333333333333334, 0.0, 1063046, 978046
5, 90000, 1.0, 1.0, 0.0, 1111859, 1021859
5, 95000, 1.0, 1.0, 0.0, 1158328, 1063328
5, 100000, 1.0, 1.0, 0.0, 1201949, 1101949
6, 5000, 0.3333333333333333, 0.41666666666666663, 0.0, 69630, 64630
6, 10000, 0.6666666666666666, 0.3333333333333333, 0.0, 139496, 129496
6, 15000, 0.6666666666666666, 0.3333333333333333, 0.0, 209261, 194261
6, 20000, 0.3333333333333333, 0.5833333333333333, 0.0, 278851, 258851
6, 25000, 0.3333333333333333, 0.16666666666666666, 0.0, 348570, 323570
6, 30000, 0.6666666666666666, 0.3333333333333333, 0.0, 416643, 386643
6, 35000, 1.0, 0.5833333333333333, 0.0, 483172, 448172
6, 40000, 0.6666666666666666, 0.5833333333333333, 0.0, 547636, 507636
6, 45000, 0.3333333333333333, 0.5833333333333333, 0.0, 610378, 565378
6, 50000, 0.6666666666666666, 0.5833333333333333, 0.0, 671671, 621671
6, 55000, 0.6666666666666666, 0.5, 0.0, 731598, 676598
6, 60000, 0.6666666666666666, 0.5, 0.0, 789540, 729540
6, 65000, 0.0, 0.75, 0.0, 846539, 781539
6, 70000, 0.6666666666666666, 1.0, 0.0, 902187, 832187
