controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:1.0->0.5, epsilon_init->final:0.2->0.0, gamma: 1.0, random 10 6-tuple
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 2000, 0.0, 0.5833333333333334, 15981, 17981
0, 4000, 1.0, 0.8333333333333334, 31406, 35406
0, 6000, 1.0, 0.9166666666666666, 47558, 53558
0, 8000, 1.0, 1.0, 63952, 71952
0, 10000, 1.0, 1.0, 79434, 89434
0, 12000, 1.0, 1.0, 94974, 106974
0, 14000, 1.0, 0.9166666666666666, 110597, 124597
0, 16000, 1.0, 1.0, 126561, 142561
0, 18000, 1.0, 0.8333333333333333, 142616, 160616
0, 20000, 1.0, 1.0, 158751, 178751
0, 22000, 1.0, 1.0, 175182, 197182
0, 24000, 1.0, 1.0, 190899, 214899
0, 26000, 1.0, 1.0, 207174, 233174
0, 28000, 1.0, 1.0, 223072, 251072
0, 30000, 1.0, 1.0, 239319, 269319
0, 32000, 1.0, 1.0, 255758, 287758
0, 34000, 1.0, 1.0, 271688, 305688
0, 36000, 1.0, 1.0, 287735, 323735
0, 38000, 1.0, 1.0, 304047, 342047
0, 40000, 1.0, 1.0, 320195, 360195
0, 42000, 1.0, 1.0, 335540, 377540
0, 44000, 1.0, 1.0, 350022, 394022
0, 46000, 1.0, 1.0, 366206, 412206
0, 48000, 1.0, 1.0, 381522, 429522
0, 50000, 1.0, 1.0, 396805, 446805
0, 52000, 0.6666666666666666, 1.0, 413024, 465024
0, 54000, 1.0, 1.0, 429341, 483341
0, 56000, 1.0, 1.0, 446333, 502333
0, 58000, 1.0, 1.0, 461703, 519703
0, 60000, 1.0, 1.0, 477010, 537010
0, 62000, 1.0, 1.0, 492291, 554291
0, 64000, 1.0, 1.0, 507008, 571008
0, 66000, 1.0, 1.0, 521587, 587587
0, 68000, 1.0, 1.0, 535910, 603910
0, 70000, 1.0, 1.0, 550109, 620109
0, 72000, 1.0, 1.0, 565781, 637781
0, 74000, 1.0, 1.0, 580146, 654146
0, 76000, 1.0, 1.0, 594263, 670263
0, 78000, 1.0, 1.0, 609805, 687805
0, 80000, 1.0, 1.0, 625260, 705260
0, 82000, 1.0, 1.0, 638803, 720803
0, 84000, 1.0, 1.0, 654289, 738289
0, 86000, 1.0, 1.0, 667875, 753875
0, 88000, 1.0, 1.0, 682076, 770076
0, 90000, 1.0, 1.0, 695894, 785894
0, 92000, 1.0, 1.0, 709877, 801877
0, 94000, 1.0, 1.0, 723486, 817486
0, 96000, 1.0, 1.0, 736894, 832894
0, 98000, 1.0, 1.0, 750256, 848256
0, 100000, 1.0, 1.0, 763530, 863530
