controllers.TD.ntuple2.SarsaAgt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.SarsaAgt: alpha_init->final:1.0->0.5, epsilon_init->final:0.2->0.0, gamma: 1.0
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 2000, 0.6666666666666666, 0.08333333333333333, 18493, 18493
0, 4000, 0.0, 0.08333333333333333, 36239, 36239
0, 6000, 1.0, 0.16666666666666666, 53626, 53626
0, 8000, 1.0, 0.9166666666666666, 71135, 71135
0, 10000, 1.0, 0.75, 89646, 89646
0, 12000, 1.0, 1.0, 107845, 107845
0, 14000, 1.0, 0.75, 125930, 125930
0, 16000, 1.0, 0.75, 143467, 143467
0, 18000, 1.0, 0.8333333333333334, 161124, 161124
0, 20000, 1.0, 1.0, 178956, 178956
0, 22000, 1.0, 0.9166666666666666, 196349, 196349
0, 24000, 1.0, 1.0, 213582, 213582
0, 26000, 1.0, 0.9166666666666666, 231119, 231119
0, 28000, 1.0, 0.9166666666666666, 248991, 248991
0, 30000, 1.0, 0.9166666666666666, 266780, 266780
0, 32000, 1.0, 1.0, 283898, 283898
0, 34000, 1.0, 1.0, 300950, 300950
0, 36000, 1.0, 1.0, 318100, 318100
0, 38000, 1.0, 1.0, 336190, 336190
0, 40000, 1.0, 1.0, 353686, 353686
0, 42000, 1.0, 1.0, 371319, 371319
0, 44000, 1.0, 1.0, 389217, 389217
0, 46000, 1.0, 0.9166666666666666, 406696, 406696
0, 48000, 1.0, 1.0, 423403, 423403
0, 50000, 1.0, 1.0, 440165, 440165
0, 52000, 1.0, 1.0, 457620, 457620
0, 54000, 1.0, 1.0, 473462, 473462
0, 56000, 1.0, 1.0, 490162, 490162
0, 58000, 1.0, 1.0, 507265, 507265
0, 60000, 1.0, 1.0, 524275, 524275
0, 62000, 1.0, 1.0, 541053, 541053
0, 64000, 1.0, 1.0, 557338, 557338
0, 66000, 1.0, 1.0, 573373, 573373
0, 68000, 1.0, 1.0, 589900, 589900
0, 70000, 1.0, 1.0, 605275, 605275
0, 72000, 1.0, 1.0, 620814, 620814
0, 74000, 1.0, 1.0, 636866, 636866
0, 76000, 1.0, 1.0, 652620, 652620
0, 78000, 1.0, 1.0, 668250, 668250
0, 80000, 1.0, 1.0, 683603, 683603
0, 82000, 1.0, 1.0, 699631, 699631
0, 84000, 1.0, 1.0, 715168, 715168
0, 86000, 1.0, 1.0, 730433, 730433
0, 88000, 1.0, 1.0, 745421, 745421
0, 90000, 1.0, 1.0, 760147, 760147
0, 92000, 1.0, 1.0, 775537, 775537
