controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.0->0.0, gamma: 1.0, MODE_3P: 2
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 2000, 1.0, 0.6666666666666666, 14727, 18291
0, 4000, 1.0, 0.75, 29181, 36135
0, 6000, 1.0, 0.75, 43584, 53786
0, 8000, 1.0, 0.9166666666666666, 57568, 70904
0, 10000, 1.0, 0.9166666666666666, 71494, 87869
0, 12000, 1.0, 0.9166666666666666, 84991, 104307
0, 14000, 1.0, 1.0, 98885, 121182
0, 16000, 1.0, 1.0, 112933, 138226
0, 18000, 1.0, 0.9166666666666666, 126923, 155070
0, 20000, 1.0, 1.0, 141202, 172046
0, 22000, 1.0, 1.0, 155374, 188945
0, 24000, 1.0, 1.0, 169561, 205603
0, 26000, 1.0, 1.0, 183766, 222312
0, 28000, 1.0, 1.0, 199311, 240484
0, 30000, 1.0, 1.0, 214735, 258455
0, 32000, 1.0, 1.0, 229044, 275040
0, 34000, 1.0, 1.0, 243465, 291698
0, 36000, 1.0, 1.0, 257902, 308230
0, 38000, 1.0, 1.0, 272017, 324362
0, 40000, 1.0, 1.0, 286157, 340458
0, 42000, 1.0, 1.0, 300320, 356485
0, 44000, 1.0, 1.0, 314483, 372415
0, 46000, 1.0, 1.0, 328524, 388147
0, 48000, 1.0, 0.9166666666666666, 343063, 404453
0, 50000, 1.0, 1.0, 357631, 420686
0, 52000, 1.0, 1.0, 371923, 436568
0, 54000, 1.0, 1.0, 386467, 452615
0, 56000, 1.0, 1.0, 400817, 468405
0, 58000, 1.0, 1.0, 415459, 484421
0, 60000, 1.0, 1.0, 430129, 500446
0, 62000, 1.0, 1.0, 443967, 515453
0, 64000, 1.0, 1.0, 458361, 530996
0, 66000, 1.0, 1.0, 472659, 546330
0, 68000, 1.0, 1.0, 487051, 561718
0, 70000, 1.0, 1.0, 501391, 576966
0, 72000, 1.0, 1.0, 515604, 592082
0, 74000, 1.0, 1.0, 529915, 607225
0, 76000, 1.0, 1.0, 544722, 622797
0, 78000, 1.0, 1.0, 559415, 638175
0, 80000, 1.0, 1.0, 574110, 653511
0, 82000, 1.0, 1.0, 588951, 668979
0, 84000, 1.0, 1.0, 603811, 684323
