controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:1.0->0.5, epsilon_init->final:0.2->0.0, gamma: 1.0
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 2000, 0.3333333333333333, 0.5, 14068, 18765
0, 4000, 1.0, 0.9166666666666666, 27337, 36574
0, 6000, 1.0, 1.0, 39875, 53450
0, 8000, 1.0, 1.0, 52574, 70535
0, 10000, 1.0, 0.8333333333333334, 65319, 87586
0, 12000, 1.0, 1.0, 77879, 104410
0, 14000, 1.0, 1.0, 90803, 121579
0, 16000, 1.0, 1.0, 103629, 138579
0, 18000, 1.0, 1.0, 116284, 155222
0, 20000, 1.0, 1.0, 128934, 171861
0, 22000, 1.0, 1.0, 141330, 188195
0, 24000, 1.0, 1.0, 153921, 204647
0, 26000, 1.0, 1.0, 166826, 221465
0, 28000, 1.0, 1.0, 180212, 238747
0, 30000, 1.0, 1.0, 193907, 256249
0, 32000, 1.0, 1.0, 207049, 273171
0, 34000, 1.0, 1.0, 220080, 289889
0, 36000, 1.0, 1.0, 233347, 306888
0, 38000, 1.0, 1.0, 246281, 323351
0, 40000, 1.0, 1.0, 259010, 339565
0, 42000, 1.0, 1.0, 271735, 355719
0, 44000, 0.6666666666666666, 1.0, 284299, 371651
0, 46000, 1.0, 1.0, 296953, 387622
0, 48000, 1.0, 1.0, 310117, 404147
0, 50000, 1.0, 1.0, 323220, 420516
0, 52000, 1.0, 1.0, 336049, 436486
0, 54000, 1.0, 1.0, 348615, 452084
0, 56000, 1.0, 1.0, 361185, 467721
0, 58000, 1.0, 1.0, 374897, 484459
0, 60000, 1.0, 1.0, 388523, 501128
0, 62000, 1.0, 1.0, 401180, 516730
0, 64000, 1.0, 1.0, 413721, 532065
0, 66000, 1.0, 1.0, 426148, 547299
0, 68000, 1.0, 1.0, 438699, 562668
0, 70000, 1.0, 1.0, 451657, 578332
0, 72000, 1.0, 1.0, 464342, 593669
0, 74000, 1.0, 1.0, 477217, 609172
0, 76000, 1.0, 1.0, 489830, 624364
0, 78000, 1.0, 1.0, 502367, 639458
0, 80000, 1.0, 1.0, 514974, 654560
0, 82000, 1.0, 1.0, 527375, 669415
0, 84000, 1.0, 1.0, 539802, 684211
0, 86000, 1.0, 1.0, 552498, 699302
0, 88000, 1.0, 1.0, 564910, 714009
0, 90000, 1.0, 1.0, 577202, 728569
0, 92000, 1.0, 1.0, 589491, 743070
0, 94000, 1.0, 1.0, 601681, 757393
0, 96000, 1.0, 1.0, 613957, 771774
0, 98000, 1.0, 1.0, 626059, 785951
0, 100000, 1.0, 1.0, 638276, 800190
1, 2000, 0.0, 0.0, 15977, 20978
1, 4000, 1.0, 0.5833333333333334, 29198, 38694
1, 6000, 1.0, 0.75, 41946, 55692
1, 8000, 1.0, 0.9166666666666666, 55373, 73665
1, 10000, 1.0, 1.0, 67876, 90372
1, 12000, 1.0, 1.0, 80567, 107236
1, 14000, 1.0, 1.0, 93232, 124045
1, 16000, 1.0, 1.0, 106066, 141048
